"pli0089","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","no migration background","Male","8","","","","1"
"Daily","1990","no migration background","Female","2","","","","1"
"Daily","1990","direct migration background","Male","7","","","","1"
"Daily","1990","direct migration background","Female","3","","","","1"
"Daily","1990","indirect migration background","Male","","","","","1"
"Daily","1990","indirect migration background","Female","","","","","1"
"Min 1x per month","1990","no migration background","Female","196","0.0543073767862111","0.0467507412093122","0.0618640123631101","3"
"Min 1x per month","1990","no migration background","Male","417","0.125175399035798","0.113695537876476","0.136655260195121","3"
"Min 1x per month","1990","direct migration background","Male","165","0.126516493114512","0.108670778502629","0.144362207726395","3"
"Min 1x per month","1990","direct migration background","Female","49","0.0344516856109689","0.0241194748022879","0.0447838964196498","3"
"Min 1x per month","1990","indirect migration background","Male","27","","","","3"
"Min 1x per month","1990","indirect migration background","Female","16","","","","3"
"Min 1x per week","1990","no migration background","Female","128","0.0341647025600581","0.028107607022787","0.0402217980973293","2"
"Min 1x per week","1990","no migration background","Male","328","0.100010293918351","0.0896025218503615","0.110418065986341","2"
"Min 1x per week","1990","direct migration background","Male","150","0.083374165390528","0.0685337925246417","0.0982145382564142","2"
"Min 1x per week","1990","direct migration background","Female","36","0.0334481886389567","0.0232622774023523","0.0436340998755612","2"
"Min 1x per week","1990","indirect migration background","Male","35","0.190218498346438","0.126337103526746","0.25409989316613","2"
"Min 1x per week","1990","indirect migration background","Female","7","","","","2"
"Never","1990","no migration background","Male","1412","0.450799998240609","0.433538683658958","0.468061312822259","5"
"Never","1990","no migration background","Female","2316","0.698478140126907","0.683175728636239","0.713780551617575","5"
"Never","1990","direct migration background","Male","719","0.519753037387035","0.492932724027235","0.546573350746836","5"
"Never","1990","direct migration background","Female","963","0.770448360400125","0.746624453513724","0.794272267286526","5"
"Never","1990","indirect migration background","Male","35","0.272715922440827","0.200227044530721","0.345204800350932","5"
"Never","1990","indirect migration background","Female","91","0.691727416450189","0.617828612883997","0.765626220016381","5"
"Rarely","1990","no migration background","Female","813","0.212619369466655","0.198976119329747","0.226262619603563","4"
"Rarely","1990","direct migration background","Male","292","0.267080878133771","0.243329848564295","0.290831907703248","4"
"Rarely","1990","no migration background","Male","1027","0.320350021315064","0.30416282319917","0.336537219430959","4"
"Rarely","1990","indirect migration background","Male","48","0.368172821746722","0.289669306416687","0.446676337076758","4"
"Rarely","1990","direct migration background","Female","146","0.159972137645729","0.139205315882825","0.180738959408632","4"
"Rarely","1990","indirect migration background","Female","36","0.180612614743556","0.119049421507892","0.242175807979221","4"
"Daily","1991","no migration background","Male","","","","","1"
"Daily","1991","no migration background","Female","","","","","1"
"Daily","1991","direct migration background","Male","","","","","1"
"Daily","1991","direct migration background","Female","","","","","1"
"Daily","1991","indirect migration background","Male","","","","","1"
"Daily","1991","indirect migration background","Female","","","","","1"
"Min 1x per month","1991","no migration background","Female","","","","","3"
"Min 1x per month","1991","no migration background","Male","","","","","3"
"Min 1x per month","1991","direct migration background","Male","","","","","3"
"Min 1x per month","1991","direct migration background","Female","","","","","3"
"Min 1x per month","1991","indirect migration background","Male","","","","","3"
"Min 1x per month","1991","indirect migration background","Female","","","","","3"
"Min 1x per week","1991","no migration background","Male","","","","","2"
"Min 1x per week","1991","no migration background","Female","","","","","2"
"Min 1x per week","1991","direct migration background","Male","","","","","2"
"Min 1x per week","1991","direct migration background","Female","","","","","2"
"Min 1x per week","1991","indirect migration background","Male","","","","","2"
"Min 1x per week","1991","indirect migration background","Female","","","","","2"
"Never","1991","no migration background","Male","","","","","5"
"Never","1991","no migration background","Female","","","","","5"
"Never","1991","direct migration background","Male","","","","","5"
"Never","1991","direct migration background","Female","","","","","5"
"Never","1991","indirect migration background","Male","","","","","5"
"Never","1991","indirect migration background","Female","","","","","5"
"Rarely","1991","no migration background","Female","","","","","4"
"Rarely","1991","no migration background","Male","","","","","4"
"Rarely","1991","direct migration background","Male","","","","","4"
"Rarely","1991","direct migration background","Female","","","","","4"
"Rarely","1991","indirect migration background","Male","","","","","4"
"Rarely","1991","indirect migration background","Female","","","","","4"
"Daily","1992","no migration background","Male","","","","","1"
"Daily","1992","no migration background","Female","","","","","1"
"Daily","1992","direct migration background","Male","","","","","1"
"Daily","1992","direct migration background","Female","","","","","1"
"Daily","1992","indirect migration background","Male","","","","","1"
"Daily","1992","indirect migration background","Female","","","","","1"
"Min 1x per month","1992","no migration background","Female","","","","","3"
"Min 1x per month","1992","no migration background","Male","","","","","3"
"Min 1x per month","1992","direct migration background","Male","","","","","3"
"Min 1x per month","1992","direct migration background","Female","","","","","3"
"Min 1x per month","1992","indirect migration background","Male","","","","","3"
"Min 1x per month","1992","indirect migration background","Female","","","","","3"
"Min 1x per week","1992","no migration background","Male","","","","","2"
"Min 1x per week","1992","direct migration background","Male","","","","","2"
"Min 1x per week","1992","no migration background","Female","","","","","2"
"Min 1x per week","1992","indirect migration background","Male","","","","","2"
"Min 1x per week","1992","direct migration background","Female","","","","","2"
"Min 1x per week","1992","indirect migration background","Female","","","","","2"
"Never","1992","no migration background","Male","","","","","5"
"Never","1992","no migration background","Female","","","","","5"
"Never","1992","direct migration background","Male","","","","","5"
"Never","1992","direct migration background","Female","","","","","5"
"Never","1992","indirect migration background","Male","","","","","5"
"Never","1992","indirect migration background","Female","","","","","5"
"Rarely","1992","no migration background","Male","","","","","4"
"Rarely","1992","no migration background","Female","","","","","4"
"Rarely","1992","direct migration background","Male","","","","","4"
"Rarely","1992","direct migration background","Female","","","","","4"
"Rarely","1992","indirect migration background","Male","","","","","4"
"Rarely","1992","indirect migration background","Female","","","","","4"
"Daily","1993","no migration background","Male","","","","","1"
"Daily","1993","no migration background","Female","","","","","1"
"Daily","1993","direct migration background","Male","","","","","1"
"Daily","1993","direct migration background","Female","","","","","1"
"Daily","1993","indirect migration background","Male","","","","","1"
"Daily","1993","indirect migration background","Female","","","","","1"
