"pli0089","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","in school","","","","","1"
"Daily","1990","inadequately","3","","","","1"
"Daily","1990","general elemantary","5","","","","1"
"Daily","1990","middle vocational","10","","","","1"
"Daily","1990","vocational + Abi","","","","","1"
"Daily","1990","higher vocational","2","","","","1"
"Daily","1990","higher education","","","","","1"
"Min 1x per month","1990","middle vocational","491","0.10058856524751","0.0918421471891148","0.109334983305905","3"
"Min 1x per month","1990","vocational + Abi","29","","","","3"
"Min 1x per month","1990","higher education","37","0.0535370976627018","0.0368137706938184","0.0702604246315851","3"
"Min 1x per month","1990","in school","20","","","","3"
"Min 1x per month","1990","inadequately","43","0.105146067878716","0.0812692715131271","0.129022864244304","3"
"Min 1x per month","1990","general elemantary","194","0.0657544417599854","0.055985914309907","0.0755229692100639","3"
"Min 1x per month","1990","higher vocational","45","0.0954417223218778","0.0700405394226355","0.12084290522112","3"
"Min 1x per week","1990","inadequately","22","","","","2"
"Min 1x per week","1990","middle vocational","364","0.0728787616422891","0.0653200899939641","0.0804374332906142","2"
"Min 1x per week","1990","vocational + Abi","28","","","","2"
"Min 1x per week","1990","higher education","34","0.0500913848017013","0.0338857553803581","0.0662970142230444","2"
"Min 1x per week","1990","in school","28","","","","2"
"Min 1x per week","1990","general elemantary","162","0.0484816693458985","0.0400165439638678","0.0569467947279293","2"
"Min 1x per week","1990","higher vocational","29","","","","2"
"Never","1990","higher education","421","0.606860884365288","0.570573039833619","0.643148728896958","5"
"Never","1990","middle vocational","2414","0.547120462353202","0.532645763041662","0.561595161664742","5"
"Never","1990","vocational + Abi","153","0.506888730403149","0.449837388368203","0.563940072438094","5"
"Never","1990","higher vocational","283","0.551244728153005","0.508247195213862","0.594242261092149","5"
"Never","1990","in school","42","0.190987190816421","0.130269538302925","0.251704843329916","5"
"Never","1990","inadequately","494","0.741061485155693","0.706963484899609","0.775159485411776","5"
"Never","1990","general elemantary","1637","0.697857914403216","0.679760140914972","0.71595568789146","5"
"Rarely","1990","higher education","204","0.289510633170309","0.255816481835839","0.323204784504778","4"
"Rarely","1990","middle vocational","1264","0.276824123528673","0.263813423778945","0.289834823278401","4"
"Rarely","1990","in school","71","0.508846788043574","0.431625477832359","0.586068098254789","4"
"Rarely","1990","general elemantary","475","0.186173244026884","0.170831997533441","0.201514490520327","4"
"Rarely","1990","higher vocational","155","0.292684040782889","0.253349618018005","0.332018463547774","4"
"Rarely","1990","inadequately","72","0.117761329954359","0.0926714919156759","0.142851167993043","4"
"Rarely","1990","vocational + Abi","85","0.320775002716936","0.267509727901004","0.374040277532869","4"
"Daily","1991","in school","","","","","1"
"Daily","1991","inadequately","","","","","1"
"Daily","1991","general elemantary","","","","","1"
"Daily","1991","middle vocational","","","","","1"
"Daily","1991","vocational + Abi","","","","","1"
"Daily","1991","higher vocational","","","","","1"
"Daily","1991","higher education","","","","","1"
"Min 1x per month","1991","middle vocational","","","","","3"
"Min 1x per month","1991","higher education","","","","","3"
"Min 1x per month","1991","vocational + Abi","","","","","3"
"Min 1x per month","1991","in school","","","","","3"
"Min 1x per month","1991","inadequately","","","","","3"
"Min 1x per month","1991","general elemantary","","","","","3"
"Min 1x per month","1991","higher vocational","","","","","3"
"Min 1x per week","1991","in school","","","","","2"
"Min 1x per week","1991","inadequately","","","","","2"
"Min 1x per week","1991","middle vocational","","","","","2"
"Min 1x per week","1991","vocational + Abi","","","","","2"
"Min 1x per week","1991","higher education","","","","","2"
"Min 1x per week","1991","higher vocational","","","","","2"
"Min 1x per week","1991","general elemantary","","","","","2"
"Never","1991","higher education","","","","","5"
"Never","1991","middle vocational","","","","","5"
"Never","1991","vocational + Abi","","","","","5"
"Never","1991","higher vocational","","","","","5"
"Never","1991","in school","","","","","5"
"Never","1991","inadequately","","","","","5"
"Never","1991","general elemantary","","","","","5"
"Rarely","1991","middle vocational","","","","","4"
"Rarely","1991","higher education","","","","","4"
"Rarely","1991","in school","","","","","4"
"Rarely","1991","general elemantary","","","","","4"
"Rarely","1991","higher vocational","","","","","4"
"Rarely","1991","inadequately","","","","","4"
"Rarely","1991","vocational + Abi","","","","","4"
"Daily","1992","in school","","","","","1"
"Daily","1992","inadequately","","","","","1"
"Daily","1992","general elemantary","","","","","1"
"Daily","1992","middle vocational","","","","","1"
"Daily","1992","vocational + Abi","","","","","1"
"Daily","1992","higher vocational","","","","","1"
"Daily","1992","higher education","","","","","1"
"Min 1x per month","1992","vocational + Abi","","","","","3"
"Min 1x per month","1992","middle vocational","","","","","3"
"Min 1x per month","1992","in school","","","","","3"
"Min 1x per month","1992","inadequately","","","","","3"
"Min 1x per month","1992","general elemantary","","","","","3"
"Min 1x per month","1992","higher education","","","","","3"
"Min 1x per month","1992","higher vocational","","","","","3"
"Min 1x per week","1992","higher education","","","","","2"
"Min 1x per week","1992","in school","","","","","2"
"Min 1x per week","1992","inadequately","","","","","2"
"Min 1x per week","1992","middle vocational","","","","","2"
"Min 1x per week","1992","vocational + Abi","","","","","2"
"Min 1x per week","1992","higher vocational","","","","","2"
"Min 1x per week","1992","general elemantary","","","","","2"
"Never","1992","higher education","","","","","5"
"Never","1992","middle vocational","","","","","5"
"Never","1992","vocational + Abi","","","","","5"
"Never","1992","higher vocational","","","","","5"
"Never","1992","in school","","","","","5"
"Never","1992","inadequately","","","","","5"
"Never","1992","general elemantary","","","","","5"
"Rarely","1992","higher education","","","","","4"
"Rarely","1992","in school","","","","","4"
"Rarely","1992","middle vocational","","","","","4"
"Rarely","1992","inadequately","","","","","4"
"Rarely","1992","general elemantary","","","","","4"
"Rarely","1992","vocational + Abi","","","","","4"
"Rarely","1992","higher vocational","","","","","4"
"Daily","1993","in school","","","","","1"
"Daily","1993","inadequately","","","","","1"
"Daily","1993","general elemantary","","","","","1"
"Daily","1993","middle vocational","","","","","1"
"Daily","1993","vocational + Abi","","","","","1"
"Daily","1993","higher vocational","","","","","1"
"Daily","1993","higher education","","","","","1"
"Min 1x per month","1993","higher education","","","","","3"
"Min 1x per month","1993","vocational + Abi","","","","","3"
"Min 1x per month","1993","middle vocational","","","","","3"
"Min 1x per month","1993","in school","","","","","3"
"Min 1x per month","1993","inadequately","","","","","3"
"Min 1x per month","1993","general elemantary","","","","","3"
"Min 1x per month","1993","higher vocational","","","","","3"
"Min 1x per week","1993","higher education","","","","","2"
"Min 1x per week","1993","in school","","","","","2"
"Min 1x per week","1993","inadequately","","","","","2"
"Min 1x per week","1993","middle vocational","","","","","2"
"Min 1x per week","1993","vocational + Abi","","","","","2"
"Min 1x per week","1993","higher vocational","","","","","2"
"Min 1x per week","1993","general elemantary","","","","","2"
"Never","1993","higher education","","","","","5"
"Never","1993","middle vocational","","","","","5"
"Never","1993","vocational + Abi","","","","","5"
"Never","1993","higher vocational","","","","","5"
"Never","1993","in school","","","","","5"
"Never","1993","inadequately","","","","","5"
"Never","1993","general elemantary","","","","","5"
"Rarely","1993","higher education","","","","","4"
"Rarely","1993","in school","","","","","4"
"Rarely","1993","middle vocational","","","","","4"
"Rarely","1993","general elemantary","","","","","4"
"Rarely","1993","higher vocational","","","","","4"
"Rarely","1993","inadequately","","","","","4"
"Rarely","1993","vocational + Abi","","","","","4"
"Daily","1994","in school","","","","","1"
"Daily","1994","inadequately","","","","","1"
"Daily","1994","general elemantary","","","","","1"
"Daily","1994","middle vocational","","","","","1"
"Daily","1994","vocational + Abi","","","","","1"
"Daily","1994","higher vocational","","","","","1"
"Daily","1994","higher education","","","","","1"
"Min 1x per month","1994","in school","","","","","3"
"Min 1x per month","1994","inadequately","","","","","3"
"Min 1x per month","1994","vocational + Abi","","","","","3"
"Min 1x per month","1994","higher education","","","","","3"
"Min 1x per month","1994","middle vocational","","","","","3"
"Min 1x per month","1994","general elemantary","","","","","3"
"Min 1x per month","1994","higher vocational","","","","","3"
"Min 1x per week","1994","higher education","","","","","2"
"Min 1x per week","1994","in school","","","","","2"
"Min 1x per week","1994","inadequately","","","","","2"
"Min 1x per week","1994","middle vocational","","","","","2"
"Min 1x per week","1994","vocational + Abi","","","","","2"
"Min 1x per week","1994","higher vocational","","","","","2"
"Min 1x per week","1994","general elemantary","","","","","2"
"Never","1994","higher education","","","","","5"
"Never","1994","middle vocational","","","","","5"
"Never","1994","vocational + Abi","","","","","5"
"Never","1994","higher vocational","","","","","5"
"Never","1994","in school","","","","","5"
"Never","1994","inadequately","","","","","5"
"Never","1994","general elemantary","","","","","5"
"Rarely","1994","higher education","","","","","4"
"Rarely","1994","middle vocational","","","","","4"
"Rarely","1994","in school","","","","","4"
"Rarely","1994","general elemantary","","","","","4"
"Rarely","1994","higher vocational","","","","","4"
"Rarely","1994","inadequately","","","","","4"
"Rarely","1994","vocational + Abi","","","","","4"
"Daily","1995","in school","5","","","","1"
"Daily","1995","inadequately","1","","","","1"
"Daily","1995","general elemantary","3","","","","1"
"Daily","1995","middle vocational","11","","","","1"
"Daily","1995","vocational + Abi","","","","","1"
"Daily","1995","higher vocational","","","","","1"
"Daily","1995","higher education","2","","","","1"
"Min 1x per month","1995","inadequately","17","","","","3"
"Min 1x per month","1995","vocational + Abi","39","0.0850605256263514","0.059999154472835","0.110121896779868","3"
"Min 1x per month","1995","in school","54","0.169633920668131","0.12598434050855","0.213283500827712","3"
"Min 1x per month","1995","middle vocational","545","0.0779831374703683","0.071567251821424","0.0843990231193125","3"
"Min 1x per month","1995","higher education","113","0.0627599988382171","0.051396922140386","0.0741230755360482","3"
"Min 1x per month","1995","higher vocational","64","0.0847477040823821","0.0649211210828882","0.104574287081876","3"
"Min 1x per month","1995","general elemantary","172","0.0549654755279677","0.0460153307741362","0.0639156202817992","3"
"Min 1x per week","1995","higher education","48","0.0375403418844724","0.0286346134914201","0.0464460702775247","2"
"Min 1x per week","1995","in school","26","","","","2"
"Min 1x per week","1995","inadequately","17","","","","2"
"Min 1x per week","1995","middle vocational","371","0.0548373412007745","0.0493900787090268","0.0602846036925222","2"
"Min 1x per week","1995","vocational + Abi","32","0.0730679010207798","0.0496885801542934","0.0964472218872661","2"
"Min 1x per week","1995","higher vocational","36","0.0462656160817679","0.0313116502817071","0.0612195818818287","2"
"Min 1x per week","1995","general elemantary","118","0.0391653936326752","0.03154746686379","0.0467833204015603","2"
"Never","1995","higher education","1054","0.601392922163706","0.578453592331445","0.624332251995967","5"
"Never","1995","higher vocational","398","0.551578772617305","0.516174119654054","0.586983425580556","5"
"Never","1995","vocational + Abi","259","0.521432724518524","0.476556609186421","0.566308839850627","5"
"Never","1995","middle vocational","3897","0.588728566706026","0.576954983483084","0.600502149928968","5"
"Never","1995","in school","84","0.292520170448112","0.239611863900281","0.345428476995944","5"
"Never","1995","inadequately","422","0.796553647563436","0.762281396904842","0.830825898222029","5"
"Never","1995","general elemantary","1709","0.72820956563784","0.710739018720305","0.745680112555375","5"
"Rarely","1995","middle vocational","1886","0.277189825383847","0.266479871470173","0.287899779297521","4"
"Rarely","1995","higher education","533","0.297644286745097","0.27622246496813","0.319066108522063","4"
"Rarely","1995","in school","115","0.423610633930246","0.3661420722519","0.481079195608592","4"
"Rarely","1995","general elemantary","489","0.177141597583839","0.162148752281997","0.192134442885682","4"
"Rarely","1995","higher vocational","260","0.317407907218545","0.284271685647024","0.350544128790066","4"
"Rarely","1995","inadequately","73","0.13270857321105","0.103825581680256","0.161591564741844","4"
"Rarely","1995","vocational + Abi","146","0.320438848834345","0.278517864872211","0.362359832796479","4"
"Daily","1996","in school","","","","","1"
