"pli0089","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","no migration background","Urban Area","8","","","","1"
"Daily","1990","no migration background","Rural Area","2","","","","1"
"Daily","1990","direct migration background","Urban Area","5","","","","1"
"Daily","1990","direct migration background","Rural Area","5","","","","1"
"Daily","1990","indirect migration background","Urban Area","","","","","1"
"Daily","1990","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1990","no migration background","Rural Area","136","0.0855803853467087","0.0716896815742832","0.0994710891191342","3"
"Min 1x per month","1990","no migration background","Urban Area","477","0.0885764585805192","0.0807700524322889","0.0963828647287495","3"
"Min 1x per month","1990","direct migration background","Urban Area","189","0.0807432928705256","0.0693975520664983","0.092089033674553","3"
"Min 1x per month","1990","direct migration background","Rural Area","25","","","","3"
"Min 1x per month","1990","indirect migration background","Urban Area","39","0.128649632695756","0.0877952246113362","0.169504040780176","3"
"Min 1x per month","1990","indirect migration background","Rural Area","4","","","","3"
"Min 1x per week","1990","no migration background","Rural Area","126","0.0771030486661729","0.0638572928305224","0.0903488045018235","2"
"Min 1x per week","1990","no migration background","Urban Area","330","0.0617605708951811","0.0551468729471631","0.0683742688431991","2"
"Min 1x per week","1990","direct migration background","Urban Area","149","0.0490369324531471","0.0400439302792","0.0580299346270943","2"
"Min 1x per week","1990","direct migration background","Rural Area","37","0.118988835884381","0.083233848605736","0.154743823163026","2"
"Min 1x per week","1990","indirect migration background","Urban Area","38","0.117270807693071","0.078011110934962","0.156530504451179","2"
"Min 1x per week","1990","indirect migration background","Rural Area","4","","","","2"
"Never","1990","no migration background","Urban Area","2897","0.589555793691141","0.576040627630297","0.603070959751985","5"
"Never","1990","no migration background","Rural Area","831","0.553712013098417","0.52902810415573","0.578395922041104","5"
"Never","1990","direct migration background","Urban Area","1500","0.654985659788606","0.635188827913909","0.674782491663303","5"
"Never","1990","direct migration background","Rural Area","182","0.560515297963389","0.505705471075972","0.615325124850806","5"
"Never","1990","indirect migration background","Urban Area","108","0.480519051555998","0.419554363488931","0.541483739623064","5"
"Never","1990","indirect migration background","Rural Area","18","","","","5"
"Rarely","1990","no migration background","Rural Area","463","0.281915368440215","0.259573908146191","0.304256828734239","4"
"Rarely","1990","direct migration background","Urban Area","372","0.21355903416817","0.196492188403997","0.230625879932343","4"
"Rarely","1990","no migration background","Urban Area","1377","0.258061528988336","0.246039509047675","0.270083548928997","4"
"Rarely","1990","indirect migration background","Urban Area","73","0.273560508055176","0.219164796539171","0.32795621957118","4"
"Rarely","1990","direct migration background","Rural Area","66","0.224533387764801","0.17845313733691","0.270613638192692","4"
"Rarely","1990","indirect migration background","Rural Area","11","","","","4"
"Daily","1991","no migration background","Urban Area","","","","","1"
"Daily","1991","no migration background","Rural Area","","","","","1"
"Daily","1991","direct migration background","Urban Area","","","","","1"
"Daily","1991","direct migration background","Rural Area","","","","","1"
"Daily","1991","indirect migration background","Urban Area","","","","","1"
"Daily","1991","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1991","no migration background","Rural Area","","","","","3"
"Min 1x per month","1991","no migration background","Urban Area","","","","","3"
"Min 1x per month","1991","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1991","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1991","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1991","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1991","no migration background","Urban Area","","","","","2"
"Min 1x per week","1991","no migration background","Rural Area","","","","","2"
"Min 1x per week","1991","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1991","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1991","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1991","indirect migration background","Rural Area","","","","","2"
"Never","1991","no migration background","Urban Area","","","","","5"
"Never","1991","no migration background","Rural Area","","","","","5"
"Never","1991","direct migration background","Urban Area","","","","","5"
"Never","1991","direct migration background","Rural Area","","","","","5"
"Never","1991","indirect migration background","Urban Area","","","","","5"
"Never","1991","indirect migration background","Rural Area","","","","","5"
"Rarely","1991","no migration background","Rural Area","","","","","4"
"Rarely","1991","no migration background","Urban Area","","","","","4"
"Rarely","1991","direct migration background","Urban Area","","","","","4"
"Rarely","1991","direct migration background","Rural Area","","","","","4"
"Rarely","1991","indirect migration background","Urban Area","","","","","4"
"Rarely","1991","indirect migration background","Rural Area","","","","","4"
"Daily","1992","no migration background","Urban Area","","","","","1"
