"pli0089","year","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","9","","",""
"Daily","1990","secondary school degree","3","","",""
"Daily","1990","college entrance qualification","1","","",""
"Daily","1990","Other degree","4","","",""
"Daily","1990","no degree/no degree yet","3","","",""
"Min 1x per week","1990","lower secondary degree","316","0.058196875457319","0.0513853286883143","0.0650084222263237"
"Min 1x per week","1990","secondary school degree","131","0.0714470203332392","0.0591341405573376","0.0837599001091409"
"Min 1x per week","1990","college entrance qualification","81","0.070095482624899","0.0556623683201882","0.0845285969296098"
"Min 1x per week","1990","Other degree","80","0.0861004522644689","0.0687404582115031","0.103460446317435"
"Min 1x per week","1990","no degree/no degree yet","56","0.086710195155253","0.0676684610160357","0.10575192929447"
"Min 1x per month","1990","lower secondary degree","422","0.0844179195243768","0.0763291621320415","0.0925066769167121"
"Min 1x per month","1990","secondary school degree","187","0.0986086801073123","0.0843565921815752","0.112860768033049"
"Min 1x per month","1990","college entrance qualification","97","0.0790981216824894","0.0638405428737274","0.0943557004912514"
"Min 1x per month","1990","Other degree","82","0.08148334413716","0.0645526187843226","0.0984140694899975"
"Min 1x per month","1990","no degree/no degree yet","64","0.11494693243991","0.0933644965579102","0.136529368321909"
"Rarely","1990","lower secondary degree","1102","0.232821489935497","0.220525157616273","0.245117822254721"
"Rarely","1990","secondary school degree","522","0.300699713705258","0.278778601016492","0.322620826394025"
"Rarely","1990","college entrance qualification","388","0.31113513007608","0.284963100592254","0.337307159559906"
"Rarely","1990","Other degree","155","0.168934824833516","0.145746212534562","0.192123437132471"
"Rarely","1990","no degree/no degree yet","150","0.265102665944213","0.235235948442925","0.294969383445501"
"Never","1990","lower secondary degree","2689","0.621916748970369","0.607808416317711","0.636025081623027"
"Never","1990","secondary school degree","838","0.528128416198239","0.504264269257264","0.551992563139215"
"Never","1990","college entrance qualification","635","0.539297918882534","0.511119260214668","0.567476577550399"
"Never","1990","Other degree","682","0.659178078896246","0.62984465469675","0.688511503095743"
"Never","1990","no degree/no degree yet","566","0.53077651185986","0.49700792937747","0.56454509434225"
"Daily","1991","lower secondary degree","","","",""
"Daily","1991","secondary school degree","","","",""
"Daily","1991","college entrance qualification","","","",""
"Daily","1991","Other degree","","","",""
"Daily","1991","no degree/no degree yet","","","",""
"Min 1x per week","1991","lower secondary degree","","","",""
"Min 1x per week","1991","secondary school degree","","","",""
"Min 1x per week","1991","college entrance qualification","","","",""
"Min 1x per week","1991","Other degree","","","",""
"Min 1x per week","1991","no degree/no degree yet","","","",""
"Min 1x per month","1991","lower secondary degree","","","",""
"Min 1x per month","1991","secondary school degree","","","",""
"Min 1x per month","1991","college entrance qualification","","","",""
"Min 1x per month","1991","Other degree","","","",""
"Min 1x per month","1991","no degree/no degree yet","","","",""
"Rarely","1991","lower secondary degree","","","",""
"Rarely","1991","secondary school degree","","","",""
"Rarely","1991","college entrance qualification","","","",""
"Rarely","1991","Other degree","","","",""
"Rarely","1991","no degree/no degree yet","","","",""
"Never","1991","lower secondary degree","","","",""
"Never","1991","secondary school degree","","","",""
"Never","1991","college entrance qualification","","","",""
"Never","1991","Other degree","","","",""
"Never","1991","no degree/no degree yet","","","",""
"Daily","1992","lower secondary degree","","","",""
"Daily","1992","secondary school degree","","","",""
"Daily","1992","college entrance qualification","","","",""
