"pli0089","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","no migration background","West Germany","10","","","","1"
"Daily","1990","no migration background","East Germany","","","","","1"
"Daily","1990","direct migration background","West Germany","10","","","","1"
"Daily","1990","direct migration background","East Germany","","","","","1"
"Daily","1990","indirect migration background","West Germany","","","","","1"
"Daily","1990","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1990","no migration background","East Germany","","","","","3"
"Min 1x per month","1990","no migration background","West Germany","613","0.0878748780029836","0.0810688328207157","0.0946809231852514","3"
"Min 1x per month","1990","direct migration background","West Germany","214","0.0818780962133965","0.0711943915810565","0.0925618008457364","3"
"Min 1x per month","1990","direct migration background","East Germany","","","","","3"
"Min 1x per month","1990","indirect migration background","West Germany","43","0.121010870053678","0.0837938988038134","0.158227841303542","3"
"Min 1x per month","1990","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1990","no migration background","East Germany","","","","","2"
"Min 1x per week","1990","no migration background","West Germany","456","0.065353268261163","0.0594118154380175","0.0712947210843084","2"
"Min 1x per week","1990","direct migration background","West Germany","186","0.0591671352957033","0.0499735620292143","0.0683607085621922","2"
"Min 1x per week","1990","direct migration background","East Germany","","","","","2"
"Min 1x per week","1990","indirect migration background","West Germany","42","0.119771565761835","0.0827195667872846","0.156823564736385","2"
"Min 1x per week","1990","indirect migration background","East Germany","","","","","2"
"Never","1990","no migration background","West Germany","3728","0.581162373929061","0.569301768976303","0.59302297888182","5"
"Never","1990","no migration background","East Germany","","","","","5"
"Never","1990","direct migration background","West Germany","1682","0.641304775052712","0.622615912721497","0.659993637383927","5"
"Never","1990","direct migration background","East Germany","","","","","5"
"Never","1990","indirect migration background","West Germany","126","0.486934371137354","0.429897097353281","0.543971644921428","5"
"Never","1990","indirect migration background","East Germany","","","","","5"
"Rarely","1990","no migration background","East Germany","","","","","4"
"Rarely","1990","direct migration background","West Germany","438","0.215148303688321","0.199136118871414","0.231160488505228","4"
"Rarely","1990","no migration background","West Germany","1840","0.263647303818615","0.253055013892968","0.274239593744261","4"
"Rarely","1990","indirect migration background","West Germany","84","0.272283193047133","0.221487287950609","0.323079098143657","4"
"Rarely","1990","direct migration background","East Germany","","","","","4"
"Rarely","1990","indirect migration background","East Germany","","","","","4"
"Daily","1991","no migration background","West Germany","","","","","1"
"Daily","1991","no migration background","East Germany","","","","","1"
"Daily","1991","direct migration background","West Germany","","","","","1"
"Daily","1991","direct migration background","East Germany","","","","","1"
"Daily","1991","indirect migration background","West Germany","","","","","1"
"Daily","1991","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1991","no migration background","East Germany","","","","","3"
"Min 1x per month","1991","no migration background","West Germany","","","","","3"
"Min 1x per month","1991","direct migration background","West Germany","","","","","3"
"Min 1x per month","1991","direct migration background","East Germany","","","","","3"
"Min 1x per month","1991","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1991","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1991","no migration background","West Germany","","","","","2"
"Min 1x per week","1991","no migration background","East Germany","","","","","2"
"Min 1x per week","1991","direct migration background","West Germany","","","","","2"
"Min 1x per week","1991","direct migration background","East Germany","","","","","2"
"Min 1x per week","1991","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1991","indirect migration background","East Germany","","","","","2"
"Never","1991","no migration background","West Germany","","","","","5"
"Never","1991","no migration background","East Germany","","","","","5"
"Never","1991","direct migration background","West Germany","","","","","5"
"Never","1991","direct migration background","East Germany","","","","","5"
"Never","1991","indirect migration background","West Germany","","","","","5"
"Never","1991","indirect migration background","East Germany","","","","","5"
"Rarely","1991","no migration background","East Germany","","","","","4"
"Rarely","1991","no migration background","West Germany","","","","","4"
"Rarely","1991","direct migration background","West Germany","","","","","4"
"Rarely","1991","direct migration background","East Germany","","","","","4"
"Rarely","1991","indirect migration background","West Germany","","","","","4"
"Rarely","1991","indirect migration background","East Germany","","","","","4"
"Daily","1992","no migration background","West Germany","","","","","1"
"Daily","1992","no migration background","East Germany","","","","","1"
"Daily","1992","direct migration background","West Germany","","","","","1"
"Daily","1992","direct migration background","East Germany","","","","","1"
"Daily","1992","indirect migration background","West Germany","","","","","1"
"Daily","1992","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1992","no migration background","East Germany","","","","","3"
"Min 1x per month","1992","no migration background","West Germany","","","","","3"
"Min 1x per month","1992","direct migration background","West Germany","","","","","3"
"Min 1x per month","1992","direct migration background","East Germany","","","","","3"
"Min 1x per month","1992","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1992","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1992","no migration background","West Germany","","","","","2"
"Min 1x per week","1992","direct migration background","West Germany","","","","","2"
"Min 1x per week","1992","no migration background","East Germany","","","","","2"
"Min 1x per week","1992","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1992","direct migration background","East Germany","","","","","2"
"Min 1x per week","1992","indirect migration background","East Germany","","","","","2"
"Never","1992","no migration background","West Germany","","","","","5"
"Never","1992","no migration background","East Germany","","","","","5"
"Never","1992","direct migration background","West Germany","","","","","5"
"Never","1992","direct migration background","East Germany","","","","","5"
"Never","1992","indirect migration background","West Germany","","","","","5"
"Never","1992","indirect migration background","East Germany","","","","","5"
"Rarely","1992","no migration background","West Germany","","","","","4"
"Rarely","1992","no migration background","East Germany","","","","","4"
"Rarely","1992","direct migration background","West Germany","","","","","4"
"Rarely","1992","direct migration background","East Germany","","","","","4"
"Rarely","1992","indirect migration background","West Germany","","","","","4"
"Rarely","1992","indirect migration background","East Germany","","","","","4"
"Daily","1993","no migration background","West Germany","","","","","1"
"Daily","1993","no migration background","East Germany","","","","","1"
"Daily","1993","direct migration background","West Germany","","","","","1"
"Daily","1993","direct migration background","East Germany","","","","","1"
"Daily","1993","indirect migration background","West Germany","","","","","1"
"Daily","1993","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1993","no migration background","West Germany","","","","","3"
"Min 1x per month","1993","no migration background","East Germany","","","","","3"
"Min 1x per month","1993","direct migration background","West Germany","","","","","3"
"Min 1x per month","1993","direct migration background","East Germany","","","","","3"
"Min 1x per month","1993","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1993","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1993","no migration background","West Germany","","","","","2"
"Min 1x per week","1993","no migration background","East Germany","","","","","2"
"Min 1x per week","1993","direct migration background","West Germany","","","","","2"
"Min 1x per week","1993","direct migration background","East Germany","","","","","2"
"Min 1x per week","1993","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1993","indirect migration background","East Germany","","","","","2"
"Never","1993","no migration background","West Germany","","","","","5"
"Never","1993","no migration background","East Germany","","","","","5"
"Never","1993","direct migration background","West Germany","","","","","5"
"Never","1993","direct migration background","East Germany","","","","","5"
"Never","1993","indirect migration background","West Germany","","","","","5"
"Never","1993","indirect migration background","East Germany","","","","","5"
"Rarely","1993","no migration background","West Germany","","","","","4"
"Rarely","1993","no migration background","East Germany","","","","","4"
"Rarely","1993","direct migration background","West Germany","","","","","4"
"Rarely","1993","direct migration background","East Germany","","","","","4"
"Rarely","1993","indirect migration background","West Germany","","","","","4"
"Rarely","1993","indirect migration background","East Germany","","","","","4"
"Daily","1994","no migration background","West Germany","","","","","1"
"Daily","1994","no migration background","East Germany","","","","","1"
"Daily","1994","direct migration background","West Germany","","","","","1"
"Daily","1994","direct migration background","East Germany","","","","","1"
"Daily","1994","indirect migration background","West Germany","","","","","1"
"Daily","1994","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1994","no migration background","East Germany","","","","","3"
