"pli0089","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","Urban Area","2","","","","1"
"Daily","1990","Not Employed","Rural Area","1","","","","1"
"Daily","1990","Employed","Urban Area","11","","","","1"
"Daily","1990","Employed","Rural Area","6","","","","1"
"Min 1x per month","1990","Not Employed","Rural Area","41","0.0555309191872635","0.0380723493342669","0.0729894890402602","3"
"Min 1x per month","1990","Not Employed","Urban Area","160","0.0533273608905916","0.0447952608472767","0.0618594609339066","3"
"Min 1x per month","1990","Employed","Rural Area","124","0.106715825008698","0.0895929729226491","0.123838677094746","3"
"Min 1x per month","1990","Employed","Urban Area","545","0.110654882573397","0.101869530834919","0.119440234311875","3"
"Min 1x per week","1990","Not Employed","Urban Area","102","0.0315920191015349","0.0249500193901998","0.03823401881287","2"
"Min 1x per week","1990","Employed","Rural Area","141","0.11343045204712","0.0958436000711472","0.131017304023093","2"
"Min 1x per week","1990","Employed","Urban Area","415","0.0798133118773843","0.0722237913501288","0.0874028324046397","2"
"Min 1x per week","1990","Not Employed","Rural Area","26","","","","2"
"Never","1990","Not Employed","Urban Area","1934","0.750214292292445","0.733775971925412","0.766652612659478","5"
"Never","1990","Not Employed","Rural Area","461","0.716510117990811","0.682152162983168","0.750868072998454","5"
"Never","1990","Employed","Urban Area","2571","0.496488442051654","0.482486186677161","0.510490697426146","5"
"Never","1990","Employed","Rural Area","570","0.44098693938974","0.41345158230862","0.468522296470861","5"
"Rarely","1990","Employed","Urban Area","1356","0.310172644841211","0.297218443182695","0.323126846499727","4"
"Rarely","1990","Not Employed","Urban Area","466","0.164266395993816","0.15019655213929","0.178336239848342","4"
"Rarely","1990","Not Employed","Rural Area","132","0.191489102464063","0.161493172423781","0.221485032504346","4"
"Rarely","1990","Employed","Rural Area","408","0.337472977585743","0.311249627568083","0.363696327603403","4"
"Daily","1991","Not Employed","Urban Area","","","","","1"
"Daily","1991","Not Employed","Rural Area","","","","","1"
"Daily","1991","Employed","Urban Area","","","","","1"
"Daily","1991","Employed","Rural Area","","","","","1"
"Min 1x per month","1991","Employed","Urban Area","","","","","3"
"Min 1x per month","1991","Not Employed","Rural Area","","","","","3"
"Min 1x per month","1991","Not Employed","Urban Area","","","","","3"
"Min 1x per month","1991","Employed","Rural Area","","","","","3"
"Min 1x per week","1991","Not Employed","Rural Area","","","","","2"
"Min 1x per week","1991","Employed","Rural Area","","","","","2"
"Min 1x per week","1991","Not Employed","Urban Area","","","","","2"
"Min 1x per week","1991","Employed","Urban Area","","","","","2"
"Never","1991","Not Employed","Urban Area","","","","","5"
"Never","1991","Not Employed","Rural Area","","","","","5"
"Never","1991","Employed","Urban Area","","","","","5"
"Never","1991","Employed","Rural Area","","","","","5"
"Rarely","1991","Employed","Rural Area","","","","","4"
"Rarely","1991","Employed","Urban Area","","","","","4"
"Rarely","1991","Not Employed","Rural Area","","","","","4"
"Rarely","1991","Not Employed","Urban Area","","","","","4"
"Daily","1992","Not Employed","Urban Area","","","","","1"
"Daily","1992","Not Employed","Rural Area","","","","","1"
"Daily","1992","Employed","Rural Area","","","","","1"
"Daily","1992","Employed","Urban Area","","","","","1"
"Min 1x per month","1992","Not Employed","Urban Area","","","","","3"
"Min 1x per month","1992","Employed","Rural Area","","","","","3"
"Min 1x per month","1992","Not Employed","Rural Area","","","","","3"
"Min 1x per month","1992","Employed","Urban Area","","","","","3"
"Min 1x per week","1992","Employed","Rural Area","","","","","2"
"Min 1x per week","1992","Not Employed","Rural Area","","","","","2"
"Min 1x per week","1992","Employed","Urban Area","","","","","2"
"Min 1x per week","1992","Not Employed","Urban Area","","","","","2"
"Never","1992","Not Employed","Urban Area","","","","","5"
"Never","1992","Not Employed","Rural Area","","","","","5"
"Never","1992","Employed","Urban Area","","","","","5"
"Never","1992","Employed","Rural Area","","","","","5"
"Rarely","1992","Employed","Rural Area","","","","","4"
"Rarely","1992","Not Employed","Rural Area","","","","","4"
"Rarely","1992","Not Employed","Urban Area","","","","","4"
"Rarely","1992","Employed","Urban Area","","","","","4"
"Daily","1993","Not Employed","Urban Area","","","","","1"
"Daily","1993","Not Employed","Rural Area","","","","","1"
"Daily","1993","Employed","Rural Area","","","","","1"
"Daily","1993","Employed","Urban Area","","","","","1"
"Min 1x per month","1993","Not Employed","Urban Area","","","","","3"
"Min 1x per month","1993","Not Employed","Rural Area","","","","","3"
"Min 1x per month","1993","Employed","Rural Area","","","","","3"
"Min 1x per month","1993","Employed","Urban Area","","","","","3"
"Min 1x per week","1993","Not Employed","Urban Area","","","","","2"
"Min 1x per week","1993","Employed","Urban Area","","","","","2"
"Min 1x per week","1993","Employed","Rural Area","","","","","2"
"Min 1x per week","1993","Not Employed","Rural Area","","","","","2"
"Never","1993","Not Employed","Urban Area","","","","","5"
"Never","1993","Not Employed","Rural Area","","","","","5"
"Never","1993","Employed","Urban Area","","","","","5"
"Never","1993","Employed","Rural Area","","","","","5"
"Rarely","1993","Employed","Urban Area","","","","","4"
"Rarely","1993","Not Employed","Urban Area","","","","","4"
"Rarely","1993","Not Employed","Rural Area","","","","","4"
"Rarely","1993","Employed","Rural Area","","","","","4"
"Daily","1994","Not Employed","Urban Area","","","","","1"
"Daily","1994","Employed","Rural Area","","","","","1"
"Daily","1994","Not Employed","Rural Area","","","","","1"
"Daily","1994","Employed","Urban Area","","","","","1"
"Min 1x per month","1994","Employed","Urban Area","","","","","3"
"Min 1x per month","1994","Employed","Rural Area","","","","","3"
"Min 1x per month","1994","Not Employed","Urban Area","","","","","3"
"Min 1x per month","1994","Not Employed","Rural Area","","","","","3"
"Min 1x per week","1994","Employed","Rural Area","","","","","2"
"Min 1x per week","1994","Employed","Urban Area","","","","","2"
"Min 1x per week","1994","Not Employed","Urban Area","","","","","2"
"Min 1x per week","1994","Not Employed","Rural Area","","","","","2"
"Never","1994","Not Employed","Urban Area","","","","","5"
"Never","1994","Not Employed","Rural Area","","","","","5"
"Never","1994","Employed","Urban Area","","","","","5"
"Never","1994","Employed","Rural Area","","","","","5"
"Rarely","1994","Employed","Rural Area","","","","","4"
"Rarely","1994","Employed","Urban Area","","","","","4"
"Rarely","1994","Not Employed","Urban Area","","","","","4"
"Rarely","1994","Not Employed","Rural Area","","","","","4"
"Daily","1995","Not Employed","Urban Area","4","","","","1"
"Daily","1995","Employed","Rural Area","2","","","","1"
"Daily","1995","Not Employed","Rural Area","2","","","","1"
"Daily","1995","Employed","Urban Area","15","","","","1"
"Min 1x per month","1995","Employed","Rural Area","257","0.0991710379626182","0.0882568843631528","0.110085191562084","3"
"Min 1x per month","1995","Not Employed","Urban Area","172","0.0438176583436856","0.0367499232243642","0.0508853934630071","3"
"Min 1x per month","1995","Employed","Urban Area","508","0.0895625158442572","0.0820801962760433","0.0970448354124711","3"
"Min 1x per month","1995","Not Employed","Rural Area","93","0.0528074765981137","0.0417163818712071","0.0638985713250204","3"
"Min 1x per week","1995","Employed","Rural Area","165","0.0639805206463653","0.0550445282565878","0.0729165130361428","2"
"Min 1x per week","1995","Not Employed","Rural Area","64","0.03559945681145","0.0264106740303012","0.0447882395925987","2"
"Min 1x per week","1995","Employed","Urban Area","335","0.0602218345451834","0.0539882520468107","0.066455417043556","2"
"Min 1x per week","1995","Not Employed","Urban Area","105","0.0354719694609262","0.02908513881352","0.0418588001083325","2"
"Never","1995","Not Employed","Rural Area","1076","0.71581137230721","0.693444244433778","0.738178500180643","5"
"Never","1995","Not Employed","Urban Area","2362","0.753249079674725","0.738362873886527","0.768135285462922","5"
"Never","1995","Employed","Urban Area","3051","0.526041553726563","0.512957925199343","0.539125182253784","5"
"Never","1995","Employed","Rural Area","1479","0.4855239036969","0.46727384058452","0.50377396680928","5"
"Rarely","1995","Not Employed","Rural Area","327","0.194107669591613","0.174493612487095","0.21372172669613","4"
"Rarely","1995","Employed","Rural Area","978","0.350766596312458","0.333341065976788","0.368192126648129","4"
"Rarely","1995","Not Employed","Urban Area","579","0.166423744556734","0.153563014123852","0.179284474989616","4"
