"pli0089","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","in school","","","","","1"
"Daily","1990","16-34 y.","inadequately","1","","","","1"
"Daily","1990","16-34 y.","general elemantary","1","","","","1"
"Daily","1990","16-34 y.","middle vocational","4","","","","1"
"Daily","1990","16-34 y.","vocational + Abi","","","","","1"
"Daily","1990","16-34 y.","higher vocational","1","","","","1"
"Daily","1990","16-34 y.","higher education","","","","","1"
"Daily","1990","35-65 y.","in school","","","","","1"
"Daily","1990","35-65 y.","inadequately","2","","","","1"
"Daily","1990","35-65 y.","general elemantary","4","","","","1"
"Daily","1990","35-65 y.","middle vocational","6","","","","1"
"Daily","1990","35-65 y.","vocational + Abi","","","","","1"
"Daily","1990","35-65 y.","higher vocational","1","","","","1"
"Daily","1990","35-65 y.","higher education","","","","","1"
"Daily","1990","66 and older","in school","","","","","1"
"Daily","1990","66 and older","inadequately","","","","","1"
"Daily","1990","66 and older","general elemantary","","","","","1"
"Daily","1990","66 and older","middle vocational","","","","","1"
"Daily","1990","66 and older","vocational + Abi","","","","","1"
"Daily","1990","66 and older","higher vocational","","","","","1"
"Daily","1990","66 and older","higher education","","","","","1"
"Min 1x per month","1990","66 and older","vocational + Abi","1","","","","3"
"Min 1x per month","1990","35-65 y.","in school","","","","","3"
"Min 1x per month","1990","35-65 y.","inadequately","25","","","","3"
"Min 1x per month","1990","35-65 y.","vocational + Abi","10","","","","3"
"Min 1x per month","1990","66 and older","general elemantary","4","","","","3"
"Min 1x per month","1990","66 and older","middle vocational","17","","","","3"
"Min 1x per month","1990","35-65 y.","general elemantary","77","0.058984306171386","0.0453677951577292","0.0726008171850427","3"
"Min 1x per month","1990","35-65 y.","middle vocational","239","0.104573829423176","0.0920762035474836","0.117071455298869","3"
"Min 1x per month","1990","35-65 y.","higher vocational","23","","","","3"
"Min 1x per month","1990","35-65 y.","higher education","23","","","","3"
"Min 1x per month","1990","66 and older","in school","","","","","3"
"Min 1x per month","1990","66 and older","inadequately","1","","","","3"
"Min 1x per month","1990","66 and older","higher vocational","2","","","","3"
"Min 1x per month","1990","66 and older","higher education","2","","","","3"
"Min 1x per month","1990","16-34 y.","in school","20","","","","3"
"Min 1x per month","1990","16-34 y.","inadequately","17","","","","3"
