"year","e11102","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Employed","Full Time","174.88","175","9567","163","169","180","186","194","174.7","175.06","139","208","175","175"
"2002","Employed","Not Working","","","","","","","","","","","","","",""
"2002","Employed","Part Time","169.94","169","5243","160","164","175","182","193","169.7","170.18","140","205","168","169"
"2002","Not Employed","Full Time","","","","","","","","","","","","","",""
"2002","Not Employed","Not Working","167.9","168","8278","158","162","174","180","189","167.72","168.08","131","205","168","168"
"2002","Not Employed","Part Time","","","","","","","","","","","","","",""
"2003","Employed","Full Time","","","","","","","","","","","","","",""
"2003","Employed","Not Working","","","","","","","","","","","","","",""
"2003","Employed","Part Time","","","","","","","","","","","","","",""
"2003","Not Employed","Full Time","","","","","","","","","","","","","",""
"2003","Not Employed","Not Working","","","","","","","","","","","","","",""
"2003","Not Employed","Part Time","","","","","","","","","","","","","",""
"2004","Employed","Full Time","174.98","175","8445","163","169","180","186","195","174.79","175.17","123","210","175","175"
"2004","Employed","Not Working","","","","","","","","","","","","","",""
"2004","Employed","Part Time","170.02","169","5020","160","164","176","182","193","169.78","170.26","132","207","169","170"
"2004","Not Employed","Full Time","","","","","","","","","","","","","",""
"2004","Not Employed","Not Working","168.29","168","8172","158","162","174","180","190","168.1","168.48","100","205","168","168"
"2004","Not Employed","Part Time","","","","","","","","","","","","","",""
"2005","Employed","Full Time","","","","","","","","","","","","","",""
"2005","Employed","Not Working","","","","","","","","","","","","","",""
"2005","Employed","Part Time","","","","","","","","","","","","","",""
"2005","Not Employed","Full Time","","","","","","","","","","","","","",""
"2005","Not Employed","Not Working","","","","","","","","","","","","","",""
"2005","Not Employed","Part Time","","","","","","","","","","","","","",""
"2006","Employed","Full Time","175.19","176","8431","163","169","181","186","195","175","175.38","115","208","175","176"
"2006","Employed","Not Working","","","","","","","","","","","","","",""
"2006","Employed","Part Time","169.97","169","5022","160","164","176","182","193","169.73","170.21","120","209","168","169"
"2006","Not Employed","Full Time","","","","","","","","","","","","","",""
"2006","Not Employed","Not Working","168.31","168","8565","158","162","174","180","190","168.12","168.5","123","205","168","168"
"2006","Not Employed","Part Time","","","","","","","","","","","","","",""
"2007","Employed","Full Time","","","","","","","","","","","","","",""
"2007","Employed","Not Working","","","","","","","","","","","","","",""
"2007","Employed","Part Time","","","","","","","","","","","","","",""
"2007","Not Employed","Full Time","","","","","","","","","","","","","",""
"2007","Not Employed","Not Working","","","","","","","","","","","","","",""
"2007","Not Employed","Part Time","","","","","","","","","","","","","",""
"2008","Employed","Full Time","175.12","175","7483","163","168","182","186","196","174.91","175.33","84","208","175","176"
"2008","Employed","Not Working","","","","","","","","","","","","","",""
"2008","Employed","Part Time","170.17","169","4419","160","164","176","183","193","169.91","170.43","131","207","168","169"
"2008","Not Employed","Full Time","","","","","","","","","","","","","",""
"2008","Not Employed","Not Working","168.4","168","7472","158","162","175","180","190","168.2","168.6","82","204","168","168"
"2008","Not Employed","Part Time","","","","","","","","","","","","","",""
"2009","Employed","Full Time","","","","","","","","","","","","","",""
"2009","Employed","Not Working","","","","","","","","","","","","","",""
"2009","Employed","Part Time","","","","","","","","","","","","","",""
"2009","Not Employed","Full Time","","","","","","","","","","","","","",""
"2009","Not Employed","Not Working","","","","","","","","","","","","","",""
"2009","Not Employed","Part Time","","","","","","","","","","","","","",""
"2010","Employed","Full Time","175.04","175","6436","163","168","181","186","195","174.81","175.27","87","210","175","176"
"2010","Employed","Not Working","","","","","","","","","","","","","",""
"2010","Employed","Part Time","170.15","169","3900","160","164","176","182","194","169.87","170.43","101","205","168","169"
"2010","Not Employed","Full Time","","","","","","","","","","","","","",""
"2010","Not Employed","Not Working","168.58","168","6342","158","162","175","180","190","168.36","168.8","82","200","168","168"
"2010","Not Employed","Part Time","","","","","","","","","","","","","",""
"2011","Employed","Full Time","","","","","","","","","","","","","",""
"2011","Employed","Not Working","","","","","","","","","","","","","",""
"2011","Employed","Part Time","","","","","","","","","","","","","",""
"2011","Not Employed","Full Time","","","","","","","","","","","","","",""
"2011","Not Employed","Not Working","","","","","","","","","","","","","",""
"2011","Not Employed","Part Time","","","","","","","","","","","","","",""
"2012","Employed","Full Time","174.99","175","7602","163","168","181","186","196","174.78","175.2","80","205","175","175"
"2012","Employed","Not Working","","","","","","","","","","","","","",""
"2012","Employed","Part Time","170.21","169","4865","159","164","176","183","192","169.97","170.45","140","205","168","169"
"2012","Not Employed","Full Time","","","","","","","","","","","","","",""
"2012","Not Employed","Not Working","168.71","168","8056","158","162","175","180","190","168.51","168.91","116","217","168","169"
"2012","Not Employed","Part Time","","","","","","","","","","","","","",""
"2013","Employed","Full Time","","","","","","","","","","","","","",""
"2013","Employed","Not Working","","","","","","","","","","","","","",""
"2013","Employed","Part Time","","","","","","","","","","","","","",""
"2013","Not Employed","Full Time","","","","","","","","","","","","","",""
"2013","Not Employed","Not Working","","","","","","","","","","","","","",""
"2013","Not Employed","Part Time","","","","","","","","","","","","","",""
"2014","Employed","Full Time","175.33","175","10206","163","169","182","187","196","175.15","175.51","107","217","175","176"
"2014","Employed","Not Working","","","","","","","","","","","","","",""
"2014","Employed","Part Time","170.22","169","7553","160","164","176","182","192","170.02","170.42","93","207","168","169"
"2014","Not Employed","Full Time","","","","","","","","","","","","","",""
"2014","Not Employed","Not Working","168.92","168","9369","158","162","175","181","192","168.73","169.11","116","203","168","169"
"2014","Not Employed","Part Time","","","","","","","","","","","","","",""
"2015","Employed","Full Time","","","","","","","","","","","","","",""
"2015","Employed","Not Working","","","","","","","","","","","","","",""
"2015","Employed","Part Time","","","","","","","","","","","","","",""
"2015","Not Employed","Full Time","","","","","","","","","","","","","",""
"2015","Not Employed","Not Working","","","","","","","","","","","","","",""
"2015","Not Employed","Part Time","","","","","","","","","","","","","",""
"2016","Employed","Full Time","175.24","175","9151","163","168","182","187","196","175.05","175.43","120","210","175","176"
"2016","Employed","Not Working","","","","","","","","","","","","","",""
"2016","Employed","Part Time","170.35","170","6944","160","164","176","183","194","170.14","170.56","117","220","168","169"
"2016","Not Employed","Full Time","","","","","","","","","","","","","",""
"2016","Not Employed","Not Working","169.17","168","8104","158","163","176","182","192","168.97","169.37","115","204","168","169"
"2016","Not Employed","Part Time","","","","","","","","","","","","","",""
"2017","Employed","Full Time","","","","","","","","","","","","","",""
"2017","Employed","Not Working","","","","","","","","","","","","","",""
"2017","Employed","Part Time","","","","","","","","","","","","","",""
"2017","Not Employed","Full Time","","","","","","","","","","","","","",""
"2017","Not Employed","Not Working","","","","","","","","","","","","","",""
"2017","Not Employed","Part Time","","","","","","","","","","","","","",""
"2018","Employed","Full Time","175.39","176","10060","163","168","182","187","196","175.21","175.57","120","215","175","176"
"2018","Employed","Not Working","","","","","","","","","","","","","",""
"2018","Employed","Part Time","170.67","170","7882","160","164","177","184","195","170.47","170.87","105","210","169","170"
"2018","Not Employed","Full Time","","","","","","","","","","","","","",""
"2018","Not Employed","Not Working","168.89","168","11542","158","162","175","181","191","168.72","169.06","115","205","169","170"
"2018","Not Employed","Part Time","","","","","","","","","","","","","",""
