"pli0083","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","lower secondary degree","1603","0.89371666579198","0.879486721132872","0.907946610451089"
"Daily","1990","Not Employed","secondary school degree","373","0.830651249234464","0.796414069065112","0.864888429403817"
"Daily","1990","Not Employed","college entrance qualification","215","0.699602562685955","0.649057544488958","0.750147580882952"
"Daily","1990","Not Employed","Other degree","220","0.876830694863599","0.836336110251189","0.917325279476008"
"Daily","1990","Not Employed","no degree/no degree yet","345","0.754402624214895","0.713670890004752","0.795134358425039"
"Daily","1990","Employed","lower secondary degree","2188","0.801687569708895","0.786738787367285","0.816636352050504"
"Daily","1990","Employed","secondary school degree","869","0.713014585866566","0.687662483379786","0.738366688353346"
"Daily","1990","Employed","college entrance qualification","559","0.627331490635007","0.595439793454829","0.659223187815185"
"Daily","1990","Employed","Other degree","601","0.819240977993039","0.791773534279927","0.846708421706151"
"Daily","1990","Employed","no degree/no degree yet","322","0.784104981137718","0.744230517471323","0.823979444804114"
"Min 1x per week","1990","Not Employed","lower secondary degree","115","0.0557406767073366","0.0451480795303601","0.066333273884313"
"Min 1x per week","1990","Not Employed","secondary school degree","62","0.117089201838358","0.0877387720413525","0.146439631635363"
"Min 1x per week","1990","Not Employed","college entrance qualification","69","0.203575885915576","0.159180287226146","0.247971484605007"
"Min 1x per week","1990","Not Employed","Other degree","24","","",""
"Min 1x per week","1990","Not Employed","no degree/no degree yet","64","0.194615356274697","0.157151742278998","0.232078970270395"
"Min 1x per week","1990","Employed","lower secondary degree","396","0.139870321195351","0.126866438957562","0.152874203433141"
"Min 1x per week","1990","Employed","secondary school degree","267","0.212214484998088","0.189299141583213","0.235129828412964"
"Min 1x per week","1990","Employed","college entrance qualification","225","0.26058030029103","0.231627935787425","0.289532664794636"
"Min 1x per week","1990","Employed","Other degree","115","0.135409864644258","0.110987219004466","0.159832510284049"
"Min 1x per week","1990","Employed","no degree/no degree yet","57","0.133656518153327","0.100678347217571","0.166634689089082"
"Min 1x per month","1990","Not Employed","lower secondary degree","23","","",""
"Min 1x per month","1990","Not Employed","secondary school degree","5","","",""
"Min 1x per month","1990","Not Employed","college entrance qualification","6","","",""
"Min 1x per month","1990","Not Employed","Other degree","2","","",""
"Min 1x per month","1990","Not Employed","no degree/no degree yet","8","","",""
"Min 1x per month","1990","Employed","lower secondary degree","38","0.0160824600537245","0.0113663506942227","0.0207985694132263"
"Min 1x per month","1990","Employed","secondary school degree","34","0.0299631793886323","0.0204083503790307","0.0395180083982338"
"Min 1x per month","1990","Employed","college entrance qualification","23","","",""
"Min 1x per month","1990","Employed","Other degree","5","","",""
"Min 1x per month","1990","Employed","no degree/no degree yet","5","","",""
"Rarely","1990","Not Employed","lower secondary degree","43","0.0256575027537464","0.0183573203362177","0.0329576851712752"
"Rarely","1990","Not Employed","secondary school degree","15","","",""
"Rarely","1990","Not Employed","college entrance qualification","22","","",""
"Rarely","1990","Not Employed","Other degree","6","","",""
"Rarely","1990","Not Employed","no degree/no degree yet","7","","",""
"Rarely","1990","Employed","lower secondary degree","93","0.0357090497513522","0.0287520583375102","0.0426660411651941"
"Rarely","1990","Employed","secondary school degree","48","0.0397418973581162","0.0287934344496275","0.0506903602666048"
"Rarely","1990","Employed","college entrance qualification","59","0.0643327646468751","0.0481503040658458","0.0805152252279043"
