"pli0083","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","Male","1782","0.830058493622597","0.814234228756603","0.845882758488592"
"Daily","1990","lower secondary degree","Female","2009","0.855322232528088","0.841162726793153","0.869481738263022"
"Daily","1990","secondary school degree","Male","505","0.749949967808981","0.717638763274024","0.782261172343938"
"Daily","1990","secondary school degree","Female","737","0.749043354482667","0.722090316285115","0.775996392680219"
"Daily","1990","college entrance qualification","Male","491","0.667372165350861","0.633494223124649","0.701250107577073"
"Daily","1990","college entrance qualification","Female","283","0.614680734937291","0.570012290122873","0.659349179751709"
"Daily","1990","Other degree","Male","487","0.836953172826045","0.807220941684733","0.866685403967357"
"Daily","1990","Other degree","Female","334","0.829754733713471","0.793550420590007","0.865959046836936"
"Daily","1990","no degree/no degree yet","Male","305","0.828140840671345","0.790109587680194","0.866172093662496"
"Daily","1990","no degree/no degree yet","Female","362","0.700506053261157","0.658648952271952","0.742363154250361"
"Min 1x per week","1990","lower secondary degree","Male","281","0.116928016172292","0.103389321101521","0.130466711243062"
"Min 1x per week","1990","lower secondary degree","Female","230","0.0883222920159975","0.0769003974415071","0.0997441865904879"
"Min 1x per week","1990","secondary school degree","Male","137","0.18382979922056","0.154928200345343","0.212731398095778"
"Min 1x per week","1990","secondary school degree","Female","192","0.182086905276569","0.158095933665057","0.20607787688808"
"Min 1x per week","1990","college entrance qualification","Male","174","0.233910617173955","0.203472458735733","0.264348775612176"
"Min 1x per week","1990","college entrance qualification","Female","120","0.262594659736194","0.222205784978827","0.30298353449356"
"Min 1x per week","1990","Other degree","Male","78","0.113886283568785","0.0883180229529444","0.139454544184627"
"Min 1x per week","1990","Other degree","Female","61","0.127575111215214","0.0954388816111927","0.159711340819235"
"Min 1x per week","1990","no degree/no degree yet","Male","54","0.125421412194441","0.0920336390106492","0.158809185378232"
"Min 1x per week","1990","no degree/no degree yet","Female","67","0.220884326651769","0.182974430388606","0.258794222914932"
"Min 1x per month","1990","lower secondary degree","Male","28","","",""
"Min 1x per month","1990","lower secondary degree","Female","33","0.0146308987152332","0.00979789325456279","0.0194639041759037"
"Min 1x per month","1990","secondary school degree","Male","19","","",""
"Min 1x per month","1990","secondary school degree","Female","20","","",""
"Min 1x per month","1990","college entrance qualification","Male","17","","",""
"Min 1x per month","1990","college entrance qualification","Female","12","","",""
"Min 1x per month","1990","Other degree","Male","5","","",""
"Min 1x per month","1990","Other degree","Female","2","","",""
"Min 1x per month","1990","no degree/no degree yet","Male","7","","",""
"Min 1x per month","1990","no degree/no degree yet","Female","6","","",""
"Rarely","1990","lower secondary degree","Male","61","0.032551831848788","0.0250749411346549","0.0400287225629211"
"Rarely","1990","lower secondary degree","Female","75","0.0299001953132103","0.0230448784204598","0.0367555122059608"
"Rarely","1990","secondary school degree","Male","25","","",""
"Rarely","1990","secondary school degree","Female","38","0.0346970479996649","0.0233199112179999","0.04607418478133"
"Rarely","1990","college entrance qualification","Male","48","0.0631259514556624","0.0456396380794038","0.080612264831921"
"Rarely","1990","college entrance qualification","Female","33","0.0676385041506516","0.0445893585203296","0.0906876497809737"
"Rarely","1990","Other degree","Male","12","","",""
"Rarely","1990","Other degree","Female","13","","",""
"Rarely","1990","no degree/no degree yet","Male","3","","",""
"Rarely","1990","no degree/no degree yet","Female","18","","",""
"Never","1990","lower secondary degree","Male","12","","",""
"Never","1990","lower secondary degree","Female","24","","",""
"Never","1990","secondary school degree","Male","4","","",""
"Never","1990","secondary school degree","Female","7","","",""
"Never","1990","college entrance qualification","Male","13","","",""
"Never","1990","college entrance qualification","Female","8","","",""
"Never","1990","Other degree","Male","11","","",""
"Never","1990","Other degree","Female","4","","",""
"Never","1990","no degree/no degree yet","Male","9","","",""
"Never","1990","no degree/no degree yet","Female","7","","",""
"Daily","1991","lower secondary degree","Male","","","",""
"Daily","1991","lower secondary degree","Female","","","",""
"Daily","1991","secondary school degree","Male","","","",""
"Daily","1991","secondary school degree","Female","","","",""
"Daily","1991","college entrance qualification","Male","","","",""
"Daily","1991","college entrance qualification","Female","","","",""
"Daily","1991","Other degree","Male","","","",""
"Daily","1991","Other degree","Female","","","",""
"Daily","1991","no degree/no degree yet","Male","","","",""
"Daily","1991","no degree/no degree yet","Female","","","",""
"Min 1x per week","1991","lower secondary degree","Male","","","",""
"Min 1x per week","1991","lower secondary degree","Female","","","",""
"Min 1x per week","1991","secondary school degree","Male","","","",""
"Min 1x per week","1991","secondary school degree","Female","","","",""
"Min 1x per week","1991","college entrance qualification","Male","","","",""
"Min 1x per week","1991","college entrance qualification","Female","","","",""
"Min 1x per week","1991","Other degree","Male","","","",""
"Min 1x per week","1991","Other degree","Female","","","",""
"Min 1x per week","1991","no degree/no degree yet","Male","","","",""
"Min 1x per week","1991","no degree/no degree yet","Female","","","",""
"Min 1x per month","1991","lower secondary degree","Male","","","",""
"Min 1x per month","1991","lower secondary degree","Female","","","",""
"Min 1x per month","1991","secondary school degree","Male","","","",""
"Min 1x per month","1991","secondary school degree","Female","","","",""
"Min 1x per month","1991","college entrance qualification","Male","","","",""
"Min 1x per month","1991","college entrance qualification","Female","","","",""
"Min 1x per month","1991","Other degree","Male","","","",""
"Min 1x per month","1991","Other degree","Female","","","",""
"Min 1x per month","1991","no degree/no degree yet","Male","","","",""
"Min 1x per month","1991","no degree/no degree yet","Female","","","",""
"Rarely","1991","lower secondary degree","Male","","","",""
"Rarely","1991","lower secondary degree","Female","","","",""
"Rarely","1991","secondary school degree","Male","","","",""
"Rarely","1991","secondary school degree","Female","","","",""
"Rarely","1991","college entrance qualification","Male","","","",""
"Rarely","1991","college entrance qualification","Female","","","",""
"Rarely","1991","Other degree","Male","","","",""
"Rarely","1991","Other degree","Female","","","",""
"Rarely","1991","no degree/no degree yet","Male","","","",""
"Rarely","1991","no degree/no degree yet","Female","","","",""
"Never","1991","lower secondary degree","Male","","","",""
"Never","1991","lower secondary degree","Female","","","",""
"Never","1991","secondary school degree","Male","","","",""
"Never","1991","secondary school degree","Female","","","",""
"Never","1991","college entrance qualification","Male","","","",""
"Never","1991","college entrance qualification","Female","","","",""
"Never","1991","Other degree","Male","","","",""
"Never","1991","Other degree","Female","","","",""
"Never","1991","no degree/no degree yet","Male","","","",""
"Never","1991","no degree/no degree yet","Female","","","",""
"Daily","1992","lower secondary degree","Male","","","",""
"Daily","1992","lower secondary degree","Female","","","",""
"Daily","1992","secondary school degree","Male","","","",""
"Daily","1992","secondary school degree","Female","","","",""
"Daily","1992","college entrance qualification","Male","","","",""
"Daily","1992","college entrance qualification","Female","","","",""
"Daily","1992","Other degree","Male","","","",""
"Daily","1992","Other degree","Female","","","",""
"Daily","1992","no degree/no degree yet","Male","","","",""
"Daily","1992","no degree/no degree yet","Female","","","",""
"Min 1x per week","1992","lower secondary degree","Male","","","",""
"Min 1x per week","1992","lower secondary degree","Female","","","",""
"Min 1x per week","1992","secondary school degree","Male","","","",""
"Min 1x per week","1992","secondary school degree","Female","","","",""
"Min 1x per week","1992","college entrance qualification","Male","","","",""
"Min 1x per week","1992","college entrance qualification","Female","","","",""
"Min 1x per week","1992","Other degree","Male","","","",""
"Min 1x per week","1992","Other degree","Female","","","",""
"Min 1x per week","1992","no degree/no degree yet","Male","","","",""
"Min 1x per week","1992","no degree/no degree yet","Female","","","",""
"Min 1x per month","1992","lower secondary degree","Male","","","",""
"Min 1x per month","1992","lower secondary degree","Female","","","",""
"Min 1x per month","1992","secondary school degree","Male","","","",""
"Min 1x per month","1992","secondary school degree","Female","","","",""
"Min 1x per month","1992","college entrance qualification","Male","","","",""
"Min 1x per month","1992","college entrance qualification","Female","","","",""
"Min 1x per month","1992","Other degree","Male","","","",""
"Min 1x per month","1992","Other degree","Female","","","",""
"Min 1x per month","1992","no degree/no degree yet","Male","","","",""
"Min 1x per month","1992","no degree/no degree yet","Female","","","",""
"Rarely","1992","lower secondary degree","Male","","","",""
"Rarely","1992","lower secondary degree","Female","","","",""
"Rarely","1992","secondary school degree","Male","","","",""
"Rarely","1992","secondary school degree","Female","","","",""
"Rarely","1992","college entrance qualification","Male","","","",""
"Rarely","1992","college entrance qualification","Female","","","",""
"Rarely","1992","Other degree","Male","","","",""
"Rarely","1992","Other degree","Female","","","",""
"Rarely","1992","no degree/no degree yet","Male","","","",""
"Rarely","1992","no degree/no degree yet","Female","","","",""
"Never","1992","lower secondary degree","Male","","","",""
"Never","1992","lower secondary degree","Female","","","",""
"Never","1992","secondary school degree","Male","","","",""
"Never","1992","secondary school degree","Female","","","",""
"Never","1992","college entrance qualification","Male","","","",""
"Never","1992","college entrance qualification","Female","","","",""
"Never","1992","Other degree","Male","","","",""
"Never","1992","Other degree","Female","","","",""
"Never","1992","no degree/no degree yet","Male","","","",""
"Never","1992","no degree/no degree yet","Female","","","",""
"Daily","1993","lower secondary degree","Male","","","",""
"Daily","1993","lower secondary degree","Female","","","",""
"Daily","1993","secondary school degree","Male","","","",""
"Daily","1993","secondary school degree","Female","","","",""
"Daily","1993","college entrance qualification","Male","","","",""
"Daily","1993","college entrance qualification","Female","","","",""
"Daily","1993","Other degree","Male","","","",""
"Daily","1993","Other degree","Female","","","",""
"Daily","1993","no degree/no degree yet","Male","","","",""
"Daily","1993","no degree/no degree yet","Female","","","",""
"Min 1x per week","1993","lower secondary degree","Male","","","",""
"Min 1x per week","1993","lower secondary degree","Female","","","",""
"Min 1x per week","1993","secondary school degree","Male","","","",""
"Min 1x per week","1993","secondary school degree","Female","","","",""
"Min 1x per week","1993","college entrance qualification","Male","","","",""
"Min 1x per week","1993","college entrance qualification","Female","","","",""
"Min 1x per week","1993","Other degree","Male","","","",""
"Min 1x per week","1993","Other degree","Female","","","",""
"Min 1x per week","1993","no degree/no degree yet","Male","","","",""
"Min 1x per week","1993","no degree/no degree yet","Female","","","",""
"Min 1x per month","1993","lower secondary degree","Male","","","",""
"Min 1x per month","1993","lower secondary degree","Female","","","",""
"Min 1x per month","1993","secondary school degree","Male","","","",""
"Min 1x per month","1993","secondary school degree","Female","","","",""
"Min 1x per month","1993","college entrance qualification","Male","","","",""
"Min 1x per month","1993","college entrance qualification","Female","","","",""
"Min 1x per month","1993","Other degree","Male","","","",""
"Min 1x per month","1993","Other degree","Female","","","",""
"Min 1x per month","1993","no degree/no degree yet","Male","","","",""
"Min 1x per month","1993","no degree/no degree yet","Female","","","",""
"Rarely","1993","lower secondary degree","Male","","","",""
"Rarely","1993","lower secondary degree","Female","","","",""
"Rarely","1993","secondary school degree","Male","","","",""
