"pli0083","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","(0) in school","Male","80","0.876734159930043","0.809190789404011","0.944277530456075"
"Daily","1990","(0) in school","Female","43","0.485368537180944","0.368288446961507","0.602448627400381"
"Daily","1990","(1a) inadequately completed","Male","228","0.788092429188995","0.74113942220428","0.83504543617371"
"Daily","1990","(1a) inadequately completed","Female","322","0.810061273227457","0.771280406399003","0.848842140055912"
"Daily","1990","(1b) general elementary school","Male","610","0.834279123624264","0.807895762568192","0.860662484680335"
"Daily","1990","(1b) general elementary school","Female","1150","0.852492091494755","0.833755451770499","0.871228731219011"
"Daily","1990","(1c) basic vocational qualification","Male","1565","0.830013673090211","0.813011788133737","0.847015558046684"
"Daily","1990","(1c) basic vocational qualification","Female","1138","0.855504661619061","0.836714736160716","0.874294587077406"
"Daily","1990","(2b) intermediate general qualification","Male","86","0.722975073988971","0.642903465277677","0.803046682700265"
"Daily","1990","(2b) intermediate general qualification","Female","175","0.724275303460078","0.667738383875723","0.780812223044433"
"Daily","1990","(2a) intermediate vocational","Male","394","0.766380626729362","0.730390985559531","0.802370267899193"
"Daily","1990","(2a) intermediate vocational","Female","550","0.758594821691631","0.727657504555118","0.789532138828144"
"Daily","1990","(2c_gen) general maturity certificate","Male","135","0.635655825951332","0.570097199046485","0.70121445285618"
"Daily","1990","(2c_gen) general maturity certificate","Female","79","0.568866756302369","0.484701412102395","0.653032100502342"
"Daily","1990","(2c_voc) vocational maturity certificate","Male","165","0.702440333387011","0.643483540215737","0.761397126558285"
"Daily","1990","(2c_voc) vocational maturity certificate","Female","122","0.599783624111616","0.528407405989505","0.671159842233728"
"Daily","1990","(3a) lower tertiary education","Male","119","0.68978055546678","0.620649394659279","0.75891171627428"
"Daily","1990","(3a) lower tertiary education","Female","45","0.71150898260111","0.60136830246395","0.82164966273827"
"Daily","1990","(3b) higher tertiary education","Male","193","0.654022554940356","0.599832138055606","0.708212971825106"
"Daily","1990","(3b) higher tertiary education","Female","104","0.649589126464579","0.57612103734184","0.723057215587318"
"Min 1x per week","1990","(0) in school","Male","9","","",""
"Min 1x per week","1990","(0) in school","Female","21","","",""
"Min 1x per week","1990","(1a) inadequately completed","Male","46","0.151494209944331","0.110300868760987","0.192687551127675"
"Min 1x per week","1990","(1a) inadequately completed","Female","46","0.113666500051871","0.0822855099572288","0.145047490146512"
"Min 1x per week","1990","(1b) general elementary school","Male","111","0.101886401418014","0.0804224552789723","0.123350347557055"
"Min 1x per week","1990","(1b) general elementary school","Female","143","0.0838341537053914","0.06919093950745","0.0984773679033327"
"Min 1x per week","1990","(1c) basic vocational qualification","Male","229","0.119402823526025","0.104725617259403","0.134080029792647"
"Min 1x per week","1990","(1c) basic vocational qualification","Female","142","0.0957795266236829","0.0800519988770022","0.111507054370364"
"Min 1x per week","1990","(2b) intermediate general qualification","Male","24","","",""
"Min 1x per week","1990","(2b) intermediate general qualification","Female","46","0.185220855244345","0.136072683766792","0.234369026721897"
"Min 1x per week","1990","(2a) intermediate vocational","Male","104","0.177519201128458","0.145018975062042","0.210019427194875"
"Min 1x per week","1990","(2a) intermediate vocational","Female","143","0.182547109704888","0.154620175046991","0.210474044362784"
"Min 1x per week","1990","(2c_gen) general maturity certificate","Male","52","0.256136811507408","0.196673998375161","0.315599624639655"
"Min 1x per week","1990","(2c_gen) general maturity certificate","Female","42","0.318699480667317","0.239507298836138","0.397891662498497"
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","Male","51","0.239891168141943","0.184824712997502","0.294957623286383"
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","Female","38","0.266522041973974","0.202109727703654","0.330934356244294"
"Min 1x per week","1990","(3a) lower tertiary education","Male","39","0.243835207986595","0.179663987248601","0.30800642872459"
"Min 1x per week","1990","(3a) lower tertiary education","Female","12","","",""
"Min 1x per week","1990","(3b) higher tertiary education","Male","61","0.205717088021209","0.159667576337488","0.251766599704931"
"Min 1x per week","1990","(3b) higher tertiary education","Female","38","0.222162385183974","0.158149070068574","0.286175700299374"
"Min 1x per month","1990","(0) in school","Male","2","","",""
"Min 1x per month","1990","(0) in school","Female","2","","",""
"Min 1x per month","1990","(1a) inadequately completed","Male","5","","",""
"Min 1x per month","1990","(1a) inadequately completed","Female","4","","",""
"Min 1x per month","1990","(1b) general elementary school","Male","12","","",""
"Min 1x per month","1990","(1b) general elementary school","Female","16","","",""
"Min 1x per month","1990","(1c) basic vocational qualification","Male","21","","",""
"Min 1x per month","1990","(1c) basic vocational qualification","Female","19","","",""
"Min 1x per month","1990","(2b) intermediate general qualification","Male","3","","",""
"Min 1x per month","1990","(2b) intermediate general qualification","Female","6","","",""
"Min 1x per month","1990","(2a) intermediate vocational","Male","16","","",""
"Min 1x per month","1990","(2a) intermediate vocational","Female","13","","",""
"Min 1x per month","1990","(2c_gen) general maturity certificate","Male","2","","",""
"Min 1x per month","1990","(2c_gen) general maturity certificate","Female","2","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","Male","5","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","Female","8","","",""
"Min 1x per month","1990","(3a) lower tertiary education","Male","1","","",""
"Min 1x per month","1990","(3a) lower tertiary education","Female","","","",""
"Min 1x per month","1990","(3b) higher tertiary education","Male","11","","",""
"Min 1x per month","1990","(3b) higher tertiary education","Female","4","","",""
"Rarely","1990","(0) in school","Male","","","",""
"Rarely","1990","(0) in school","Female","4","","",""
"Rarely","1990","(1a) inadequately completed","Male","3","","",""
"Rarely","1990","(1a) inadequately completed","Female","14","","",""
"Rarely","1990","(1b) general elementary school","Male","20","","",""
"Rarely","1990","(1b) general elementary school","Female","47","0.0325853892716185","0.0232042269211369","0.0419665516221001"
"Rarely","1990","(1c) basic vocational qualification","Male","51","0.0320247628254815","0.0240554194506177","0.0399941062003453"
"Rarely","1990","(1c) basic vocational qualification","Female","39","0.0275190510554094","0.0187763782156558","0.036261723895163"
"Rarely","1990","(2b) intermediate general qualification","Male","7","","",""
"Rarely","1990","(2b) intermediate general qualification","Female","11","","",""
"Rarely","1990","(2a) intermediate vocational","Male","13","","",""
"Rarely","1990","(2a) intermediate vocational","Female","26","","",""
"Rarely","1990","(2c_gen) general maturity certificate","Male","12","","",""
"Rarely","1990","(2c_gen) general maturity certificate","Female","9","","",""
"Rarely","1990","(2c_voc) vocational maturity certificate","Male","8","","",""
"Rarely","1990","(2c_voc) vocational maturity certificate","Female","10","","",""
"Rarely","1990","(3a) lower tertiary education","Male","10","","",""
"Rarely","1990","(3a) lower tertiary education","Female","5","","",""
"Rarely","1990","(3b) higher tertiary education","Male","25","","",""
"Rarely","1990","(3b) higher tertiary education","Female","12","","",""
"Never","1990","(0) in school","Male","","","",""
"Never","1990","(0) in school","Female","","","",""
"Never","1990","(1a) inadequately completed","Male","9","","",""
"Never","1990","(1a) inadequately completed","Female","7","","",""
"Never","1990","(1b) general elementary school","Male","10","","",""
"Never","1990","(1b) general elementary school","Female","20","","",""
"Never","1990","(1c) basic vocational qualification","Male","9","","",""
"Never","1990","(1c) basic vocational qualification","Female","7","","",""
"Never","1990","(2b) intermediate general qualification","Male","","","",""
"Never","1990","(2b) intermediate general qualification","Female","2","","",""
"Never","1990","(2a) intermediate vocational","Male","4","","",""
"Never","1990","(2a) intermediate vocational","Female","3","","",""
"Never","1990","(2c_gen) general maturity certificate","Male","6","","",""
"Never","1990","(2c_gen) general maturity certificate","Female","1","","",""
"Never","1990","(2c_voc) vocational maturity certificate","Male","2","","",""
"Never","1990","(2c_voc) vocational maturity certificate","Female","3","","",""
"Never","1990","(3a) lower tertiary education","Male","3","","",""
"Never","1990","(3a) lower tertiary education","Female","3","","",""
"Never","1990","(3b) higher tertiary education","Male","6","","",""
"Never","1990","(3b) higher tertiary education","Female","4","","",""
"Daily","1991","(0) in school","Male","","","",""
"Daily","1991","(0) in school","Female","","","",""
"Daily","1991","(1a) inadequately completed","Male","","","",""
"Daily","1991","(1a) inadequately completed","Female","","","",""
"Daily","1991","(1b) general elementary school","Male","","","",""
"Daily","1991","(1b) general elementary school","Female","","","",""
"Daily","1991","(1c) basic vocational qualification","Male","","","",""
"Daily","1991","(1c) basic vocational qualification","Female","","","",""
"Daily","1991","(2b) intermediate general qualification","Male","","","",""
"Daily","1991","(2b) intermediate general qualification","Female","","","",""
"Daily","1991","(2a) intermediate vocational","Male","","","",""
"Daily","1991","(2a) intermediate vocational","Female","","","",""
"Daily","1991","(2c_gen) general maturity certificate","Male","","","",""
"Daily","1991","(2c_gen) general maturity certificate","Female","","","",""
"Daily","1991","(2c_voc) vocational maturity certificate","Male","","","",""
"Daily","1991","(2c_voc) vocational maturity certificate","Female","","","",""
"Daily","1991","(3a) lower tertiary education","Male","","","",""
"Daily","1991","(3a) lower tertiary education","Female","","","",""
"Daily","1991","(3b) higher tertiary education","Male","","","",""
