"pli0083","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","lower secondary degree","133","0.868996685234019","0.815879819071291","0.922113551396746"
"Daily","1990","Schleswig-Holstein","secondary school degree","49","0.781635760285397","0.681964696754149","0.881306823816645"
"Daily","1990","Schleswig-Holstein","college entrance qualification","11","","",""
"Daily","1990","Schleswig-Holstein","Other degree","13","","",""
"Daily","1990","Schleswig-Holstein","no degree/no degree yet","10","","",""
"Daily","1990","Hamburg","lower secondary degree","66","0.862706700968224","0.784818133661892","0.940595268274555"
"Daily","1990","Hamburg","secondary school degree","24","","",""
"Daily","1990","Hamburg","college entrance qualification","15","","",""
"Daily","1990","Hamburg","Other degree","21","","",""
"Daily","1990","Hamburg","no degree/no degree yet","7","","",""
"Daily","1990","Lower Saxony","lower secondary degree","422","0.856438177549667","0.8257951558132","0.887081199286134"
"Daily","1990","Lower Saxony","secondary school degree","156","0.730039566949805","0.67083646353965","0.78924267035996"
"Daily","1990","Lower Saxony","college entrance qualification","82","0.645717397188933","0.563498324938778","0.727936469439089"
"Daily","1990","Lower Saxony","Other degree","52","0.930454160447743","0.864987956000341","0.995920364895144"
"Daily","1990","Lower Saxony","no degree/no degree yet","47","0.84813140237657","0.754133180018985","0.942129624734155"
"Daily","1990","Bremen","lower secondary degree","49","0.893445193816141","0.81263343524028","0.974256952392002"
"Daily","1990","Bremen","secondary school degree","19","","",""
"Daily","1990","Bremen","college entrance qualification","8","","",""
"Daily","1990","Bremen","Other degree","5","","",""
"Daily","1990","Bremen","no degree/no degree yet","2","","",""
"Daily","1990","North Rhine-Westphalia","lower secondary degree","998","0.869809645129066","0.850368943083596","0.889250347174535"
"Daily","1990","North Rhine-Westphalia","secondary school degree","350","0.764576366068568","0.725593132777787","0.803559599359348"
"Daily","1990","North Rhine-Westphalia","college entrance qualification","250","0.656339113588358","0.608141795685031","0.704536431491686"
"Daily","1990","North Rhine-Westphalia","Other degree","210","0.834298421987639","0.788663003860427","0.879933840114851"
"Daily","1990","North Rhine-Westphalia","no degree/no degree yet","206","0.769244836404534","0.718326028723804","0.820163644085264"
"Daily","1990","Hesse","lower secondary degree","330","0.83159028039646","0.795541863317664","0.867638697475255"
"Daily","1990","Hesse","secondary school degree","129","0.797658851787628","0.737089149603004","0.858228553972253"
"Daily","1990","Hesse","college entrance qualification","94","0.715260780350628","0.639414464867462","0.791107095833793"
"Daily","1990","Hesse","Other degree","101","0.758286947149188","0.685799545290953","0.830774349007423"
"Daily","1990","Hesse","no degree/no degree yet","82","0.698439677358207","0.611482035614054","0.78539731910236"
"Daily","1990","Rhineland-Palatinate,Saarland","lower secondary degree","353","0.873719222288167","0.841527737660896","0.905910706915438"
"Daily","1990","Rhineland-Palatinate,Saarland","secondary school degree","62","0.672650159010013","0.575704687320819","0.769595630699206"
"Daily","1990","Rhineland-Palatinate,Saarland","college entrance qualification","44","0.562205557396308","0.447610857368793","0.676800257423822"
"Daily","1990","Rhineland-Palatinate,Saarland","Other degree","33","0.822928590946335","0.707482630001975","0.938374551890696"
