"pli0083","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","in school","123","0.709184054978409","0.639034690388496","0.779333419568323"
"Daily","1990","16-34 y.","inadequately","137","0.892220073608782","0.844019249325392","0.940420897892171"
"Daily","1990","16-34 y.","general elemantary","713","0.76658590977759","0.739457858127456","0.793713961427723"
"Daily","1990","16-34 y.","middle vocational","1292","0.731806248565225","0.711026113998392","0.752586383132058"
"Daily","1990","16-34 y.","vocational + Abi","102","0.519484107648167","0.44325056017608","0.595717655120254"
"Daily","1990","16-34 y.","higher vocational","109","0.651219830542089","0.578501178563128","0.72393848252105"
"Daily","1990","16-34 y.","higher education","109","0.558325055877787","0.488980891622287","0.627669220133288"
"Daily","1990","35-65 y.","in school","","","",""
"Daily","1990","35-65 y.","inadequately","360","0.768617557491164","0.729910868697091","0.807324246285236"
"Daily","1990","35-65 y.","general elemantary","940","0.835699208518293","0.8143015291945","0.857096887842086"
"Daily","1990","35-65 y.","middle vocational","1908","0.822077343807168","0.80646101947927","0.837693668135065"
"Daily","1990","35-65 y.","vocational + Abi","80","0.731871413503805","0.647541023303216","0.816201803704395"
"Daily","1990","35-65 y.","higher vocational","220","0.790689802639702","0.742953997514008","0.838425607765397"
"Daily","1990","35-65 y.","higher education","298","0.671679146857873","0.62759981400018","0.715758479715567"
"Daily","1990","66 and older","in school","","","",""
"Daily","1990","66 and older","inadequately","12","","",""
"Daily","1990","66 and older","general elemantary","342","0.871885325753687","0.838500674119919","0.905269977387454"
"Daily","1990","66 and older","middle vocational","451","0.907550735367735","0.882110530363662","0.932990940371807"
"Daily","1990","66 and older","vocational + Abi","22","","",""
"Daily","1990","66 and older","higher vocational","63","0.888382908867499","0.81461550175863","0.962150315976368"
"Daily","1990","66 and older","higher education","54","0.889181898910234","0.811045587622414","0.967318210198054"
"Min 1x per week","1990","16-34 y.","in school","30","0.239507591299926","0.173583790837962","0.305431391761891"
"Min 1x per week","1990","16-34 y.","inadequately","12","","",""
