"pli0083","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","in school","3","","","","1"
"Daily","1990","Schleswig-Holstein","inadequately","5","","","","1"
"Daily","1990","Schleswig-Holstein","general elemantary","55","0.85066576861588","0.764678275602252","0.936653261629507","1"
"Daily","1990","Schleswig-Holstein","middle vocational","134","0.86103932792503","0.807273420993918","0.914805234856141","1"
"Daily","1990","Schleswig-Holstein","vocational + Abi","3","","","","1"
"Daily","1990","Schleswig-Holstein","higher vocational","10","","","","1"
"Daily","1990","Schleswig-Holstein","higher education","6","","","","1"
"Daily","1990","Hamburg","in school","1","","","","1"
"Daily","1990","Hamburg","inadequately","6","","","","1"
"Daily","1990","Hamburg","general elemantary","31","0.975361345410233","0.922470271426678","1.02825241939379","1"
"Daily","1990","Hamburg","middle vocational","74","0.780851780253827","0.696322445081627","0.865381115426028","1"
"Daily","1990","Hamburg","vocational + Abi","4","","","","1"
"Daily","1990","Hamburg","higher vocational","11","","","","1"
"Daily","1990","Hamburg","higher education","8","","","","1"
"Daily","1990","Lower Saxony","in school","10","","","","1"
"Daily","1990","Lower Saxony","inadequately","36","0.903198649298295","0.813774298870579","0.992622999726012","1"
"Daily","1990","Lower Saxony","general elemantary","198","0.832190641580355","0.785492452449002","0.878888830711709","1"
"Daily","1990","Lower Saxony","middle vocational","403","0.814915304742264","0.780840034448776","0.848990575035752","1"
"Daily","1990","Lower Saxony","vocational + Abi","11","","","","1"
"Daily","1990","Lower Saxony","higher vocational","50","0.770968293363857","0.669590651073547","0.872345935654167","1"
"Daily","1990","Lower Saxony","higher education","51","0.655646084839621","0.548819697039741","0.762472472639501","1"
"Daily","1990","Bremen","in school","","","","","1"
"Daily","1990","Bremen","inadequately","2","","","","1"
"Daily","1990","Bremen","general elemantary","24","","","","1"
"Daily","1990","Bremen","middle vocational","46","0.873394871850055","0.783870532742872","0.962919210957239","1"
"Daily","1990","Bremen","vocational + Abi","6","","","","1"
"Daily","1990","Bremen","higher vocational","3","","","","1"
"Daily","1990","Bremen","higher education","2","","","","1"
"Daily","1990","North Rhine-Westphalia","in school","42","0.648964173518424","0.527175144657743","0.770753202379105","1"
"Daily","1990","North Rhine-Westphalia","inadequately","152","0.834762855576421","0.781814486497838","0.887711224655003","1"
"Daily","1990","North Rhine-Westphalia","general elemantary","512","0.836248077902794","0.807072825431647","0.865423330373942","1"
"Daily","1990","North Rhine-Westphalia","middle vocational","999","0.815606619635497","0.793881087828308","0.837332151442686","1"
"Daily","1990","North Rhine-Westphalia","vocational + Abi","65","0.675346248436393","0.575802936340515","0.774889560532272","1"
"Daily","1990","North Rhine-Westphalia","higher vocational","106","0.817203050598113","0.752245730634341","0.882160370561885","1"
"Daily","1990","North Rhine-Westphalia","higher education","146","0.723243554857714","0.660926538221966","0.785560571493462","1"
"Daily","1990","Hesse","in school","17","","","","1"
