"pli0083","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","in school","","","",""
"Daily","1990","lower secondary degree","inadequately","","","",""
"Daily","1990","lower secondary degree","general elemantary","1324","0.85107351872077","0.833557752881549","0.868589284559991"
"Daily","1990","lower secondary degree","middle vocational","2256","0.839739876520739","0.825910258237565","0.853569494803913"
"Daily","1990","lower secondary degree","vocational + Abi","5","","",""
"Daily","1990","lower secondary degree","higher vocational","193","0.840027925646414","0.792128998942807","0.887926852350022"
"Daily","1990","lower secondary degree","higher education","13","","",""
"Daily","1990","secondary school degree","in school","","","",""
"Daily","1990","secondary school degree","inadequately","","","",""
"Daily","1990","secondary school degree","general elemantary","261","0.723883794206361","0.677701317893804","0.770066270518917"
"Daily","1990","secondary school degree","middle vocational","835","0.768416845330348","0.743533115603188","0.793300575057507"
"Daily","1990","secondary school degree","vocational + Abi","","","",""
"Daily","1990","secondary school degree","higher vocational","111","0.714997376298158","0.646119020412789","0.783875732183527"
"Daily","1990","secondary school degree","higher education","35","0.609753620024813","0.480835672820112","0.738671567229513"
"Daily","1990","college entrance qualification","in school","","","",""
"Daily","1990","college entrance qualification","inadequately","","","",""
"Daily","1990","college entrance qualification","general elemantary","","","",""
"Daily","1990","college entrance qualification","middle vocational","165","0.596730266686499","0.539271549938019","0.65418898343498"
"Daily","1990","college entrance qualification","vocational + Abi","138","0.607465689104291","0.542344712652498","0.672586665556084"
"Daily","1990","college entrance qualification","higher vocational","81","0.71054408688567","0.627657186609608","0.793430987161733"
"Daily","1990","college entrance qualification","higher education","390","0.670784103235562","0.632800933194174","0.70876727327695"
"Daily","1990","Other degree","in school","","","",""
"Daily","1990","Other degree","inadequately","26","","",""
"Daily","1990","Other degree","general elemantary","410","0.784567847974002","0.749367013365183","0.819768682582821"
"Daily","1990","Other degree","middle vocational","299","0.887283245007545","0.854008959968591","0.920557530046499"
"Daily","1990","Other degree","vocational + Abi","61","0.847024095189396","0.763878118246241","0.930170072132551"
"Daily","1990","Other degree","higher vocational","4","","",""
"Daily","1990","Other degree","higher education","21","","",""
"Daily","1990","no degree/no degree yet","in school","123","0.709184054978409","0.639034690388496","0.779333419568323"
"Daily","1990","no degree/no degree yet","inadequately","477","0.787873522741377","0.755107540477666","0.820639505005089"
"Daily","1990","no degree/no degree yet","general elemantary","","","",""
"Daily","1990","no degree/no degree yet","middle vocational","64","0.910959018836027","0.846503241888981","0.975414795783072"
"Daily","1990","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1990","no degree/no degree yet","higher vocational","2","","",""
"Daily","1990","no degree/no degree yet","higher education","1","","",""
"Min 1x per week","1990","lower secondary degree","in school","","","",""
"Min 1x per week","1990","lower secondary degree","inadequately","","","",""
"Min 1x per week","1990","lower secondary degree","general elemantary","165","0.0844828556287054","0.0707999868830079","0.0981657243744029"
"Min 1x per week","1990","lower secondary degree","middle vocational","323","0.110981710898633","0.099140227138128","0.122823194659138"
"Min 1x per week","1990","lower secondary degree","vocational + Abi","1","","",""
"Min 1x per week","1990","lower secondary degree","higher vocational","21","","",""
"Min 1x per week","1990","lower secondary degree","higher education","1","","",""
"Min 1x per week","1990","secondary school degree","in school","","","",""
"Min 1x per week","1990","secondary school degree","inadequately","","","",""
"Min 1x per week","1990","secondary school degree","general elemantary","70","0.18251442247005","0.142613265871591","0.22241557906851"
"Min 1x per week","1990","secondary school degree","middle vocational","207","0.175055399006276","0.152639110813139","0.197471687199412"
