"pli0083","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","in school","Urban Area","102","0.716876456819036","0.640311080435684","0.793441833202388","1"
"Daily","1990","in school","Rural Area","21","","","","1"
"Daily","1990","inadequately","Urban Area","440","0.796982754290972","0.763396372591963","0.830569135989981","1"
"Daily","1990","inadequately","Rural Area","69","0.853868995173428","0.777413629075716","0.930324361271139","1"
"Daily","1990","general elemantary","Urban Area","1582","0.837538635667948","0.821124247508979","0.853953023826917","1"
"Daily","1990","general elemantary","Rural Area","413","0.792338096035543","0.757836871065178","0.826839321005908","1"
"Daily","1990","middle vocational","Urban Area","2848","0.805776449973065","0.792772163812874","0.818780736133256","1"
"Daily","1990","middle vocational","Rural Area","803","0.812992381724837","0.788740449028778","0.837244314420897","1"
"Daily","1990","vocational + Abi","Urban Area","178","0.632171585948921","0.572752228150814","0.691590943747029","1"
"Daily","1990","vocational + Abi","Rural Area","26","","","","1"
"Daily","1990","higher vocational","Urban Area","307","0.76983840678309","0.728741249496485","0.810935564069695","1"
"Daily","1990","higher vocational","Rural Area","85","0.773401928485393","0.69552347267182","0.851280384298966","1"
"Daily","1990","higher education","Urban Area","392","0.671636803976999","0.633902695955347","0.709370911998651","1"
"Daily","1990","higher education","Rural Area","69","0.6421203118169","0.548164246722231","0.736076376911568","1"
"Min 1x per month","1990","in school","Urban Area","3","","","","3"
"Min 1x per month","1990","in school","Rural Area","1","","","","3"
"Min 1x per month","1990","inadequately","Urban Area","8","","","","3"
"Min 1x per month","1990","inadequately","Rural Area","","","","","3"
"Min 1x per month","1990","general elemantary","Urban Area","26","","","","3"
"Min 1x per month","1990","general elemantary","Rural Area","11","","","","3"
"Min 1x per month","1990","middle vocational","Urban Area","48","0.0156559370079075","0.0115751748403996","0.0197366991754153","3"
"Min 1x per month","1990","middle vocational","Rural Area","22","","","","3"
"Min 1x per month","1990","vocational + Abi","Urban Area","4","","","","3"
"Min 1x per month","1990","vocational + Abi","Rural Area","3","","","","3"
"Min 1x per month","1990","higher vocational","Urban Area","9","","","","3"
"Min 1x per month","1990","higher vocational","Rural Area","3","","","","3"
"Min 1x per month","1990","higher education","Urban Area","13","","","","3"
"Min 1x per month","1990","higher education","Rural Area","3","","","","3"
"Min 1x per week","1990","inadequately","Urban Area","72","0.123159222222935","0.0957203580606159","0.150598086385254","2"
"Min 1x per week","1990","in school","Urban Area","24","","","","2"
"Min 1x per week","1990","in school","Rural Area","6","","","","2"
"Min 1x per week","1990","inadequately","Rural Area","9","","","","2"
"Min 1x per week","1990","general elemantary","Urban Area","241","0.0961891676165185","0.0830687070474756","0.109309628185562","2"
"Min 1x per week","1990","general elemantary","Rural Area","83","0.132654726126434","0.103803903395108","0.16150554885776","2"
"Min 1x per week","1990","middle vocational","Urban Area","530","0.141269905737615","0.129820539234374","0.152719272240857","2"
"Min 1x per week","1990","middle vocational","Rural Area","134","0.126978017153907","0.106269436823907","0.147686597483907","2"
"Min 1x per week","1990","vocational + Abi","Urban Area","55","0.2922286324051","0.236188944490698","0.348268320319502","2"
"Min 1x per week","1990","vocational + Abi","Rural Area","11","","","","2"
"Min 1x per week","1990","higher vocational","Urban Area","66","0.153045376118043","0.117894533016839","0.188196219219246","2"
"Min 1x per week","1990","higher vocational","Rural Area","20","","","","2"
"Min 1x per week","1990","higher education","Urban Area","130","0.211784055754599","0.17895496560982","0.244613145899379","2"
"Min 1x per week","1990","higher education","Rural Area","20","","","","2"
"Never","1990","in school","Urban Area","","","","","5"
"Never","1990","vocational + Abi","Rural Area","1","","","","5"
"Never","1990","higher vocational","Urban Area","5","","","","5"
"Never","1990","higher vocational","Rural Area","","","","","5"
"Never","1990","higher education","Urban Area","15","","","","5"
"Never","1990","higher education","Rural Area","1","","","","5"
"Never","1990","in school","Rural Area","","","","","5"
"Never","1990","inadequately","Urban Area","14","","","","5"
"Never","1990","inadequately","Rural Area","3","","","","5"
"Never","1990","general elemantary","Urban Area","23","","","","5"
"Never","1990","general elemantary","Rural Area","8","","","","5"
"Never","1990","middle vocational","Urban Area","21","","","","5"
"Never","1990","middle vocational","Rural Area","5","","","","5"
"Never","1990","vocational + Abi","Urban Area","3","","","","5"
"Rarely","1990","in school","Urban Area","4","","","","4"
"Rarely","1990","general elemantary","Rural Area","16","","","","4"
"Rarely","1990","middle vocational","Urban Area","108","0.031703293261535","0.0259437942922797","0.0374627922307904","4"
"Rarely","1990","in school","Rural Area","","","","","4"
"Rarely","1990","inadequately","Urban Area","17","","","","4"
"Rarely","1990","inadequately","Rural Area","1","","","","4"
"Rarely","1990","general elemantary","Urban Area","68","0.0340179633548978","0.0259514490978667","0.0420844776119288","4"
"Rarely","1990","middle vocational","Rural Area","29","","","","4"
"Rarely","1990","vocational + Abi","Urban Area","13","","","","4"
"Rarely","1990","vocational + Abi","Rural Area","","","","","4"
"Rarely","1990","higher vocational","Urban Area","16","","","","4"
"Rarely","1990","higher vocational","Rural Area","3","","","","4"
"Rarely","1990","higher education","Urban Area","45","0.0744106920159278","0.0533236120730278","0.0954977719588278","4"
"Rarely","1990","higher education","Rural Area","7","","","","4"
"Daily","1991","in school","Urban Area","","","","","1"
"Daily","1991","in school","Rural Area","","","","","1"
"Daily","1991","inadequately","Urban Area","","","","","1"
"Daily","1991","inadequately","Rural Area","","","","","1"
"Daily","1991","general elemantary","Urban Area","","","","","1"
