"pli0083","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","no migration background","3201","0.841986842659209","0.830412399729092","0.853561285589325"
"Daily","1990","lower secondary degree","direct migration background","483","0.862866492810689","0.83499156496396","0.890741420657418"
"Daily","1990","lower secondary degree","indirect migration background","107","0.873367173310173","0.817268474303707","0.929465872316638"
"Daily","1990","secondary school degree","no migration background","1095","0.747397010022363","0.725282748716358","0.769511271328368"
"Daily","1990","secondary school degree","direct migration background","105","0.756178740019875","0.687001178311893","0.825356301727857"
"Daily","1990","secondary school degree","indirect migration background","42","0.88604695255973","0.800500600183996","0.971593304935463"
"Daily","1990","college entrance qualification","no migration background","690","0.652255581789958","0.623530907167884","0.680980256412033"
"Daily","1990","college entrance qualification","direct migration background","74","0.609550213817491","0.521152201695723","0.697948225939259"
"Daily","1990","college entrance qualification","indirect migration background","10","","",""
"Daily","1990","Other degree","no migration background","35","0.909188270638037","0.82014194972969","0.998234591546385"
"Daily","1990","Other degree","direct migration background","775","0.823016809859791","0.798811158844372","0.847222460875211"
"Daily","1990","Other degree","indirect migration background","11","","",""
"Daily","1990","no degree/no degree yet","no migration background","117","0.746166310540156","0.67809083021462","0.814241790865693"
"Daily","1990","no degree/no degree yet","direct migration background","509","0.780482632486078","0.748237638467641","0.812727626504516"
"Daily","1990","no degree/no degree yet","indirect migration background","41","0.83645033457439","0.731816442054846","0.941084227093933"
"Min 1x per week","1990","lower secondary degree","no migration background","404","0.0999431119706114","0.0904258453964334","0.109460378544789"
"Min 1x per week","1990","lower secondary degree","direct migration background","83","0.117783197896661","0.0916616149585134","0.143904780834809"
"Min 1x per week","1990","lower secondary degree","indirect migration background","24","","",""
"Min 1x per week","1990","secondary school degree","no migration background","286","0.184084389397839","0.164359770660544","0.203809008135133"
"Min 1x per week","1990","secondary school degree","direct migration background","36","0.182460158773194","0.120236474708086","0.244683842838302"
"Min 1x per week","1990","secondary school degree","indirect migration background","7","","",""
"Min 1x per week","1990","college entrance qualification","no migration background","252","0.243084239554014","0.217212936273709","0.26895554283432"
"Min 1x per week","1990","college entrance qualification","direct migration background","32","0.263767488746866","0.183917788860014","0.343617188633718"
"Min 1x per week","1990","college entrance qualification","indirect migration background","10","","",""
"Min 1x per week","1990","Other degree","no migration background","2","","",""
"Min 1x per week","1990","Other degree","direct migration background","136","0.134614425177893","0.112967459349863","0.156261391005924"
