"pli0083","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","no migration background","191","0.784124939167967","0.732815946982953","0.835433931352981"
"Daily","1990","Schleswig-Holstein","direct migration background","27","","",""
"Daily","1990","Schleswig-Holstein","indirect migration background","3","","",""
"Daily","1990","Hamburg","no migration background","95","0.783879527971953","0.710842887125252","0.856916168818654"
"Daily","1990","Hamburg","direct migration background","37","0.848971694895825","0.740678983995365","0.957264405796284"
"Daily","1990","Hamburg","indirect migration background","4","","",""
"Daily","1990","Lower Saxony","no migration background","630","0.795557126850504","0.767697722674538","0.823416531026469"
"Daily","1990","Lower Saxony","direct migration background","123","0.802790279616853","0.739742820759028","0.865837738474677"
"Daily","1990","Lower Saxony","indirect migration background","16","","",""
"Daily","1990","Bremen","no migration background","69","0.848072852729786","0.771311482184315","0.924834223275257"
"Daily","1990","Bremen","direct migration background","12","","",""
"Daily","1990","Bremen","indirect migration background","2","","",""
"Daily","1990","North Rhine-Westphalia","no migration background","1453","0.797050138284039","0.778521393294071","0.815578883274007"
"Daily","1990","North Rhine-Westphalia","direct migration background","547","0.851091409648639","0.82413520968245","0.878047609614827"
"Daily","1990","North Rhine-Westphalia","indirect migration background","65","0.80887128315283","0.724787715846631","0.892954850459028"
"Daily","1990","Hesse","no migration background","470","0.798293476049126","0.766318394092439","0.830268558005813"
"Daily","1990","Hesse","direct migration background","260","0.774254152381102","0.730266071944859","0.818242232817346"
"Daily","1990","Hesse","indirect migration background","21","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","no migration background","441","0.806948574603394","0.773565957291375","0.840331191915412"
"Daily","1990","Rhineland-Palatinate,Saarland","direct migration background","91","0.762333749314286","0.686176052950891","0.838491445677682"
"Daily","1990","Rhineland-Palatinate,Saarland","indirect migration background","7","","",""
"Daily","1990","Baden-Württemberg","no migration background","804","0.7749805708421","0.749551901769762","0.800409239914437"
"Daily","1990","Baden-Württemberg","direct migration background","561","0.803297183972135","0.773572781474999","0.83302158646927"
"Daily","1990","Baden-Württemberg","indirect migration background","57","0.753004793652075","0.654074387115617","0.851935200188532"
"Daily","1990","Bavaria","no migration background","877","0.754934007284452","0.730454551089526","0.779413463479379"
"Daily","1990","Bavaria","direct migration background","278","0.742382545872823","0.69739458623252","0.787370505513126"
"Daily","1990","Bavaria","indirect migration background","39","0.832513059105439","0.731982948871574","0.933043169339304"
"Daily","1990","Berlin","no migration background","178","0.832135755136057","0.782293531718265","0.881977978553848"
"Daily","1990","Berlin","direct migration background","78","0.815975546283009","0.740026131561133","0.891924961004886"
"Daily","1990","Berlin","indirect migration background","13","","",""
"Daily","1990","Brandenburg","no migration background","","","",""
"Daily","1990","Brandenburg","direct migration background","","","",""
"Daily","1990","Brandenburg","indirect migration background","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","no migration background","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Daily","1990","Saxony","no migration background","","","",""
"Daily","1990","Saxony","direct migration background","","","",""
"Daily","1990","Saxony","indirect migration background","","","",""
"Daily","1990","Saxony-Anhalt","no migration background","","","",""
"Daily","1990","Saxony-Anhalt","direct migration background","","","",""
"Daily","1990","Saxony-Anhalt","indirect migration background","","","",""
"Daily","1990","Thuringia","no migration background","","","",""
"Daily","1990","Thuringia","direct migration background","","","",""
"Daily","1990","Thuringia","indirect migration background","","","",""
