"pli0083","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","(0) in school","71","0.692894267100082","0.602931076404759","0.782857457795405"
"Daily","1990","no migration background","(1a) inadequately completed","46","0.839187532467643","0.742972385630721","0.935402679304565"
"Daily","1990","no migration background","(1b) general elementary school","1051","0.847202734162654","0.827241275937632","0.867164192387676"
"Daily","1990","no migration background","(1c) basic vocational qualification","2174","0.840105614297884","0.825998753412585","0.854212475183183"
"Daily","1990","no migration background","(2b) intermediate general qualification","199","0.721237916901759","0.668338647281969","0.77413718652155"
"Daily","1990","no migration background","(2a) intermediate vocational","862","0.759607386498127","0.734952651677668","0.784262121318586"
"Daily","1990","no migration background","(2c_gen) general maturity certificate","143","0.606510841046144","0.543375890760683","0.669645791331605"
"Daily","1990","no migration background","(2c_voc) vocational maturity certificate","196","0.653475852061271","0.59908123172364","0.707870472398901"
"Daily","1990","no migration background","(3a) lower tertiary education","143","0.685783385587618","0.622849724058518","0.748717047116718"
"Daily","1990","no migration background","(3b) higher tertiary education","254","0.657311300730175","0.610447725158091","0.704174876302258"
"Daily","1990","direct migration background","(0) in school","23","","",""
"Daily","1990","direct migration background","(1a) inadequately completed","491","0.782384502772331","0.749693562688468","0.815075442856193"
"Daily","1990","direct migration background","(1b) general elementary school","641","0.850407961216924","0.825784535748128","0.87503138668572"
"Daily","1990","direct migration background","(1c) basic vocational qualification","482","0.848749643878874","0.819284271864773","0.878215015892976"
"Daily","1990","direct migration background","(2b) intermediate general qualification","35","0.728833107736459","0.605609061022325","0.852057154450594"
"Daily","1990","direct migration background","(2a) intermediate vocational","68","0.773541367426892","0.688931624321461","0.858151110532324"
"Daily","1990","direct migration background","(2c_gen) general maturity certificate","63","0.68790126257205","0.591637651984906","0.784164873159194"
"Daily","1990","direct migration background","(2c_voc) vocational maturity certificate","87","0.691168496786005","0.605219785995412","0.777117207576598"
"Daily","1990","direct migration background","(3a) lower tertiary education","20","","",""
