"pli0083","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","West Germany","5208","0.788064534180202","0.778240603336862","0.797888465023542"
"Daily","1990","no migration background","East Germany","","","",""
"Daily","1990","direct migration background","West Germany","2014","0.800760988272509","0.785196800082658","0.816325176462361"
"Daily","1990","direct migration background","East Germany","","","",""
"Daily","1990","indirect migration background","West Germany","227","0.811031815647447","0.766206064927758","0.855857566367135"
"Daily","1990","indirect migration background","East Germany","","","",""
"Min 1x per week","1990","no migration background","West Germany","997","0.14466415243692","0.136208417004969","0.15311988786887"
"Min 1x per week","1990","no migration background","East Germany","","","",""
"Min 1x per week","1990","direct migration background","West Germany","386","0.14805334136518","0.134214391403025","0.161892291327334"
"Min 1x per week","1990","direct migration background","East Germany","","","",""
"Min 1x per week","1990","indirect migration background","West Germany","48","0.126706450646858","0.0886179594124255","0.164794941881291"
"Min 1x per week","1990","indirect migration background","East Germany","","","",""
"Min 1x per month","1990","no migration background","West Germany","130","0.0200748159872852","0.0167033030403762","0.0234463289341943"
"Min 1x per month","1990","no migration background","East Germany","","","",""
"Min 1x per month","1990","direct migration background","West Germany","24","","",""
"Min 1x per month","1990","direct migration background","East Germany","","","",""
"Min 1x per month","1990","indirect migration background","West Germany","2","","",""
"Min 1x per month","1990","indirect migration background","East Germany","","","",""
"Rarely","1990","no migration background","West Germany","252","0.0373590095217941","0.0328003995343813","0.0419176195092068"
"Rarely","1990","no migration background","East Germany","","","",""
"Rarely","1990","direct migration background","West Germany","70","0.0287466360840536","0.0222356373040858","0.0352576348640213"
"Rarely","1990","direct migration background","East Germany","","","",""
"Rarely","1990","indirect migration background","West Germany","14","","",""
"Rarely","1990","indirect migration background","East Germany","","","",""
"Never","1990","no migration background","West Germany","61","0.00983748787379903","0.0074650331637387","0.0122099425838594"
"Never","1990","no migration background","East Germany","","","",""
"Never","1990","direct migration background","West Germany","36","0.0143792901588474","0.00974042803858108","0.0190181522791138"
"Never","1990","direct migration background","East Germany","","","",""
"Never","1990","indirect migration background","West Germany","2","","",""
"Never","1990","indirect migration background","East Germany","","","",""
"Daily","1991","no migration background","West Germany","","","",""
"Daily","1991","no migration background","East Germany","","","",""
"Daily","1991","direct migration background","West Germany","","","",""
"Daily","1991","direct migration background","East Germany","","","",""
"Daily","1991","indirect migration background","West Germany","","","",""
"Daily","1991","indirect migration background","East Germany","","","",""
"Min 1x per week","1991","no migration background","West Germany","","","",""
"Min 1x per week","1991","no migration background","East Germany","","","",""
"Min 1x per week","1991","direct migration background","West Germany","","","",""
"Min 1x per week","1991","direct migration background","East Germany","","","",""
"Min 1x per week","1991","indirect migration background","West Germany","","","",""
"Min 1x per week","1991","indirect migration background","East Germany","","","",""
"Min 1x per month","1991","no migration background","West Germany","","","",""
"Min 1x per month","1991","no migration background","East Germany","","","",""
"Min 1x per month","1991","direct migration background","West Germany","","","",""
"Min 1x per month","1991","direct migration background","East Germany","","","",""
"Min 1x per month","1991","indirect migration background","West Germany","","","",""
"Min 1x per month","1991","indirect migration background","East Germany","","","",""
"Rarely","1991","no migration background","West Germany","","","",""
"Rarely","1991","no migration background","East Germany","","","",""
"Rarely","1991","direct migration background","West Germany","","","",""
"Rarely","1991","direct migration background","East Germany","","","",""
"Rarely","1991","indirect migration background","West Germany","","","",""
"Rarely","1991","indirect migration background","East Germany","","","",""
"Never","1991","no migration background","West Germany","","","",""
"Never","1991","no migration background","East Germany","","","",""
"Never","1991","direct migration background","West Germany","","","",""
"Never","1991","direct migration background","East Germany","","","",""
"Never","1991","indirect migration background","West Germany","","","",""
"Never","1991","indirect migration background","East Germany","","","",""
"Daily","1992","no migration background","West Germany","","","",""
"Daily","1992","no migration background","East Germany","","","",""
"Daily","1992","direct migration background","West Germany","","","",""
"Daily","1992","direct migration background","East Germany","","","",""
"Daily","1992","indirect migration background","West Germany","","","",""
"Daily","1992","indirect migration background","East Germany","","","",""
"Min 1x per week","1992","no migration background","West Germany","","","",""
"Min 1x per week","1992","no migration background","East Germany","","","",""
"Min 1x per week","1992","direct migration background","West Germany","","","",""
"Min 1x per week","1992","direct migration background","East Germany","","","",""
"Min 1x per week","1992","indirect migration background","West Germany","","","",""
"Min 1x per week","1992","indirect migration background","East Germany","","","",""
"Min 1x per month","1992","no migration background","West Germany","","","",""
"Min 1x per month","1992","no migration background","East Germany","","","",""
"Min 1x per month","1992","direct migration background","West Germany","","","",""
"Min 1x per month","1992","direct migration background","East Germany","","","",""
"Min 1x per month","1992","indirect migration background","West Germany","","","",""
"Min 1x per month","1992","indirect migration background","East Germany","","","",""
"Rarely","1992","no migration background","West Germany","","","",""
"Rarely","1992","no migration background","East Germany","","","",""
"Rarely","1992","direct migration background","West Germany","","","",""
"Rarely","1992","direct migration background","East Germany","","","",""
"Rarely","1992","indirect migration background","West Germany","","","",""
"Rarely","1992","indirect migration background","East Germany","","","",""
"Never","1992","no migration background","West Germany","","","",""
"Never","1992","no migration background","East Germany","","","",""
"Never","1992","direct migration background","West Germany","","","",""
"Never","1992","direct migration background","East Germany","","","",""
"Never","1992","indirect migration background","West Germany","","","",""
"Never","1992","indirect migration background","East Germany","","","",""
"Daily","1993","no migration background","West Germany","","","",""
"Daily","1993","no migration background","East Germany","","","",""
"Daily","1993","direct migration background","West Germany","","","",""
"Daily","1993","direct migration background","East Germany","","","",""
"Daily","1993","indirect migration background","West Germany","","","",""
"Daily","1993","indirect migration background","East Germany","","","",""
"Min 1x per week","1993","no migration background","West Germany","","","",""
"Min 1x per week","1993","no migration background","East Germany","","","",""
"Min 1x per week","1993","direct migration background","West Germany","","","",""
"Min 1x per week","1993","direct migration background","East Germany","","","",""
"Min 1x per week","1993","indirect migration background","West Germany","","","",""
"Min 1x per week","1993","indirect migration background","East Germany","","","",""
"Min 1x per month","1993","no migration background","West Germany","","","",""
"Min 1x per month","1993","no migration background","East Germany","","","",""
"Min 1x per month","1993","direct migration background","West Germany","","","",""
"Min 1x per month","1993","direct migration background","East Germany","","","",""
"Min 1x per month","1993","indirect migration background","West Germany","","","",""
"Min 1x per month","1993","indirect migration background","East Germany","","","",""
"Rarely","1993","no migration background","West Germany","","","",""
"Rarely","1993","no migration background","East Germany","","","",""
"Rarely","1993","direct migration background","West Germany","","","",""
"Rarely","1993","direct migration background","East Germany","","","",""
"Rarely","1993","indirect migration background","West Germany","","","",""
"Rarely","1993","indirect migration background","East Germany","","","",""
"Never","1993","no migration background","West Germany","","","",""
"Never","1993","no migration background","East Germany","","","",""
"Never","1993","direct migration background","West Germany","","","",""
"Never","1993","direct migration background","East Germany","","","",""
"Never","1993","indirect migration background","West Germany","","","",""
"Never","1993","indirect migration background","East Germany","","","",""
"Daily","1994","no migration background","West Germany","","","",""
"Daily","1994","no migration background","East Germany","","","",""
"Daily","1994","direct migration background","West Germany","","","",""
"Daily","1994","direct migration background","East Germany","","","",""
"Daily","1994","indirect migration background","West Germany","","","",""
"Daily","1994","indirect migration background","East Germany","","","",""
"Min 1x per week","1994","no migration background","West Germany","","","",""
"Min 1x per week","1994","no migration background","East Germany","","","",""
"Min 1x per week","1994","direct migration background","West Germany","","","",""
"Min 1x per week","1994","direct migration background","East Germany","","","",""
"Min 1x per week","1994","indirect migration background","West Germany","","","",""
"Min 1x per week","1994","indirect migration background","East Germany","","","",""
"Min 1x per month","1994","no migration background","West Germany","","","",""
"Min 1x per month","1994","no migration background","East Germany","","","",""
"Min 1x per month","1994","direct migration background","West Germany","","","",""
"Min 1x per month","1994","direct migration background","East Germany","","","",""
"Min 1x per month","1994","indirect migration background","West Germany","","","",""
"Min 1x per month","1994","indirect migration background","East Germany","","","",""
"Rarely","1994","no migration background","West Germany","","","",""
"Rarely","1994","no migration background","East Germany","","","",""
"Rarely","1994","direct migration background","West Germany","","","",""
"Rarely","1994","direct migration background","East Germany","","","",""
"Rarely","1994","indirect migration background","West Germany","","","",""
"Rarely","1994","indirect migration background","East Germany","","","",""
"Never","1994","no migration background","West Germany","","","",""
"Never","1994","no migration background","East Germany","","","",""
"Never","1994","direct migration background","West Germany","","","",""
"Never","1994","direct migration background","East Germany","","","",""
"Never","1994","indirect migration background","West Germany","","","",""
"Never","1994","indirect migration background","East Germany","","","",""
"Daily","1995","no migration background","West Germany","5287","0.820796600115178","0.811449993111997","0.830143207118358"
"Daily","1995","no migration background","East Germany","3089","0.885770895844668","0.875279136488571","0.896262655200765"
"Daily","1995","direct migration background","West Germany","2301","0.850427457775344","0.836830426891632","0.864024488659056"
"Daily","1995","direct migration background","East Germany","128","0.896844676800633","0.846992455791144","0.946696897810122"
"Daily","1995","indirect migration background","West Germany","400","0.803219059902318","0.768125037447379","0.838313082357258"
"Daily","1995","indirect migration background","East Germany","15","","",""
"Min 1x per week","1995","no migration background","West Germany","847","0.123704267975969","0.115680455403591","0.131728080548347"
"Min 1x per week","1995","no migration background","East Germany","305","0.0770320847510575","0.0682372363050368","0.0858269331970783"
"Min 1x per week","1995","direct migration background","West Germany","236","0.0993055051075432","0.0879036655367882","0.110707344678298"
"Min 1x per week","1995","direct migration background","East Germany","13","","",""
"Min 1x per week","1995","indirect migration background","West Germany","72","0.14491951383669","0.113845914378197","0.175993113295183"
"Min 1x per week","1995","indirect migration background","East Germany","1","","",""
"Min 1x per month","1995","no migration background","West Germany","97","0.0150276569125416","0.0120626839378816","0.0179926298872016"
"Min 1x per month","1995","no migration background","East Germany","21","","",""
"Min 1x per month","1995","direct migration background","West Germany","25","","",""
"Min 1x per month","1995","direct migration background","East Germany","1","","",""
"Min 1x per month","1995","indirect migration background","West Germany","5","","",""
"Min 1x per month","1995","indirect migration background","East Germany","","","",""
"Rarely","1995","no migration background","West Germany","181","0.029575530940053","0.0254468603881773","0.0337042014919287"
"Rarely","1995","no migration background","East Germany","90","0.0215326222899105","0.0167449891023954","0.0263202554774256"
"Rarely","1995","direct migration background","West Germany","47","0.0225853644784286","0.0169209831821106","0.0282497457747466"
"Rarely","1995","direct migration background","East Germany","1","","",""
"Rarely","1995","indirect migration background","West Germany","11","","",""
"Rarely","1995","indirect migration background","East Germany","","","",""
"Never","1995","no migration background","West Germany","56","0.0108959440562585","0.0083659674283708","0.0134259206841463"
"Never","1995","no migration background","East Germany","26","","",""
"Never","1995","direct migration background","West Germany","34","0.0165654028436925","0.0116993899918471","0.0214314156955379"
"Never","1995","direct migration background","East Germany","","","",""
"Never","1995","indirect migration background","West Germany","5","","",""
"Never","1995","indirect migration background","East Germany","","","",""
"Daily","1996","no migration background","West Germany","","","",""
"Daily","1996","no migration background","East Germany","","","",""
"Daily","1996","direct migration background","West Germany","","","",""
"Daily","1996","direct migration background","East Germany","","","",""
"Daily","1996","indirect migration background","West Germany","","","",""
"Daily","1996","indirect migration background","East Germany","","","",""
"Min 1x per week","1996","no migration background","West Germany","","","",""
"Min 1x per week","1996","no migration background","East Germany","","","",""
"Min 1x per week","1996","direct migration background","West Germany","","","",""
"Min 1x per week","1996","direct migration background","East Germany","","","",""
"Min 1x per week","1996","indirect migration background","West Germany","","","",""
"Min 1x per week","1996","indirect migration background","East Germany","","","",""
"Min 1x per month","1996","no migration background","West Germany","","","",""
"Min 1x per month","1996","no migration background","East Germany","","","",""
"Min 1x per month","1996","direct migration background","West Germany","","","",""
"Min 1x per month","1996","direct migration background","East Germany","","","",""
"Min 1x per month","1996","indirect migration background","West Germany","","","",""
"Min 1x per month","1996","indirect migration background","East Germany","","","",""
"Rarely","1996","no migration background","West Germany","","","",""
"Rarely","1996","no migration background","East Germany","","","",""
"Rarely","1996","direct migration background","West Germany","","","",""
"Rarely","1996","direct migration background","East Germany","","","",""
"Rarely","1996","indirect migration background","West Germany","","","",""
"Rarely","1996","indirect migration background","East Germany","","","",""
"Never","1996","no migration background","West Germany","","","",""
"Never","1996","no migration background","East Germany","","","",""
"Never","1996","direct migration background","West Germany","","","",""
"Never","1996","direct migration background","East Germany","","","",""
"Never","1996","indirect migration background","West Germany","","","",""
"Never","1996","indirect migration background","East Germany","","","",""
"Daily","1997","no migration background","West Germany","","","",""
"Daily","1997","no migration background","East Germany","","","",""
"Daily","1997","direct migration background","West Germany","","","",""
"Daily","1997","direct migration background","East Germany","","","",""
"Daily","1997","indirect migration background","West Germany","","","",""
"Daily","1997","indirect migration background","East Germany","","","",""
"Min 1x per week","1997","no migration background","West Germany","","","",""
"Min 1x per week","1997","no migration background","East Germany","","","",""
"Min 1x per week","1997","direct migration background","West Germany","","","",""
"Min 1x per week","1997","direct migration background","East Germany","","","",""
"Min 1x per week","1997","indirect migration background","West Germany","","","",""
"Min 1x per week","1997","indirect migration background","East Germany","","","",""
"Min 1x per month","1997","no migration background","West Germany","","","",""
"Min 1x per month","1997","no migration background","East Germany","","","",""
"Min 1x per month","1997","direct migration background","West Germany","","","",""
"Min 1x per month","1997","direct migration background","East Germany","","","",""
"Min 1x per month","1997","indirect migration background","West Germany","","","",""
"Min 1x per month","1997","indirect migration background","East Germany","","","",""
"Rarely","1997","no migration background","West Germany","","","",""
"Rarely","1997","no migration background","East Germany","","","",""
"Rarely","1997","direct migration background","West Germany","","","",""
"Rarely","1997","direct migration background","East Germany","","","",""
"Rarely","1997","indirect migration background","West Germany","","","",""
"Rarely","1997","indirect migration background","East Germany","","","",""
"Never","1997","no migration background","West Germany","","","",""
"Never","1997","no migration background","East Germany","","","",""
"Never","1997","direct migration background","West Germany","","","",""
"Never","1997","direct migration background","East Germany","","","",""
"Never","1997","indirect migration background","West Germany","","","",""
"Never","1997","indirect migration background","East Germany","","","",""
"Daily","1998","no migration background","West Germany","6260","0.829537089345138","0.821036876815581","0.838037301874695"
"Daily","1998","no migration background","East Germany","3284","0.891129551218045","0.881121634435391","0.901137468000698"
"Daily","1998","direct migration background","West Germany","2016","0.865112482740015","0.851109126159222","0.879115839320808"
"Daily","1998","direct migration background","East Germany","108","0.905141669346863","0.852272424717114","0.958010913976612"
"Daily","1998","indirect migration background","West Germany","480","0.8217991960138","0.790547432097205","0.853050959930396"
"Daily","1998","indirect migration background","East Germany","22","","",""
"Min 1x per week","1998","no migration background","West Germany","912","0.118984542416951","0.111665842055751","0.126303242778151"
"Min 1x per week","1998","no migration background","East Germany","305","0.074171243579946","0.065751451457413","0.0825910357024791"
"Min 1x per week","1998","direct migration background","West Germany","165","0.0861033437860215","0.0746041198672287","0.0976025677048144"
"Min 1x per week","1998","direct migration background","East Germany","5","","",""
"Min 1x per week","1998","indirect migration background","West Germany","68","0.126715445476761","0.0995492065385111","0.15388168441501"
"Min 1x per week","1998","indirect migration background","East Germany","3","","",""
"Min 1x per month","1998","no migration background","West Germany","78","0.0120098314731451","0.00954752731534185","0.0144721356309484"
"Min 1x per month","1998","no migration background","East Germany","25","","",""
"Min 1x per month","1998","direct migration background","West Germany","24","","",""
"Min 1x per month","1998","direct migration background","East Germany","2","","",""
"Min 1x per month","1998","indirect migration background","West Germany","9","","",""
"Min 1x per month","1998","indirect migration background","East Germany","","","",""
"Rarely","1998","no migration background","West Germany","185","0.0269712346467464","0.0233093034203028","0.03063316587319"
"Rarely","1998","no migration background","East Germany","86","0.020308547323667","0.0157764174647325","0.0248406771826014"
"Rarely","1998","direct migration background","West Germany","54","0.0260386947957322","0.0195105401319727","0.0325668494594917"
"Rarely","1998","direct migration background","East Germany","3","","",""
"Rarely","1998","indirect migration background","West Germany","15","","",""
"Rarely","1998","indirect migration background","East Germany","","","",""
"Never","1998","no migration background","West Germany","83","0.0124973021180195","0.00998614312844149","0.0150084611075975"
"Never","1998","no migration background","East Germany","21","","",""
"Never","1998","direct migration background","West Germany","27","","",""
"Never","1998","direct migration background","East Germany","","","",""
"Never","1998","indirect migration background","West Germany","4","","",""
"Never","1998","indirect migration background","East Germany","","","",""
"Daily","1999","no migration background","West Germany","","","",""
"Daily","1999","no migration background","East Germany","","","",""
"Daily","1999","direct migration background","West Germany","","","",""
"Daily","1999","direct migration background","East Germany","","","",""
"Daily","1999","indirect migration background","West Germany","","","",""
"Daily","1999","indirect migration background","East Germany","","","",""
"Min 1x per week","1999","no migration background","West Germany","","","",""
"Min 1x per week","1999","no migration background","East Germany","","","",""
"Min 1x per week","1999","direct migration background","West Germany","","","",""
"Min 1x per week","1999","direct migration background","East Germany","","","",""
"Min 1x per week","1999","indirect migration background","West Germany","","","",""
"Min 1x per week","1999","indirect migration background","East Germany","","","",""
"Min 1x per month","1999","no migration background","West Germany","","","",""
"Min 1x per month","1999","no migration background","East Germany","","","",""
"Min 1x per month","1999","direct migration background","West Germany","","","",""
"Min 1x per month","1999","direct migration background","East Germany","","","",""
