"pli0083","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","Urban Area","2239","0.851880617822529","0.838391725268261","0.865369510376797","1"
"Daily","1990","Not Employed","Rural Area","562","0.847703513091769","0.820353454503345","0.875053571680193","1"
"Daily","1990","Employed","Urban Area","3704","0.748970602183872","0.736826155938066","0.761115048429678","1"
"Daily","1990","Employed","Rural Area","944","0.750123237914371","0.726093772510849","0.774152703317892","1"
"Min 1x per month","1990","Not Employed","Rural Area","10","","","","3"
"Min 1x per month","1990","Not Employed","Urban Area","36","0.0124823114224449","0.00826630824661162","0.0166983145982782","3"
"Min 1x per month","1990","Employed","Rural Area","33","0.0337333670767753","0.0237127791820494","0.0437539549715011","3"
"Min 1x per month","1990","Employed","Urban Area","77","0.0188291405732348","0.0150222481147544","0.0226360330317151","3"
"Min 1x per week","1990","Not Employed","Urban Area","283","0.092088528920351","0.0811084490288753","0.103068608811827","2"
"Min 1x per week","1990","Employed","Rural Area","217","0.171823435013026","0.150886286611886","0.192760583414166","2"
"Min 1x per week","1990","Employed","Urban Area","863","0.180771564463952","0.169993256050424","0.191549872877479","2"
"Min 1x per week","1990","Not Employed","Rural Area","68","0.0987171376426734","0.076012312556268","0.121421962729079","2"
"Never","1990","Not Employed","Urban Area","28","","","","5"
"Never","1990","Not Employed","Rural Area","6","","","","5"
"Never","1990","Employed","Urban Area","53","0.00879976430591794","0.00618399609601524","0.0114155325158206","5"
"Never","1990","Employed","Rural Area","12","","","","5"
"Rarely","1990","Employed","Urban Area","200","0.0426289284730235","0.0369707662162156","0.0482870907298314","4"
"Rarely","1990","Not Employed","Urban Area","78","0.0299128934789153","0.0234442150922139","0.0363815718656166","4"
"Rarely","1990","Not Employed","Rural Area","17","","","","4"
"Rarely","1990","Employed","Rural Area","41","0.0356424220413943","0.0253523712784508","0.0459324728043378","4"
"Daily","1991","Not Employed","Urban Area","","","","","1"
"Daily","1991","Not Employed","Rural Area","","","","","1"
"Daily","1991","Employed","Urban Area","","","","","1"
"Daily","1991","Employed","Rural Area","","","","","1"
"Min 1x per month","1991","Employed","Urban Area","","","","","3"
"Min 1x per month","1991","Not Employed","Rural Area","","","","","3"
"Min 1x per month","1991","Not Employed","Urban Area","","","","","3"
"Min 1x per month","1991","Employed","Rural Area","","","","","3"
"Min 1x per week","1991","Not Employed","Rural Area","","","","","2"
"Min 1x per week","1991","Employed","Rural Area","","","","","2"
"Min 1x per week","1991","Not Employed","Urban Area","","","","","2"
"Min 1x per week","1991","Employed","Urban Area","","","","","2"
"Never","1991","Not Employed","Urban Area","","","","","5"
"Never","1991","Not Employed","Rural Area","","","","","5"
"Never","1991","Employed","Urban Area","","","","","5"
"Never","1991","Employed","Rural Area","","","","","5"
"Rarely","1991","Employed","Rural Area","","","","","4"
"Rarely","1991","Employed","Urban Area","","","","","4"
"Rarely","1991","Not Employed","Rural Area","","","","","4"
"Rarely","1991","Not Employed","Urban Area","","","","","4"
"Daily","1992","Not Employed","Urban Area","","","","","1"
"Daily","1992","Not Employed","Rural Area","","","","","1"
"Daily","1992","Employed","Rural Area","","","","","1"
"Daily","1992","Employed","Urban Area","","","","","1"
"Min 1x per month","1992","Not Employed","Urban Area","","","","","3"
"Min 1x per month","1992","Employed","Rural Area","","","","","3"
"Min 1x per month","1992","Not Employed","Rural Area","","","","","3"
"Min 1x per month","1992","Employed","Urban Area","","","","","3"
"Min 1x per week","1992","Employed","Rural Area","","","","","2"
"Min 1x per week","1992","Not Employed","Rural Area","","","","","2"
"Min 1x per week","1992","Employed","Urban Area","","","","","2"
"Min 1x per week","1992","Not Employed","Urban Area","","","","","2"
"Never","1992","Not Employed","Urban Area","","","","","5"
"Never","1992","Not Employed","Rural Area","","","","","5"
"Never","1992","Employed","Urban Area","","","","","5"
"Never","1992","Employed","Rural Area","","","","","5"
"Rarely","1992","Employed","Rural Area","","","","","4"
"Rarely","1992","Not Employed","Rural Area","","","","","4"
"Rarely","1992","Not Employed","Urban Area","","","","","4"
"Rarely","1992","Employed","Urban Area","","","","","4"
"Daily","1993","Not Employed","Urban Area","","","","","1"
"Daily","1993","Not Employed","Rural Area","","","","","1"
"Daily","1993","Employed","Rural Area","","","","","1"
"Daily","1993","Employed","Urban Area","","","","","1"
"Min 1x per month","1993","Not Employed","Urban Area","","","","","3"
"Min 1x per month","1993","Not Employed","Rural Area","","","","","3"
"Min 1x per month","1993","Employed","Rural Area","","","","","3"
"Min 1x per month","1993","Employed","Urban Area","","","","","3"
"Min 1x per week","1993","Not Employed","Urban Area","","","","","2"
"Min 1x per week","1993","Employed","Urban Area","","","","","2"
"Min 1x per week","1993","Employed","Rural Area","","","","","2"
"Min 1x per week","1993","Not Employed","Rural Area","","","","","2"
"Never","1993","Not Employed","Urban Area","","","","","5"
"Never","1993","Not Employed","Rural Area","","","","","5"
"Never","1993","Employed","Urban Area","","","","","5"
"Never","1993","Employed","Rural Area","","","","","5"
"Rarely","1993","Employed","Urban Area","","","","","4"
"Rarely","1993","Not Employed","Urban Area","","","","","4"
"Rarely","1993","Not Employed","Rural Area","","","","","4"
"Rarely","1993","Employed","Rural Area","","","","","4"
"Daily","1994","Not Employed","Urban Area","","","","","1"
"Daily","1994","Employed","Rural Area","","","","","1"
"Daily","1994","Not Employed","Rural Area","","","","","1"
"Daily","1994","Employed","Urban Area","","","","","1"
"Min 1x per month","1994","Employed","Urban Area","","","","","3"
"Min 1x per month","1994","Employed","Rural Area","","","","","3"
"Min 1x per month","1994","Not Employed","Urban Area","","","","","3"
"Min 1x per month","1994","Not Employed","Rural Area","","","","","3"
"Min 1x per week","1994","Employed","Rural Area","","","","","2"
"Min 1x per week","1994","Employed","Urban Area","","","","","2"
"Min 1x per week","1994","Not Employed","Urban Area","","","","","2"
"Min 1x per week","1994","Not Employed","Rural Area","","","","","2"
"Never","1994","Not Employed","Urban Area","","","","","5"
"Never","1994","Not Employed","Rural Area","","","","","5"
"Never","1994","Employed","Urban Area","","","","","5"
"Never","1994","Employed","Rural Area","","","","","5"
"Rarely","1994","Employed","Rural Area","","","","","4"
"Rarely","1994","Employed","Urban Area","","","","","4"
"Rarely","1994","Not Employed","Urban Area","","","","","4"
"Rarely","1994","Not Employed","Rural Area","","","","","4"
"Daily","1995","Not Employed","Urban Area","2851","0.885414141292491","0.874432907096461","0.896395375488521","1"
"Daily","1995","Employed","Rural Area","2374","0.798292754769207","0.783650194334361","0.812935315204054","1"
"Daily","1995","Not Employed","Rural Area","1414","0.895918726483816","0.880813791136591","0.911023661831041","1"
"Daily","1995","Employed","Urban Area","4581","0.800366944087562","0.789904247958377","0.810829640216747","1"
"Min 1x per month","1995","Employed","Rural Area","34","0.0148145283117526","0.0104061577275809","0.0192228988959243","3"
"Min 1x per month","1995","Not Employed","Urban Area","34","0.0124568336408077","0.00863304136749027","0.0162806259141251","3"
"Min 1x per month","1995","Employed","Urban Area","73","0.0144997963722911","0.0113708931985821","0.0176286995460001","3"
"Min 1x per month","1995","Not Employed","Rural Area","8","","","","3"
"Min 1x per week","1995","Employed","Rural Area","365","0.141483679211232","0.128766153258283","0.15420120516418","2"
"Min 1x per week","1995","Not Employed","Rural Area","104","0.0610502557462374","0.0492072161146862","0.0728932953777885","2"
"Min 1x per week","1995","Employed","Urban Area","748","0.141714093702393","0.132585469573021","0.150842717831766","2"
"Min 1x per week","1995","Not Employed","Urban Area","257","0.0752605448875284","0.0661654802901016","0.0843556094849552","2"
"Never","1995","Not Employed","Rural Area","15","","","","5"
"Never","1995","Not Employed","Urban Area","41","0.013667821768617","0.00966493164393517","0.0176707118932988","5"
"Never","1995","Employed","Urban Area","52","0.0106162119594898","0.00793364853854901","0.0132987753804305","5"
"Never","1995","Employed","Rural Area","13","","","","5"
"Rarely","1995","Not Employed","Rural Area","29","","","","4"
"Rarely","1995","Employed","Rural Area","99","0.0389837023049114","0.0319208178794356","0.0460465867303871","4"
"Rarely","1995","Not Employed","Urban Area","49","0.0132006584105564","0.00926584052272394","0.0171354762983889","4"
"Rarely","1995","Employed","Urban Area","153","0.0328029538782637","0.0281406908590535","0.0374652168974739","4"
"Daily","1996","Employed","Rural Area","","","","","1"
"Daily","1996","Not Employed","Urban Area","","","","","1"
"Daily","1996","Not Employed","Rural Area","","","","","1"
"Daily","1996","Employed","Urban Area","","","","","1"
"Min 1x per month","1996","Employed","Rural Area","","","","","3"
"Min 1x per month","1996","Not Employed","Rural Area","","","","","3"
"Min 1x per month","1996","Employed","Urban Area","","","","","3"
"Min 1x per month","1996","Not Employed","Urban Area","","","","","3"
"Min 1x per week","1996","Employed","Urban Area","","","","","2"
"Min 1x per week","1996","Employed","Rural Area","","","","","2"
"Min 1x per week","1996","Not Employed","Rural Area","","","","","2"
"Min 1x per week","1996","Not Employed","Urban Area","","","","","2"
"Never","1996","Not Employed","Rural Area","","","","","5"
"Never","1996","Not Employed","Urban Area","","","","","5"
"Never","1996","Employed","Urban Area","","","","","5"
"Never","1996","Employed","Rural Area","","","","","5"
"Rarely","1996","Employed","Urban Area","","","","","4"
"Rarely","1996","Not Employed","Rural Area","","","","","4"
"Rarely","1996","Employed","Rural Area","","","","","4"
"Rarely","1996","Not Employed","Urban Area","","","","","4"
"Daily","1997","Not Employed","Urban Area","","","","","1"
"Daily","1997","Employed","Urban Area","","","","","1"
"Daily","1997","Employed","Rural Area","","","","","1"
"Daily","1997","Not Employed","Rural Area","","","","","1"
"Min 1x per month","1997","Employed","Rural Area","","","","","3"
"Min 1x per month","1997","Employed","Urban Area","","","","","3"
"Min 1x per month","1997","Not Employed","Rural Area","","","","","3"
"Min 1x per month","1997","Not Employed","Urban Area","","","","","3"
"Min 1x per week","1997","Employed","Rural Area","","","","","2"
"Min 1x per week","1997","Employed","Urban Area","","","","","2"
"Min 1x per week","1997","Not Employed","Urban Area","","","","","2"
"Min 1x per week","1997","Not Employed","Rural Area","","","","","2"
"Never","1997","Not Employed","Urban Area","","","","","5"
"Never","1997","Not Employed","Rural Area","","","","","5"
"Never","1997","Employed","Urban Area","","","","","5"
"Never","1997","Employed","Rural Area","","","","","5"
"Rarely","1997","Employed","Rural Area","","","","","4"
"Rarely","1997","Not Employed","Urban Area","","","","","4"
"Rarely","1997","Employed","Urban Area","","","","","4"
"Rarely","1997","Not Employed","Rural Area","","","","","4"
