"pli0083","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","2670","0.714336134533166","0.699657160317441","0.729015108748891","1"
"Daily","1990","35-65 y.","3834","0.802544134250893","0.791254355936146","0.81383391256564","1"
"Daily","1990","66 and older","945","0.89143855815983","0.872684549757423","0.910192566562237","1"
"Min 1x per month","1990","35-65 y.","69","0.0171061910809998","0.0134287485784739","0.0207836335835256","3"
"Min 1x per month","1990","16-34 y.","74","0.0245421755010335","0.0195143809758666","0.0295699700262004","3"
"Min 1x per month","1990","66 and older","13","","","","3"
"Min 1x per week","1990","16-34 y.","718","0.21186475478452","0.198586332510271","0.22514317705877","2"
"Min 1x per week","1990","35-65 y.","651","0.132707414509305","0.12308583567067","0.14232899334794","2"
"Min 1x per week","1990","66 and older","62","0.0566988270673694","0.0427568995053038","0.0706407546294351","2"
"Never","1990","16-34 y.","30","0.00704948661030878","0.00433079910661861","0.00976817411399895","5"
"Never","1990","66 and older","14","","","","5"
"Never","1990","35-65 y.","55","0.0097673731526099","0.00697821309199592","0.0125565332132239","5"
"Rarely","1990","16-34 y.","146","0.0422074485709714","0.0356739316337596","0.0487409655081833","4"
"Rarely","1990","66 and older","23","","","","4"
"Rarely","1990","35-65 y.","167","0.0378748870061924","0.032461022527723","0.0432887514846618","4"
"Daily","1991","16-34 y.","","","","","1"
"Daily","1991","35-65 y.","","","","","1"
"Daily","1991","66 and older","","","","","1"
"Min 1x per month","1991","16-34 y.","","","","","3"
"Min 1x per month","1991","35-65 y.","","","","","3"
"Min 1x per month","1991","66 and older","","","","","3"
"Min 1x per week","1991","16-34 y.","","","","","2"
"Min 1x per week","1991","35-65 y.","","","","","2"
"Min 1x per week","1991","66 and older","","","","","2"
"Never","1991","16-34 y.","","","","","5"
"Never","1991","35-65 y.","","","","","5"
"Never","1991","66 and older","","","","","5"
"Rarely","1991","16-34 y.","","","","","4"
"Rarely","1991","35-65 y.","","","","","4"
"Rarely","1991","66 and older","","","","","4"
"Daily","1992","16-34 y.","","","","","1"
"Daily","1992","35-65 y.","","","","","1"
"Daily","1992","66 and older","","","","","1"
"Min 1x per month","1992","16-34 y.","","","","","3"
"Min 1x per month","1992","35-65 y.","","","","","3"
"Min 1x per month","1992","66 and older","","","","","3"
"Min 1x per week","1992","16-34 y.","","","","","2"
"Min 1x per week","1992","35-65 y.","","","","","2"
"Min 1x per week","1992","66 and older","","","","","2"
"Never","1992","16-34 y.","","","","","5"
"Never","1992","35-65 y.","","","","","5"
"Never","1992","66 and older","","","","","5"
"Rarely","1992","16-34 y.","","","","","4"
"Rarely","1992","66 and older","","","","","4"
"Rarely","1992","35-65 y.","","","","","4"
"Daily","1993","16-34 y.","","","","","1"
"Daily","1993","35-65 y.","","","","","1"
"Daily","1993","66 and older","","","","","1"
"Min 1x per month","1993","16-34 y.","","","","","3"
"Min 1x per month","1993","35-65 y.","","","","","3"
"Min 1x per month","1993","66 and older","","","","","3"
"Min 1x per week","1993","35-65 y.","","","","","2"
"Min 1x per week","1993","16-34 y.","","","","","2"
"Min 1x per week","1993","66 and older","","","","","2"
"Never","1993","16-34 y.","","","","","5"
"Never","1993","35-65 y.","","","","","5"
"Never","1993","66 and older","","","","","5"
"Rarely","1993","16-34 y.","","","","","4"
"Rarely","1993","35-65 y.","","","","","4"
"Rarely","1993","66 and older","","","","","4"
"Daily","1994","16-34 y.","","","","","1"
"Daily","1994","35-65 y.","","","","","1"
"Daily","1994","66 and older","","","","","1"
"Min 1x per month","1994","16-34 y.","","","","","3"
