"pli0083","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","in school","Male","80","0.876734159930043","0.809190789404011","0.944277530456075","1"
"Daily","1990","in school","Female","43","0.485368537180944","0.368288446961507","0.602448627400381","1"
"Daily","1990","inadequately","Male","202","0.787506057750093","0.737686664099136","0.83732545140105","1"
"Daily","1990","inadequately","Female","307","0.825737360000085","0.787292755123912","0.864181964876257","1"
"Daily","1990","general elemantary","Male","680","0.810671855198879","0.784579139492928","0.83676457090483","1"
"Daily","1990","general elemantary","Female","1315","0.831964676397279","0.813672587232428","0.85025676556213","1"
"Daily","1990","middle vocational","Male","1974","0.803212456826123","0.787504984485083","0.818919929167163","1"
"Daily","1990","middle vocational","Female","1677","0.812174275520301","0.795417555331586","0.828930995709016","1"
"Daily","1990","vocational + Abi","Male","118","0.680467321430457","0.609745875366319","0.751188767494594","1"
"Daily","1990","vocational + Abi","Female","86","0.56647155970402","0.480284099605186","0.652659019802854","1"
"Daily","1990","higher vocational","Male","223","0.78971880173638","0.742156813915683","0.837280789557077","1"
"Daily","1990","higher vocational","Female","169","0.747966745831171","0.692097325300535","0.803836166361806","1"
"Daily","1990","higher education","Male","312","0.66779575042831","0.625123103555644","0.710468397300977","1"
"Daily","1990","higher education","Female","149","0.666371849945312","0.605034525587184","0.72770917430344","1"
"Min 1x per month","1990","in school","Male","2","","","","3"
"Min 1x per month","1990","in school","Female","2","","","","3"
"Min 1x per month","1990","inadequately","Male","4","","","","3"
"Min 1x per month","1990","inadequately","Female","4","","","","3"
"Min 1x per month","1990","general elemantary","Male","15","","","","3"
"Min 1x per month","1990","general elemantary","Female","22","","","","3"
"Min 1x per month","1990","middle vocational","Male","37","0.0160553280184682","0.0110895509938619","0.0210211050430746","3"
"Min 1x per month","1990","middle vocational","Female","33","0.0187135216365825","0.0128996888655504","0.0245273544076145","3"
"Min 1x per month","1990","vocational + Abi","Male","1","","","","3"
"Min 1x per month","1990","vocational + Abi","Female","6","","","","3"
"Min 1x per month","1990","higher vocational","Male","8","","","","3"
"Min 1x per month","1990","higher vocational","Female","4","","","","3"
"Min 1x per month","1990","higher education","Male","12","","","","3"
"Min 1x per month","1990","higher education","Female","4","","","","3"
"Min 1x per week","1990","inadequately","Male","40","0.140224155471399","0.0979376063406129","0.182510704602184","2"
"Min 1x per week","1990","in school","Male","9","","","","2"
"Min 1x per week","1990","in school","Female","21","","","","2"
"Min 1x per week","1990","inadequately","Female","41","0.090196843489852","0.0611645276938079","0.119229159285896","2"
"Min 1x per week","1990","general elemantary","Male","135","0.118750298828163","0.0972048278561047","0.140295769800221","2"
"Min 1x per week","1990","general elemantary","Female","189","0.100362338840514","0.0856619178130493","0.115062759867979","2"
"Min 1x per week","1990","middle vocational","Male","362","0.141436290004926","0.127668666662956","0.155203913346897","2"
"Min 1x per week","1990","middle vocational","Female","302","0.134106531403177","0.119486642806826","0.148726419999527","2"
"Min 1x per week","1990","vocational + Abi","Male","39","0.262354986773984","0.195634651098266","0.329075322449703","2"
"Min 1x per week","1990","vocational + Abi","Female","27","","","","2"
"Min 1x per week","1990","higher vocational","Male","43","0.152160034681575","0.110239117267465","0.194080952095685","2"
"Min 1x per week","1990","higher vocational","Female","43","0.159501207034298","0.112386702039311","0.206615712029286","2"
