"pli0083","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","1-pers.-HH","257","0.598248065371732","0.551473312099822","0.645022818643643"
"Daily","1990","Full Time","(Married) couple without C. ","823","0.775146723755908","0.749906784763768","0.800386662748049"
"Daily","1990","Full Time","Single parent ","152","0.734525397760465","0.674514334515465","0.794536461005465"
"Daily","1990","Full Time","Couple + C. LE 16 ","851","0.792177235799701","0.767967218136745","0.816387253462658"
"Daily","1990","Full Time","Couple + C. GT 16 ","744","0.778164626937948","0.752111974186444","0.804217279689452"
"Daily","1990","Full Time","Couple + C. LE and GT 16","302","0.740064326670013","0.697453636900151","0.782675016439875"
"Daily","1990","Part Time","1-pers.-HH","66","0.589452079052475","0.497936974096841","0.680967184008108"
"Daily","1990","Part Time","(Married) couple without C. ","250","0.823342290077798","0.780611208311754","0.866073371843843"
"Daily","1990","Part Time","Single parent ","75","0.756000144827315","0.671397056371488","0.840603233283142"
"Daily","1990","Part Time","Couple + C. LE 16 ","385","0.804327063334049","0.768983760448811","0.839670366219287"
"Daily","1990","Part Time","Couple + C. GT 16 ","320","0.780295361461472","0.740507504188577","0.820083218734367"
"Daily","1990","Part Time","Couple + C. LE and GT 16","140","0.750031243518079","0.688463415505039","0.811599071531119"
"Daily","1990","Not Working","1-pers.-HH","416","0.839748827337668","0.807626682260889","0.871870972414447"
"Daily","1990","Not Working","(Married) couple without C. ","877","0.928771499645679","0.912407241371359","0.945135757919998"
"Daily","1990","Not Working","Single parent ","113","0.728086798342938","0.657812833729361","0.798360762956516"
"Daily","1990","Not Working","Couple + C. LE 16 ","423","0.831962132848847","0.799701075269697","0.864223190427996"
"Daily","1990","Not Working","Couple + C. GT 16 ","528","0.791535785513979","0.760498325139475","0.822573245888482"
"Daily","1990","Not Working","Couple + C. LE and GT 16","224","0.748133221470043","0.698173040140789","0.798093402799297"
"Min 1x per week","1990","Full Time","1-pers.-HH","105","0.254816036146423","0.213240582796513","0.296391489496332"
"Min 1x per week","1990","Full Time","(Married) couple without C. ","166","0.177667446357698","0.154558805417558","0.200776087297837"
"Min 1x per week","1990","Full Time","Single parent ","37","0.173544292809058","0.122076993100747","0.225011592517369"
"Min 1x per week","1990","Full Time","Couple + C. LE 16 ","173","0.156525607253905","0.134845270759377","0.178205943748434"
"Min 1x per week","1990","Full Time","Couple + C. GT 16 ","179","0.171926279440293","0.148266731478274","0.195585827402312"
"Min 1x per week","1990","Full Time","Couple + C. LE and GT 16","70","0.159242676681048","0.123694612932487","0.19479074042961"
"Min 1x per week","1990","Part Time","1-pers.-HH","27","","",""
"Min 1x per week","1990","Part Time","(Married) couple without C. ","42","0.134620154146912","0.0963776953182659","0.172862612975557"
"Min 1x per week","1990","Part Time","Single parent ","16","","",""
"Min 1x per week","1990","Part Time","Couple + C. LE 16 ","68","0.129663836747619","0.0997357910090153","0.159591882486222"
"Min 1x per week","1990","Part Time","Couple + C. GT 16 ","75","0.179815928863483","0.142912121774882","0.216719735952084"
"Min 1x per week","1990","Part Time","Couple + C. LE and GT 16","38","0.186003488850278","0.130675726338321","0.241331251362235"
"Min 1x per week","1990","Not Working","1-pers.-HH","49","0.0880730308470296","0.0632570909363778","0.112888970757681"
