"pli0083","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","Urban Area","3981","0.786797227383853","0.775544450702371","0.798050004065336"
"Daily","1990","no migration background","Rural Area","1227","0.792213462701724","0.772073676981163","0.812353248422285"
"Daily","1990","direct migration background","Urban Area","1763","0.807911003073144","0.791509025309163","0.824312980837125"
"Daily","1990","direct migration background","Rural Area","251","0.758016564240396","0.710645249932004","0.805387878548788"
"Daily","1990","indirect migration background","Urban Area","199","0.801375468629343","0.752503191693441","0.850247745565244"
"Daily","1990","indirect migration background","Rural Area","28","","",""
"Min 1x per week","1990","no migration background","Urban Area","768","0.146023566179211","0.136321454175463","0.155725678182959"
"Min 1x per week","1990","no migration background","Rural Area","229","0.140213682776225","0.122978515757532","0.157448849794917"
"Min 1x per week","1990","direct migration background","Urban Area","339","0.145540433730106","0.130857906883925","0.160222960576287"
"Min 1x per week","1990","direct migration background","Rural Area","47","0.163076078031068","0.122213911740901","0.203938244321234"
"Min 1x per week","1990","indirect migration background","Urban Area","39","0.127063059337044","0.0862659682298422","0.167860150444247"
"Min 1x per week","1990","indirect migration background","Rural Area","9","","",""
"Min 1x per month","1990","no migration background","Urban Area","91","0.0180903292702878","0.0144285608904424","0.0217520976501331"
"Min 1x per month","1990","no migration background","Rural Area","39","0.026571659186151","0.0185882872446569","0.034555031127645"
"Min 1x per month","1990","direct migration background","Urban Area","20","","",""
"Min 1x per month","1990","direct migration background","Rural Area","4","","",""
"Min 1x per month","1990","indirect migration background","Urban Area","2","","",""
"Min 1x per month","1990","indirect migration background","Rural Area","","","",""
"Rarely","1990","no migration background","Urban Area","200","0.0388305226856374","0.0335226747861598","0.0441383705851151"
"Rarely","1990","no migration background","Rural Area","52","0.0325415470471538","0.023733892082019","0.0413492020122887"
"Rarely","1990","direct migration background","Urban Area","64","0.0277010451975335","0.0208680486642603","0.0345340417308067"
"Rarely","1990","direct migration background","Rural Area","6","","",""
"Rarely","1990","indirect migration background","Urban Area","14","","",""
"Rarely","1990","indirect migration background","Rural Area","","","",""
"Never","1990","no migration background","Urban Area","49","0.0102583544810104","0.00748993664279591","0.0130267723192249"
"Never","1990","no migration background","Rural Area","12","","",""
"Never","1990","direct migration background","Urban Area","30","0.0141174730683515","0.00920551917347478","0.0190294269632282"
"Never","1990","direct migration background","Rural Area","6","","",""
"Never","1990","indirect migration background","Urban Area","2","","",""
"Never","1990","indirect migration background","Rural Area","","","",""
"Daily","1991","no migration background","Urban Area","","","",""
"Daily","1991","no migration background","Rural Area","","","",""
"Daily","1991","direct migration background","Urban Area","","","",""
"Daily","1991","direct migration background","Rural Area","","","",""
"Daily","1991","indirect migration background","Urban Area","","","",""
"Daily","1991","indirect migration background","Rural Area","","","",""
"Min 1x per week","1991","no migration background","Urban Area","","","",""
"Min 1x per week","1991","no migration background","Rural Area","","","",""
"Min 1x per week","1991","direct migration background","Urban Area","","","",""
"Min 1x per week","1991","direct migration background","Rural Area","","","",""
"Min 1x per week","1991","indirect migration background","Urban Area","","","",""
"Min 1x per week","1991","indirect migration background","Rural Area","","","",""
"Min 1x per month","1991","no migration background","Urban Area","","","",""
"Min 1x per month","1991","no migration background","Rural Area","","","",""
"Min 1x per month","1991","direct migration background","Urban Area","","","",""
"Min 1x per month","1991","direct migration background","Rural Area","","","",""
"Min 1x per month","1991","indirect migration background","Urban Area","","","",""
"Min 1x per month","1991","indirect migration background","Rural Area","","","",""
"Rarely","1991","no migration background","Urban Area","","","",""
"Rarely","1991","no migration background","Rural Area","","","",""
"Rarely","1991","direct migration background","Urban Area","","","",""
"Rarely","1991","direct migration background","Rural Area","","","",""
"Rarely","1991","indirect migration background","Urban Area","","","",""
"Rarely","1991","indirect migration background","Rural Area","","","",""
"Never","1991","no migration background","Urban Area","","","",""
"Never","1991","no migration background","Rural Area","","","",""
"Never","1991","direct migration background","Urban Area","","","",""
"Never","1991","direct migration background","Rural Area","","","",""
"Never","1991","indirect migration background","Urban Area","","","",""
"Never","1991","indirect migration background","Rural Area","","","",""
"Daily","1992","no migration background","Urban Area","","","",""
