"pli0083","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","(0) in school","in school","123","0.709184054978409","0.639034690388496","0.779333419568323"
"Daily","1990","(0) in school","inadequately","","","",""
"Daily","1990","(0) in school","general elemantary","","","",""
"Daily","1990","(0) in school","middle vocational","","","",""
"Daily","1990","(0) in school","vocational + Abi","","","",""
"Daily","1990","(0) in school","higher vocational","","","",""
"Daily","1990","(0) in school","higher education","","","",""
"Daily","1990","(1a) inadequately completed","in school","","","",""
"Daily","1990","(1a) inadequately completed","inadequately","483","0.790151230953172","0.757703918773281","0.822598543133063"
"Daily","1990","(1a) inadequately completed","general elemantary","","","",""
"Daily","1990","(1a) inadequately completed","middle vocational","65","0.911352842371507","0.847450470445535","0.975255214297479"
"Daily","1990","(1a) inadequately completed","vocational + Abi","","","",""
"Daily","1990","(1a) inadequately completed","higher vocational","2","","",""
"Daily","1990","(1a) inadequately completed","higher education","","","",""
"Daily","1990","(1b) general elementary school","in school","","","",""
"Daily","1990","(1b) general elementary school","inadequately","26","","",""
"Daily","1990","(1b) general elementary school","general elemantary","1734","0.846416079122267","0.831035637624423","0.86179652062011"
"Daily","1990","(1b) general elementary school","middle vocational","","","",""
"Daily","1990","(1b) general elementary school","vocational + Abi","","","",""
"Daily","1990","(1b) general elementary school","higher vocational","","","",""
"Daily","1990","(1b) general elementary school","higher education","","","",""
"Daily","1990","(1c) basic vocational qualification","in school","","","",""
"Daily","1990","(1c) basic vocational qualification","inadequately","","","",""
"Daily","1990","(1c) basic vocational qualification","general elemantary","","","",""
"Daily","1990","(1c) basic vocational qualification","middle vocational","2508","0.841124481981807","0.828028038914526","0.854220925049088"
"Daily","1990","(1c) basic vocational qualification","vocational + Abi","","","",""
"Daily","1990","(1c) basic vocational qualification","higher vocational","195","0.840254618907727","0.792594538409961","0.887914699405494"
"Daily","1990","(1c) basic vocational qualification","higher education","","","",""
"Daily","1990","(2b) intermediate general qualification","in school","","","",""
"Daily","1990","(2b) intermediate general qualification","inadequately","","","",""
"Daily","1990","(2b) intermediate general qualification","general elemantary","261","0.723883794206361","0.677701317893804","0.770066270518917"
"Daily","1990","(2b) intermediate general qualification","middle vocational","","","",""
"Daily","1990","(2b) intermediate general qualification","vocational + Abi","","","",""
"Daily","1990","(2b) intermediate general qualification","higher vocational","","","",""
"Daily","1990","(2b) intermediate general qualification","higher education","","","",""
"Daily","1990","(2a) intermediate vocational","in school","","","",""
"Daily","1990","(2a) intermediate vocational","inadequately","","","",""
"Daily","1990","(2a) intermediate vocational","general elemantary","","","",""
"Daily","1990","(2a) intermediate vocational","middle vocational","833","0.768402820768359","0.74348468547329","0.793320956063427"
"Daily","1990","(2a) intermediate vocational","vocational + Abi","","","",""
"Daily","1990","(2a) intermediate vocational","higher vocational","111","0.714997376298158","0.646119020412789","0.783875732183527"
"Daily","1990","(2a) intermediate vocational","higher education","","","",""
"Daily","1990","(2c_gen) general maturity certificate","in school","","","",""
"Daily","1990","(2c_gen) general maturity certificate","inadequately","","","",""
"Daily","1990","(2c_gen) general maturity certificate","general elemantary","","","",""
"Daily","1990","(2c_gen) general maturity certificate","middle vocational","214","0.610963434804667","0.559141758984167","0.662785110625168"
"Daily","1990","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Daily","1990","(2c_gen) general maturity certificate","higher vocational","","","",""
"Daily","1990","(2c_gen) general maturity certificate","higher education","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","in school","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","vocational + Abi","204","0.629000678239076","0.573781932138935","0.684219424339216"
"Daily","1990","(2c_voc) vocational maturity certificate","higher vocational","83","0.711381939266705","0.629625822170042","0.793138056363368"
"Daily","1990","(2c_voc) vocational maturity certificate","higher education","","","",""
"Daily","1990","(3a) lower tertiary education","in school","","","",""
"Daily","1990","(3a) lower tertiary education","inadequately","","","",""
"Daily","1990","(3a) lower tertiary education","general elemantary","","","",""
"Daily","1990","(3a) lower tertiary education","middle vocational","","","",""
"Daily","1990","(3a) lower tertiary education","vocational + Abi","","","",""
"Daily","1990","(3a) lower tertiary education","higher vocational","","","",""
"Daily","1990","(3a) lower tertiary education","higher education","164","0.695453124525677","0.636861583118796","0.754044665932558"
"Daily","1990","(3b) higher tertiary education","in school","","","",""
"Daily","1990","(3b) higher tertiary education","inadequately","","","",""
"Daily","1990","(3b) higher tertiary education","general elemantary","","","",""
"Daily","1990","(3b) higher tertiary education","middle vocational","","","",""
