"pli0083","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","Male","2493","0.785936493319109","0.771707253636483","0.800165733001734"
"Daily","1990","no migration background","Female","2715","0.789973995532532","0.776393858352021","0.803554132713042"
"Daily","1990","direct migration background","Male","1047","0.774757723304911","0.752340692553183","0.797174754056638"
"Daily","1990","direct migration background","Female","967","0.828224307130894","0.806847770576055","0.849600843685734"
"Daily","1990","indirect migration background","Male","112","0.807368421778568","0.742956468995614","0.871780374561522"
"Daily","1990","indirect migration background","Female","115","0.814531302010736","0.752122742606885","0.876939861414586"
"Min 1x per week","1990","no migration background","Male","493","0.149074741722733","0.136719126074379","0.161430357371087"
"Min 1x per week","1990","no migration background","Female","504","0.140706592252698","0.129113769744294","0.152299414761102"
"Min 1x per week","1990","direct migration background","Male","217","0.1679911724857","0.147929027072462","0.188053317898939"
"Min 1x per week","1990","direct migration background","Female","169","0.126996023597977","0.108125425137547","0.145866622058407"
"Min 1x per week","1990","indirect migration background","Male","27","","",""
"Min 1x per week","1990","indirect migration background","Female","21","","",""
"Min 1x per month","1990","no migration background","Male","66","0.0200958727969386","0.0152277460207688","0.0249639995731083"
"Min 1x per month","1990","no migration background","Female","64","0.0200559220059847","0.0153819814300905","0.0247298625818788"
"Min 1x per month","1990","direct migration background","Male","14","","",""
"Min 1x per month","1990","direct migration background","Female","10","","",""
"Min 1x per month","1990","indirect migration background","Male","","","",""
"Min 1x per month","1990","indirect migration background","Female","2","","",""
"Rarely","1990","no migration background","Male","113","0.0377364961188772","0.0311258418680599","0.0443471503696944"
"Rarely","1990","no migration background","Female","139","0.0370202960688098","0.0307253830301366","0.0433152091074829"
"Rarely","1990","direct migration background","Male","35","0.0330020778743196","0.023415721077877","0.0425884346707622"
"Rarely","1990","direct migration background","Female","35","0.0242522560546612","0.0155340455398492","0.0329704665694732"
"Rarely","1990","indirect migration background","Male","4","","",""
"Rarely","1990","indirect migration background","Female","10","","",""
"Never","1990","no migration background","Male","27","","",""
"Never","1990","no migration background","Female","34","0.0122431941399758","0.00857684679084238","0.0159095414891093"
"Never","1990","direct migration background","Male","21","","",""
"Never","1990","direct migration background","Female","15","","",""
"Never","1990","indirect migration background","Male","1","","",""
"Never","1990","indirect migration background","Female","1","","",""
"Daily","1991","no migration background","Male","","","",""
"Daily","1991","no migration background","Female","","","",""
"Daily","1991","direct migration background","Male","","","",""
"Daily","1991","direct migration background","Female","","","",""
"Daily","1991","indirect migration background","Male","","","",""
"Daily","1991","indirect migration background","Female","","","",""
"Min 1x per week","1991","no migration background","Male","","","",""
"Min 1x per week","1991","no migration background","Female","","","",""
"Min 1x per week","1991","direct migration background","Male","","","",""
"Min 1x per week","1991","direct migration background","Female","","","",""
"Min 1x per week","1991","indirect migration background","Male","","","",""
"Min 1x per week","1991","indirect migration background","Female","","","",""
"Min 1x per month","1991","no migration background","Male","","","",""
"Min 1x per month","1991","no migration background","Female","","","",""
"Min 1x per month","1991","direct migration background","Male","","","",""
"Min 1x per month","1991","direct migration background","Female","","","",""
"Min 1x per month","1991","indirect migration background","Male","","","",""
"Min 1x per month","1991","indirect migration background","Female","","","",""
"Rarely","1991","no migration background","Male","","","",""
"Rarely","1991","no migration background","Female","","","",""
"Rarely","1991","direct migration background","Male","","","",""
"Rarely","1991","direct migration background","Female","","","",""
"Rarely","1991","indirect migration background","Male","","","",""
"Rarely","1991","indirect migration background","Female","","","",""
"Never","1991","no migration background","Male","","","",""
"Never","1991","no migration background","Female","","","",""
"Never","1991","direct migration background","Male","","","",""
"Never","1991","direct migration background","Female","","","",""
"Never","1991","indirect migration background","Male","","","",""
"Never","1991","indirect migration background","Female","","","",""
"Daily","1992","no migration background","Male","","","",""
"Daily","1992","no migration background","Female","","","",""
"Daily","1992","direct migration background","Male","","","",""
"Daily","1992","direct migration background","Female","","","",""
"Daily","1992","indirect migration background","Male","","","",""
"Daily","1992","indirect migration background","Female","","","",""
"Min 1x per week","1992","no migration background","Male","","","",""
"Min 1x per week","1992","no migration background","Female","","","",""
"Min 1x per week","1992","direct migration background","Male","","","",""
"Min 1x per week","1992","direct migration background","Female","","","",""
"Min 1x per week","1992","indirect migration background","Male","","","",""
"Min 1x per week","1992","indirect migration background","Female","","","",""
"Min 1x per month","1992","no migration background","Male","","","",""
"Min 1x per month","1992","no migration background","Female","","","",""
"Min 1x per month","1992","direct migration background","Male","","","",""
"Min 1x per month","1992","direct migration background","Female","","","",""
"Min 1x per month","1992","indirect migration background","Male","","","",""
"Min 1x per month","1992","indirect migration background","Female","","","",""
"Rarely","1992","no migration background","Male","","","",""
"Rarely","1992","no migration background","Female","","","",""
"Rarely","1992","direct migration background","Male","","","",""
"Rarely","1992","direct migration background","Female","","","",""
"Rarely","1992","indirect migration background","Male","","","",""
"Rarely","1992","indirect migration background","Female","","","",""
"Never","1992","no migration background","Male","","","",""
"Never","1992","no migration background","Female","","","",""
"Never","1992","direct migration background","Male","","","",""
"Never","1992","direct migration background","Female","","","",""
"Never","1992","indirect migration background","Male","","","",""
"Never","1992","indirect migration background","Female","","","",""
"Daily","1993","no migration background","Male","","","",""
"Daily","1993","no migration background","Female","","","",""
"Daily","1993","direct migration background","Male","","","",""
"Daily","1993","direct migration background","Female","","","",""
"Daily","1993","indirect migration background","Male","","","",""
"Daily","1993","indirect migration background","Female","","","",""
"Min 1x per week","1993","no migration background","Male","","","",""
"Min 1x per week","1993","no migration background","Female","","","",""
"Min 1x per week","1993","direct migration background","Male","","","",""
"Min 1x per week","1993","direct migration background","Female","","","",""
"Min 1x per week","1993","indirect migration background","Male","","","",""
"Min 1x per week","1993","indirect migration background","Female","","","",""
"Min 1x per month","1993","no migration background","Male","","","",""
"Min 1x per month","1993","no migration background","Female","","","",""
"Min 1x per month","1993","direct migration background","Male","","","",""
"Min 1x per month","1993","direct migration background","Female","","","",""
"Min 1x per month","1993","indirect migration background","Male","","","",""
"Min 1x per month","1993","indirect migration background","Female","","","",""
"Rarely","1993","no migration background","Male","","","",""
"Rarely","1993","no migration background","Female","","","",""
"Rarely","1993","direct migration background","Male","","","",""
"Rarely","1993","direct migration background","Female","","","",""
"Rarely","1993","indirect migration background","Male","","","",""
"Rarely","1993","indirect migration background","Female","","","",""
"Never","1993","no migration background","Male","","","",""
"Never","1993","no migration background","Female","","","",""
"Never","1993","direct migration background","Male","","","",""
"Never","1993","direct migration background","Female","","","",""
"Never","1993","indirect migration background","Male","","","",""
"Never","1993","indirect migration background","Female","","","",""
"Daily","1994","no migration background","Male","","","",""
"Daily","1994","no migration background","Female","","","",""
"Daily","1994","direct migration background","Male","","","",""
"Daily","1994","direct migration background","Female","","","",""
"Daily","1994","indirect migration background","Male","","","",""
"Daily","1994","indirect migration background","Female","","","",""
"Min 1x per week","1994","no migration background","Male","","","",""
"Min 1x per week","1994","no migration background","Female","","","",""
"Min 1x per week","1994","direct migration background","Male","","","",""
"Min 1x per week","1994","direct migration background","Female","","","",""
"Min 1x per week","1994","indirect migration background","Male","","","",""
"Min 1x per week","1994","indirect migration background","Female","","","",""
"Min 1x per month","1994","no migration background","Male","","","",""
"Min 1x per month","1994","no migration background","Female","","","",""
"Min 1x per month","1994","direct migration background","Male","","","",""
"Min 1x per month","1994","direct migration background","Female","","","",""
"Min 1x per month","1994","indirect migration background","Male","","","",""
"Min 1x per month","1994","indirect migration background","Female","","","",""
"Rarely","1994","no migration background","Male","","","",""
