"plb0037_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Permanent","1985","no migration background","Urban Area","2648","0.874724530984347","0.862933851673269","0.886515210295425"
"Permanent","1985","no migration background","Rural Area","752","0.871408675705699","0.849049113832493","0.893768237578905"
"Permanent","1985","direct migration background","Urban Area","1442","0.895425193579782","0.88042654780157","0.910423839357993"
"Permanent","1985","direct migration background","Rural Area","191","0.853687769417343","0.806336562862088","0.901038975972598"
"Permanent","1985","indirect migration background","Urban Area","35","0.758569793163599","0.644427974848272","0.872711611478926"
"Permanent","1985","indirect migration background","Rural Area","7","","",""
"Limited","1985","no migration background","Urban Area","380","0.125275469015653","0.113484789704575","0.137066148326731"
"Limited","1985","no migration background","Rural Area","109","0.128591324294301","0.106231762421095","0.150950886167507"
"Limited","1985","direct migration background","Urban Area","157","0.104574806420218","0.0895761606420069","0.11957345219843"
"Limited","1985","direct migration background","Rural Area","23","","",""
"Limited","1985","indirect migration background","Urban Area","19","","",""
"Limited","1985","indirect migration background","Rural Area","","","",""
"Permanent","1986","no migration background","Urban Area","395","0.753579109622548","0.716397650685073","0.790760568560023"
"Permanent","1986","no migration background","Rural Area","82","0.642820670237599","0.559810523448667","0.725830817026531"
"Permanent","1986","direct migration background","Urban Area","114","0.828581294649754","0.768668032751267","0.88849455654824"
"Permanent","1986","direct migration background","Rural Area","21","","",""
"Permanent","1986","indirect migration background","Urban Area","8","","",""
"Permanent","1986","indirect migration background","Rural Area","4","","",""
"Limited","1986","no migration background","Urban Area","121","0.246420890377452","0.209239431439977","0.283602349314927"
"Limited","1986","no migration background","Rural Area","46","0.357179329762401","0.274169182973469","0.440189476551333"
"Limited","1986","direct migration background","Urban Area","38","0.171418705350246","0.11150544345176","0.231331967248733"
"Limited","1986","direct migration background","Rural Area","6","","",""
"Limited","1986","indirect migration background","Urban Area","6","","",""
"Limited","1986","indirect migration background","Rural Area","1","","",""
"Permanent","1987","no migration background","Urban Area","438","0.724801437118813","0.689589780566424","0.760013093671202"
"Permanent","1987","no migration background","Rural Area","161","0.734913177061715","0.676852286749591","0.79297406737384"
"Permanent","1987","direct migration background","Urban Area","165","0.70197552208948","0.643496363931632","0.760454680247328"
"Permanent","1987","direct migration background","Rural Area","22","","",""
"Permanent","1987","indirect migration background","Urban Area","13","","",""
"Permanent","1987","indirect migration background","Rural Area","4","","",""
"Limited","1987","no migration background","Urban Area","180","0.275198562881187","0.239986906328798","0.310410219433576"
"Limited","1987","no migration background","Rural Area","61","0.265086822938285","0.20702593262616","0.323147713250409"
"Limited","1987","direct migration background","Urban Area","70","0.29802447791052","0.239545319752672","0.356503636068368"
"Limited","1987","direct migration background","Rural Area","16","","",""
"Limited","1987","indirect migration background","Urban Area","10","","",""
"Limited","1987","indirect migration background","Rural Area","","","",""
"Permanent","1988","no migration background","Urban Area","2482","0.895929483751353","0.884625349387344","0.907233618115361"
"Permanent","1988","no migration background","Rural Area","664","0.83737180680567","0.811719784284546","0.863023829326795"
"Permanent","1988","direct migration background","Urban Area","1265","0.909001325808019","0.893973338033721","0.924029313582317"
"Permanent","1988","direct migration background","Rural Area","184","0.86978643906045","0.823376945391393","0.916195932729507"
"Permanent","1988","indirect migration background","Urban Area","57","0.717552397746437","0.626544324405493","0.808560471087381"
"Permanent","1988","indirect migration background","Rural Area","12","","",""
"Limited","1988","no migration background","Urban Area","321","0.104070516248647","0.0927663818846388","0.115374650612656"
"Limited","1988","no migration background","Rural Area","131","0.16262819319433","0.136976170673205","0.188280215715454"
"Limited","1988","direct migration background","Urban Area","142","0.0909986741919809","0.0759706864176827","0.106026661966279"
"Limited","1988","direct migration background","Rural Area","18","","",""
"Limited","1988","indirect migration background","Urban Area","37","0.282447602253563","0.191439528912619","0.373455675594507"
"Limited","1988","indirect migration background","Rural Area","4","","",""
"Permanent","1989","no migration background","Urban Area","357","0.752479950568823","0.714345438179086","0.790614462958561"
"Permanent","1989","no migration background","Rural Area","110","0.780104912922247","0.711741646641654","0.84846817920284"
"Permanent","1989","direct migration background","Urban Area","130","0.683199951006313","0.618234641589468","0.748165260423158"
"Permanent","1989","direct migration background","Rural Area","24","","",""
"Permanent","1989","indirect migration background","Urban Area","18","","",""
"Permanent","1989","indirect migration background","Rural Area","5","","",""
"Limited","1989","no migration background","Urban Area","135","0.247520049431177","0.209385537041439","0.285654561820914"
"Limited","1989","no migration background","Rural Area","31","0.219895087077753","0.15153182079716","0.288258353358346"
"Limited","1989","direct migration background","Urban Area","67","0.316800048993687","0.251834739576842","0.381765358410532"
"Limited","1989","direct migration background","Rural Area","7","","",""
"Limited","1989","indirect migration background","Urban Area","13","","",""
"Limited","1989","indirect migration background","Rural Area","","","",""
"Permanent","1990","no migration background","Urban Area","376","0.765234368016505","0.72789559997348","0.802573136059529"
"Permanent","1990","no migration background","Rural Area","131","0.841784600942525","0.784880389238851","0.898688812646199"
"Permanent","1990","direct migration background","Urban Area","146","0.74551268522208","0.684842393340878","0.806182977103282"
"Permanent","1990","direct migration background","Rural Area","26","","",""
"Permanent","1990","indirect migration background","Urban Area","25","","",""
"Permanent","1990","indirect migration background","Rural Area","4","","",""
"Limited","1990","no migration background","Urban Area","119","0.234765631983495","0.197426863940471","0.27210440002652"
"Limited","1990","no migration background","Rural Area","27","","",""
"Limited","1990","direct migration background","Urban Area","52","0.25448731477792","0.193817022896718","0.315157606659122"
"Limited","1990","direct migration background","Rural Area","10","","",""
"Limited","1990","indirect migration background","Urban Area","18","","",""
"Limited","1990","indirect migration background","Rural Area","2","","",""
"Permanent","1991","no migration background","Urban Area","590","0.779398240445674","0.749879509351749","0.808916971539599"
"Permanent","1991","no migration background","Rural Area","422","0.755734547245441","0.720021545340009","0.791447549150872"
"Permanent","1991","direct migration background","Urban Area","172","0.788333837255808","0.734720053073613","0.841947621438004"
"Permanent","1991","direct migration background","Rural Area","41","0.790217037374316","0.671257261901772","0.90917681284686"
"Permanent","1991","indirect migration background","Urban Area","36","0.61096580607061","0.485496806790039","0.736434805351181"
"Permanent","1991","indirect migration background","Rural Area","3","","",""
"Limited","1991","no migration background","Urban Area","168","0.220601759554326","0.191083028460401","0.250120490648251"
"Limited","1991","no migration background","Rural Area","134","0.244265452754559","0.208552450849128","0.279978454659991"
"Limited","1991","direct migration background","Urban Area","51","0.211666162744192","0.158052378561996","0.265279946926387"
"Limited","1991","direct migration background","Rural Area","4","","",""
"Limited","1991","indirect migration background","Urban Area","22","","",""
"Limited","1991","indirect migration background","Rural Area","1","","",""
"Permanent","1992","no migration background","Urban Area","571","0.77542511641421","0.745235987313171","0.805614245515248"
"Permanent","1992","no migration background","Rural Area","411","0.725395290872587","0.688626340564987","0.762164241180187"
"Permanent","1992","direct migration background","Urban Area","137","0.794926424492304","0.734586857924168","0.855265991060439"
"Permanent","1992","direct migration background","Rural Area","31","0.691514002964021","0.550138429477876","0.832889576450165"
"Permanent","1992","indirect migration background","Urban Area","35","0.593938917801236","0.466448589725394","0.721429245877078"
"Permanent","1992","indirect migration background","Rural Area","5","","",""
"Limited","1992","no migration background","Urban Area","163","0.22457488358579","0.194385754484752","0.254764012686829"
"Limited","1992","no migration background","Rural Area","155","0.274604709127413","0.237835758819813","0.311373659435013"
"Limited","1992","direct migration background","Urban Area","35","0.205073575507697","0.144734008939561","0.265413142075832"
"Limited","1992","direct migration background","Rural Area","10","","",""
"Limited","1992","indirect migration background","Urban Area","22","","",""
"Limited","1992","indirect migration background","Rural Area","5","","",""
"Permanent","1993","no migration background","Urban Area","557","0.800332999564009","0.770719646811548","0.82994635231647"
"Permanent","1993","no migration background","Rural Area","327","0.708968546593889","0.6665256318758","0.751411461311978"
"Permanent","1993","direct migration background","Urban Area","98","0.762189475349051","0.688144901179777","0.836234049518325"
"Permanent","1993","direct migration background","Rural Area","21","","",""
"Permanent","1993","indirect migration background","Urban Area","48","0.706311269515801","0.598846712088821","0.813775826942782"
"Permanent","1993","indirect migration background","Rural Area","3","","",""
"Limited","1993","no migration background","Urban Area","143","0.199667000435991","0.17005364768353","0.229280353188452"
"Limited","1993","no migration background","Rural Area","113","0.291031453406111","0.248588538688022","0.3334743681242"
"Limited","1993","direct migration background","Urban Area","29","","",""
"Limited","1993","direct migration background","Rural Area","8","","",""
"Limited","1993","indirect migration background","Urban Area","21","","",""
"Limited","1993","indirect migration background","Rural Area","5","","",""
"Permanent","1994","no migration background","Urban Area","427","0.732625002895429","0.696972624918424","0.768277380872434"
"Permanent","1994","no migration background","Rural Area","259","0.617234150275952","0.570299774308233","0.664168526243672"
"Permanent","1994","direct migration background","Urban Area","77","0.761191281909332","0.682926269792315","0.839456294026348"
"Permanent","1994","direct migration background","Rural Area","10","","",""
"Permanent","1994","indirect migration background","Urban Area","56","0.548886607069937","0.451357944544998","0.646415269594875"
"Permanent","1994","indirect migration background","Rural Area","6","","",""
"Limited","1994","no migration background","Urban Area","165","0.267374997104571","0.231722619127566","0.303027375081576"
"Limited","1994","no migration background","Rural Area","153","0.382765849724048","0.335831473756329","0.429700225691767"
"Limited","1994","direct migration background","Urban Area","37","0.238808718090668","0.160543705973652","0.317073730207685"
"Limited","1994","direct migration background","Rural Area","11","","",""
"Limited","1994","indirect migration background","Urban Area","44","0.451113392930063","0.353584730405125","0.548642055455002"
"Limited","1994","indirect migration background","Rural Area","3","","",""
"Permanent","1995","no migration background","Urban Area","2963","0.902652320606089","0.892529318046284","0.912775323165894"
"Permanent","1995","no migration background","Rural Area","1807","0.8378454425136","0.82230486180723","0.853386023219969"
"Permanent","1995","direct migration background","Urban Area","1115","0.890146889323975","0.872664162625795","0.907629616022155"
"Permanent","1995","direct migration background","Rural Area","196","0.852163726013566","0.80609218981974","0.898235262207392"
"Permanent","1995","indirect migration background","Urban Area","167","0.639914238819218","0.580529467088647","0.699299010549789"
"Permanent","1995","indirect migration background","Rural Area","27","","",""
"Limited","1995","no migration background","Urban Area","331","0.0973476793939112","0.0872246768341063","0.107470681953716"
"Limited","1995","no migration background","Rural Area","354","0.1621545574864","0.146613976780031","0.17769513819277"
"Limited","1995","direct migration background","Urban Area","114","0.109853110676025","0.0923703839778446","0.127335837374205"
"Limited","1995","direct migration background","Rural Area","32","0.147836273986434","0.101764737792608","0.19390781018026"
"Limited","1995","indirect migration background","Urban Area","84","0.360085761180782","0.300700989450211","0.419470532911353"
"Limited","1995","indirect migration background","Rural Area","17","","",""
"Permanent","1996","no migration background","Urban Area","2917","0.896957286490423","0.886513280335566","0.907401292645281"
"Permanent","1996","no migration background","Rural Area","1790","0.866788401055166","0.852241180678315","0.881335621432017"
"Permanent","1996","direct migration background","Urban Area","1023","0.884493578865229","0.865815928735691","0.903171228994766"
"Permanent","1996","direct migration background","Rural Area","196","0.878338233944803","0.835239957117723","0.921436510771883"
"Permanent","1996","indirect migration background","Urban Area","172","0.645211484631443","0.586139217117087","0.704283752145798"
"Permanent","1996","indirect migration background","Rural Area","27","","",""
"Limited","1996","no migration background","Urban Area","338","0.103042713509577","0.0925987073547192","0.113486719664434"
"Limited","1996","no migration background","Rural Area","306","0.133211598944834","0.118664378567983","0.147758819321685"
"Limited","1996","direct migration background","Urban Area","102","0.115506421134771","0.0968287710052338","0.134184071264309"
"Limited","1996","direct migration background","Rural Area","25","","",""
"Limited","1996","indirect migration background","Urban Area","80","0.354788515368557","0.295716247854201","0.413860782882913"
"Limited","1996","indirect migration background","Rural Area","16","","",""
"Permanent","1997","no migration background","Urban Area","2757","0.882648049142178","0.871398224263606","0.893897874020749"
"Permanent","1997","no migration background","Rural Area","1713","0.853473750878893","0.838109241928678","0.868838259829108"
"Permanent","1997","direct migration background","Urban Area","944","0.873461059156224","0.853304155627836","0.893617962684613"
"Permanent","1997","direct migration background","Rural Area","180","0.879108938642565","0.834591217573448","0.923626659711683"
"Permanent","1997","indirect migration background","Urban Area","176","0.542686317964584","0.48505100227087","0.600321633658299"
"Permanent","1997","indirect migration background","Rural Area","35","0.711106330235297","0.586712371764445","0.83550028870615"
"Limited","1997","no migration background","Urban Area","387","0.117351950857822","0.106102125979251","0.128601775736394"
"Limited","1997","no migration background","Rural Area","322","0.146526249121107","0.131161740170892","0.161890758071322"
"Limited","1997","direct migration background","Urban Area","101","0.126538940843776","0.106382037315388","0.146695844372164"
"Limited","1997","direct migration background","Rural Area","26","","",""
"Limited","1997","indirect migration background","Urban Area","111","0.457313682035415","0.399678366341701","0.51494899772913"
"Limited","1997","indirect migration background","Rural Area","16","","",""
"Permanent","1998","no migration background","Urban Area","3167","0.887187243875318","0.876838500539341","0.897535987211295"
"Permanent","1998","no migration background","Rural Area","1940","0.856709871699425","0.842353486504357","0.871066256894494"
"Permanent","1998","direct migration background","Urban Area","907","0.861524151011617","0.840368867047498","0.882679434975735"
"Permanent","1998","direct migration background","Rural Area","162","0.899382543803432","0.855916704184194","0.94284838342267"
"Permanent","1998","indirect migration background","Urban Area","178","0.582992202740805","0.525647621992596","0.640336783489013"
"Permanent","1998","indirect migration background","Rural Area","34","0.682853400613752","0.555134029696377","0.810572771531127"
"Limited","1998","no migration background","Urban Area","423","0.112812756124682","0.102464012788705","0.123161499460659"
"Limited","1998","no migration background","Rural Area","348","0.143290128300575","0.128933743105506","0.157646513495643"
"Limited","1998","direct migration background","Urban Area","117","0.138475848988383","0.117320565024265","0.159631132952502"
"Limited","1998","direct migration background","Rural Area","22","","",""
"Limited","1998","indirect migration background","Urban Area","106","0.417007797259195","0.359663216510987","0.474352378007404"
"Limited","1998","indirect migration background","Rural Area","17","","",""
"Permanent","1999","no migration background","Urban Area","3119","0.88338388388085","0.872858295349733","0.893909472411967"
"Permanent","1999","no migration background","Rural Area","1897","0.838958207381321","0.823919995217242","0.8539964195454"
"Permanent","1999","direct migration background","Urban Area","843","0.871005027102014","0.849611176029668","0.89239887817436"
"Permanent","1999","direct migration background","Rural Area","143","0.829691745673534","0.773514544143483","0.885868947203586"
"Permanent","1999","indirect migration background","Urban Area","202","0.601361293337686","0.547032724808679","0.655689861866692"
"Permanent","1999","indirect migration background","Rural Area","36","0.829375267245788","0.726132524110829","0.932618010380746"
"Limited","1999","no migration background","Urban Area","453","0.11661611611915","0.106090527588033","0.127141704650267"
"Limited","1999","no migration background","Rural Area","398","0.161041792618679","0.1460035804546","0.176080004782758"
"Limited","1999","direct migration background","Urban Area","100","0.128994972897986","0.10760112182564","0.150388823970332"
"Limited","1999","direct migration background","Rural Area","29","","",""
"Limited","1999","indirect migration background","Urban Area","110","0.398638706662314","0.344310138133308","0.452967275191321"
"Limited","1999","indirect migration background","Rural Area","15","","",""
"Permanent","2000","no migration background","Urban Area","5321","0.88092131630205","0.872758730265114","0.889083902338985"
"Permanent","2000","no migration background","Rural Area","3048","0.841538939547939","0.829719659494409","0.85335821960147"
"Permanent","2000","direct migration background","Urban Area","1170","0.85245911099105","0.833420906263058","0.871497315719042"
"Permanent","2000","direct migration background","Rural Area","204","0.829702719559745","0.782919795415684","0.876485643703806"
"Permanent","2000","indirect migration background","Urban Area","262","0.693809302552176","0.647283543075174","0.740335062029177"
"Permanent","2000","indirect migration background","Rural Area","39","0.72947954528214","0.615154677450069","0.84380441311421"
"Limited","2000","no migration background","Urban Area","727","0.11907868369795","0.110916097661015","0.127241269734886"
"Limited","2000","no migration background","Rural Area","619","0.158461060452061","0.14664178039853","0.170280340505591"
"Limited","2000","direct migration background","Urban Area","163","0.14754088900895","0.128502684280958","0.166579093736942"
"Limited","2000","direct migration background","Rural Area","44","0.170297280440255","0.123514356296194","0.217080204584316"
"Limited","2000","indirect migration background","Urban Area","115","0.306190697447824","0.259664937970823","0.352716456924826"
"Limited","2000","indirect migration background","Rural Area","19","","",""
"Permanent","2001","no migration background","Urban Area","4889","0.888966989956574","0.880695500808063","0.897238479105085"
"Permanent","2001","no migration background","Rural Area","2728","0.839405061916205","0.826851527153775","0.851958596678636"
"Permanent","2001","direct migration background","Urban Area","1055","0.837872208296672","0.817036249806709","0.858708166786636"
