"plb0037_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Limited","1985","Not Employed","no migration background","37","0.479817644933839","0.367497614995608","0.592137674872069","2"
"Limited","1985","Not Employed","direct migration background","13","","","","2"
"Limited","1985","Not Employed","indirect migration background","1","","","","2"
"Limited","1985","Employed","no migration background","452","0.119553610568633","0.109255738433347","0.129851482703919","2"
"Limited","1985","Employed","direct migration background","167","0.10450855994408","0.0902406817671452","0.118776438121014","2"
"Limited","1985","Employed","indirect migration background","18","","","","2"
"Permanent","1985","Not Employed","no migration background","39","0.520182355066161","0.407862325127931","0.632502385004392","1"
"Permanent","1985","Not Employed","direct migration background","34","0.692663288005224","0.560756402114964","0.824570173895483","1"
"Permanent","1985","Not Employed","indirect migration background","","","","","1"
"Permanent","1985","Employed","no migration background","3361","0.880446389431367","0.870148517296081","0.890744261566653","1"
"Permanent","1985","Employed","direct migration background","1599","0.89549144005592","0.881223561878986","0.909759318232855","1"
"Permanent","1985","Employed","indirect migration background","42","0.802838545073978","0.702169121797346","0.90350796835061","1"
"Limited","1986","Not Employed","direct migration background","5","","","","2"
"Limited","1986","Not Employed","no migration background","16","","","","2"
"Limited","1986","Employed","no migration background","151","0.251847389542142","0.217596698863292","0.286098080220992","2"
"Limited","1986","Not Employed","indirect migration background","","","","","2"
"Limited","1986","Employed","direct migration background","39","0.180033902484708","0.121409123985754","0.238658680983661","2"
"Limited","1986","Employed","indirect migration background","7","","","","2"
"Permanent","1986","Not Employed","no migration background","11","","","","1"
"Permanent","1986","Not Employed","direct migration background","9","","","","1"
"Permanent","1986","Not Employed","indirect migration background","1","","","","1"
"Permanent","1986","Employed","no migration background","466","0.748152610457858","0.713901919779008","0.782403301136708","1"
"Permanent","1986","Employed","direct migration background","126","0.819966097515292","0.761341319016339","0.878590876014246","1"
"Permanent","1986","Employed","indirect migration background","11","","","","1"
"Limited","1987","Not Employed","no migration background","17","","","","2"
"Limited","1987","Not Employed","direct migration background","10","","","","2"
"Limited","1987","Employed","no migration background","224","0.264432930539105","0.233775663643492","0.295090197434719","2"
"Limited","1987","Not Employed","indirect migration background","1","","","","2"
"Limited","1987","Employed","direct migration background","76","0.315615545235261","0.258004288680961","0.373226801789561","2"
"Limited","1987","Employed","indirect migration background","9","","","","2"
"Permanent","1987","Not Employed","no migration background","28","","","","1"
"Permanent","1987","Not Employed","direct migration background","13","","","","1"
"Permanent","1987","Not Employed","indirect migration background","","","","","1"
"Permanent","1987","Employed","no migration background","571","0.735567069460895","0.704909802565281","0.766224336356508","1"
"Permanent","1987","Employed","direct migration background","174","0.684384454764739","0.626773198210439","0.741995711319039","1"
"Permanent","1987","Employed","indirect migration background","17","","","","1"
"Limited","1988","Not Employed","no migration background","26","","","","2"
"Limited","1988","Not Employed","direct migration background","21","","","","2"
"Limited","1988","Not Employed","indirect migration background","5","","","","2"
"Limited","1988","Employed","no migration background","426","0.111690643291741","0.101310076299136","0.122071210284346","2"
"Limited","1988","Employed","direct migration background","139","0.0852774428056339","0.0715189958916914","0.0990358897195764","2"
"Limited","1988","Employed","indirect migration background","36","0.250315309059206","0.167456923252231","0.333173694866181","2"
"Permanent","1988","Not Employed","no migration background","35","0.577258672863407","0.453291767450966","0.701225578275847","1"
"Permanent","1988","Not Employed","direct migration background","5","","","","1"
"Permanent","1988","Not Employed","indirect migration background","","","","","1"
"Permanent","1988","Employed","no migration background","3111","0.888309356708259","0.877928789715654","0.898689923700864","1"
"Permanent","1988","Employed","direct migration background","1444","0.914722557194366","0.900964110280424","0.928481004108308","1"
"Permanent","1988","Employed","indirect migration background","69","0.749684690940794","0.666826305133819","0.832543076747769","1"
"Limited","1989","Not Employed","no migration background","19","","","","2"
"Limited","1989","Not Employed","direct migration background","12","","","","2"
"Limited","1989","Not Employed","indirect migration background","1","","","","2"
"Limited","1989","Employed","no migration background","147","0.225350253952142","0.191750462186655","0.25895004571763","2"
"Limited","1989","Employed","direct migration background","62","0.264946292396827","0.20408924669177","0.325803338101885","2"
"Limited","1989","Employed","indirect migration background","12","","","","2"
"Permanent","1989","Not Employed","no migration background","20","","","","1"
"Permanent","1989","Not Employed","direct migration background","14","","","","1"
