"plh0220","year","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","1709","0.112303564203846","0.10761741286333","0.116989715544362","1"
"1 Strongly disagree","2005","direct migration background","316","0.133680502198471","0.119883275075101","0.14747772932184","1"
"1 Strongly disagree","2005","indirect migration background","71","0.0770253267145367","0.0588421510696309","0.0952085023594424","1"
"2 on scale 1-7 ","2005","no migration background","2105","0.129243378612856","0.124264404752002","0.134222352473711","2"
"2 on scale 1-7 ","2005","indirect migration background","104","0.127275093498616","0.104546714383169","0.150003472614062","2"
"2 on scale 1-7 ","2005","direct migration background","297","0.124415417140658","0.111033914386327","0.137796919894989","2"
"3 on scale 1-7 ","2005","no migration background","2438","0.135132704992323","0.130058800657901","0.140206609326745","3"
"3 on scale 1-7 ","2005","direct migration background","339","0.145466708390953","0.131172337901397","0.159761078880509","3"
"3 on scale 1-7 ","2005","indirect migration background","119","0.155779293152165","0.131048335606427","0.180510250697903","3"
"4 on scale 1-7","2005","no migration background","3505","0.203765070439069","0.197786838170561","0.209743302707578","4"
"4 on scale 1-7","2005","indirect migration background","188","0.222600126118641","0.194231193007551","0.250969059229732","4"
"4 on scale 1-7","2005","direct migration background","505","0.200098084960838","0.18387779665712","0.216318373264557","4"
"5 on scale 1-7","2005","no migration background","3058","0.164304583529825","0.158804919599423","0.169804247460227","5"
"5 on scale 1-7","2005","direct migration background","381","0.177720064771052","0.162221309784128","0.193218819757976","5"
"5 on scale 1-7","2005","indirect migration background","126","0.145874854464154","0.121803028264267","0.169946680664042","5"
"6 on scale 1-7","2005","indirect migration background","128","0.155499617642908","0.130786777758427","0.180212457527389","6"
"6 on scale 1-7","2005","direct migration background","258","0.110220770560995","0.0975240492211741","0.122917491900816","6"
"6 on scale 1-7","2005","no migration background","2660","0.144277569888695","0.139062583617316","0.149492556160074","6"
"7 Strongly agree","2005","indirect migration background","90","0.11594568840898","0.0941121139087014","0.137779262909258","7"
"7 Strongly agree","2005","no migration background","1964","0.110973128333384","0.106311328084376","0.115634928582392","7"
"7 Strongly agree","2005","direct migration background","241","0.108398451977033","0.0957942404843077","0.121002663469758","7"
"1 Strongly disagree","2006","no migration background","","","","","1"
