"plh0220","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Schleswig-Holstein","no migration background","78","0.168034032569928","0.137446562989443","0.198621502150413"
"1 Strongly disagree","2005","Schleswig-Holstein","direct migration background","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","indirect migration background","","","",""
"1 Strongly disagree","2005","Hamburg","no migration background","","","",""
"1 Strongly disagree","2005","Hamburg","direct migration background","","","",""
"1 Strongly disagree","2005","Hamburg","indirect migration background","","","",""
"1 Strongly disagree","2005","Lower Saxony","no migration background","188","0.140485656367425","0.123102186950058","0.157869125784792"
"1 Strongly disagree","2005","Lower Saxony","direct migration background","","","",""
"1 Strongly disagree","2005","Lower Saxony","indirect migration background","","","",""
"1 Strongly disagree","2005","Bremen","no migration background","","","",""
"1 Strongly disagree","2005","Bremen","direct migration background","","","",""
"1 Strongly disagree","2005","Bremen","indirect migration background","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","no migration background","310","0.099408217873543","0.0894065992839917","0.109409836463094"
"1 Strongly disagree","2005","North Rhine-Westphalia","direct migration background","90","0.142401482638101","0.115305997694701","0.169496967581502"
"1 Strongly disagree","2005","North Rhine-Westphalia","indirect migration background","","","",""
"1 Strongly disagree","2005","Hesse","no migration background","101","0.0841954648807789","0.0675961714014927","0.100794758360065"
"1 Strongly disagree","2005","Hesse","direct migration background","35","0.214276114524004","0.158780290698356","0.269771938349653"
"1 Strongly disagree","2005","Hesse","indirect migration background","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","no migration background","127","0.139142080269614","0.117702018218656","0.160582142320571"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"1 Strongly disagree","2005","Baden-Württemberg","no migration background","123","0.0947704862427264","0.0810905422284425","0.10845043025701"
"1 Strongly disagree","2005","Baden-Württemberg","direct migration background","71","0.114829073829519","0.0878891443448357","0.141769003314202"
"1 Strongly disagree","2005","Baden-Württemberg","indirect migration background","","","",""
"1 Strongly disagree","2005","Bavaria","no migration background","264","0.123873402797028","0.11078041473227","0.136966390861785"
"1 Strongly disagree","2005","Bavaria","direct migration background","39","0.121501596043053","0.0866201387796041","0.156383053306501"
"1 Strongly disagree","2005","Bavaria","indirect migration background","","","",""
"1 Strongly disagree","2005","Berlin","no migration background","49","0.0731191160717443","0.0533772914836097","0.0928609406598789"
"1 Strongly disagree","2005","Berlin","direct migration background","","","",""
"1 Strongly disagree","2005","Berlin","indirect migration background","","","",""
"1 Strongly disagree","2005","Brandenburg","no migration background","80","0.0951726812060116","0.0756617855089794","0.114683576903044"
"1 Strongly disagree","2005","Brandenburg","direct migration background","","","",""
"1 Strongly disagree","2005","Brandenburg","indirect migration background","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","no migration background","32","0.0883594790390514","0.0631524307102272","0.113566527367876"
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","direct migration background","","","",""
