"plh0220","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","lower secondary degree","146","0.165512886200103","0.141767512839411","0.189258259560795"
"1 Strongly disagree","2005","16-34 y.","secondary school degree","176","0.116778379962432","0.101095840480474","0.132460919444389"
"1 Strongly disagree","2005","16-34 y.","college entrance qualification","112","0.0731992979014364","0.0603440966754096","0.0860544991274633"
"1 Strongly disagree","2005","16-34 y.","Other degree","","","",""
"1 Strongly disagree","2005","16-34 y.","no degree/no degree yet","74","0.125229951639523","0.100569779574564","0.149890123704481"
"1 Strongly disagree","2005","35-65 y.","lower secondary degree","457","0.146594378861159","0.135202177743554","0.157986579978765"
"1 Strongly disagree","2005","35-65 y.","secondary school degree","339","0.0941069054732737","0.0848935845229697","0.103320226423578"
"1 Strongly disagree","2005","35-65 y.","college entrance qualification","159","0.0559726439485359","0.0478026811002556","0.0641426067968161"
"1 Strongly disagree","2005","35-65 y.","Other degree","115","0.148808362141149","0.12379997780598","0.173816746476318"
"1 Strongly disagree","2005","35-65 y.","no degree/no degree yet","37","0.205967486607717","0.13921660402217","0.272718369193264"
"1 Strongly disagree","2005","66 and older","lower secondary degree","302","0.129926879469361","0.116430342599266","0.143423416339456"
"1 Strongly disagree","2005","66 and older","secondary school degree","40","0.0668025629024779","0.0457826080561745","0.0878225177487814"
"1 Strongly disagree","2005","66 and older","college entrance qualification","","","",""
"1 Strongly disagree","2005","66 and older","Other degree","34","0.213224107512392","0.151472479255512","0.274975735769273"
"1 Strongly disagree","2005","66 and older","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","16-34 y.","lower secondary degree","160","0.161969496394535","0.138429856831858","0.185509135957213"
"2 on scale 1-7 ","2005","16-34 y.","secondary school degree","238","0.158200797577346","0.140380747911315","0.176020847243377"
"2 on scale 1-7 ","2005","16-34 y.","college entrance qualification","169","0.119972631704154","0.103935694580099","0.136009568828208"
"2 on scale 1-7 ","2005","16-34 y.","Other degree","","","",""
"2 on scale 1-7 ","2005","16-34 y.","no degree/no degree yet","70","0.116445613196179","0.0925469695437947","0.140344256848563"
"2 on scale 1-7 ","2005","35-65 y.","lower secondary degree","475","0.127258039106383","0.116524158086289","0.137991920126477"
