"plh0220","year","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Male","1223","0.139691146215701","0.132846461491517","0.146535830939885","1"
"1 Strongly disagree","2005","Female","873","0.0892423920183897","0.0838526091797454","0.0946321748570339","1"
"2 on scale 1-7 ","2005","Female","1054","0.105500025112739","0.0996923714429689","0.11130767878251","2"
"2 on scale 1-7 ","2005","Male","1452","0.152974874458921","0.145867650329256","0.160082098588586","2"
"3 on scale 1-7 ","2005","Male","1563","0.152904463197673","0.145798579582989","0.160010346812356","3"
"3 on scale 1-7 ","2005","Female","1333","0.122511851511214","0.116313246777563","0.128710456244864","3"
"4 on scale 1-7","2005","Female","2176","0.204076367334539","0.19645704547523","0.211695689193848","4"
"4 on scale 1-7","2005","Male","2022","0.203938922128511","0.195983466331448","0.211894377925574","4"
"5 on scale 1-7","2005","Male","1543","0.14545262041971","0.138491636022475","0.152413604816945","5"
"5 on scale 1-7","2005","Female","2022","0.184095138590921","0.17676815561195","0.191422121569892","5"
"6 on scale 1-7","2005","Female","1836","0.15899217927924","0.152079090082491","0.16590526847599","6"
"6 on scale 1-7","2005","Male","1210","0.120456025013841","0.114029371961611","0.126882678066071","6"
"7 Strongly agree","2005","Female","1454","0.135582046152957","0.129109915983919","0.142054176321995","7"
"7 Strongly agree","2005","Male","841","0.0845819485656434","0.0790879266036312","0.0900759705276555","7"
"1 Strongly disagree","2006","Male","","","","","1"
"1 Strongly disagree","2006","Female","","","","","1"
"2 on scale 1-7 ","2006","Male","","","","","2"
"2 on scale 1-7 ","2006","Female","","","","","2"
"3 on scale 1-7 ","2006","Female","","","","","3"
"3 on scale 1-7 ","2006","Male","","","","","3"
"4 on scale 1-7","2006","Male","","","","","4"
"4 on scale 1-7","2006","Female","","","","","4"
"5 on scale 1-7","2006","Female","","","","","5"
"5 on scale 1-7","2006","Male","","","","","5"
"6 on scale 1-7","2006","Female","","","","","6"
"6 on scale 1-7","2006","Male","","","","","6"
"7 Strongly agree","2006","Female","","","","","7"
"7 Strongly agree","2006","Male","","","","","7"
"1 Strongly disagree","2007","Male","","","","","1"
"1 Strongly disagree","2007","Female","","","","","1"
"2 on scale 1-7 ","2007","Female","","","","","2"
"2 on scale 1-7 ","2007","Male","","","","","2"
"3 on scale 1-7 ","2007","Male","","","","","3"
"3 on scale 1-7 ","2007","Female","","","","","3"
"4 on scale 1-7","2007","Female","","","","","4"
"4 on scale 1-7","2007","Male","","","","","4"
"5 on scale 1-7","2007","Female","","","","","5"
"5 on scale 1-7","2007","Male","","","","","5"
"6 on scale 1-7","2007","Female","","","","","6"
"6 on scale 1-7","2007","Male","","","","","6"
"7 Strongly agree","2007","Male","","","","","7"
"7 Strongly agree","2007","Female","","","","","7"
"1 Strongly disagree","2008","Male","","","","","1"
"1 Strongly disagree","2008","Female","","","","","1"
"2 on scale 1-7 ","2008","Male","","","","","2"
"2 on scale 1-7 ","2008","Female","","","","","2"
"3 on scale 1-7 ","2008","Female","","","","","3"
"3 on scale 1-7 ","2008","Male","","","","","3"
"4 on scale 1-7","2008","Male","","","","","4"
"4 on scale 1-7","2008","Female","","","","","4"
"5 on scale 1-7","2008","Female","","","","","5"
"5 on scale 1-7","2008","Male","","","","","5"
"6 on scale 1-7","2008","Female","","","","","6"
"6 on scale 1-7","2008","Male","","","","","6"
"7 Strongly agree","2008","Male","","","","","7"
"7 Strongly agree","2008","Female","","","","","7"
"1 Strongly disagree","2009","Male","1130","0.141515439381314","0.134132942442151","0.148897936320476","1"
"1 Strongly disagree","2009","Female","840","0.106484554279038","0.100235640858611","0.112733467699466","1"
"2 on scale 1-7 ","2009","Female","1050","0.117268004399293","0.110750004218906","0.12378600457968","2"
