"plh0220","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","Male","421","0.143529873834837","0.131266484165861","0.155793263503813"
"1 Strongly disagree","2005","Not Employed","Female","408","0.0918555650298203","0.083563067856538","0.100148062203103"
"1 Strongly disagree","2005","Employed","Male","802","0.137820499256126","0.129575071737392","0.14606592677486"
"1 Strongly disagree","2005","Employed","Female","465","0.0869246796638985","0.0798479008681509","0.0940014584596462"
"2 on scale 1-7 ","2005","Not Employed","Male","407","0.141912340196594","0.129706738991693","0.154117941401495"
"2 on scale 1-7 ","2005","Not Employed","Female","429","0.0980120058726342","0.0894752050288437","0.106548806716425"
"2 on scale 1-7 ","2005","Employed","Male","1045","0.158365748242166","0.149633023890749","0.167098472593583"
"2 on scale 1-7 ","2005","Employed","Female","625","0.112141405008959","0.104215193315688","0.12006761670223"
"3 on scale 1-7 ","2005","Not Employed","Male","484","0.151811158463641","0.139260069973536","0.164362246953747"
"3 on scale 1-7 ","2005","Not Employed","Female","565","0.117696881480202","0.108444649404768","0.126949113555636"
"3 on scale 1-7 ","2005","Employed","Male","1079","0.153437240560258","0.14481634483251","0.162058136288006"
"3 on scale 1-7 ","2005","Employed","Female","768","0.126782412809132","0.118424429250231","0.135140396368033"
"4 on scale 1-7","2005","Not Employed","Male","635","0.196765740902726","0.182860480658652","0.2106710011468"
"4 on scale 1-7","2005","Not Employed","Female","966","0.209299974337002","0.197619900273131","0.220980048400872"
"4 on scale 1-7","2005","Employed","Male","1387","0.207434478724818","0.19773573503224","0.217133222417395"
"4 on scale 1-7","2005","Employed","Female","1210","0.199443371956256","0.18940607895467","0.209480664957841"
"5 on scale 1-7","2005","Not Employed","Male","483","0.144562878585252","0.132262861720405","0.156862895450098"
"5 on scale 1-7","2005","Not Employed","Female","891","0.186692015480291","0.175504194131672","0.197879836828911"
"5 on scale 1-7","2005","Employed","Male","1060","0.145886199725816","0.137442701864966","0.154329697586666"
"5 on scale 1-7","2005","Employed","Female","1131","0.181791879823415","0.17210397414131","0.19147978550552"
"6 on scale 1-7","2005","Not Employed","Male","408","0.126632949002271","0.115000931978378","0.138264966026165"
"6 on scale 1-7","2005","Not Employed","Female","769","0.163951993724811","0.153322095863507","0.174581891586114"
"6 on scale 1-7","2005","Employed","Male","802","0.117445953650381","0.109744953938739","0.125146953362023"
