"plh0220","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","Urban Area","48","0.106608246670921","0.0780625076748451","0.135153985666996"
"1 Strongly disagree","2005","in school","Rural Area","15","","",""
"1 Strongly disagree","2005","inadequately","Urban Area","51","0.283770306946048","0.216976114649508","0.350564499242589"
"1 Strongly disagree","2005","inadequately","Rural Area","17","","",""
"1 Strongly disagree","2005","general elemantary","Urban Area","237","0.15131993900503","0.133863938537097","0.168775939472963"
"1 Strongly disagree","2005","general elemantary","Rural Area","121","0.184257307587845","0.15667591693595","0.21183869823974"
"1 Strongly disagree","2005","middle vocational","Urban Area","696","0.117955638084716","0.110114195281772","0.12579708088766"
"1 Strongly disagree","2005","middle vocational","Rural Area","449","0.136449539388055","0.125394952970299","0.14750412580581"
"1 Strongly disagree","2005","vocational + Abi","Urban Area","64","0.0725552599603234","0.0552583034980022","0.0898522164226446"
"1 Strongly disagree","2005","vocational + Abi","Rural Area","23","","",""
"1 Strongly disagree","2005","higher vocational","Urban Area","74","0.0686227025067648","0.0529142543428902","0.0843311506706394"
"1 Strongly disagree","2005","higher vocational","Rural Area","56","0.121140810131529","0.0939947700833293","0.148286850179728"
"1 Strongly disagree","2005","higher education","Urban Area","149","0.0528517467530772","0.044792999386033","0.0609104941201214"
"1 Strongly disagree","2005","higher education","Rural Area","59","0.0673964401107917","0.0532056847639723","0.081587195457611"
"2 on scale 1-7 ","2005","in school","Urban Area","38","0.103347109094474","0.0751901167089911","0.131504101479956"
"2 on scale 1-7 ","2005","in school","Rural Area","28","","",""
"2 on scale 1-7 ","2005","inadequately","Urban Area","33","0.194869636085388","0.136183670245313","0.253555601925462"
"2 on scale 1-7 ","2005","inadequately","Rural Area","11","","",""
"2 on scale 1-7 ","2005","general elemantary","Urban Area","224","0.139056669039222","0.122202479996627","0.155910858081817"
"2 on scale 1-7 ","2005","general elemantary","Rural Area","95","0.104843153089423","0.0830486581715584","0.126637648007288"
"2 on scale 1-7 ","2005","middle vocational","Urban Area","812","0.127334295944768","0.119230508103417","0.135438083786118"
"2 on scale 1-7 ","2005","middle vocational","Rural Area","504","0.142604860183067","0.13134403349896","0.153865686867174"
"2 on scale 1-7 ","2005","vocational + Abi","Urban Area","104","0.131149373556421","0.108640856174141","0.153657890938702"
"2 on scale 1-7 ","2005","vocational + Abi","Rural Area","37","0.159452372754858","0.115290977731114","0.203613767778603"
"2 on scale 1-7 ","2005","higher vocational","Urban Area","125","0.144700065721701","0.122841073569082","0.166559057874321"
"2 on scale 1-7 ","2005","higher vocational","Rural Area","81","0.15607232697107","0.125878569226597","0.186266084715542"
"2 on scale 1-7 ","2005","higher education","Urban Area","259","0.102576278757261","0.091648015972745","0.113504541541777"
"2 on scale 1-7 ","2005","higher education","Rural Area","114","0.0907257723534398","0.0744683653901465","0.106983179316733"
"3 on scale 1-7 ","2005","in school","Urban Area","61","0.127092752649732","0.0962843371248407","0.157901168174623"
"3 on scale 1-7 ","2005","in school","Rural Area","32","0.12792632230717","0.0815198987844796","0.17433274582986"
"3 on scale 1-7 ","2005","inadequately","Urban Area","24","","",""
"3 on scale 1-7 ","2005","inadequately","Rural Area","6","","",""
"3 on scale 1-7 ","2005","general elemantary","Urban Area","251","0.156559699649947","0.138858943039645","0.17426045626025"
"3 on scale 1-7 ","2005","general elemantary","Rural Area","117","0.137082155630167","0.112613934847276","0.161550376413057"
"3 on scale 1-7 ","2005","middle vocational","Urban Area","931","0.138907232678431","0.130499501585145","0.147314963771717"
"3 on scale 1-7 ","2005","middle vocational","Rural Area","582","0.148552690983764","0.137099361557393","0.160006020410135"
"3 on scale 1-7 ","2005","vocational + Abi","Urban Area","112","0.132596176393261","0.109982697175782","0.15520965561074"
"3 on scale 1-7 ","2005","vocational + Abi","Rural Area","40","0.135885168196994","0.0945501735735979","0.17722016282039"
"3 on scale 1-7 ","2005","higher vocational","Urban Area","137","0.130481491754372","0.109552398042285","0.151410585466459"
"3 on scale 1-7 ","2005","higher vocational","Rural Area","78","0.135687430033223","0.107196487125694","0.164178372940752"
"3 on scale 1-7 ","2005","higher education","Urban Area","331","0.107555100879808","0.0963958485172245","0.118714353242391"
"3 on scale 1-7 ","2005","higher education","Rural Area","146","0.118377577130982","0.100091753080724","0.136663401181239"
"4 on scale 1-7","2005","in school","Urban Area","80","0.167897666356316","0.133324781447722","0.202470551264911"
"4 on scale 1-7","2005","in school","Rural Area","26","","",""
"4 on scale 1-7","2005","inadequately","Urban Area","37","0.146216678854707","0.0938685265240697","0.198564831185345"
