"plh0220","year","education","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","Male","518","0.169042447890579","0.156508957670529","0.18157593811063"
"1 Strongly disagree","2005","lower secondary degree","Female","387","0.11886295584836","0.108281035813002","0.129444875883718"
"1 Strongly disagree","2005","secondary school degree","Male","312","0.126968391032776","0.114088922309539","0.139847859756012"
"1 Strongly disagree","2005","secondary school degree","Female","243","0.07268432490572","0.0640136939750352","0.0813549558364048"
"1 Strongly disagree","2005","college entrance qualification","Male","188","0.0730992418731801","0.0633098376141351","0.0828886461322252"
"1 Strongly disagree","2005","college entrance qualification","Female","105","0.0442295185955954","0.0361145943903939","0.0523444428007968"
"1 Strongly disagree","2005","Other degree","Male","103","0.208434422055361","0.173622707170764","0.243246136939957"
"1 Strongly disagree","2005","Other degree","Female","63","0.108775463726399","0.0833484189224478","0.134202508530349"
"1 Strongly disagree","2005","no degree/no degree yet","Male","73","0.205001077403808","0.166160526206264","0.243841628601352"
"1 Strongly disagree","2005","no degree/no degree yet","Female","56","0.107559649522459","0.079871760785283","0.135247538259636"
"2 on scale 1-7 ","2005","lower secondary degree","Male","539","0.152300983110482","0.140285066285997","0.164316899934966"
"2 on scale 1-7 ","2005","lower secondary degree","Female","356","0.103925258350589","0.0939470594507937","0.113903457250385"
"2 on scale 1-7 ","2005","secondary school degree","Male","413","0.175759955062371","0.161036084925047","0.190483825199696"
"2 on scale 1-7 ","2005","secondary school degree","Female","359","0.109597333552812","0.0991643207666521","0.120030346338972"
"2 on scale 1-7 ","2005","college entrance qualification","Male","328","0.128093970870156","0.115525501443928","0.140662440296384"
"2 on scale 1-7 ","2005","college entrance qualification","Female","189","0.0868811796116106","0.075764424049708","0.0979979351735132"
"2 on scale 1-7 ","2005","Other degree","Male","79","0.143804202759769","0.113731699418651","0.173876706100887"
"2 on scale 1-7 ","2005","Other degree","Female","78","0.14354195629561","0.114908133958273","0.172175778632947"
"2 on scale 1-7 ","2005","no degree/no degree yet","Male","61","0.173990291636185","0.137516650012621","0.21046393325975"
"2 on scale 1-7 ","2005","no degree/no degree yet","Female","51","0.118782287059928","0.0898692972331588","0.147695276886697"
"3 on scale 1-7 ","2005","lower secondary degree","Male","593","0.160986880267421","0.148696527783953","0.173277232750889"
"3 on scale 1-7 ","2005","lower secondary degree","Female","512","0.136574511404114","0.125346140693082","0.147802882115146"
"3 on scale 1-7 ","2005","secondary school degree","Male","399","0.155736227196257","0.141709089555918","0.169763364836595"
"3 on scale 1-7 ","2005","secondary school degree","Female","395","0.111600414395981","0.101084341282559","0.122116487509404"
"3 on scale 1-7 ","2005","college entrance qualification","Male","396","0.135132254902946","0.122275316288403","0.147989193517489"
"3 on scale 1-7 ","2005","college entrance qualification","Female","252","0.0994222526367146","0.0876121421618564","0.111232363111573"
"3 on scale 1-7 ","2005","Other degree","Male","78","0.157036172221504","0.125854344589049","0.188217999853959"
"3 on scale 1-7 ","2005","Other degree","Female","77","0.128209383096806","0.100906855814234","0.155511910379377"
"3 on scale 1-7 ","2005","no degree/no degree yet","Male","64","0.135110135281003","0.102221306266122","0.167998964295884"
"3 on scale 1-7 ","2005","no degree/no degree yet","Female","69","0.142642384971483","0.111390166369664","0.173894603573303"
"4 on scale 1-7","2005","lower secondary degree","Male","725","0.217536986428075","0.203740033479349","0.2313339393768"
"4 on scale 1-7","2005","lower secondary degree","Female","807","0.218033407398786","0.204532122455926","0.231534692341646"
"4 on scale 1-7","2005","secondary school degree","Male","565","0.204311767580106","0.188714327897196","0.219909207263015"
"4 on scale 1-7","2005","secondary school degree","Female","730","0.215279431511312","0.201552441847632","0.229006421174992"
