"plh0220","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","1-pers.-HH","99","0.108825601151185","0.0901046311601889","0.127546571142182"
"1 Strongly disagree","2005","Full Time","(Married) couple without C. ","229","0.120481277531882","0.107317246148114","0.13364530891565"
"1 Strongly disagree","2005","Full Time","Single parent ","31","0.124084635895446","0.0895460822962844","0.158623189494607"
"1 Strongly disagree","2005","Full Time","Couple + C. LE 16 ","196","0.109025036001213","0.0947531546651415","0.123296917337284"
"1 Strongly disagree","2005","Full Time","Couple + C. GT 16 ","182","0.133151092263544","0.11640980219509","0.149892382331997"
"1 Strongly disagree","2005","Full Time","Couple + C. LE and GT 16","84","0.202593861176427","0.171647220219356","0.233540502133499"
"1 Strongly disagree","2005","Part Time","1-pers.-HH","36","0.0916194025708202","0.0654825783614999","0.117756226780141"
"1 Strongly disagree","2005","Part Time","(Married) couple without C. ","99","0.0962543284718998","0.0793542621280674","0.113154394815732"
"1 Strongly disagree","2005","Part Time","Single parent ","28","","",""
"1 Strongly disagree","2005","Part Time","Couple + C. LE 16 ","122","0.111173518851186","0.0933954020160834","0.128951635686289"
"1 Strongly disagree","2005","Part Time","Couple + C. GT 16 ","97","0.119223875449931","0.0989353988998363","0.139512352000026"
"1 Strongly disagree","2005","Part Time","Couple + C. LE and GT 16","42","0.0995152610979577","0.0735093411280037","0.125521181067912"
"1 Strongly disagree","2005","Not Working","1-pers.-HH","162","0.117225266975807","0.100440313319401","0.134010220632213"
"1 Strongly disagree","2005","Not Working","(Married) couple without C. ","362","0.117521873665116","0.106791338804585","0.128252408525646"
"1 Strongly disagree","2005","Not Working","Single parent ","52","0.130567143426456","0.0970853844354485","0.164048902417463"
"1 Strongly disagree","2005","Not Working","Couple + C. LE 16 ","56","0.086711820149278","0.0652587016841411","0.108164938614415"
"1 Strongly disagree","2005","Not Working","Couple + C. GT 16 ","106","0.0995201447045667","0.0816581535935892","0.117382135815544"
"1 Strongly disagree","2005","Not Working","Couple + C. LE and GT 16","55","0.0963805324384622","0.0715127586319279","0.121248306244997"
"2 on scale 1-7 ","2005","Full Time","1-pers.-HH","138","0.131590956005797","0.11126941449668","0.151912497514913"
"2 on scale 1-7 ","2005","Full Time","(Married) couple without C. ","271","0.132457384010711","0.118748879531589","0.146165888489834"
"2 on scale 1-7 ","2005","Full Time","Single parent ","42","0.117139766931666","0.083448897061643","0.150830636801689"
"2 on scale 1-7 ","2005","Full Time","Couple + C. LE 16 ","326","0.181987961117923","0.164319995975839","0.199655926260006"
"2 on scale 1-7 ","2005","Full Time","Couple + C. GT 16 ","212","0.135766098634456","0.118886731095565","0.152645466173348"
"2 on scale 1-7 ","2005","Full Time","Couple + C. LE and GT 16","95","0.1609127374712","0.132621016647051","0.18920445829535"
"2 on scale 1-7 ","2005","Part Time","1-pers.-HH","54","0.103663695630544","0.076046854492412","0.131280536768677"
"2 on scale 1-7 ","2005","Part Time","(Married) couple without C. ","127","0.11594651612287","0.0976012810111269","0.134291751234612"
"2 on scale 1-7 ","2005","Part Time","Single parent ","47","0.147038252995035","0.110146745307756","0.183929760682313"
"2 on scale 1-7 ","2005","Part Time","Couple + C. LE 16 ","126","0.122472731275538","0.103932011102857","0.14101345144822"
"2 on scale 1-7 ","2005","Part Time","Couple + C. GT 16 ","118","0.127449058837234","0.106570584254749","0.148327533419718"
"2 on scale 1-7 ","2005","Part Time","Couple + C. LE and GT 16","66","0.134366096435614","0.104738175372543","0.163994017498685"
"2 on scale 1-7 ","2005","Not Working","1-pers.-HH","149","0.113217000405806","0.096684098623981","0.12974990218763"
"2 on scale 1-7 ","2005","Not Working","(Married) couple without C. ","337","0.104079321223129","0.0939044938996915","0.114254148546568"
"2 on scale 1-7 ","2005","Not Working","Single parent ","47","0.11931471479006","0.0871017525057976","0.151527677074321"
"2 on scale 1-7 ","2005","Not Working","Couple + C. LE 16 ","82","0.132698359474461","0.106836173992866","0.158560544956056"
"2 on scale 1-7 ","2005","Not Working","Couple + C. GT 16 ","124","0.114724191415282","0.0957088481489928","0.133739534681572"
"2 on scale 1-7 ","2005","Not Working","Couple + C. LE and GT 16","66","0.162377770537947","0.131300931183024","0.19345460989287"
"3 on scale 1-7 ","2005","Full Time","1-pers.-HH","145","0.125996754385334","0.106047913769795","0.145945595000873"
"3 on scale 1-7 ","2005","Full Time","(Married) couple without C. ","381","0.162036682941815","0.147135328039918","0.176938037843712"
"3 on scale 1-7 ","2005","Full Time","Single parent ","49","0.138695542482437","0.102485947421522","0.174905137543351"
"3 on scale 1-7 ","2005","Full Time","Couple + C. LE 16 ","295","0.148120481133902","0.131854434919575","0.164386527348229"
"3 on scale 1-7 ","2005","Full Time","Couple + C. GT 16 ","259","0.185890048017006","0.166720386120206","0.205059709913806"
"3 on scale 1-7 ","2005","Full Time","Couple + C. LE and GT 16","81","0.11707598521441","0.0923213709511751","0.141830599477644"
"3 on scale 1-7 ","2005","Part Time","1-pers.-HH","52","0.1160982428159","0.087075397549812","0.145121088081988"
"3 on scale 1-7 ","2005","Part Time","(Married) couple without C. ","154","0.134202661042113","0.114670790048081","0.153734532036145"
"3 on scale 1-7 ","2005","Part Time","Single parent ","43","0.123742033214675","0.0894399043923449","0.158044162037005"
