"plh0220","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","West Germany","52","0.111736236478794","0.08414969728345","0.139322775674138"
"1 Strongly disagree","2005","in school","East Germany","11","","",""
"1 Strongly disagree","2005","inadequately","West Germany","63","0.259677628864141","0.201069674103152","0.31828558362513"
"1 Strongly disagree","2005","inadequately","East Germany","5","","",""
"1 Strongly disagree","2005","general elemantary","West Germany","313","0.161113722300318","0.145152585784911","0.177074858815724"
"1 Strongly disagree","2005","general elemantary","East Germany","45","0.167344023969605","0.127666319522503","0.207021728416706"
"1 Strongly disagree","2005","middle vocational","West Germany","845","0.125670615732546","0.118209874595878","0.133131356869214"
"1 Strongly disagree","2005","middle vocational","East Germany","300","0.118665869795605","0.106285096013589","0.13104664357762"
"1 Strongly disagree","2005","vocational + Abi","West Germany","71","0.0685217415048175","0.0526065829466535","0.0844369000629815"
"1 Strongly disagree","2005","vocational + Abi","East Germany","16","","",""
"1 Strongly disagree","2005","higher vocational","West Germany","94","0.079290882710831","0.0635372136663887","0.0950445517552732"
"1 Strongly disagree","2005","higher vocational","East Germany","36","0.107806720009869","0.0781463997397863","0.137467040279951"
"1 Strongly disagree","2005","higher education","West Germany","149","0.0564916358649981","0.0480977078813976","0.0648855638485987"
"1 Strongly disagree","2005","higher education","East Germany","59","0.0572109076262418","0.0443566791112047","0.070065136141279"
"2 on scale 1-7 ","2005","in school","West Germany","47","0.103633892227749","0.0769454732820417","0.130322311173457"
"2 on scale 1-7 ","2005","in school","East Germany","19","","",""
"2 on scale 1-7 ","2005","inadequately","West Germany","41","0.180828055424829","0.129382329222638","0.232273781627021"
"2 on scale 1-7 ","2005","inadequately","East Germany","3","","",""
"2 on scale 1-7 ","2005","general elemantary","West Germany","273","0.130814772365291","0.116175126730056","0.145454418000527"
"2 on scale 1-7 ","2005","general elemantary","East Germany","46","0.106615469356485","0.0738106267674821","0.139420311945488"
"2 on scale 1-7 ","2005","middle vocational","West Germany","949","0.126942357734776","0.119449416918043","0.134435298551509"
"2 on scale 1-7 ","2005","middle vocational","East Germany","367","0.155182518571735","0.141320788916804","0.169044248226665"
"2 on scale 1-7 ","2005","vocational + Abi","West Germany","120","0.142251442352793","0.120246575256252","0.164256309449335"
"2 on scale 1-7 ","2005","vocational + Abi","East Germany","21","","",""
"2 on scale 1-7 ","2005","higher vocational","West Germany","160","0.154030427857626","0.132983461761477","0.175077393953774"
"2 on scale 1-7 ","2005","higher vocational","East Germany","46","0.12712365709383","0.0952660613859667","0.158981252801693"
"2 on scale 1-7 ","2005","higher education","West Germany","265","0.104767675843726","0.0936328912900478","0.115902460397404"
"2 on scale 1-7 ","2005","higher education","East Germany","108","0.0829696930461229","0.0677027913587852","0.0982365947334606"
"3 on scale 1-7 ","2005","in school","West Germany","70","0.132466463373689","0.102782264324556","0.162150662422822"
"3 on scale 1-7 ","2005","in school","East Germany","23","","",""
"3 on scale 1-7 ","2005","inadequately","West Germany","30","0.162355340498247","0.1130615673118","0.211649113684693"
"3 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"3 on scale 1-7 ","2005","general elemantary","West Germany","306","0.146793795451095","0.131428997504427","0.162158593397762"
"3 on scale 1-7 ","2005","general elemantary","East Germany","62","0.179589584406789","0.138789149924854","0.220390018888725"
"3 on scale 1-7 ","2005","middle vocational","West Germany","1112","0.140765165902079","0.132937521304106","0.148592810500053"
"3 on scale 1-7 ","2005","middle vocational","East Germany","401","0.148008984352885","0.13441408091135","0.16160388779442"
"3 on scale 1-7 ","2005","vocational + Abi","West Germany","119","0.118114134814401","0.0977827228735168","0.138445546755285"
"3 on scale 1-7 ","2005","vocational + Abi","East Germany","33","0.269948411131772","0.201161586351369","0.338735235912175"
"3 on scale 1-7 ","2005","higher vocational","West Germany","151","0.127613694735808","0.108159559508859","0.147067829962756"
"3 on scale 1-7 ","2005","higher vocational","East Germany","64","0.1489375116379","0.114888366155885","0.182986657119916"
"3 on scale 1-7 ","2005","higher education","West Germany","331","0.113980590607052","0.102426457792916","0.125534723421189"
"3 on scale 1-7 ","2005","higher education","East Germany","146","0.0992266167242002","0.0826795435648338","0.115773689883567"
"4 on scale 1-7","2005","in school","West Germany","78","0.144061856037961","0.113313286170989","0.174810425904932"
"4 on scale 1-7","2005","in school","East Germany","28","","",""
"4 on scale 1-7","2005","inadequately","West Germany","46","0.204507527480817","0.150593528348515","0.258421526613118"
"4 on scale 1-7","2005","inadequately","East Germany","3","","",""
"4 on scale 1-7","2005","general elemantary","West Germany","460","0.223510628929891","0.205423782583361","0.241597475276422"
"4 on scale 1-7","2005","general elemantary","East Germany","73","0.209382191259814","0.166134612417287","0.252629770102341"
"4 on scale 1-7","2005","middle vocational","West Germany","1616","0.213978780473038","0.20474817790834","0.223209383037735"
"4 on scale 1-7","2005","middle vocational","East Germany","557","0.204757383694464","0.189308959393678","0.22020580799525"
"4 on scale 1-7","2005","vocational + Abi","West Germany","199","0.204166393924524","0.178773413455693","0.229559374393354"
"4 on scale 1-7","2005","vocational + Abi","East Germany","26","","",""
"4 on scale 1-7","2005","higher vocational","West Germany","227","0.183018678842826","0.160473035062114","0.205564322623538"
"4 on scale 1-7","2005","higher vocational","East Germany","93","0.206102760054308","0.167417324068543","0.244788196040072"
