"plh0220","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","566","0.116670937071452","0.108035499851371","0.125306374291533","1"
"1 Strongly disagree","2005","35-65 y.","1113","0.111986704694857","0.106238352656995","0.117735056732719","1"
"1 Strongly disagree","2005","66 and older","417","0.114519718731079","0.104303107750483","0.124736329711676","1"
"2 on scale 1-7 ","2005","16-34 y.","704","0.140282615527467","0.130941010304504","0.149624220750429","2"
"2 on scale 1-7 ","2005","66 and older","372","0.110519681291012","0.100460439276831","0.120578923305192","2"
"2 on scale 1-7 ","2005","35-65 y.","1430","0.130269204717577","0.124133510676248","0.136404898758907","2"
"3 on scale 1-7 ","2005","16-34 y.","831","0.155214556548973","0.145474058503872","0.164955054594074","3"
"3 on scale 1-7 ","2005","35-65 y.","1578","0.132072325737417","0.125900721459816","0.138243930015017","3"
"3 on scale 1-7 ","2005","66 and older","487","0.128837624274236","0.11808911630579","0.139586132242683","3"
"4 on scale 1-7","2005","16-34 y.","1063","0.199777685628815","0.189022434732606","0.210532936525024","4"
"4 on scale 1-7","2005","66 and older","781","0.213246837462544","0.200105552837574","0.226388122087514","4"
"4 on scale 1-7","2005","35-65 y.","2354","0.202264872819983","0.194942699893619","0.209587045746347","4"
"5 on scale 1-7","2005","16-34 y.","867","0.161735089883846","0.151830545581111","0.171639634186582","5"
"5 on scale 1-7","2005","35-65 y.","2076","0.172389555244285","0.165504318995456","0.179274791493115","5"
"5 on scale 1-7","2005","66 and older","622","0.152358251450904","0.140828593250059","0.16388790965175","5"
"6 on scale 1-7","2005","66 and older","574","0.152142751734478","0.140619785864277","0.163665717604679","6"
"6 on scale 1-7","2005","35-65 y.","1765","0.142555189557457","0.136182173767768","0.148928205347147","6"
"6 on scale 1-7","2005","16-34 y.","707","0.125496185910087","0.116584951954549","0.134407419865625","6"
"7 Strongly agree","2005","66 and older","479","0.128375135055746","0.117643088803587","0.139107181307906","7"
"7 Strongly agree","2005","16-34 y.","571","0.10082292942936","0.0927236945070429","0.108922164351677","7"
"7 Strongly agree","2005","35-65 y.","1245","0.108462147228423","0.102793761669364","0.114130532787482","7"
"1 Strongly disagree","2006","16-34 y.","","","","","1"
"1 Strongly disagree","2006","35-65 y.","","","","","1"
"1 Strongly disagree","2006","66 and older","","","","","1"
"2 on scale 1-7 ","2006","66 and older","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","","","","","2"
"3 on scale 1-7 ","2006","16-34 y.","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","","","","","3"
"3 on scale 1-7 ","2006","66 and older","","","","","3"
"4 on scale 1-7","2006","66 and older","","","","","4"
"4 on scale 1-7","2006","16-34 y.","","","","","4"
"4 on scale 1-7","2006","35-65 y.","","","","","4"
"5 on scale 1-7","2006","66 and older","","","","","5"
"5 on scale 1-7","2006","16-34 y.","","","","","5"
"5 on scale 1-7","2006","35-65 y.","","","","","5"
"6 on scale 1-7","2006","66 and older","","","","","6"
"6 on scale 1-7","2006","35-65 y.","","","","","6"
"6 on scale 1-7","2006","16-34 y.","","","","","6"
"7 Strongly agree","2006","66 and older","","","","","7"
"7 Strongly agree","2006","16-34 y.","","","","","7"
"7 Strongly agree","2006","35-65 y.","","","","","7"
"1 Strongly disagree","2007","35-65 y.","","","","","1"
"1 Strongly disagree","2007","66 and older","","","","","1"
"1 Strongly disagree","2007","16-34 y.","","","","","1"
"2 on scale 1-7 ","2007","16-34 y.","","","","","2"
"2 on scale 1-7 ","2007","66 and older","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","","","","","2"
"3 on scale 1-7 ","2007","35-65 y.","","","","","3"
"3 on scale 1-7 ","2007","66 and older","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","","","","","3"
"4 on scale 1-7","2007","66 and older","","","","","4"
"4 on scale 1-7","2007","16-34 y.","","","","","4"
"4 on scale 1-7","2007","35-65 y.","","","","","4"
"5 on scale 1-7","2007","66 and older","","","","","5"
"5 on scale 1-7","2007","35-65 y.","","","","","5"
"5 on scale 1-7","2007","16-34 y.","","","","","5"
"6 on scale 1-7","2007","66 and older","","","","","6"
"6 on scale 1-7","2007","35-65 y.","","","","","6"
"6 on scale 1-7","2007","16-34 y.","","","","","6"
"7 Strongly agree","2007","66 and older","","","","","7"
"7 Strongly agree","2007","16-34 y.","","","","","7"
"7 Strongly agree","2007","35-65 y.","","","","","7"
"1 Strongly disagree","2008","35-65 y.","","","","","1"
"1 Strongly disagree","2008","66 and older","","","","","1"
"1 Strongly disagree","2008","16-34 y.","","","","","1"
"2 on scale 1-7 ","2008","66 and older","","","","","2"
"2 on scale 1-7 ","2008","16-34 y.","","","","","2"
"2 on scale 1-7 ","2008","35-65 y.","","","","","2"
"3 on scale 1-7 ","2008","66 and older","","","","","3"
"3 on scale 1-7 ","2008","35-65 y.","","","","","3"
"3 on scale 1-7 ","2008","16-34 y.","","","","","3"
"4 on scale 1-7","2008","66 and older","","","","","4"
"4 on scale 1-7","2008","35-65 y.","","","","","4"
"4 on scale 1-7","2008","16-34 y.","","","","","4"
"5 on scale 1-7","2008","66 and older","","","","","5"
"5 on scale 1-7","2008","35-65 y.","","","","","5"
"5 on scale 1-7","2008","16-34 y.","","","","","5"
"6 on scale 1-7","2008","66 and older","","","","","6"
"6 on scale 1-7","2008","35-65 y.","","","","","6"
"6 on scale 1-7","2008","16-34 y.","","","","","6"
"7 Strongly agree","2008","66 and older","","","","","7"
"7 Strongly agree","2008","16-34 y.","","","","","7"
"7 Strongly agree","2008","35-65 y.","","","","","7"
"1 Strongly disagree","2009","35-65 y.","1044","0.121908878010234","0.115440387023337","0.128377368997131","1"
"1 Strongly disagree","2009","66 and older","431","0.113325121170425","0.103642276709105","0.123007965631745","1"
"1 Strongly disagree","2009","16-34 y.","495","0.13719509653839","0.126503531092306","0.147886661984474","1"
"2 on scale 1-7 ","2009","66 and older","476","0.123268445691077","0.113226521551705","0.13331036983045","2"
"2 on scale 1-7 ","2009","16-34 y.","654","0.166124627509362","0.154558624910946","0.177690630107778","2"
"2 on scale 1-7 ","2009","35-65 y.","1391","0.149112763115874","0.142070553779038","0.15615497245271","2"
"3 on scale 1-7 ","2009","66 and older","602","0.147873595096943","0.137030457102865","0.158716733091021","3"
"3 on scale 1-7 ","2009","35-65 y.","1543","0.161365432196295","0.154092540008336","0.168638324384254","3"
"3 on scale 1-7 ","2009","16-34 y.","666","0.164116017715011","0.152606312828272","0.175625722601751","3"
"4 on scale 1-7","2009","66 and older","857","0.206707859290835","0.194338342682858","0.219077375898811","4"
"4 on scale 1-7","2009","35-65 y.","1884","0.183120536488204","0.175474030515262","0.190767042461145","4"
"4 on scale 1-7","2009","16-34 y.","717","0.192515949259083","0.180263694014123","0.204768204504042","4"
"5 on scale 1-7","2009","66 and older","726","0.17388142497289","0.162304174043217","0.185458675902562","5"
"5 on scale 1-7","2009","35-65 y.","1595","0.147189778172639","0.140185223311831","0.154194333033448","5"
"5 on scale 1-7","2009","16-34 y.","612","0.146152610022914","0.135174966673203","0.157130253372626","5"
"6 on scale 1-7","2009","35-65 y.","1356","0.137831547753862","0.13101623332079","0.144646862186934","6"
"6 on scale 1-7","2009","66 and older","575","0.131191345796293","0.120878647313653","0.141504044278932","6"
"6 on scale 1-7","2009","16-34 y.","477","0.103135899169908","0.0936847644982554","0.11258703384156","6"
"7 Strongly agree","2009","66 and older","450","0.103752207981538","0.0944374756220108","0.113066940341065","7"
"7 Strongly agree","2009","16-34 y.","357","0.0907597997853321","0.081832876951188","0.0996867226194762","7"
"7 Strongly agree","2009","35-65 y.","1015","0.099471064262892","0.0935539121284839","0.1053882163973","7"
"1 Strongly disagree","2010","35-65 y.","","","","","1"
"1 Strongly disagree","2010","66 and older","","","","","1"
"1 Strongly disagree","2010","16-34 y.","","","","","1"
"2 on scale 1-7 ","2010","66 and older","","","","","2"
"2 on scale 1-7 ","2010","35-65 y.","","","","","2"
"2 on scale 1-7 ","2010","16-34 y.","","","","","2"
"3 on scale 1-7 ","2010","66 and older","","","","","3"
"3 on scale 1-7 ","2010","35-65 y.","","","","","3"
"3 on scale 1-7 ","2010","16-34 y.","","","","","3"
"4 on scale 1-7","2010","66 and older","","","","","4"
"4 on scale 1-7","2010","16-34 y.","","","","","4"
"4 on scale 1-7","2010","35-65 y.","","","","","4"
