"plh0220","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","Male","771","0.129541741598454","0.121421961887947","0.137661521308962"
"1 Strongly disagree","2005","Urban Area","Female","570","0.0845172439191246","0.0780917021413918","0.0909427856968573"
"1 Strongly disagree","2005","Rural Area","Male","452","0.162090896309674","0.149486435184044","0.174695357435304"
"1 Strongly disagree","2005","Rural Area","Female","303","0.0996004212352435","0.0897479920847612","0.109452850385726"
"2 on scale 1-7 ","2005","Urban Area","Male","932","0.146850588871766","0.138291731284639","0.155409446458892"
"2 on scale 1-7 ","2005","Urban Area","Female","688","0.106991002385096","0.0998507502168526","0.11413125455334"
"2 on scale 1-7 ","2005","Rural Area","Male","520","0.166491181260138","0.153750365555925","0.179231996964352"
"2 on scale 1-7 ","2005","Rural Area","Female","366","0.102231643715097","0.0922645185976372","0.112198768832557"
"3 on scale 1-7 ","2005","Urban Area","Male","1008","0.150567042289573","0.141919455695017","0.15921462888413"
"3 on scale 1-7 ","2005","Urban Area","Female","872","0.120720617897091","0.113194583933027","0.128246651861155"
"3 on scale 1-7 ","2005","Rural Area","Male","555","0.158063154389951","0.145586400827258","0.170539907952643"
"3 on scale 1-7 ","2005","Rural Area","Female","461","0.126438426873408","0.115504368349625","0.137372485397192"
"4 on scale 1-7","2005","Urban Area","Male","1371","0.203452816312989","0.193718554733146","0.213187077892833"
"4 on scale 1-7","2005","Urban Area","Female","1459","0.205376418602106","0.196044562852218","0.214708274351994"
"4 on scale 1-7","2005","Rural Area","Male","651","0.205011758338863","0.19120422009932","0.218819296578406"
"4 on scale 1-7","2005","Rural Area","Female","717","0.201226516127767","0.188036372784314","0.214416659471221"
"5 on scale 1-7","2005","Urban Area","Male","1027","0.15149677166676","0.142827275779541","0.160166267553978"
"5 on scale 1-7","2005","Urban Area","Female","1334","0.183048867841197","0.174115945318297","0.191981790364096"
"5 on scale 1-7","2005","Rural Area","Male","516","0.132113170218461","0.120532035253646","0.143694305183275"
"5 on scale 1-7","2005","Rural Area","Female","688","0.186388675802181","0.173576781557903","0.199200570046459"
"6 on scale 1-7","2005","Urban Area","Male","844","0.125434772992836","0.117425917028125","0.133443628957547"
"6 on scale 1-7","2005","Urban Area","Female","1236","0.158568882679136","0.150131062385468","0.167006702972804"
"6 on scale 1-7","2005","Rural Area","Male","366","0.109467921305685","0.0987893110379119","0.120146531573458"
"6 on scale 1-7","2005","Rural Area","Female","600","0.159920090629142","0.147861212549766","0.171978968708518"
"7 Strongly agree","2005","Urban Area","Male","617","0.0926562662676217","0.0856451248647412","0.0996674076705022"
"7 Strongly agree","2005","Urban Area","Female","1040","0.140776966676249","0.132742986399708","0.148810946952789"
"7 Strongly agree","2005","Rural Area","Male","224","0.0667619181772285","0.0582248815237093","0.0752989548307477"
"7 Strongly agree","2005","Rural Area","Female","414","0.124194225617161","0.113343727013085","0.135044724221237"
"1 Strongly disagree","2006","Urban Area","Male","","","",""
"1 Strongly disagree","2006","Urban Area","Female","","","",""
"1 Strongly disagree","2006","Rural Area","Male","","","",""
"1 Strongly disagree","2006","Rural Area","Female","","","",""
"2 on scale 1-7 ","2006","Urban Area","Male","","","",""
"2 on scale 1-7 ","2006","Urban Area","Female","","","",""
"2 on scale 1-7 ","2006","Rural Area","Male","","","",""
"2 on scale 1-7 ","2006","Rural Area","Female","","","",""
"3 on scale 1-7 ","2006","Urban Area","Male","","","",""
"3 on scale 1-7 ","2006","Urban Area","Female","","","",""
"3 on scale 1-7 ","2006","Rural Area","Male","","","",""
"3 on scale 1-7 ","2006","Rural Area","Female","","","",""
"4 on scale 1-7","2006","Urban Area","Male","","","",""
