"plh0220","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Urban Area","349","0.108645988653171","0.0983975956247781","0.118894381681564"
"1 Strongly disagree","2005","16-34 y.","Rural Area","217","0.133896972424707","0.118018819761391","0.149775125088023"
"1 Strongly disagree","2005","35-65 y.","Urban Area","725","0.103997849572881","0.097203437257253","0.110792261888509"
"1 Strongly disagree","2005","35-65 y.","Rural Area","388","0.129669430916019","0.118998124905698","0.140340736926339"
"1 Strongly disagree","2005","66 and older","Urban Area","267","0.109616367994586","0.0973034121860865","0.121929323803085"
"1 Strongly disagree","2005","66 and older","Rural Area","150","0.125446035800586","0.1071499999234","0.143742071677773"
"2 on scale 1-7 ","2005","16-34 y.","Urban Area","453","0.137359346761037","0.126023136786363","0.14869555673571"
"2 on scale 1-7 ","2005","16-34 y.","Rural Area","251","0.146557588087151","0.130067571916444","0.163047604257858"
"2 on scale 1-7 ","2005","35-65 y.","Urban Area","919","0.125177985697989","0.117812370543153","0.132543600852825"
"2 on scale 1-7 ","2005","35-65 y.","Rural Area","511","0.141538232717309","0.130465520415833","0.152610945018784"
"2 on scale 1-7 ","2005","66 and older","Urban Area","248","0.116451183493036","0.103808965902031","0.129093401084042"
"2 on scale 1-7 ","2005","66 and older","Rural Area","124","0.097302296437131","0.0809315704300979","0.113673022444164"
"3 on scale 1-7 ","2005","16-34 y.","Urban Area","524","0.149451272876087","0.137709782641978","0.161192763110197"
"3 on scale 1-7 ","2005","16-34 y.","Rural Area","307","0.167585792241133","0.150171005650662","0.185000578831603"
"3 on scale 1-7 ","2005","35-65 y.","Urban Area","1042","0.132835153968975","0.125280883391037","0.140389424546914"
"3 on scale 1-7 ","2005","35-65 y.","Rural Area","536","0.130383863177204","0.119687592858439","0.141080133495969"
"3 on scale 1-7 ","2005","66 and older","Urban Area","314","0.124508620157291","0.111496092065299","0.137521148249284"
"3 on scale 1-7 ","2005","66 and older","Rural Area","173","0.138484103614355","0.119404610362225","0.157563596866485"
"4 on scale 1-7","2005","16-34 y.","Urban Area","720","0.1968590410212","0.183764285861243","0.209953796181158"
"4 on scale 1-7","2005","16-34 y.","Rural Area","343","0.206042732152955","0.187184237169683","0.224901227136227"
"4 on scale 1-7","2005","35-65 y.","Urban Area","1599","0.207576684321471","0.198549483569013","0.216603885073929"
"4 on scale 1-7","2005","35-65 y.","Rural Area","755","0.19050758005586","0.178033194126895","0.202981965984826"
"4 on scale 1-7","2005","66 and older","Urban Area","511","0.20561037979765","0.189681863254018","0.221538896341282"
"4 on scale 1-7","2005","66 and older","Rural Area","270","0.230263437379312","0.207008307156644","0.253518567601979"
"5 on scale 1-7","2005","16-34 y.","Urban Area","597","0.171410306067674","0.158999155584732","0.183821456550616"
"5 on scale 1-7","2005","16-34 y.","Rural Area","270","0.140966655328762","0.124741344513194","0.15719196614433"
"5 on scale 1-7","2005","35-65 y.","Urban Area","1381","0.174123319006395","0.165682758976538","0.182563879036253"
"5 on scale 1-7","2005","35-65 y.","Rural Area","695","0.168552000366963","0.156660376758391","0.180443623975536"
"5 on scale 1-7","2005","66 and older","Urban Area","383","0.147816178986375","0.133827920110857","0.161804437861894"
"5 on scale 1-7","2005","66 and older","Rural Area","239","0.162479518838684","0.142102893686202","0.182856143991167"
"6 on scale 1-7","2005","16-34 y.","Urban Area","492","0.132118038164151","0.120966489043991","0.143269587284311"
"6 on scale 1-7","2005","16-34 y.","Rural Area","215","0.111281981022153","0.0966189337986925","0.125945028245613"
"6 on scale 1-7","2005","35-65 y.","Urban Area","1192","0.14201307506654","0.134243635495068","0.149782514638013"
"6 on scale 1-7","2005","35-65 y.","Rural Area","573","0.143755118956232","0.132610446580932","0.154899791331533"
"6 on scale 1-7","2005","66 and older","Urban Area","396","0.155610881732042","0.141324332946585","0.169897430517498"
"6 on scale 1-7","2005","66 and older","Rural Area","178","0.144414589906359","0.124998022862694","0.163831156950024"
"7 Strongly agree","2005","16-34 y.","Urban Area","407","0.10415600645668","0.0940963727913793","0.11421564012198"
"7 Strongly agree","2005","16-34 y.","Rural Area","164","0.0936682787431396","0.0800829648840143","0.107253592602265"
"7 Strongly agree","2005","35-65 y.","Urban Area","896","0.114275932365748","0.107194651792284","0.121357212939211"
"7 Strongly agree","2005","35-65 y.","Rural Area","349","0.0955937738104125","0.0862536372121191","0.104933910408706"
"7 Strongly agree","2005","66 and older","Urban Area","354","0.14038638783902","0.126694914826421","0.154077860851619"
"7 Strongly agree","2005","66 and older","Rural Area","125","0.101610018023573","0.0849208018379609","0.118299234209185"
"1 Strongly disagree","2006","16-34 y.","Urban Area","","","",""
"1 Strongly disagree","2006","16-34 y.","Rural Area","","","",""
"1 Strongly disagree","2006","35-65 y.","Urban Area","","","",""
"1 Strongly disagree","2006","35-65 y.","Rural Area","","","",""
"1 Strongly disagree","2006","66 and older","Urban Area","","","",""
"1 Strongly disagree","2006","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Urban Area","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Rural Area","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Urban Area","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Rural Area","","","",""
"2 on scale 1-7 ","2006","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2006","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Urban Area","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Rural Area","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Urban Area","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Rural Area","","","",""
"3 on scale 1-7 ","2006","66 and older","Urban Area","","","",""
"3 on scale 1-7 ","2006","66 and older","Rural Area","","","",""
