"plh0195","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","(0) in school","in school","201","0.337441157985812","0.29966993049044","0.375212385481183"
"People exploit","2003","(0) in school","inadequately","","","",""
"People exploit","2003","(0) in school","general elemantary","","","",""
"People exploit","2003","(0) in school","middle vocational","","","",""
"People exploit","2003","(0) in school","vocational + Abi","","","",""
"People exploit","2003","(0) in school","higher vocational","","","",""
"People exploit","2003","(0) in school","higher education","","","",""
"People exploit","2003","(1a) inadequately completed","in school","","","",""
"People exploit","2003","(1a) inadequately completed","inadequately","130","0.660457980938622","0.598023958827246","0.722892003049997"
"People exploit","2003","(1a) inadequately completed","general elemantary","","","",""
"People exploit","2003","(1a) inadequately completed","middle vocational","27","","",""
"People exploit","2003","(1a) inadequately completed","vocational + Abi","","","",""
"People exploit","2003","(1a) inadequately completed","higher vocational","4","","",""
"People exploit","2003","(1a) inadequately completed","higher education","","","",""
"People exploit","2003","(1b) general elementary school","in school","","","",""
"People exploit","2003","(1b) general elementary school","inadequately","22","","",""
"People exploit","2003","(1b) general elementary school","general elemantary","1059","0.492376635180119","0.470912235155966","0.513841035204271"
"People exploit","2003","(1b) general elementary school","middle vocational","","","",""
"People exploit","2003","(1b) general elementary school","vocational + Abi","","","",""
"People exploit","2003","(1b) general elementary school","higher vocational","","","",""
"People exploit","2003","(1b) general elementary school","higher education","","","",""
"People exploit","2003","(1c) basic vocational qualification","in school","","","",""
"People exploit","2003","(1c) basic vocational qualification","inadequately","","","",""
"People exploit","2003","(1c) basic vocational qualification","general elemantary","","","",""
"People exploit","2003","(1c) basic vocational qualification","middle vocational","2943","0.513747427913882","0.500792595429838","0.526702260397925"
"People exploit","2003","(1c) basic vocational qualification","vocational + Abi","","","",""
"People exploit","2003","(1c) basic vocational qualification","higher vocational","261","0.527616672242905","0.484457503906409","0.5707758405794"
"People exploit","2003","(1c) basic vocational qualification","higher education","","","",""
"People exploit","2003","(2b) intermediate general qualification","in school","","","",""
"People exploit","2003","(2b) intermediate general qualification","inadequately","","","",""
"People exploit","2003","(2b) intermediate general qualification","general elemantary","308","0.504296513228567","0.465130001490045","0.543463024967088"
"People exploit","2003","(2b) intermediate general qualification","middle vocational","","","",""
"People exploit","2003","(2b) intermediate general qualification","vocational + Abi","","","",""
"People exploit","2003","(2b) intermediate general qualification","higher vocational","","","",""
"People exploit","2003","(2b) intermediate general qualification","higher education","","","",""
"People exploit","2003","(2a) intermediate vocational","in school","","","",""
"People exploit","2003","(2a) intermediate vocational","inadequately","","","",""
"People exploit","2003","(2a) intermediate vocational","general elemantary","","","",""
"People exploit","2003","(2a) intermediate vocational","middle vocational","2218","0.505802087111605","0.490963388646629","0.520640785576581"
"People exploit","2003","(2a) intermediate vocational","vocational + Abi","","","",""
"People exploit","2003","(2a) intermediate vocational","higher vocational","374","0.502198626364105","0.466295211265593","0.538102041462617"
"People exploit","2003","(2a) intermediate vocational","higher education","","","",""
"People exploit","2003","(2c_gen) general maturity certificate","in school","","","",""
"People exploit","2003","(2c_gen) general maturity certificate","inadequately","","","",""
"People exploit","2003","(2c_gen) general maturity certificate","general elemantary","","","",""
"People exploit","2003","(2c_gen) general maturity certificate","middle vocational","307","0.354242640470326","0.322164864049422","0.386320416891231"
"People exploit","2003","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"People exploit","2003","(2c_gen) general maturity certificate","higher vocational","","","",""
"People exploit","2003","(2c_gen) general maturity certificate","higher education","","","",""
"People exploit","2003","(2c_voc) vocational maturity certificate","in school","","","",""
"People exploit","2003","(2c_voc) vocational maturity certificate","inadequately","","","",""
"People exploit","2003","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"People exploit","2003","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"People exploit","2003","(2c_voc) vocational maturity certificate","vocational + Abi","513","0.440804880285372","0.411971795285042","0.469637965285701"
"People exploit","2003","(2c_voc) vocational maturity certificate","higher vocational","183","0.478447599697021","0.429736989190757","0.527158210203285"
"People exploit","2003","(2c_voc) vocational maturity certificate","higher education","","","",""
"People exploit","2003","(3a) lower tertiary education","in school","","","",""
"People exploit","2003","(3a) lower tertiary education","inadequately","","","",""
"People exploit","2003","(3a) lower tertiary education","general elemantary","","","",""
"People exploit","2003","(3a) lower tertiary education","middle vocational","","","",""
"People exploit","2003","(3a) lower tertiary education","vocational + Abi","","","",""
"People exploit","2003","(3a) lower tertiary education","higher vocational","","","",""
"People exploit","2003","(3a) lower tertiary education","higher education","765","0.457912924293153","0.434270905684533","0.481554942901772"
"People exploit","2003","(3b) higher tertiary education","in school","","","",""
"People exploit","2003","(3b) higher tertiary education","inadequately","","","",""
"People exploit","2003","(3b) higher tertiary education","general elemantary","","","",""
"People exploit","2003","(3b) higher tertiary education","middle vocational","","","",""
"People exploit","2003","(3b) higher tertiary education","vocational + Abi","","","",""
"People exploit","2003","(3b) higher tertiary education","higher vocational","","","",""
