"plh0195","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","1-pers.-HH","Urban Area","845","0.416115339635714","0.395013377098954","0.437217302172475"
"People exploit","2003","1-pers.-HH","Rural Area","403","0.469309310951837","0.435540370838354","0.503078251065321"
"People exploit","2003","(Married) couple without C. ","Urban Area","2227","0.472383257128774","0.458370526451768","0.48639598780578"
"People exploit","2003","(Married) couple without C. ","Rural Area","1203","0.522543628966155","0.50230991952866","0.542777338403651"
"People exploit","2003","Single parent ","Urban Area","358","0.516336197275173","0.47983392318496","0.552838471365386"
"People exploit","2003","Single parent ","Rural Area","208","0.508237923347904","0.457839930327331","0.558635916368478"
"People exploit","2003","Couple + C. LE 16 ","Urban Area","1399","0.482408919731703","0.464413722113805","0.500404117349601"
"People exploit","2003","Couple + C. LE 16 ","Rural Area","714","0.531627433011451","0.505116900883289","0.558137965139613"
"People exploit","2003","Couple + C. GT 16 ","Urban Area","1107","0.484774756666332","0.464912212736128","0.504637300596536"
"People exploit","2003","Couple + C. GT 16 ","Rural Area","756","0.512059581225925","0.486384545937331","0.537734616514518"
"People exploit","2003","Couple + C. LE and GT 16","Urban Area","534","0.496021861375946","0.467566637654699","0.524477085097193"
"People exploit","2003","Couple + C. LE and GT 16","Rural Area","324","0.566378860331608","0.527742314507248","0.605015406155969"
"People are fair","2003","1-pers.-HH","Urban Area","1251","0.583884660364286","0.562782697827526","0.604986622901046"
"People are fair","2003","1-pers.-HH","Rural Area","436","0.530690689048163","0.496921748934679","0.564459629161646"
"People are fair","2003","(Married) couple without C. ","Urban Area","2649","0.527616742871226","0.51360401219422","0.541629473548232"
"People are fair","2003","(Married) couple without C. ","Rural Area","1138","0.477456371033845","0.457222661596349","0.49769008047134"
"People are fair","2003","Single parent ","Urban Area","362","0.483663802724827","0.447161528634614","0.52016607681504"
"People are fair","2003","Single parent ","Rural Area","170","0.491762076652096","0.441364083631522","0.542160069672669"
"People are fair","2003","Couple + C. LE 16 ","Urban Area","1563","0.517591080268297","0.499595882650399","0.535586277886195"
"People are fair","2003","Couple + C. LE 16 ","Rural Area","647","0.468372566988549","0.441862034860387","0.494883099116711"
"People are fair","2003","Couple + C. GT 16 ","Urban Area","1325","0.515225243333668","0.495362699403464","0.535087787263872"
"People are fair","2003","Couple + C. GT 16 ","Rural Area","700","0.487940418774076","0.462265383485482","0.513615454062669"
"People are fair","2003","Couple + C. LE and GT 16","Urban Area","652","0.503978138624054","0.475522914902807","0.532433362345301"
"People are fair","2003","Couple + C. LE and GT 16","Rural Area","308","0.433621139668392","0.394984593844031","0.472257685492752"
"People exploit","2004","1-pers.-HH","Urban Area","","","",""
"People exploit","2004","1-pers.-HH","Rural Area","","","",""
"People exploit","2004","(Married) couple without C. ","Urban Area","","","",""
"People exploit","2004","(Married) couple without C. ","Rural Area","","","",""
"People exploit","2004","Single parent ","Urban Area","","","",""
"People exploit","2004","Single parent ","Rural Area","","","",""
"People exploit","2004","Couple + C. LE 16 ","Urban Area","","","",""
"People exploit","2004","Couple + C. LE 16 ","Rural Area","","","",""
"People exploit","2004","Couple + C. GT 16 ","Urban Area","","","",""
"People exploit","2004","Couple + C. GT 16 ","Rural Area","","","",""
"People exploit","2004","Couple + C. LE and GT 16","Urban Area","","","",""
"People exploit","2004","Couple + C. LE and GT 16","Rural Area","","","",""
"People are fair","2004","1-pers.-HH","Urban Area","","","",""
"People are fair","2004","1-pers.-HH","Rural Area","","","",""
"People are fair","2004","(Married) couple without C. ","Urban Area","","","",""
"People are fair","2004","(Married) couple without C. ","Rural Area","","","",""
"People are fair","2004","Single parent ","Urban Area","","","",""
"People are fair","2004","Single parent ","Rural Area","","","",""
"People are fair","2004","Couple + C. LE 16 ","Urban Area","","","",""
"People are fair","2004","Couple + C. LE 16 ","Rural Area","","","",""
"People are fair","2004","Couple + C. GT 16 ","Urban Area","","","",""
"People are fair","2004","Couple + C. GT 16 ","Rural Area","","","",""
"People are fair","2004","Couple + C. LE and GT 16","Urban Area","","","",""
"People are fair","2004","Couple + C. LE and GT 16","Rural Area","","","",""
"People exploit","2005","1-pers.-HH","Urban Area","","","",""
"People exploit","2005","1-pers.-HH","Rural Area","","","",""
"People exploit","2005","(Married) couple without C. ","Urban Area","","","",""
"People exploit","2005","(Married) couple without C. ","Rural Area","","","",""
"People exploit","2005","Single parent ","Urban Area","","","",""
"People exploit","2005","Single parent ","Rural Area","","","",""
"People exploit","2005","Couple + C. LE 16 ","Urban Area","","","",""
"People exploit","2005","Couple + C. LE 16 ","Rural Area","","","",""
"People exploit","2005","Couple + C. GT 16 ","Urban Area","","","",""
"People exploit","2005","Couple + C. GT 16 ","Rural Area","","","",""
"People exploit","2005","Couple + C. LE and GT 16","Urban Area","","","",""
"People exploit","2005","Couple + C. LE and GT 16","Rural Area","","","",""
"People are fair","2005","1-pers.-HH","Urban Area","","","",""
"People are fair","2005","1-pers.-HH","Rural Area","","","",""
"People are fair","2005","(Married) couple without C. ","Urban Area","","","",""
"People are fair","2005","(Married) couple without C. ","Rural Area","","","",""
"People are fair","2005","Single parent ","Urban Area","","","",""
"People are fair","2005","Single parent ","Rural Area","","","",""
"People are fair","2005","Couple + C. LE 16 ","Urban Area","","","",""
"People are fair","2005","Couple + C. LE 16 ","Rural Area","","","",""
"People are fair","2005","Couple + C. GT 16 ","Urban Area","","","",""
"People are fair","2005","Couple + C. GT 16 ","Rural Area","","","",""
"People are fair","2005","Couple + C. LE and GT 16","Urban Area","","","",""
"People are fair","2005","Couple + C. LE and GT 16","Rural Area","","","",""
"People exploit","2006","1-pers.-HH","Urban Area","","","",""
"People exploit","2006","1-pers.-HH","Rural Area","","","",""
"People exploit","2006","(Married) couple without C. ","Urban Area","","","",""
"People exploit","2006","(Married) couple without C. ","Rural Area","","","",""
"People exploit","2006","Single parent ","Urban Area","","","",""
"People exploit","2006","Single parent ","Rural Area","","","",""
"People exploit","2006","Couple + C. LE 16 ","Urban Area","","","",""
"People exploit","2006","Couple + C. LE 16 ","Rural Area","","","",""
"People exploit","2006","Couple + C. GT 16 ","Urban Area","","","",""
"People exploit","2006","Couple + C. GT 16 ","Rural Area","","","",""
"People exploit","2006","Couple + C. LE and GT 16","Urban Area","","","",""
"People exploit","2006","Couple + C. LE and GT 16","Rural Area","","","",""
"People are fair","2006","1-pers.-HH","Urban Area","","","",""
"People are fair","2006","1-pers.-HH","Rural Area","","","",""
"People are fair","2006","(Married) couple without C. ","Urban Area","","","",""
"People are fair","2006","(Married) couple without C. ","Rural Area","","","",""
"People are fair","2006","Single parent ","Urban Area","","","",""
"People are fair","2006","Single parent ","Rural Area","","","",""
"People are fair","2006","Couple + C. LE 16 ","Urban Area","","","",""
