"plh0195","year","migback","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","no migration background","9880","0.523100157288697","0.515918004717429","0.530282309859964","2"
"People are fair","2003","indirect migration background","387","0.469587185632403","0.434404947283378","0.504769423981427","2"
"People are fair","2003","direct migration background","1254","0.493768091311171","0.474389643146193","0.513146539476148","2"
"People exploit","2003","no migration background","8698","0.476899842711303","0.469717690140036","0.484081995282571","1"
"People exploit","2003","direct migration background","1303","0.506231908688829","0.486853460523852","0.525610356853807","1"
"People exploit","2003","indirect migration background","386","0.530412814367597","0.495230576018573","0.565595052716622","1"
"People are fair","2004","indirect migration background","","","","","2"
"People are fair","2004","no migration background","","","","","2"
"People are fair","2004","direct migration background","","","","","2"
"People exploit","2004","no migration background","","","","","1"
"People exploit","2004","direct migration background","","","","","1"
"People exploit","2004","indirect migration background","","","","","1"
"People are fair","2005","no migration background","","","","","2"
"People are fair","2005","direct migration background","","","","","2"
"People are fair","2005","indirect migration background","","","","","2"
"People exploit","2005","no migration background","","","","","1"
"People exploit","2005","direct migration background","","","","","1"
"People exploit","2005","indirect migration background","","","","","1"
"People are fair","2006","no migration background","","","","","2"
"People are fair","2006","direct migration background","","","","","2"
"People are fair","2006","indirect migration background","","","","","2"
"People exploit","2006","no migration background","","","","","1"
"People exploit","2006","direct migration background","","","","","1"
"People exploit","2006","indirect migration background","","","","","1"
"People are fair","2007","no migration background","","","","","2"
"People are fair","2007","direct migration background","","","","","2"
"People are fair","2007","indirect migration background","","","","","2"
"People exploit","2007","no migration background","","","","","1"
"People exploit","2007","direct migration background","","","","","1"
"People exploit","2007","indirect migration background","","","","","1"
"People are fair","2008","no migration background","9043","0.536610487793488","0.52899373427463","0.544227241312347","2"
"People are fair","2008","direct migration background","867","0.448975433223215","0.426485846696904","0.471465019749526","2"
"People are fair","2008","indirect migration background","377","0.453313495912271","0.417921113674088","0.488705878150454","2"
"People exploit","2008","no migration background","7422","0.463389512206512","0.455772758687653","0.47100626572537","1"
"People exploit","2008","direct migration background","1012","0.551024566776785","0.528534980250474","0.573514153303096","1"
"People exploit","2008","indirect migration background","383","0.546686504087729","0.511294121849546","0.582078886325912","1"
"People are fair","2009","no migration background","","","","","2"
"People are fair","2009","direct migration background","","","","","2"
"People are fair","2009","indirect migration background","","","","","2"
"People exploit","2009","no migration background","","","","","1"
"People exploit","2009","direct migration background","","","","","1"
"People exploit","2009","indirect migration background","","","","","1"
"People are fair","2010","no migration background","","","","","2"
"People are fair","2010","direct migration background","","","","","2"
"People are fair","2010","indirect migration background","","","","","2"
"People exploit","2010","no migration background","","","","","1"
"People exploit","2010","direct migration background","","","","","1"
"People exploit","2010","indirect migration background","","","","","1"
"People are fair","2011","no migration background","","","","","2"
"People are fair","2011","direct migration background","","","","","2"
"People are fair","2011","indirect migration background","","","","","2"
"People exploit","2011","no migration background","","","","","1"
"People exploit","2011","direct migration background","","","","","1"
"People exploit","2011","indirect migration background","","","","","1"
"People are fair","2012","no migration background","","","","","2"
"People are fair","2012","direct migration background","","","","","2"
"People are fair","2012","indirect migration background","","","","","2"
"People exploit","2012","no migration background","","","","","1"
"People exploit","2012","direct migration background","","","","","1"
"People exploit","2012","indirect migration background","","","","","1"
"People are fair","2013","no migration background","12847","0.591794931154176","0.585194490783161","0.598395371525191","2"
"People are fair","2013","direct migration background","1356","0.524870531878565","0.505484217466534","0.544256846290596","2"
"People are fair","2013","indirect migration background","620","0.503807104095999","0.475157899114419","0.532456309077578","2"
"People exploit","2013","no migration background","8454","0.408205068845824","0.401604628474809","0.414805509216839","1"
"People exploit","2013","direct migration background","1193","0.475129468121435","0.455743153709404","0.494515782533466","1"
"People exploit","2013","indirect migration background","550","0.496192895904001","0.467543690922422","0.524842100885581","1"
"People are fair","2014","no migration background","","","","","2"
"People are fair","2014","direct migration background","","","","","2"
"People are fair","2014","indirect migration background","","","","","2"
"People exploit","2014","no migration background","","","","","1"
"People exploit","2014","direct migration background","","","","","1"
"People exploit","2014","indirect migration background","","","","","1"
"People are fair","2015","no migration background","","","","","2"
"People are fair","2015","direct migration background","","","","","2"
"People are fair","2015","indirect migration background","","","","","2"
"People exploit","2015","no migration background","","","","","1"
"People exploit","2015","direct migration background","","","","","1"
"People exploit","2015","indirect migration background","","","","","1"
"People are fair","2016","no migration background","","","","","2"
"People are fair","2016","direct migration background","","","","","2"
"People are fair","2016","indirect migration background","","","","","2"
"People exploit","2016","no migration background","","","","","1"
"People exploit","2016","direct migration background","","","","","1"
"People exploit","2016","indirect migration background","","","","","1"
"People are fair","2017","no migration background","","","","","2"
"People are fair","2017","direct migration background","","","","","2"
"People are fair","2017","indirect migration background","","","","","2"
"People exploit","2017","direct migration background","","","","","1"
"People exploit","2017","indirect migration background","","","","","1"
"People exploit","2017","no migration background","","","","","1"
"People are fair","2018","no migration background","12104","0.627052686457204","0.620212772849952","0.633892600064455","2"
"People are fair","2018","direct migration background","4342","0.545455740363172","0.534380702796025","0.556530777930319","2"
"People are fair","2018","indirect migration background","904","0.552242692033095","0.5284147546216","0.576070629444591","2"
"People exploit","2018","direct migration background","3423","0.454544259636828","0.443469222069682","0.465619297203975","1"
"People exploit","2018","no migration background","7098","0.372947313542796","0.366107399935545","0.379787227150048","1"
"People exploit","2018","indirect migration background","769","0.447757307966905","0.423929370555409","0.4715852453784","1"
