"plh0195","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","16-34 y.","Male","1341","0.483695949305475","0.465099336278021","0.502292562332929"
"People exploit","2003","16-34 y.","Female","1366","0.458372080491265","0.440557095829721","0.47618706515281"
"People exploit","2003","35-65 y.","Male","3222","0.547707238402811","0.535264941986678","0.560149534818944"
"People exploit","2003","35-65 y.","Female","3013","0.496827937688077","0.484542846234413","0.509113029141741"
"People exploit","2003","66 and older","Male","695","0.423300208459883","0.399416799082001","0.447183617837765"
"People exploit","2003","66 and older","Female","750","0.373569531065046","0.352234823160964","0.394904238969129"
"People are fair","2003","16-34 y.","Male","1433","0.516304050694525","0.49770743766707","0.534900663721979"
"People are fair","2003","16-34 y.","Female","1639","0.541627919508735","0.52381293484719","0.559442904170279"
"People are fair","2003","35-65 y.","Male","2925","0.45229276159719","0.439850465181057","0.464735058013322"
"People are fair","2003","35-65 y.","Female","3350","0.503172062311923","0.490886970858259","0.515457153765587"
"People are fair","2003","66 and older","Male","949","0.576699791540117","0.552816382162235","0.600583200917999"
"People are fair","2003","66 and older","Female","1225","0.626430468934954","0.605095761030871","0.647765176839036"
"People exploit","2004","16-34 y.","Male","","","",""
"People exploit","2004","16-34 y.","Female","","","",""
"People exploit","2004","35-65 y.","Male","","","",""
"People exploit","2004","35-65 y.","Female","","","",""
"People exploit","2004","66 and older","Male","","","",""
"People exploit","2004","66 and older","Female","","","",""
"People are fair","2004","16-34 y.","Male","","","",""
"People are fair","2004","16-34 y.","Female","","","",""
"People are fair","2004","35-65 y.","Male","","","",""
"People are fair","2004","35-65 y.","Female","","","",""
"People are fair","2004","66 and older","Male","","","",""
"People are fair","2004","66 and older","Female","","","",""
"People exploit","2005","16-34 y.","Male","","","",""
"People exploit","2005","16-34 y.","Female","","","",""
"People exploit","2005","35-65 y.","Male","","","",""
"People exploit","2005","35-65 y.","Female","","","",""
"People exploit","2005","66 and older","Male","","","",""
"People exploit","2005","66 and older","Female","","","",""
"People are fair","2005","16-34 y.","Male","","","",""
"People are fair","2005","16-34 y.","Female","","","",""
"People are fair","2005","35-65 y.","Male","","","",""
"People are fair","2005","35-65 y.","Female","","","",""
"People are fair","2005","66 and older","Male","","","",""
"People are fair","2005","66 and older","Female","","","",""
"People exploit","2006","16-34 y.","Male","","","",""
"People exploit","2006","16-34 y.","Female","","","",""
"People exploit","2006","35-65 y.","Male","","","",""
"People exploit","2006","35-65 y.","Female","","","",""
"People exploit","2006","66 and older","Male","","","",""
"People exploit","2006","66 and older","Female","","","",""
"People are fair","2006","16-34 y.","Male","","","",""
"People are fair","2006","16-34 y.","Female","","","",""
"People are fair","2006","35-65 y.","Male","","","",""
"People are fair","2006","35-65 y.","Female","","","",""
"People are fair","2006","66 and older","Male","","","",""
"People are fair","2006","66 and older","Female","","","",""
"People exploit","2007","16-34 y.","Male","","","",""
"People exploit","2007","16-34 y.","Female","","","",""
"People exploit","2007","35-65 y.","Male","","","",""
"People exploit","2007","35-65 y.","Female","","","",""
"People exploit","2007","66 and older","Male","","","",""
"People exploit","2007","66 and older","Female","","","",""
"People are fair","2007","16-34 y.","Male","","","",""
"People are fair","2007","16-34 y.","Female","","","",""
"People are fair","2007","35-65 y.","Male","","","",""
"People are fair","2007","35-65 y.","Female","","","",""
"People are fair","2007","66 and older","Male","","","",""
"People are fair","2007","66 and older","Female","","","",""
"People exploit","2008","16-34 y.","Male","970","0.494787793081771","0.473192140920626","0.516383445242915"
"People exploit","2008","16-34 y.","Female","1012","0.476897491012913","0.456305431165197","0.49748955086063"
"People exploit","2008","35-65 y.","Male","2593","0.537166292018332","0.523407371168963","0.550925212867702"
"People exploit","2008","35-65 y.","Female","2476","0.471350460969417","0.458131632288646","0.484569289650188"
"People exploit","2008","66 and older","Male","882","0.4448625209121","0.423142750039768","0.466582291784431"
"People exploit","2008","66 and older","Female","884","0.388506609912576","0.368371433775999","0.408641786049154"
"People are fair","2008","16-34 y.","Male","1089","0.505212206918229","0.483616554757085","0.526807859079374"
