"plh0195","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","no migration background","Urban Area","5276","0.458878482637575","0.449917902683214","0.467839062591937"
"People exploit","2003","no migration background","Rural Area","3422","0.512252473517896","0.500281896387004","0.524223050648788"
"People exploit","2003","direct migration background","Urban Area","1065","0.499904261604464","0.478595269840275","0.521213253368654"
"People exploit","2003","direct migration background","Rural Area","238","0.536515773977898","0.490027257971217","0.583004289984579"
"People exploit","2003","indirect migration background","Urban Area","330","0.526407368949346","0.488740488572598","0.564074249326093"
"People exploit","2003","indirect migration background","Rural Area","56","0.561707045899608","0.46347069233713","0.659943399462086"
"People are fair","2003","no migration background","Urban Area","6604","0.541121517362424","0.532160937408063","0.550082097316786"
"People are fair","2003","no migration background","Rural Area","3276","0.487747526482104","0.475776949351212","0.499718103612996"
"People are fair","2003","direct migration background","Urban Area","1050","0.500095738395536","0.478786746631346","0.521404730159725"
"People are fair","2003","direct migration background","Rural Area","204","0.463484226022102","0.416995710015421","0.509972742028783"
"People are fair","2003","indirect migration background","Urban Area","345","0.473592631050654","0.435925750673907","0.511259511427402"
"People are fair","2003","indirect migration background","Rural Area","42","0.438292954100393","0.340056600537915","0.536529307662871"
"People exploit","2004","no migration background","Urban Area","","","",""
"People exploit","2004","no migration background","Rural Area","","","",""
"People exploit","2004","direct migration background","Urban Area","","","",""
"People exploit","2004","direct migration background","Rural Area","","","",""
"People exploit","2004","indirect migration background","Urban Area","","","",""
"People exploit","2004","indirect migration background","Rural Area","","","",""
"People are fair","2004","no migration background","Urban Area","","","",""
"People are fair","2004","no migration background","Rural Area","","","",""
"People are fair","2004","direct migration background","Urban Area","","","",""
"People are fair","2004","direct migration background","Rural Area","","","",""
"People are fair","2004","indirect migration background","Urban Area","","","",""
"People are fair","2004","indirect migration background","Rural Area","","","",""
"People exploit","2005","no migration background","Urban Area","","","",""
"People exploit","2005","no migration background","Rural Area","","","",""
"People exploit","2005","direct migration background","Urban Area","","","",""
"People exploit","2005","direct migration background","Rural Area","","","",""
"People exploit","2005","indirect migration background","Urban Area","","","",""
"People exploit","2005","indirect migration background","Rural Area","","","",""
"People are fair","2005","no migration background","Urban Area","","","",""
"People are fair","2005","no migration background","Rural Area","","","",""
"People are fair","2005","direct migration background","Urban Area","","","",""
"People are fair","2005","direct migration background","Rural Area","","","",""
"People are fair","2005","indirect migration background","Urban Area","","","",""
"People are fair","2005","indirect migration background","Rural Area","","","",""
"People exploit","2006","no migration background","Urban Area","","","",""
"People exploit","2006","no migration background","Rural Area","","","",""
"People exploit","2006","direct migration background","Urban Area","","","",""
"People exploit","2006","direct migration background","Rural Area","","","",""
"People exploit","2006","indirect migration background","Urban Area","","","",""
"People exploit","2006","indirect migration background","Rural Area","","","",""
"People are fair","2006","no migration background","Urban Area","","","",""
"People are fair","2006","no migration background","Rural Area","","","",""
"People are fair","2006","direct migration background","Urban Area","","","",""
"People are fair","2006","direct migration background","Rural Area","","","",""
"People are fair","2006","indirect migration background","Urban Area","","","",""
"People are fair","2006","indirect migration background","Rural Area","","","",""
"People exploit","2007","no migration background","Urban Area","","","",""
"People exploit","2007","no migration background","Rural Area","","","",""
"People exploit","2007","direct migration background","Urban Area","","","",""
"People exploit","2007","direct migration background","Rural Area","","","",""
"People exploit","2007","indirect migration background","Urban Area","","","",""
"People exploit","2007","indirect migration background","Rural Area","","","",""
"People are fair","2007","no migration background","Urban Area","","","",""
"People are fair","2007","no migration background","Rural Area","","","",""
"People are fair","2007","direct migration background","Urban Area","","","",""
"People are fair","2007","direct migration background","Rural Area","","","",""
"People are fair","2007","indirect migration background","Urban Area","","","",""
"People are fair","2007","indirect migration background","Rural Area","","","",""
"People exploit","2008","no migration background","Urban Area","4457","0.445927522262246","0.436403170952763","0.455451873571729"
"People exploit","2008","no migration background","Rural Area","2965","0.49733803506239","0.484688809272182","0.509987260852597"
"People exploit","2008","direct migration background","Urban Area","826","0.546457534577083","0.521609439987158","0.571305629167008"
"People exploit","2008","direct migration background","Rural Area","186","0.57059134489654","0.517743032041218","0.623439657751862"
"People exploit","2008","indirect migration background","Urban Area","330","0.534721897997815","0.496347106033608","0.573096689962023"
"People exploit","2008","indirect migration background","Rural Area","53","0.602273760803615","0.511224652928897","0.693322868678333"
"People are fair","2008","no migration background","Urban Area","6006","0.554072477737754","0.544548126428271","0.563596829047237"
"People are fair","2008","no migration background","Rural Area","3037","0.50266196493761","0.490012739147403","0.515311190727818"
"People are fair","2008","direct migration background","Urban Area","716","0.453542465422917","0.428694370832992","0.478390560012842"
"People are fair","2008","direct migration background","Rural Area","151","0.42940865510346","0.376560342248138","0.482256967958783"
"People are fair","2008","indirect migration background","Urban Area","319","0.465278102002185","0.426903310037977","0.503652893966392"
"People are fair","2008","indirect migration background","Rural Area","58","0.397726239196385","0.306677131321667","0.488775347071103"
"People exploit","2009","no migration background","Urban Area","","","",""
"People exploit","2009","no migration background","Rural Area","","","",""
"People exploit","2009","direct migration background","Urban Area","","","",""
"People exploit","2009","direct migration background","Rural Area","","","",""
"People exploit","2009","indirect migration background","Urban Area","","","",""
"People exploit","2009","indirect migration background","Rural Area","","","",""
"People are fair","2009","no migration background","Urban Area","","","",""
"People are fair","2009","no migration background","Rural Area","","","",""
"People are fair","2009","direct migration background","Urban Area","","","",""
"People are fair","2009","direct migration background","Rural Area","","","",""
"People are fair","2009","indirect migration background","Urban Area","","","",""
"People are fair","2009","indirect migration background","Rural Area","","","",""
"People exploit","2010","no migration background","Urban Area","","","",""
"People exploit","2010","no migration background","Rural Area","","","",""
"People exploit","2010","direct migration background","Urban Area","","","",""
"People exploit","2010","direct migration background","Rural Area","","","",""
"People exploit","2010","indirect migration background","Urban Area","","","",""
"People exploit","2010","indirect migration background","Rural Area","","","",""
"People are fair","2010","no migration background","Urban Area","","","",""
"People are fair","2010","no migration background","Rural Area","","","",""
"People are fair","2010","direct migration background","Urban Area","","","",""
"People are fair","2010","direct migration background","Rural Area","","","",""
"People are fair","2010","indirect migration background","Urban Area","","","",""
"People are fair","2010","indirect migration background","Rural Area","","","",""
"People exploit","2011","no migration background","Urban Area","","","",""
"People exploit","2011","no migration background","Rural Area","","","",""
"People exploit","2011","direct migration background","Urban Area","","","",""
"People exploit","2011","direct migration background","Rural Area","","","",""
"People exploit","2011","indirect migration background","Urban Area","","","",""
"People exploit","2011","indirect migration background","Rural Area","","","",""
