"plh0195","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","Urban Area","7999","0.532177351308428","0.524103107676258","0.540251594940597","2"
"People are fair","2003","Rural Area","3522","0.485460330746658","0.473946360393816","0.496974301099501","2"
"People exploit","2003","Urban Area","6671","0.467822648691572","0.459748405059403","0.475896892323742","1"
"People exploit","2003","Rural Area","3716","0.514539669253342","0.503025698900499","0.526053639606184","1"
"People are fair","2004","Urban Area","","","","","2"
"People are fair","2004","Rural Area","","","","","2"
"People exploit","2004","Urban Area","","","","","1"
"People exploit","2004","Rural Area","","","","","1"
"People are fair","2005","Urban Area","","","","","2"
"People are fair","2005","Rural Area","","","","","2"
"People exploit","2005","Urban Area","","","","","1"
"People exploit","2005","Rural Area","","","","","1"
"People are fair","2006","Urban Area","","","","","2"
"People are fair","2006","Rural Area","","","","","2"
"People exploit","2006","Urban Area","","","","","1"
"People exploit","2006","Rural Area","","","","","1"
"People are fair","2007","Urban Area","","","","","2"
"People are fair","2007","Rural Area","","","","","2"
"People exploit","2007","Urban Area","","","","","1"
"People exploit","2007","Rural Area","","","","","1"
"People are fair","2008","Urban Area","7041","0.533943523255509","0.525251895637285","0.542635150873732","2"
"People are fair","2008","Rural Area","3246","0.494218498354339","0.482017111335154","0.506419885373525","2"
"People exploit","2008","Urban Area","5613","0.466056476744491","0.457364849126268","0.474748104362715","1"
"People exploit","2008","Rural Area","3204","0.505781501645661","0.493580114626475","0.517982888664846","1"
"People are fair","2009","Urban Area","","","","","2"
"People are fair","2009","Rural Area","","","","","2"
"People exploit","2009","Urban Area","","","","","1"
"People exploit","2009","Rural Area","","","","","1"
"People are fair","2010","Urban Area","","","","","2"
"People are fair","2010","Rural Area","","","","","2"
"People exploit","2010","Urban Area","","","","","1"
"People exploit","2010","Rural Area","","","","","1"
"People are fair","2011","Urban Area","","","","","2"
"People are fair","2011","Rural Area","","","","","2"
"People exploit","2011","Urban Area","","","","","1"
"People exploit","2011","Rural Area","","","","","1"
"People are fair","2012","Urban Area","","","","","2"
"People are fair","2012","Rural Area","","","","","2"
"People exploit","2012","Urban Area","","","","","1"
"People exploit","2012","Rural Area","","","","","1"
"People are fair","2013","Urban Area","9748","0.593877654162672","0.586280333613381","0.601474974711963","2"
"People are fair","2013","Rural Area","5075","0.561288936507625","0.551018643700698","0.571559229314553","2"
"People exploit","2013","Urban Area","6304","0.406122345837328","0.398525025288038","0.413719666386618","1"
"People exploit","2013","Rural Area","3893","0.438711063492375","0.428440770685447","0.448981356299302","1"
"People are fair","2014","Urban Area","","","","","2"
"People are fair","2014","Rural Area","","","","","2"
"People exploit","2014","Urban Area","","","","","1"
"People exploit","2014","Rural Area","","","","","1"
"People are fair","2015","Urban Area","","","","","2"
"People are fair","2015","Rural Area","","","","","2"
"People exploit","2015","Urban Area","","","","","1"
"People exploit","2015","Rural Area","","","","","1"
"People are fair","2016","Urban Area","","","","","2"
"People are fair","2016","Rural Area","","","","","2"
"People exploit","2016","Urban Area","","","","","1"
"People exploit","2016","Rural Area","","","","","1"
"People are fair","2017","Urban Area","","","","","2"
"People are fair","2017","Rural Area","","","","","2"
"People exploit","2017","Urban Area","","","","","1"
"People exploit","2017","Rural Area","","","","","1"
"People are fair","2018","Urban Area","11698","0.624657843755894","0.617758087108228","0.63155760040356","2"
"People are fair","2018","Rural Area","5652","0.576780745619374","0.566959180389014","0.586602310849735","2"
"People exploit","2018","Urban Area","7221","0.375342156244106","0.36844239959644","0.382241912891772","1"
"People exploit","2018","Rural Area","4069","0.423219254380626","0.413397689150265","0.433040819610986","1"
