"plh0195","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","16-34 y.","indirect migration background","312","0.455223934422042","0.416275516394862","0.494172352449221","2"
"People are fair","2003","66 and older","no migration background","1964","0.60615292108332","0.589375412618615","0.622930429548025","2"
"People are fair","2003","16-34 y.","direct migration background","335","0.539509439195787","0.501367210898428","0.577651667493145","2"
"People are fair","2003","16-34 y.","no migration background","2425","0.536028100116894","0.521449263768091","0.550606936465696","2"
"People are fair","2003","35-65 y.","no migration background","5491","0.482768854443994","0.473355463517761","0.492182245370228","2"
"People are fair","2003","35-65 y.","direct migration background","714","0.440809522326006","0.416124816771847","0.465494227880165","2"
"People are fair","2003","35-65 y.","indirect migration background","70","0.533705941566577","0.448279286256276","0.619132596876878","2"
"People are fair","2003","66 and older","direct migration background","205","0.610605492201666","0.559300619112216","0.661910365291116","2"
"People are fair","2003","66 and older","indirect migration background","5","","","","2"
"People exploit","2003","16-34 y.","no migration background","2070","0.463971899883106","0.449393063534304","0.478550736231909","1"
"People exploit","2003","16-34 y.","direct migration background","321","0.460490560804213","0.422348332506855","0.498632789101572","1"
"People exploit","2003","16-34 y.","indirect migration background","316","0.544776065577958","0.505827647550779","0.583724483605138","1"
"People exploit","2003","35-65 y.","no migration background","5334","0.517231145556005","0.507817754629772","0.526644536482239","1"
"People exploit","2003","35-65 y.","direct migration background","840","0.559190477673994","0.534505772119835","0.583875183228153","1"
"People exploit","2003","35-65 y.","indirect migration background","61","0.466294058433423","0.380867403123122","0.551720713743724","1"
"People exploit","2003","66 and older","no migration background","1294","0.39384707891668","0.377069570451975","0.410624587381385","1"
"People exploit","2003","66 and older","direct migration background","142","0.389394507798334","0.338089634708884","0.440699380887784","1"
"People exploit","2003","66 and older","indirect migration background","9","","","","1"
"People are fair","2004","16-34 y.","indirect migration background","","","","","2"
"People are fair","2004","16-34 y.","no migration background","","","","","2"
"People are fair","2004","35-65 y.","no migration background","","","","","2"
"People are fair","2004","35-65 y.","direct migration background","","","","","2"
"People are fair","2004","16-34 y.","direct migration background","","","","","2"
"People are fair","2004","66 and older","no migration background","","","","","2"
"People are fair","2004","35-65 y.","indirect migration background","","","","","2"
"People are fair","2004","66 and older","direct migration background","","","","","2"
"People are fair","2004","66 and older","indirect migration background","","","","","2"
"People exploit","2004","16-34 y.","no migration background","","","","","1"
"People exploit","2004","16-34 y.","direct migration background","","","","","1"
"People exploit","2004","16-34 y.","indirect migration background","","","","","1"
"People exploit","2004","35-65 y.","no migration background","","","","","1"
"People exploit","2004","35-65 y.","direct migration background","","","","","1"
"People exploit","2004","35-65 y.","indirect migration background","","","","","1"
"People exploit","2004","66 and older","no migration background","","","","","1"
"People exploit","2004","66 and older","direct migration background","","","","","1"
"People exploit","2004","66 and older","indirect migration background","","","","","1"
"People are fair","2005","16-34 y.","no migration background","","","","","2"
"People are fair","2005","16-34 y.","indirect migration background","","","","","2"
"People are fair","2005","35-65 y.","direct migration background","","","","","2"
"People are fair","2005","16-34 y.","direct migration background","","","","","2"
"People are fair","2005","35-65 y.","no migration background","","","","","2"
"People are fair","2005","66 and older","no migration background","","","","","2"
"People are fair","2005","66 and older","indirect migration background","","","","","2"
"People are fair","2005","35-65 y.","indirect migration background","","","","","2"
"People are fair","2005","66 and older","direct migration background","","","","","2"
"People exploit","2005","16-34 y.","no migration background","","","","","1"
"People exploit","2005","16-34 y.","direct migration background","","","","","1"
"People exploit","2005","16-34 y.","indirect migration background","","","","","1"
"People exploit","2005","35-65 y.","no migration background","","","","","1"
"People exploit","2005","35-65 y.","direct migration background","","","","","1"
"People exploit","2005","35-65 y.","indirect migration background","","","","","1"
"People exploit","2005","66 and older","no migration background","","","","","1"
"People exploit","2005","66 and older","direct migration background","","","","","1"
"People exploit","2005","66 and older","indirect migration background","","","","","1"
"People are fair","2006","16-34 y.","no migration background","","","","","2"
"People are fair","2006","16-34 y.","indirect migration background","","","","","2"
"People are fair","2006","35-65 y.","direct migration background","","","","","2"
"People are fair","2006","66 and older","no migration background","","","","","2"
"People are fair","2006","35-65 y.","no migration background","","","","","2"
"People are fair","2006","16-34 y.","direct migration background","","","","","2"
"People are fair","2006","35-65 y.","indirect migration background","","","","","2"
"People are fair","2006","66 and older","direct migration background","","","","","2"
"People are fair","2006","66 and older","indirect migration background","","","","","2"
"People exploit","2006","16-34 y.","no migration background","","","","","1"
"People exploit","2006","16-34 y.","direct migration background","","","","","1"
"People exploit","2006","16-34 y.","indirect migration background","","","","","1"
"People exploit","2006","35-65 y.","no migration background","","","","","1"
"People exploit","2006","35-65 y.","direct migration background","","","","","1"
"People exploit","2006","35-65 y.","indirect migration background","","","","","1"
"People exploit","2006","66 and older","no migration background","","","","","1"
"People exploit","2006","66 and older","direct migration background","","","","","1"
"People exploit","2006","66 and older","indirect migration background","","","","","1"
"People are fair","2007","16-34 y.","indirect migration background","","","","","2"
"People are fair","2007","35-65 y.","no migration background","","","","","2"
"People are fair","2007","16-34 y.","no migration background","","","","","2"
"People are fair","2007","66 and older","direct migration background","","","","","2"
"People are fair","2007","66 and older","indirect migration background","","","","","2"
"People are fair","2007","35-65 y.","direct migration background","","","","","2"
"People are fair","2007","66 and older","no migration background","","","","","2"
"People are fair","2007","16-34 y.","direct migration background","","","","","2"
"People are fair","2007","35-65 y.","indirect migration background","","","","","2"
"People exploit","2007","16-34 y.","no migration background","","","","","1"
"People exploit","2007","16-34 y.","direct migration background","","","","","1"
"People exploit","2007","16-34 y.","indirect migration background","","","","","1"
"People exploit","2007","35-65 y.","no migration background","","","","","1"
"People exploit","2007","35-65 y.","direct migration background","","","","","1"
"People exploit","2007","35-65 y.","indirect migration background","","","","","1"
"People exploit","2007","66 and older","no migration background","","","","","1"
"People exploit","2007","66 and older","direct migration background","","","","","1"
"People exploit","2007","66 and older","indirect migration background","","","","","1"
"People are fair","2008","16-34 y.","no migration background","1888","0.53935534715046","0.522583663092023","0.556127031208896","2"
"People are fair","2008","16-34 y.","indirect migration background","271","0.435337526443072","0.394346626896838","0.476328425989306","2"
"People are fair","2008","35-65 y.","no migration background","4860","0.506448312781942","0.496224361879609","0.516672263684276","2"
"People are fair","2008","66 and older","direct migration background","196","0.501593252342995","0.450298910915356","0.552887593770634","2"
"People are fair","2008","66 and older","indirect migration background","5","","","","2"
"People are fair","2008","35-65 y.","direct migration background","493","0.429241145526109","0.400633891510517","0.457848399541701","2"
"People are fair","2008","66 and older","no migration background","2295","0.597162852175602","0.581742018929823","0.612583685421382","2"
"People are fair","2008","16-34 y.","direct migration background","178","0.459301683727785","0.408107110549621","0.51049625690595","2"
"People are fair","2008","35-65 y.","indirect migration background","101","0.518063728625501","0.446447130464155","0.589680326786848","2"
