"plh0195","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","indirect migration background","higher education","41","0.656809510743296","0.539572387113247","0.774046634373345","2"
"People are fair","2003","indirect migration background","general elemantary","81","0.424036362583394","0.352238505850497","0.49583421931629","2"
"People are fair","2003","indirect migration background","inadequately","3","","","","2"
"People are fair","2003","indirect migration background","middle vocational","160","0.419705408737555","0.366133658510152","0.473277158964959","2"
"People are fair","2003","indirect migration background","higher vocational","17","","","","2"
"People are fair","2003","indirect migration background","vocational + Abi","19","","","","2"
"People are fair","2003","direct migration background","middle vocational","443","0.461587253169287","0.42981945659866","0.493355049739913","2"
"People are fair","2003","direct migration background","vocational + Abi","109","0.509514057240964","0.444338427031277","0.57468968745065","2"
"People are fair","2003","direct migration background","higher vocational","71","0.49881071274386","0.416281574463887","0.581339851023834","2"
"People are fair","2003","direct migration background","higher education","202","0.569245109393452","0.518164125643156","0.620326093143747","2"
"People are fair","2003","indirect migration background","in school","45","0.618888908307702","0.505922047474927","0.731855769140478","2"
"People are fair","2003","no migration background","in school","327","0.670566913667663","0.62873748913609","0.712396338199236","2"
"People are fair","2003","no migration background","general elemantary","952","0.514226775372724","0.491640333358555","0.536813217386892","2"
"People are fair","2003","no migration background","higher vocational","760","0.493976854565714","0.468599417441551","0.519354291689876","2"
"People are fair","2003","no migration background","higher education","2341","0.58452110863248","0.569014857621143","0.600027359643817","2"
"People are fair","2003","direct migration background","in school","29","","","","2"
"People are fair","2003","direct migration background","inadequately","70","0.378256120747785","0.302877485478374","0.453634756017195","2"
"People are fair","2003","direct migration background","general elemantary","310","0.495169100119907","0.456643830812323","0.533694369427491","2"
"People are fair","2003","no migration background","inadequately","29","","","","2"
"People are fair","2003","no migration background","middle vocational","4885","0.503890851351881","0.49395476201422","0.513826940689541","2"
"People are fair","2003","no migration background","vocational + Abi","498","0.574016614099548","0.541139267151439","0.606893961047656","2"
"People exploit","2003","no migration background","in school","158","0.329433086332337","0.287603661800765","0.37126251086391","1"
"People exploit","2003","no migration background","inadequately","56","0.682122854182735","0.583130972203169","0.781114736162301","1"
"People exploit","2003","no migration background","general elemantary","929","0.485773224627276","0.463186782613108","0.508359666641445","1"
"People exploit","2003","no migration background","middle vocational","4842","0.496109148648119","0.486173059310459","0.50604523798578","1"
"People exploit","2003","no migration background","vocational + Abi","371","0.425983385900452","0.393106038952344","0.458860732848561","1"
"People exploit","2003","no migration background","higher vocational","731","0.506023145434286","0.480645708310124","0.531400582558448","1"
"People exploit","2003","no migration background","higher education","1539","0.41547889136752","0.399972640356183","0.430985142378857","1"
"People exploit","2003","direct migration background","in school","17","","","","1"
"People exploit","2003","direct migration background","inadequately","89","0.621743879252215","0.546365243982805","0.697122514521626","1"
"People exploit","2003","direct migration background","general elemantary","337","0.504830899880093","0.466305630572509","0.543356169187677","1"
"People exploit","2003","direct migration background","middle vocational","503","0.538412746830713","0.506644950260087","0.57018054340134","1"
"People exploit","2003","direct migration background","vocational + Abi","117","0.490485942759036","0.42531031254935","0.555661572968723","1"
"People exploit","2003","direct migration background","higher vocational","70","0.50118928725614","0.418660148976166","0.583718425536113","1"
"People exploit","2003","direct migration background","higher education","159","0.430754890606548","0.379673906856253","0.481835874356844","1"
"People exploit","2003","indirect migration background","in school","26","","","","1"
"People exploit","2003","indirect migration background","inadequately","7","","","","1"
"People exploit","2003","indirect migration background","general elemantary","101","0.575963637416606","0.50416578068371","0.647761494149503","1"
"People exploit","2003","indirect migration background","middle vocational","166","0.580294591262445","0.526722841035041","0.633866341489848","1"
"People exploit","2003","indirect migration background","vocational + Abi","25","","","","1"
"People exploit","2003","indirect migration background","higher vocational","23","","","","1"
"People exploit","2003","indirect migration background","higher education","22","","","","1"
"People are fair","2004","indirect migration background","middle vocational","","","","","2"
"People are fair","2004","indirect migration background","higher education","","","","","2"
"People are fair","2004","indirect migration background","vocational + Abi","","","","","2"
"People are fair","2004","indirect migration background","inadequately","","","","","2"
"People are fair","2004","indirect migration background","general elemantary","","","","","2"
"People are fair","2004","indirect migration background","higher vocational","","","","","2"
"People are fair","2004","direct migration background","higher vocational","","","","","2"
"People are fair","2004","direct migration background","higher education","","","","","2"
"People are fair","2004","indirect migration background","in school","","","","","2"
"People are fair","2004","direct migration background","middle vocational","","","","","2"
"People are fair","2004","direct migration background","vocational + Abi","","","","","2"
"People are fair","2004","direct migration background","in school","","","","","2"
"People are fair","2004","direct migration background","inadequately","","","","","2"
"People are fair","2004","direct migration background","general elemantary","","","","","2"
"People are fair","2004","no migration background","higher vocational","","","","","2"
"People are fair","2004","no migration background","higher education","","","","","2"
"People are fair","2004","no migration background","in school","","","","","2"
"People are fair","2004","no migration background","general elemantary","","","","","2"
"People are fair","2004","no migration background","middle vocational","","","","","2"
"People are fair","2004","no migration background","vocational + Abi","","","","","2"
"People are fair","2004","no migration background","inadequately","","","","","2"
"People exploit","2004","no migration background","in school","","","","","1"
"People exploit","2004","no migration background","inadequately","","","","","1"
"People exploit","2004","no migration background","general elemantary","","","","","1"
"People exploit","2004","no migration background","middle vocational","","","","","1"
"People exploit","2004","no migration background","vocational + Abi","","","","","1"
"People exploit","2004","no migration background","higher vocational","","","","","1"
"People exploit","2004","no migration background","higher education","","","","","1"
"People exploit","2004","direct migration background","in school","","","","","1"
"People exploit","2004","direct migration background","inadequately","","","","","1"
"People exploit","2004","direct migration background","general elemantary","","","","","1"
"People exploit","2004","direct migration background","middle vocational","","","","","1"
"People exploit","2004","direct migration background","vocational + Abi","","","","","1"
"People exploit","2004","direct migration background","higher vocational","","","","","1"
"People exploit","2004","direct migration background","higher education","","","","","1"
"People exploit","2004","indirect migration background","in school","","","","","1"
"People exploit","2004","indirect migration background","inadequately","","","","","1"
"People exploit","2004","indirect migration background","general elemantary","","","","","1"
"People exploit","2004","indirect migration background","middle vocational","","","","","1"
"People exploit","2004","indirect migration background","vocational + Abi","","","","","1"
"People exploit","2004","indirect migration background","higher vocational","","","","","1"
"People exploit","2004","indirect migration background","higher education","","","","","1"
"People are fair","2005","indirect migration background","inadequately","","","","","2"
"People are fair","2005","indirect migration background","higher education","","","","","2"
"People are fair","2005","indirect migration background","middle vocational","","","","","2"
"People are fair","2005","indirect migration background","general elemantary","","","","","2"
"People are fair","2005","indirect migration background","vocational + Abi","","","","","2"
"People are fair","2005","indirect migration background","higher vocational","","","","","2"
"People are fair","2005","direct migration background","middle vocational","","","","","2"
"People are fair","2005","direct migration background","vocational + Abi","","","","","2"
"People are fair","2005","direct migration background","higher vocational","","","","","2"
"People are fair","2005","direct migration background","higher education","","","","","2"
"People are fair","2005","indirect migration background","in school","","","","","2"
"People are fair","2005","no migration background","higher vocational","","","","","2"
"People are fair","2005","no migration background","higher education","","","","","2"
"People are fair","2005","direct migration background","in school","","","","","2"
"People are fair","2005","direct migration background","inadequately","","","","","2"
"People are fair","2005","direct migration background","general elemantary","","","","","2"
"People are fair","2005","no migration background","in school","","","","","2"
"People are fair","2005","no migration background","inadequately","","","","","2"
"People are fair","2005","no migration background","general elemantary","","","","","2"
"People are fair","2005","no migration background","middle vocational","","","","","2"
"People are fair","2005","no migration background","vocational + Abi","","","","","2"
"People exploit","2005","no migration background","in school","","","","","1"
"People exploit","2005","no migration background","inadequately","","","","","1"
"People exploit","2005","no migration background","general elemantary","","","","","1"
"People exploit","2005","no migration background","middle vocational","","","","","1"
"People exploit","2005","no migration background","vocational + Abi","","","","","1"
"People exploit","2005","no migration background","higher vocational","","","","","1"
"People exploit","2005","no migration background","higher education","","","","","1"
"People exploit","2005","direct migration background","in school","","","","","1"
"People exploit","2005","direct migration background","inadequately","","","","","1"
"People exploit","2005","direct migration background","general elemantary","","","","","1"
"People exploit","2005","direct migration background","middle vocational","","","","","1"
"People exploit","2005","direct migration background","vocational + Abi","","","","","1"
"People exploit","2005","direct migration background","higher vocational","","","","","1"
"People exploit","2005","direct migration background","higher education","","","","","1"
"People exploit","2005","indirect migration background","in school","","","","","1"
"People exploit","2005","indirect migration background","inadequately","","","","","1"
"People exploit","2005","indirect migration background","general elemantary","","","","","1"
"People exploit","2005","indirect migration background","middle vocational","","","","","1"
"People exploit","2005","indirect migration background","vocational + Abi","","","","","1"
"People exploit","2005","indirect migration background","higher vocational","","","","","1"
"People exploit","2005","indirect migration background","higher education","","","","","1"
"People are fair","2006","indirect migration background","higher education","","","","","2"
"People are fair","2006","indirect migration background","inadequately","","","","","2"
"People are fair","2006","indirect migration background","vocational + Abi","","","","","2"
"People are fair","2006","indirect migration background","general elemantary","","","","","2"
"People are fair","2006","indirect migration background","middle vocational","","","","","2"
"People are fair","2006","indirect migration background","higher vocational","","","","","2"
"People are fair","2006","direct migration background","middle vocational","","","","","2"
"People are fair","2006","direct migration background","higher vocational","","","","","2"
"People are fair","2006","indirect migration background","in school","","","","","2"
"People are fair","2006","direct migration background","vocational + Abi","","","","","2"
"People are fair","2006","direct migration background","higher education","","","","","2"
"People are fair","2006","no migration background","higher vocational","","","","","2"
"People are fair","2006","no migration background","higher education","","","","","2"
"People are fair","2006","direct migration background","in school","","","","","2"
"People are fair","2006","direct migration background","inadequately","","","","","2"
"People are fair","2006","direct migration background","general elemantary","","","","","2"
"People are fair","2006","no migration background","in school","","","","","2"
"People are fair","2006","no migration background","inadequately","","","","","2"
"People are fair","2006","no migration background","general elemantary","","","","","2"
"People are fair","2006","no migration background","middle vocational","","","","","2"
