"plh0195","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","Full Time","Urban Area","2782","0.497325843185585","0.484527553478743","0.510124132892428"
"People exploit","2003","Full Time","Rural Area","1590","0.55183882442973","0.533902245672314","0.569775403187146"
"People exploit","2003","Part Time","Urban Area","1548","0.452056111000494","0.435565363730594","0.468546858270393"
"People exploit","2003","Part Time","Rural Area","782","0.512918900097696","0.488186765041577","0.537651035153815"
"People exploit","2003","Not Working","Urban Area","2341","0.449378407687063","0.435996582461328","0.462760232912797"
"People exploit","2003","Not Working","Rural Area","1344","0.481413609236243","0.462622477050907","0.500204741421579"
"People are fair","2003","Full Time","Urban Area","3081","0.502674156814415","0.489875867107572","0.515472446521257"
"People are fair","2003","Full Time","Rural Area","1363","0.44816117557027","0.430224596812854","0.466097754327686"
"People are fair","2003","Part Time","Urban Area","1951","0.547943888999506","0.531453141729607","0.564434636269406"
"People are fair","2003","Part Time","Rural Area","787","0.487081099902303","0.462348964846184","0.511813234958423"
"People are fair","2003","Not Working","Urban Area","2967","0.550621592312937","0.537239767087203","0.564003417538672"
"People are fair","2003","Not Working","Rural Area","1372","0.518586390763757","0.499795258578421","0.537377522949093"
"People exploit","2004","Full Time","Urban Area","","","",""
"People exploit","2004","Full Time","Rural Area","","","",""
"People exploit","2004","Part Time","Urban Area","","","",""
"People exploit","2004","Part Time","Rural Area","","","",""
"People exploit","2004","Not Working","Urban Area","","","",""
"People exploit","2004","Not Working","Rural Area","","","",""
"People are fair","2004","Full Time","Urban Area","","","",""
"People are fair","2004","Full Time","Rural Area","","","",""
"People are fair","2004","Part Time","Urban Area","","","",""
"People are fair","2004","Part Time","Rural Area","","","",""
"People are fair","2004","Not Working","Urban Area","","","",""
"People are fair","2004","Not Working","Rural Area","","","",""
"People exploit","2005","Full Time","Urban Area","","","",""
"People exploit","2005","Full Time","Rural Area","","","",""
"People exploit","2005","Part Time","Urban Area","","","",""
"People exploit","2005","Part Time","Rural Area","","","",""
"People exploit","2005","Not Working","Urban Area","","","",""
"People exploit","2005","Not Working","Rural Area","","","",""
"People are fair","2005","Full Time","Urban Area","","","",""
"People are fair","2005","Full Time","Rural Area","","","",""
"People are fair","2005","Part Time","Urban Area","","","",""
"People are fair","2005","Part Time","Rural Area","","","",""
"People are fair","2005","Not Working","Urban Area","","","",""
"People are fair","2005","Not Working","Rural Area","","","",""
"People exploit","2006","Full Time","Urban Area","","","",""
"People exploit","2006","Full Time","Rural Area","","","",""
"People exploit","2006","Part Time","Urban Area","","","",""
"People exploit","2006","Part Time","Rural Area","","","",""
"People exploit","2006","Not Working","Urban Area","","","",""
"People exploit","2006","Not Working","Rural Area","","","",""
"People are fair","2006","Full Time","Urban Area","","","",""
"People are fair","2006","Full Time","Rural Area","","","",""
"People are fair","2006","Part Time","Urban Area","","","",""
"People are fair","2006","Part Time","Rural Area","","","",""
"People are fair","2006","Not Working","Urban Area","","","",""
"People are fair","2006","Not Working","Rural Area","","","",""
"People exploit","2007","Full Time","Urban Area","","","",""
"People exploit","2007","Full Time","Rural Area","","","",""
"People exploit","2007","Part Time","Urban Area","","","",""
"People exploit","2007","Part Time","Rural Area","","","",""
"People exploit","2007","Not Working","Urban Area","","","",""
"People exploit","2007","Not Working","Rural Area","","","",""
"People are fair","2007","Full Time","Urban Area","","","",""
"People are fair","2007","Full Time","Rural Area","","","",""
"People are fair","2007","Part Time","Urban Area","","","",""
"People are fair","2007","Part Time","Rural Area","","","",""
"People are fair","2007","Not Working","Urban Area","","","",""
"People are fair","2007","Not Working","Rural Area","","","",""
"People exploit","2008","Full Time","Urban Area","2257","0.496742759326866","0.482717529319299","0.510767989334433"
"People exploit","2008","Full Time","Rural Area","1326","0.539893423886853","0.520422358181531","0.559364489592175"
"People exploit","2008","Part Time","Urban Area","1273","0.447139925942464","0.429185932640106","0.465093919244823"
"People exploit","2008","Part Time","Rural Area","682","0.500427503537186","0.474264409565323","0.526590597509049"
"People exploit","2008","Not Working","Urban Area","2083","0.446876194369213","0.432849374582567","0.460903014155859"
"People exploit","2008","Not Working","Rural Area","1196","0.475151604457623","0.45569258880393","0.494610620111315"
"People are fair","2008","Full Time","Urban Area","2625","0.503257240673134","0.489232010665567","0.517282470680701"
"People are fair","2008","Full Time","Rural Area","1191","0.460106576113147","0.440635510407825","0.479577641818469"
"People are fair","2008","Part Time","Urban Area","1673","0.552860074057536","0.534906080755178","0.570814067359894"
"People are fair","2008","Part Time","Rural Area","721","0.499572496462814","0.473409402490951","0.525735590434677"
"People are fair","2008","Not Working","Urban Area","2743","0.553123805630788","0.539096985844142","0.567150625417434"
"People are fair","2008","Not Working","Rural Area","1334","0.524848395542377","0.505389379888685","0.544307411196069"
"People exploit","2009","Full Time","Urban Area","","","",""
"People exploit","2009","Full Time","Rural Area","","","",""
"People exploit","2009","Part Time","Urban Area","","","",""
"People exploit","2009","Part Time","Rural Area","","","",""
"People exploit","2009","Not Working","Urban Area","","","",""
"People exploit","2009","Not Working","Rural Area","","","",""
"People are fair","2009","Full Time","Urban Area","","","",""
"People are fair","2009","Full Time","Rural Area","","","",""
"People are fair","2009","Part Time","Urban Area","","","",""
"People are fair","2009","Part Time","Rural Area","","","",""
"People are fair","2009","Not Working","Urban Area","","","",""
"People are fair","2009","Not Working","Rural Area","","","",""
"People exploit","2010","Full Time","Urban Area","","","",""
"People exploit","2010","Full Time","Rural Area","","","",""
"People exploit","2010","Part Time","Urban Area","","","",""
"People exploit","2010","Part Time","Rural Area","","","",""
"People exploit","2010","Not Working","Urban Area","","","",""
"People exploit","2010","Not Working","Rural Area","","","",""
"People are fair","2010","Full Time","Urban Area","","","",""
"People are fair","2010","Full Time","Rural Area","","","",""
"People are fair","2010","Part Time","Urban Area","","","",""
"People are fair","2010","Part Time","Rural Area","","","",""
"People are fair","2010","Not Working","Urban Area","","","",""
"People are fair","2010","Not Working","Rural Area","","","",""
"People exploit","2011","Full Time","Urban Area","","","",""
"People exploit","2011","Full Time","Rural Area","","","",""
"People exploit","2011","Part Time","Urban Area","","","",""
"People exploit","2011","Part Time","Rural Area","","","",""
"People exploit","2011","Not Working","Urban Area","","","",""
"People exploit","2011","Not Working","Rural Area","","","",""
"People are fair","2011","Full Time","Urban Area","","","",""
"People are fair","2011","Full Time","Rural Area","","","",""
"People are fair","2011","Part Time","Urban Area","","","",""
"People are fair","2011","Part Time","Rural Area","","","",""
"People are fair","2011","Not Working","Urban Area","","","",""
"People are fair","2011","Not Working","Rural Area","","","",""
"People exploit","2012","Full Time","Urban Area","","","",""
"People exploit","2012","Full Time","Rural Area","","","",""
"People exploit","2012","Part Time","Urban Area","","","",""
"People exploit","2012","Part Time","Rural Area","","","",""
"People exploit","2012","Not Working","Urban Area","","","",""
"People exploit","2012","Not Working","Rural Area","","","",""
"People are fair","2012","Full Time","Urban Area","","","",""
"People are fair","2012","Full Time","Rural Area","","","",""
"People are fair","2012","Part Time","Urban Area","","","",""
"People are fair","2012","Part Time","Rural Area","","","",""
"People are fair","2012","Not Working","Urban Area","","","",""
"People are fair","2012","Not Working","Rural Area","","","",""
"People exploit","2013","Full Time","Urban Area","2496","0.430226238483626","0.417748327893198","0.442704149074054"
"People exploit","2013","Full Time","Rural Area","1547","0.468135640145385","0.451400126943713","0.484871153347056"
"People exploit","2013","Part Time","Urban Area","1647","0.382721792259353","0.368534809474595","0.39690877504411"
"People exploit","2013","Part Time","Rural Area","1043","0.440727019359124","0.421088031568041","0.460366007150206"
"People exploit","2013","Not Working","Urban Area","2161","0.395727707589112","0.382798294452223","0.408657120726001"
"People exploit","2013","Not Working","Rural Area","1303","0.407362010443262","0.390060166493617","0.424663854392908"
"People are fair","2013","Full Time","Urban Area","3552","0.569773761516374","0.557295850925946","0.582251672106802"
"People are fair","2013","Full Time","Rural Area","1868","0.531864359854615","0.515128846652944","0.548599873056287"
"People are fair","2013","Part Time","Urban Area","2862","0.617278207740648","0.60309122495589","0.631465190525405"
"People are fair","2013","Part Time","Rural Area","1412","0.559272980640876","0.539633992849794","0.578911968431959"
"People are fair","2013","Not Working","Urban Area","3334","0.604272292410888","0.591342879273999","0.617201705547777"
"People are fair","2013","Not Working","Rural Area","1795","0.592637989556738","0.575336145607092","0.609939833506383"
"People exploit","2014","Full Time","Urban Area","","","",""
"People exploit","2014","Full Time","Rural Area","","","",""
"People exploit","2014","Part Time","Urban Area","","","",""
"People exploit","2014","Part Time","Rural Area","","","",""
"People exploit","2014","Not Working","Urban Area","","","",""
"People exploit","2014","Not Working","Rural Area","","","",""
"People are fair","2014","Full Time","Urban Area","","","",""
"People are fair","2014","Full Time","Rural Area","","","",""
"People are fair","2014","Part Time","Urban Area","","","",""
"People are fair","2014","Part Time","Rural Area","","","",""
"People are fair","2014","Not Working","Urban Area","","","",""
"People are fair","2014","Not Working","Rural Area","","","",""
"People exploit","2015","Full Time","Urban Area","","","",""
"People exploit","2015","Full Time","Rural Area","","","",""
"People exploit","2015","Part Time","Urban Area","","","",""
"People exploit","2015","Part Time","Rural Area","","","",""
"People exploit","2015","Not Working","Urban Area","","","",""
"People exploit","2015","Not Working","Rural Area","","","",""
"People are fair","2015","Full Time","Urban Area","","","",""
"People are fair","2015","Full Time","Rural Area","","","",""
"People are fair","2015","Part Time","Urban Area","","","",""
"People are fair","2015","Part Time","Rural Area","","","",""
"People are fair","2015","Not Working","Urban Area","","","",""
"People are fair","2015","Not Working","Rural Area","","","",""
"People exploit","2016","Full Time","Urban Area","","","",""
"People exploit","2016","Full Time","Rural Area","","","",""
"People exploit","2016","Part Time","Urban Area","","","",""
"People exploit","2016","Part Time","Rural Area","","","",""
"People exploit","2016","Not Working","Urban Area","","","",""
"People exploit","2016","Not Working","Rural Area","","","",""
"People are fair","2016","Full Time","Urban Area","","","",""
"People are fair","2016","Full Time","Rural Area","","","",""
"People are fair","2016","Part Time","Urban Area","","","",""
"People are fair","2016","Part Time","Rural Area","","","",""
"People are fair","2016","Not Working","Urban Area","","","",""
"People are fair","2016","Not Working","Rural Area","","","",""
"People exploit","2017","Full Time","Urban Area","","","",""
"People exploit","2017","Full Time","Rural Area","","","",""
"People exploit","2017","Part Time","Urban Area","","","",""
"People exploit","2017","Part Time","Rural Area","","","",""
"People exploit","2017","Not Working","Urban Area","","","",""
"People exploit","2017","Not Working","Rural Area","","","",""
"People are fair","2017","Full Time","Urban Area","","","",""
"People are fair","2017","Full Time","Rural Area","","","",""
"People are fair","2017","Part Time","Urban Area","","","",""
"People are fair","2017","Part Time","Rural Area","","","",""
"People are fair","2017","Not Working","Urban Area","","","",""
"People are fair","2017","Not Working","Rural Area","","","",""
"People exploit","2018","Full Time","Urban Area","2443","0.389821627656137","0.377825065796216","0.401818189516057"
"People exploit","2018","Full Time","Rural Area","1506","0.431505089629132","0.415096535253076","0.447913644005188"
"People exploit","2018","Part Time","Urban Area","1873","0.378368220361245","0.365027833012369","0.391708607710122"
"People exploit","2018","Part Time","Rural Area","1097","0.42826401790834","0.409331004960073","0.447197030856608"
"People exploit","2018","Not Working","Urban Area","2905","0.35699537905166","0.346147156928248","0.367843601175071"
"People exploit","2018","Not Working","Rural Area","1466","0.409943798567179","0.393871176893225","0.426016420241132"
"People are fair","2018","Full Time","Urban Area","3906","0.610178372343863","0.598181810483943","0.622174934203784"
"People are fair","2018","Full Time","Rural Area","1994","0.568494910370868","0.552086355994812","0.584903464746924"
"People are fair","2018","Part Time","Urban Area","3204","0.621631779638755","0.608291392289878","0.634972166987631"
"People are fair","2018","Part Time","Rural Area","1527","0.57173598209166","0.552802969143392","0.590668995039928"
"People are fair","2018","Not Working","Urban Area","4588","0.64300462094834","0.632156398824929","0.653852843071752"
"People are fair","2018","Not Working","Rural Area","2131","0.590056201432821","0.573983579758868","0.606128823106775"
