"plh0195","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","Employed","East Germany","1430","0.423093211094456","0.405975568471426","0.440210853717487","2"
"People are fair","2003","Not Employed","West Germany","3371","0.560579291289362","0.5479374787613","0.573221103817424","2"
"People are fair","2003","Not Employed","East Germany","968","0.46512124496339","0.443803600374009","0.486438889552772","2"
"People are fair","2003","Employed","West Germany","5752","0.518387098860967","0.508912577054527","0.527861620667407","2"
"People exploit","2003","Not Employed","West Germany","2550","0.439420708710638","0.426778896182576","0.4520625212387","1"
"People exploit","2003","Not Employed","East Germany","1135","0.53487875503661","0.513561110447228","0.556196399625991","1"
"People exploit","2003","Employed","West Germany","4932","0.481612901139033","0.472138379332593","0.491087422945473","1"
"People exploit","2003","Employed","East Germany","1770","0.576906788905544","0.559789146282513","0.594024431528574","1"
"People are fair","2004","Not Employed","East Germany","","","","","2"
"People are fair","2004","Employed","West Germany","","","","","2"
"People are fair","2004","Employed","East Germany","","","","","2"
"People are fair","2004","Not Employed","West Germany","","","","","2"
"People exploit","2004","Not Employed","West Germany","","","","","1"
"People exploit","2004","Not Employed","East Germany","","","","","1"
"People exploit","2004","Employed","West Germany","","","","","1"
"People exploit","2004","Employed","East Germany","","","","","1"
"People are fair","2005","Not Employed","West Germany","","","","","2"
"People are fair","2005","Not Employed","East Germany","","","","","2"
"People are fair","2005","Employed","West Germany","","","","","2"
"People are fair","2005","Employed","East Germany","","","","","2"
"People exploit","2005","Not Employed","East Germany","","","","","1"
"People exploit","2005","Employed","West Germany","","","","","1"
"People exploit","2005","Employed","East Germany","","","","","1"
"People exploit","2005","Not Employed","West Germany","","","","","1"
"People are fair","2006","Not Employed","West Germany","","","","","2"
"People are fair","2006","Not Employed","East Germany","","","","","2"
"People are fair","2006","Employed","West Germany","","","","","2"
"People are fair","2006","Employed","East Germany","","","","","2"
"People exploit","2006","Not Employed","East Germany","","","","","1"
"People exploit","2006","Employed","West Germany","","","","","1"
"People exploit","2006","Employed","East Germany","","","","","1"
"People exploit","2006","Not Employed","West Germany","","","","","1"
"People are fair","2007","Not Employed","East Germany","","","","","2"
"People are fair","2007","Employed","West Germany","","","","","2"
"People are fair","2007","Employed","East Germany","","","","","2"
"People are fair","2007","Not Employed","West Germany","","","","","2"
"People exploit","2007","Not Employed","East Germany","","","","","1"
"People exploit","2007","Not Employed","West Germany","","","","","1"
"People exploit","2007","Employed","West Germany","","","","","1"
"People exploit","2007","Employed","East Germany","","","","","1"
"People are fair","2008","Not Employed","East Germany","971","0.485474258952165","0.463353707404692","0.507594810499638","2"
"People are fair","2008","Employed","West Germany","4877","0.518716814859246","0.508384374698995","0.529049255019497","2"
"People are fair","2008","Employed","East Germany","1333","0.448766561691849","0.430227892915532","0.467305230468167","2"
"People are fair","2008","Not Employed","West Germany","3106","0.559403503390209","0.546155956138562","0.572651050641856","2"
"People exploit","2008","Not Employed","East Germany","990","0.514525741047835","0.492405189500362","0.536646292595308","1"
"People exploit","2008","Employed","East Germany","1432","0.551233438308151","0.532694769531833","0.569772107084468","1"
"People exploit","2008","Not Employed","West Germany","2289","0.440596496609791","0.427348949358144","0.453844043861438","1"
"People exploit","2008","Employed","West Germany","4106","0.481283185140754","0.470950744980503","0.491615625301005","1"
"People are fair","2009","Not Employed","East Germany","","","","","2"
"People are fair","2009","Not Employed","West Germany","","","","","2"
"People are fair","2009","Employed","West Germany","","","","","2"
"People are fair","2009","Employed","East Germany","","","","","2"
"People exploit","2009","Not Employed","East Germany","","","","","1"
"People exploit","2009","Employed","East Germany","","","","","1"
"People exploit","2009","Not Employed","West Germany","","","","","1"
"People exploit","2009","Employed","West Germany","","","","","1"
"People are fair","2010","Not Employed","East Germany","","","","","2"
"People are fair","2010","Employed","East Germany","","","","","2"
"People are fair","2010","Not Employed","West Germany","","","","","2"
"People are fair","2010","Employed","West Germany","","","","","2"
