"plh0195","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","Not Employed","Full Time","","","",""
"People exploit","2003","Not Employed","Part Time","","","",""
"People exploit","2003","Not Employed","Not Working","3685","0.459379860427635","0.448475888696541","0.470283832158729"
"People exploit","2003","Employed","Full Time","4372","0.514313164173739","0.503880282381375","0.524746045966102"
"People exploit","2003","Employed","Part Time","2330","0.470415316914005","0.456673687798164","0.484156946029846"
"People exploit","2003","Employed","Not Working","","","",""
"People are fair","2003","Not Employed","Full Time","","","",""
"People are fair","2003","Not Employed","Part Time","","","",""
"People are fair","2003","Not Employed","Not Working","4339","0.540620139572365","0.529716167841271","0.551524111303459"
"People are fair","2003","Employed","Full Time","4444","0.485686835826261","0.475253954033898","0.496119717618625"
"People are fair","2003","Employed","Part Time","2738","0.529584683085995","0.515843053970154","0.543326312201836"
"People are fair","2003","Employed","Not Working","","","",""
"People exploit","2004","Not Employed","Full Time","","","",""
"People exploit","2004","Not Employed","Part Time","","","",""
"People exploit","2004","Not Employed","Not Working","","","",""
"People exploit","2004","Employed","Full Time","","","",""
"People exploit","2004","Employed","Part Time","","","",""
"People exploit","2004","Employed","Not Working","","","",""
"People are fair","2004","Not Employed","Full Time","","","",""
"People are fair","2004","Not Employed","Part Time","","","",""
"People are fair","2004","Not Employed","Not Working","","","",""
"People are fair","2004","Employed","Full Time","","","",""
"People are fair","2004","Employed","Part Time","","","",""
"People are fair","2004","Employed","Not Working","","","",""
"People exploit","2005","Not Employed","Full Time","","","",""
"People exploit","2005","Not Employed","Part Time","","","",""
"People exploit","2005","Not Employed","Not Working","","","",""
"People exploit","2005","Employed","Full Time","","","",""
"People exploit","2005","Employed","Part Time","","","",""
"People exploit","2005","Employed","Not Working","","","",""
"People are fair","2005","Not Employed","Full Time","","","",""
"People are fair","2005","Not Employed","Part Time","","","",""
"People are fair","2005","Not Employed","Not Working","","","",""
"People are fair","2005","Employed","Full Time","","","",""
"People are fair","2005","Employed","Part Time","","","",""
"People are fair","2005","Employed","Not Working","","","",""
"People exploit","2006","Not Employed","Full Time","","","",""
"People exploit","2006","Not Employed","Part Time","","","",""
"People exploit","2006","Not Employed","Not Working","","","",""
"People exploit","2006","Employed","Full Time","","","",""
"People exploit","2006","Employed","Part Time","","","",""
"People exploit","2006","Employed","Not Working","","","",""
"People are fair","2006","Not Employed","Full Time","","","",""
"People are fair","2006","Not Employed","Part Time","","","",""
"People are fair","2006","Not Employed","Not Working","","","",""
"People are fair","2006","Employed","Full Time","","","",""
"People are fair","2006","Employed","Part Time","","","",""
"People are fair","2006","Employed","Not Working","","","",""
"People exploit","2007","Not Employed","Full Time","","","",""
"People exploit","2007","Not Employed","Part Time","","","",""
"People exploit","2007","Not Employed","Not Working","","","",""
"People exploit","2007","Employed","Full Time","","","",""
"People exploit","2007","Employed","Part Time","","","",""
"People exploit","2007","Employed","Not Working","","","",""
"People are fair","2007","Not Employed","Full Time","","","",""
"People are fair","2007","Not Employed","Part Time","","","",""
"People are fair","2007","Not Employed","Not Working","","","",""
"People are fair","2007","Employed","Full Time","","","",""
"People are fair","2007","Employed","Part Time","","","",""
"People are fair","2007","Employed","Not Working","","","",""
"People exploit","2008","Not Employed","Full Time","","","",""
"People exploit","2008","Not Employed","Part Time","","","",""
"People exploit","2008","Not Employed","Not Working","3279","0.455736532862728","0.444355314793371","0.467117750932086"
"People exploit","2008","Employed","Full Time","3583","0.51037113165223","0.498980753676719","0.521761509627742"
"People exploit","2008","Employed","Part Time","1955","0.463480091292757","0.448659625609014","0.478300556976501"
"People exploit","2008","Employed","Not Working","","","",""
"People are fair","2008","Not Employed","Full Time","","","",""
"People are fair","2008","Not Employed","Part Time","","","",""
"People are fair","2008","Not Employed","Not Working","4077","0.544263467137272","0.532882249067914","0.555644685206629"
"People are fair","2008","Employed","Full Time","3816","0.48962886834777","0.478238490372258","0.501019246323281"
"People are fair","2008","Employed","Part Time","2394","0.536519908707243","0.521699443023499","0.551340374390986"
"People are fair","2008","Employed","Not Working","","","",""
"People exploit","2009","Not Employed","Full Time","","","",""
"People exploit","2009","Not Employed","Part Time","","","",""
"People exploit","2009","Not Employed","Not Working","","","",""
"People exploit","2009","Employed","Full Time","","","",""
"People exploit","2009","Employed","Part Time","","","",""
"People exploit","2009","Employed","Not Working","","","",""
"People are fair","2009","Not Employed","Full Time","","","",""
"People are fair","2009","Not Employed","Part Time","","","",""
"People are fair","2009","Not Employed","Not Working","","","",""
"People are fair","2009","Employed","Full Time","","","",""
"People are fair","2009","Employed","Part Time","","","",""
"People are fair","2009","Employed","Not Working","","","",""
"People exploit","2010","Not Employed","Full Time","","","",""
"People exploit","2010","Not Employed","Part Time","","","",""
"People exploit","2010","Not Employed","Not Working","","","",""
"People exploit","2010","Employed","Full Time","","","",""
"People exploit","2010","Employed","Part Time","","","",""
"People exploit","2010","Employed","Not Working","","","",""
"People are fair","2010","Not Employed","Full Time","","","",""
"People are fair","2010","Not Employed","Part Time","","","",""
"People are fair","2010","Not Employed","Not Working","","","",""
"People are fair","2010","Employed","Full Time","","","",""
"People are fair","2010","Employed","Part Time","","","",""
"People are fair","2010","Employed","Not Working","","","",""
"People exploit","2011","Not Employed","Full Time","","","",""
"People exploit","2011","Not Employed","Part Time","","","",""
"People exploit","2011","Not Employed","Not Working","","","",""
"People exploit","2011","Employed","Full Time","","","",""
"People exploit","2011","Employed","Part Time","","","",""
"People exploit","2011","Employed","Not Working","","","",""
"People are fair","2011","Not Employed","Full Time","","","",""
