"plh0195","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","Full Time","no migration background","3734","0.507133697276782","0.495893677055731","0.518373717497833"
"People exploit","2003","Full Time","direct migration background","475","0.547178069792554","0.51480132111392","0.579554818471188"
"People exploit","2003","Full Time","indirect migration background","163","0.585042018365193","0.530015970271231","0.640068066459155"
"People exploit","2003","Part Time","no migration background","1900","0.465012855742185","0.449964258521897","0.480061452962474"
"People exploit","2003","Part Time","direct migration background","315","0.493326107945609","0.454161639399888","0.53249057649133"
"People exploit","2003","Part Time","indirect migration background","115","0.499968656163224","0.434196571481184","0.565740740845263"
"People exploit","2003","Not Working","no migration background","3064","0.455231186408297","0.443358168596611","0.467104204219982"
"People exploit","2003","Not Working","direct migration background","513","0.480164603431358","0.449549321080112","0.510779885782604"
"People exploit","2003","Not Working","indirect migration background","108","0.491515786524179","0.428658963467795","0.554372609580563"
"People are fair","2003","Full Time","no migration background","3866","0.492866302723218","0.481626282502167","0.504106322944269"
"People are fair","2003","Full Time","direct migration background","433","0.452821930207446","0.420445181528812","0.485198678886081"
"People are fair","2003","Full Time","indirect migration background","145","0.414957981634807","0.359931933540845","0.469984029728769"
"People are fair","2003","Part Time","no migration background","2320","0.534987144257814","0.519938547037526","0.550035741478103"
"People are fair","2003","Part Time","direct migration background","311","0.506673892054391","0.46750942350867","0.545838360600111"
"People are fair","2003","Part Time","indirect migration background","107","0.500031343836776","0.434259259154737","0.565803428518816"
"People are fair","2003","Not Working","no migration background","3694","0.544768813591703","0.532895795780018","0.556641831403389"
"People are fair","2003","Not Working","direct migration background","510","0.519835396568642","0.489220114217396","0.550450678919888"
"People are fair","2003","Not Working","indirect migration background","135","0.508484213475821","0.445627390419437","0.571341036532205"
"People exploit","2004","Full Time","no migration background","","","",""
"People exploit","2004","Full Time","direct migration background","","","",""
"People exploit","2004","Full Time","indirect migration background","","","",""
"People exploit","2004","Part Time","no migration background","","","",""
"People exploit","2004","Part Time","direct migration background","","","",""
"People exploit","2004","Part Time","indirect migration background","","","",""
"People exploit","2004","Not Working","no migration background","","","",""
"People exploit","2004","Not Working","direct migration background","","","",""
"People exploit","2004","Not Working","indirect migration background","","","",""
"People are fair","2004","Full Time","no migration background","","","",""
"People are fair","2004","Full Time","direct migration background","","","",""
"People are fair","2004","Full Time","indirect migration background","","","",""
"People are fair","2004","Part Time","no migration background","","","",""
"People are fair","2004","Part Time","direct migration background","","","",""
"People are fair","2004","Part Time","indirect migration background","","","",""
"People are fair","2004","Not Working","no migration background","","","",""
"People are fair","2004","Not Working","direct migration background","","","",""
"People are fair","2004","Not Working","indirect migration background","","","",""
"People exploit","2005","Full Time","no migration background","","","",""
"People exploit","2005","Full Time","direct migration background","","","",""
"People exploit","2005","Full Time","indirect migration background","","","",""
"People exploit","2005","Part Time","no migration background","","","",""
"People exploit","2005","Part Time","direct migration background","","","",""
"People exploit","2005","Part Time","indirect migration background","","","",""
"People exploit","2005","Not Working","no migration background","","","",""
"People exploit","2005","Not Working","direct migration background","","","",""
"People exploit","2005","Not Working","indirect migration background","","","",""
"People are fair","2005","Full Time","no migration background","","","",""
"People are fair","2005","Full Time","direct migration background","","","",""
"People are fair","2005","Full Time","indirect migration background","","","",""
"People are fair","2005","Part Time","no migration background","","","",""
"People are fair","2005","Part Time","direct migration background","","","",""
"People are fair","2005","Part Time","indirect migration background","","","",""
"People are fair","2005","Not Working","no migration background","","","",""
"People are fair","2005","Not Working","direct migration background","","","",""
"People are fair","2005","Not Working","indirect migration background","","","",""
"People exploit","2006","Full Time","no migration background","","","",""
"People exploit","2006","Full Time","direct migration background","","","",""
"People exploit","2006","Full Time","indirect migration background","","","",""
"People exploit","2006","Part Time","no migration background","","","",""
"People exploit","2006","Part Time","direct migration background","","","",""
"People exploit","2006","Part Time","indirect migration background","","","",""
"People exploit","2006","Not Working","no migration background","","","",""
"People exploit","2006","Not Working","direct migration background","","","",""
"People exploit","2006","Not Working","indirect migration background","","","",""
"People are fair","2006","Full Time","no migration background","","","",""
"People are fair","2006","Full Time","direct migration background","","","",""
"People are fair","2006","Full Time","indirect migration background","","","",""
"People are fair","2006","Part Time","no migration background","","","",""
"People are fair","2006","Part Time","direct migration background","","","",""
"People are fair","2006","Part Time","indirect migration background","","","",""
"People are fair","2006","Not Working","no migration background","","","",""
"People are fair","2006","Not Working","direct migration background","","","",""
"People are fair","2006","Not Working","indirect migration background","","","",""
"People exploit","2007","Full Time","no migration background","","","",""
"People exploit","2007","Full Time","direct migration background","","","",""
"People exploit","2007","Full Time","indirect migration background","","","",""
"People exploit","2007","Part Time","no migration background","","","",""
"People exploit","2007","Part Time","direct migration background","","","",""
"People exploit","2007","Part Time","indirect migration background","","","",""
"People exploit","2007","Not Working","no migration background","","","",""
"People exploit","2007","Not Working","direct migration background","","","",""
"People exploit","2007","Not Working","indirect migration background","","","",""
"People are fair","2007","Full Time","no migration background","","","",""
"People are fair","2007","Full Time","direct migration background","","","",""
"People are fair","2007","Full Time","indirect migration background","","","",""
"People are fair","2007","Part Time","no migration background","","","",""
"People are fair","2007","Part Time","direct migration background","","","",""
"People are fair","2007","Part Time","indirect migration background","","","",""
"People are fair","2007","Not Working","no migration background","","","",""
"People are fair","2007","Not Working","direct migration background","","","",""
"People are fair","2007","Not Working","indirect migration background","","","",""
"People exploit","2008","Full Time","no migration background","3051","0.496956169117392","0.484744722532139","0.509167615702645"
"People exploit","2008","Full Time","direct migration background","358","0.590884186417014","0.552337912849766","0.629430459984262"
"People exploit","2008","Full Time","indirect migration background","174","0.55845124139779","0.505196678798319","0.61170580399726"
"People exploit","2008","Part Time","no migration background","1595","0.443649586381636","0.427547585022632","0.45975158774064"
"People exploit","2008","Part Time","direct migration background","245","0.52530139138126","0.480204054912774","0.570398727849746"
"People exploit","2008","Part Time","indirect migration background","115","0.563566296697251","0.498180472680353","0.628952120714149"
"People exploit","2008","Not Working","no migration background","2776","0.440833382689338","0.428639151658905","0.45302761371977"
"People exploit","2008","Not Working","direct migration background","409","0.535790519535187","0.500858658383212","0.570722380687161"
