"plh0195","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","no migration background","West Germany","7541","0.545521674815969","0.537094536869746","0.553948812762192","2"
"People are fair","2003","no migration background","East Germany","2339","0.442114104991396","0.428572543810408","0.455655666172384","2"
"People are fair","2003","indirect migration background","West Germany","369","0.466525030829483","0.430605265915876","0.502444795743089","2"
"People are fair","2003","indirect migration background","East Germany","18","","","","2"
"People are fair","2003","direct migration background","West Germany","1213","0.496578526638382","0.476792474329615","0.516364578947149","2"
"People are fair","2003","direct migration background","East Germany","41","0.42023516169061","0.325370698937539","0.515099624443682","2"
"People exploit","2003","no migration background","West Germany","5870","0.454478325184031","0.446051187237808","0.462905463130254","1"
"People exploit","2003","no migration background","East Germany","2828","0.557885895008604","0.544344333827616","0.571427456189592","1"
"People exploit","2003","direct migration background","West Germany","1240","0.503421473361618","0.483635421052851","0.523207525670385","1"
"People exploit","2003","direct migration background","East Germany","63","0.57976483830939","0.484900375556318","0.674629301062461","1"
"People exploit","2003","indirect migration background","West Germany","372","0.533474969170517","0.497555204256911","0.569394734084124","1"
"People exploit","2003","indirect migration background","East Germany","14","","","","1"
"People are fair","2004","no migration background","West Germany","","","","","2"
"People are fair","2004","no migration background","East Germany","","","","","2"
"People are fair","2004","indirect migration background","West Germany","","","","","2"
"People are fair","2004","indirect migration background","East Germany","","","","","2"
"People are fair","2004","direct migration background","West Germany","","","","","2"
"People are fair","2004","direct migration background","East Germany","","","","","2"
"People exploit","2004","no migration background","West Germany","","","","","1"
"People exploit","2004","no migration background","East Germany","","","","","1"
"People exploit","2004","direct migration background","West Germany","","","","","1"
"People exploit","2004","direct migration background","East Germany","","","","","1"
"People exploit","2004","indirect migration background","West Germany","","","","","1"
"People exploit","2004","indirect migration background","East Germany","","","","","1"
"People are fair","2005","no migration background","West Germany","","","","","2"
"People are fair","2005","no migration background","East Germany","","","","","2"
"People are fair","2005","indirect migration background","West Germany","","","","","2"
"People are fair","2005","indirect migration background","East Germany","","","","","2"
"People are fair","2005","direct migration background","West Germany","","","","","2"
"People are fair","2005","direct migration background","East Germany","","","","","2"
"People exploit","2005","no migration background","West Germany","","","","","1"
"People exploit","2005","no migration background","East Germany","","","","","1"
"People exploit","2005","direct migration background","West Germany","","","","","1"
"People exploit","2005","direct migration background","East Germany","","","","","1"
"People exploit","2005","indirect migration background","West Germany","","","","","1"
"People exploit","2005","indirect migration background","East Germany","","","","","1"
"People are fair","2006","indirect migration background","West Germany","","","","","2"
