"plh0195","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","16-34 y.","West Germany","2409","0.548553916889259","0.533736709778463","0.563371124000056","2"
"People are fair","2003","16-34 y.","East Germany","663","0.44271438723582","0.417112930473521","0.468315843998119","2"
"People are fair","2003","66 and older","West Germany","1681","0.622199453802416","0.603958847372496","0.640440060232336","2"
"People are fair","2003","66 and older","East Germany","493","0.540452290686675","0.507983375016497","0.572921206356853","2"
"People are fair","2003","35-65 y.","West Germany","5033","0.49521370125295","0.485190309995117","0.505237092510782","2"
"People are fair","2003","35-65 y.","East Germany","1242","0.399148418834571","0.381482317175584","0.416814520493557","2"
"People exploit","2003","16-34 y.","West Germany","1924","0.45144608311074","0.436628875999944","0.466263290221537","1"
"People exploit","2003","16-34 y.","East Germany","783","0.55728561276418","0.531684156001881","0.582887069526479","1"
"People exploit","2003","35-65 y.","West Germany","4525","0.50478629874705","0.494762907489218","0.514809690004883","1"
"People exploit","2003","35-65 y.","East Germany","1710","0.600851581165429","0.583185479506443","0.618517682824416","1"
"People exploit","2003","66 and older","West Germany","1033","0.377800546197584","0.359559939767664","0.396041152627504","1"
"People exploit","2003","66 and older","East Germany","412","0.459547709313325","0.427078793643147","0.492016624983503","1"
"People are fair","2004","16-34 y.","West Germany","","","","","2"
"People are fair","2004","16-34 y.","East Germany","","","","","2"
"People are fair","2004","66 and older","West Germany","","","","","2"
"People are fair","2004","66 and older","East Germany","","","","","2"
"People are fair","2004","35-65 y.","West Germany","","","","","2"
"People are fair","2004","35-65 y.","East Germany","","","","","2"
"People exploit","2004","16-34 y.","West Germany","","","","","1"
"People exploit","2004","16-34 y.","East Germany","","","","","1"
"People exploit","2004","35-65 y.","West Germany","","","","","1"
"People exploit","2004","35-65 y.","East Germany","","","","","1"
"People exploit","2004","66 and older","West Germany","","","","","1"
"People exploit","2004","66 and older","East Germany","","","","","1"
"People are fair","2005","16-34 y.","West Germany","","","","","2"
"People are fair","2005","16-34 y.","East Germany","","","","","2"
"People are fair","2005","66 and older","West Germany","","","","","2"
"People are fair","2005","66 and older","East Germany","","","","","2"
"People are fair","2005","35-65 y.","West Germany","","","","","2"
"People are fair","2005","35-65 y.","East Germany","","","","","2"
"People exploit","2005","16-34 y.","West Germany","","","","","1"
"People exploit","2005","16-34 y.","East Germany","","","","","1"
"People exploit","2005","35-65 y.","West Germany","","","","","1"
"People exploit","2005","35-65 y.","East Germany","","","","","1"
"People exploit","2005","66 and older","West Germany","","","","","1"
"People exploit","2005","66 and older","East Germany","","","","","1"
"People are fair","2006","66 and older","West Germany","","","","","2"
"People are fair","2006","66 and older","East Germany","","","","","2"
"People are fair","2006","16-34 y.","West Germany","","","","","2"
"People are fair","2006","16-34 y.","East Germany","","","","","2"
"People are fair","2006","35-65 y.","West Germany","","","","","2"
"People are fair","2006","35-65 y.","East Germany","","","","","2"
"People exploit","2006","16-34 y.","West Germany","","","","","1"
"People exploit","2006","16-34 y.","East Germany","","","","","1"
"People exploit","2006","35-65 y.","West Germany","","","","","1"
"People exploit","2006","35-65 y.","East Germany","","","","","1"
"People exploit","2006","66 and older","West Germany","","","","","1"
"People exploit","2006","66 and older","East Germany","","","","","1"
"People are fair","2007","66 and older","West Germany","","","","","2"
"People are fair","2007","66 and older","East Germany","","","","","2"
"People are fair","2007","16-34 y.","West Germany","","","","","2"
