"plh0195","year","sex","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","Male","5307","0.491688059175222","0.482155196717233","0.501220921633211","2"
"People are fair","2003","Female","6214","0.542316277792419","0.533147885689375","0.551484669895463","2"
"People exploit","2003","Male","5258","0.508311940824778","0.498779078366789","0.517844803282767","1"
"People exploit","2003","Female","5129","0.457683722207581","0.448515330104537","0.466852114310625","1"
"People are fair","2004","Male","","","","","2"
"People are fair","2004","Female","","","","","2"
"People exploit","2004","Male","","","","","1"
"People exploit","2004","Female","","","","","1"
"People are fair","2005","Male","","","","","2"
"People are fair","2005","Female","","","","","2"
"People exploit","2005","Male","","","","","1"
"People exploit","2005","Female","","","","","1"
"People are fair","2006","Male","","","","","2"
"People are fair","2006","Female","","","","","2"
"People exploit","2006","Male","","","","","1"
"People exploit","2006","Female","","","","","1"
"People are fair","2007","Male","","","","","2"
"People are fair","2007","Female","","","","","2"
"People exploit","2007","Male","","","","","1"
"People exploit","2007","Female","","","","","1"
"People are fair","2008","Male","4670","0.492494325023914","0.482230935278771","0.502757714769057","2"
"People are fair","2008","Female","5617","0.549097326334029","0.539339498432001","0.558855154236057","2"
"People exploit","2008","Male","4445","0.507505674976086","0.497242285230943","0.517769064721229","1"
"People exploit","2008","Female","4372","0.450902673665971","0.441144845763943","0.460660501567999","1"
"People are fair","2009","Male","","","","","2"
"People are fair","2009","Female","","","","","2"
"People exploit","2009","Male","","","","","1"
"People exploit","2009","Female","","","","","1"
"People are fair","2010","Male","","","","","2"
"People are fair","2010","Female","","","","","2"
"People exploit","2010","Male","","","","","1"
"People exploit","2010","Female","","","","","1"
"People are fair","2011","Male","","","","","2"
"People are fair","2011","Female","","","","","2"
"People exploit","2011","Male","","","","","1"
"People exploit","2011","Female","","","","","1"
"People are fair","2012","Male","","","","","2"
"People are fair","2012","Female","","","","","2"
"People exploit","2012","Male","","","","","1"
"People exploit","2012","Female","","","","","1"
"People are fair","2013","Male","6399","0.557906742283866","0.548754334947231","0.567059149620502","2"
"People are fair","2013","Female","8424","0.606607378401892","0.598430036580164","0.61478472022362","2"
"People exploit","2013","Male","4912","0.442093257716134","0.432940850379498","0.451245665052769","1"
"People exploit","2013","Female","5285","0.393392621598108","0.38521527977638","0.401569963419836","1"
"People are fair","2014","Male","","","","","2"
"People are fair","2014","Female","","","","","2"
"People exploit","2014","Male","","","","","1"
"People exploit","2014","Female","","","","","1"
"People are fair","2015","Male","","","","","2"
"People are fair","2015","Female","","","","","2"
"People exploit","2015","Male","","","","","1"
"People exploit","2015","Female","","","","","1"
"People are fair","2016","Male","","","","","2"
"People are fair","2016","Female","","","","","2"
"People exploit","2016","Male","","","","","1"
"People exploit","2016","Female","","","","","1"
"People are fair","2017","Male","","","","","2"
"People are fair","2017","Female","","","","","2"
"People exploit","2017","Male","","","","","1"
"People exploit","2017","Female","","","","","1"
"People are fair","2018","Male","8134","0.588342497687667","0.580118459188398","0.596566536186937","2"
"People are fair","2018","Female","9216","0.63022612618948","0.622470719563446","0.637981532815514","2"
"People exploit","2018","Male","5622","0.411657502312333","0.403433463813063","0.419881540811602","1"
"People exploit","2018","Female","5668","0.36977387381052","0.362018467184486","0.377529280436554","1"
