"plh0195","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","Not Employed","no migration background","3064","0.455231186408297","0.443358168596611","0.467104204219982"
"People exploit","2003","Not Employed","direct migration background","513","0.480164603431358","0.449549321080112","0.510779885782604"
"People exploit","2003","Not Employed","indirect migration background","108","0.491515786524179","0.428658963467795","0.554372609580563"
"People exploit","2003","Employed","no migration background","5634","0.49203162719609","0.483018942058417","0.501044312333763"
"People exploit","2003","Employed","direct migration background","790","0.524795067153799","0.499804808371919","0.54978532593568"
"People exploit","2003","Employed","indirect migration background","278","0.549979696128702","0.507625198112091","0.592334194145312"
"People are fair","2003","Not Employed","no migration background","3694","0.544768813591703","0.532895795780018","0.556641831403389"
"People are fair","2003","Not Employed","direct migration background","510","0.519835396568642","0.489220114217396","0.550450678919888"
"People are fair","2003","Not Employed","indirect migration background","135","0.508484213475821","0.445627390419437","0.571341036532205"
"People are fair","2003","Employed","no migration background","6186","0.50796837280391","0.498955687666237","0.516981057941583"
"People are fair","2003","Employed","direct migration background","744","0.475204932846201","0.45021467406432","0.500195191628081"
"People are fair","2003","Employed","indirect migration background","252","0.450020303871298","0.407665805854688","0.492374801887909"
"People exploit","2004","Not Employed","no migration background","","","",""
"People exploit","2004","Not Employed","direct migration background","","","",""
"People exploit","2004","Not Employed","indirect migration background","","","",""
"People exploit","2004","Employed","no migration background","","","",""
"People exploit","2004","Employed","direct migration background","","","",""
"People exploit","2004","Employed","indirect migration background","","","",""
"People are fair","2004","Not Employed","no migration background","","","",""
"People are fair","2004","Not Employed","direct migration background","","","",""
"People are fair","2004","Not Employed","indirect migration background","","","",""
"People are fair","2004","Employed","no migration background","","","",""
"People are fair","2004","Employed","direct migration background","","","",""
"People are fair","2004","Employed","indirect migration background","","","",""
"People exploit","2005","Not Employed","no migration background","","","",""
"People exploit","2005","Not Employed","direct migration background","","","",""
"People exploit","2005","Not Employed","indirect migration background","","","",""
"People exploit","2005","Employed","no migration background","","","",""
"People exploit","2005","Employed","direct migration background","","","",""
"People exploit","2005","Employed","indirect migration background","","","",""
"People are fair","2005","Not Employed","no migration background","","","",""
"People are fair","2005","Not Employed","direct migration background","","","",""
"People are fair","2005","Not Employed","indirect migration background","","","",""
"People are fair","2005","Employed","no migration background","","","",""
"People are fair","2005","Employed","direct migration background","","","",""
"People are fair","2005","Employed","indirect migration background","","","",""
"People exploit","2006","Not Employed","no migration background","","","",""
"People exploit","2006","Not Employed","direct migration background","","","",""
"People exploit","2006","Not Employed","indirect migration background","","","",""
"People exploit","2006","Employed","no migration background","","","",""
"People exploit","2006","Employed","direct migration background","","","",""
"People exploit","2006","Employed","indirect migration background","","","",""
"People are fair","2006","Not Employed","no migration background","","","",""
"People are fair","2006","Not Employed","direct migration background","","","",""
"People are fair","2006","Not Employed","indirect migration background","","","",""
"People are fair","2006","Employed","no migration background","","","",""
"People are fair","2006","Employed","direct migration background","","","",""
"People are fair","2006","Employed","indirect migration background","","","",""
"People exploit","2007","Not Employed","no migration background","","","",""
"People exploit","2007","Not Employed","direct migration background","","","",""
"People exploit","2007","Not Employed","indirect migration background","","","",""
"People exploit","2007","Employed","no migration background","","","",""
"People exploit","2007","Employed","direct migration background","","","",""
"People exploit","2007","Employed","indirect migration background","","","",""
"People are fair","2007","Not Employed","no migration background","","","",""
"People are fair","2007","Not Employed","direct migration background","","","",""
"People are fair","2007","Not Employed","indirect migration background","","","",""
"People are fair","2007","Employed","no migration background","","","",""
"People are fair","2007","Employed","direct migration background","","","",""
"People are fair","2007","Employed","indirect migration background","","","",""
"People exploit","2008","Not Employed","no migration background","2776","0.440833382689338","0.428639151658905","0.45302761371977"
"People exploit","2008","Not Employed","direct migration background","409","0.535790519535187","0.500858658383212","0.570722380687161"
"People exploit","2008","Not Employed","indirect migration background","94","0.508531873285196","0.44009692734158","0.576966819228812"
"People exploit","2008","Employed","no migration background","4646","0.478346875556507","0.468603391246169","0.488090359866845"
"People exploit","2008","Employed","direct migration background","603","0.561852956497755","0.53247888876537","0.59122702423014"
"People exploit","2008","Employed","indirect migration background","289","0.56052071563517","0.519228647271589","0.601812783998751"
"People are fair","2008","Not Employed","no migration background","3592","0.559166617310662","0.54697238628023","0.571360848341095"
"People are fair","2008","Not Employed","direct migration background","374","0.464209480464813","0.429277619312839","0.499141341616788"
"People are fair","2008","Not Employed","indirect migration background","111","0.491468126714804","0.423033180771188","0.55990307265842"
