"plh0195","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","Full Time","West Germany","3481","0.501165100648516","0.489139682789672","0.513190518507361","2"
"People are fair","2003","Full Time","East Germany","963","0.414637369862916","0.393932849337536","0.435341890388295","2"
"People are fair","2003","Not Working","West Germany","3371","0.560579291289362","0.5479374787613","0.573221103817424","2"
"People are fair","2003","Not Working","East Germany","968","0.46512124496339","0.443803600374009","0.486438889552772","2"
"People are fair","2003","Part Time","West Germany","2271","0.547523013809423","0.532180530584624","0.562865497034223","2"
"People are fair","2003","Part Time","East Germany","467","0.438855780966646","0.408476022500025","0.469235539433266","2"
"People exploit","2003","Full Time","West Germany","3160","0.498834899351484","0.486809481492639","0.510860317210328","1"
"People exploit","2003","Full Time","East Germany","1212","0.585362630137085","0.564658109611705","0.606067150662464","1"
"People exploit","2003","Part Time","West Germany","1772","0.452476986190577","0.437134502965777","0.467819469415376","1"
"People exploit","2003","Part Time","East Germany","558","0.561144219033354","0.530764460566734","0.591523977499975","1"
"People exploit","2003","Not Working","West Germany","2550","0.439420708710638","0.426778896182576","0.4520625212387","1"
"People exploit","2003","Not Working","East Germany","1135","0.53487875503661","0.513561110447228","0.556196399625991","1"
"People are fair","2004","Full Time","West Germany","","","","","2"
"People are fair","2004","Full Time","East Germany","","","","","2"
"People are fair","2004","Not Working","West Germany","","","","","2"
"People are fair","2004","Not Working","East Germany","","","","","2"
"People are fair","2004","Part Time","West Germany","","","","","2"
"People are fair","2004","Part Time","East Germany","","","","","2"
"People exploit","2004","Full Time","West Germany","","","","","1"
"People exploit","2004","Full Time","East Germany","","","","","1"
"People exploit","2004","Part Time","West Germany","","","","","1"
"People exploit","2004","Part Time","East Germany","","","","","1"
"People exploit","2004","Not Working","West Germany","","","","","1"
"People exploit","2004","Not Working","East Germany","","","","","1"
"People are fair","2005","Full Time","West Germany","","","","","2"
"People are fair","2005","Full Time","East Germany","","","","","2"
"People are fair","2005","Not Working","West Germany","","","","","2"
"People are fair","2005","Not Working","East Germany","","","","","2"
"People are fair","2005","Part Time","West Germany","","","","","2"
"People are fair","2005","Part Time","East Germany","","","","","2"
"People exploit","2005","Full Time","West Germany","","","","","1"
"People exploit","2005","Full Time","East Germany","","","","","1"
"People exploit","2005","Part Time","West Germany","","","","","1"
"People exploit","2005","Part Time","East Germany","","","","","1"
"People exploit","2005","Not Working","West Germany","","","","","1"
"People exploit","2005","Not Working","East Germany","","","","","1"
"People are fair","2006","Not Working","West Germany","","","","","2"
"People are fair","2006","Not Working","East Germany","","","","","2"
"People are fair","2006","Full Time","West Germany","","","","","2"
"People are fair","2006","Full Time","East Germany","","","","","2"
"People are fair","2006","Part Time","West Germany","","","","","2"
"People are fair","2006","Part Time","East Germany","","","","","2"
"People exploit","2006","Full Time","West Germany","","","","","1"
"People exploit","2006","Full Time","East Germany","","","","","1"
"People exploit","2006","Part Time","West Germany","","","","","1"
