"plh0195","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","16-34 y.","in school","201","0.337441157985812","0.29966993049044","0.375212385481183"
"People exploit","2003","16-34 y.","inadequately","41","0.799771214927049","0.697661226761993","0.901881203092105"
"People exploit","2003","16-34 y.","general elemantary","525","0.570104227649468","0.538901427329179","0.601307027969757"
"People exploit","2003","16-34 y.","middle vocational","1330","0.4982550773524","0.479339299937809","0.517170854766992"
"People exploit","2003","16-34 y.","vocational + Abi","192","0.380325243987665","0.334860943412729","0.425789544562602"
"People exploit","2003","16-34 y.","higher vocational","127","0.449608242068602","0.390381678006271","0.508834806130933"
"People exploit","2003","16-34 y.","higher education","206","0.359753916449614","0.319897639867866","0.399610193031363"
"People exploit","2003","35-65 y.","in school","","","",""
"People exploit","2003","35-65 y.","inadequately","92","0.708486187050152","0.634259152955713","0.782713221144591"
"People exploit","2003","35-65 y.","general elemantary","528","0.563043442843074","0.531667082970589","0.59441980271556"
"People exploit","2003","35-65 y.","middle vocational","3438","0.544514073262828","0.532359381817782","0.556668764707875"
"People exploit","2003","35-65 y.","vocational + Abi","279","0.480502637620142","0.440691007075846","0.520314268164438"
"People exploit","2003","35-65 y.","higher vocational","601","0.542404681987058","0.513673095994008","0.571136267980108"
"People exploit","2003","35-65 y.","higher education","1283","0.428977304197764","0.411756362444767","0.446198245950761"
"People exploit","2003","66 and older","in school","","","",""
"People exploit","2003","66 and older","inadequately","19","","",""
"People exploit","2003","66 and older","general elemantary","314","0.365474126896696","0.33174382748334","0.399204426310051"
"People exploit","2003","66 and older","middle vocational","743","0.391082342981788","0.368940913335888","0.413223772627687"
"People exploit","2003","66 and older","vocational + Abi","42","0.455606938111397","0.355982948495697","0.555230927727097"
"People exploit","2003","66 and older","higher vocational","96","0.42865186443586","0.366809896215706","0.490493832656015"
"People exploit","2003","66 and older","higher education","231","0.42535643668934","0.384911149587331","0.465801723791349"
"People are fair","2003","16-34 y.","in school","401","0.662558842014188","0.624787614518816","0.70033006950956"
"People are fair","2003","16-34 y.","inadequately","18","","",""
"People are fair","2003","16-34 y.","general elemantary","442","0.429895772350532","0.398692972030242","0.461098572670821"
"People are fair","2003","16-34 y.","middle vocational","1354","0.5017449226476","0.482829145233008","0.520660700062191"
"People are fair","2003","16-34 y.","vocational + Abi","246","0.619674756012335","0.574210455437398","0.665139056587271"
"People are fair","2003","16-34 y.","higher vocational","144","0.550391757931398","0.491165193869067","0.609618321993729"
"People are fair","2003","16-34 y.","higher education","351","0.640246083550386","0.600389806968637","0.680102360132134"
"People are fair","2003","35-65 y.","in school","","","",""
"People are fair","2003","35-65 y.","inadequately","52","0.291513812949848","0.217286778855409","0.365740847044287"
"People are fair","2003","35-65 y.","general elemantary","432","0.436956557156926","0.40558019728444","0.468332917029411"
"People are fair","2003","35-65 y.","middle vocational","3011","0.455485926737172","0.443331235292125","0.467640618182218"
"People are fair","2003","35-65 y.","vocational + Abi","326","0.519497362379858","0.479685731835562","0.559308992924154"
"People are fair","2003","35-65 y.","higher vocational","554","0.457595318012942","0.428863732019892","0.486326904005992"
"People are fair","2003","35-65 y.","higher education","1890","0.571022695802236","0.553801754049239","0.588243637555233"
"People are fair","2003","66 and older","in school","","","",""
"People are fair","2003","66 and older","inadequately","32","0.59039059793192","0.455426679820574","0.725354516043266"
"People are fair","2003","66 and older","general elemantary","469","0.634525873103304","0.600795573689949","0.66825617251666"
"People are fair","2003","66 and older","middle vocational","1123","0.608917657018212","0.586776227372312","0.631059086664112"
"People are fair","2003","66 and older","vocational + Abi","54","0.544393061888603","0.444769072272903","0.644017051504303"
"People are fair","2003","66 and older","higher vocational","150","0.57134813556414","0.509506167343985","0.633190103784294"
"People are fair","2003","66 and older","higher education","343","0.57464356331066","0.534198276208651","0.615088850412669"
"People exploit","2004","16-34 y.","in school","","","",""
"People exploit","2004","16-34 y.","inadequately","","","",""
"People exploit","2004","16-34 y.","general elemantary","","","",""
"People exploit","2004","16-34 y.","middle vocational","","","",""
"People exploit","2004","16-34 y.","vocational + Abi","","","",""
"People exploit","2004","16-34 y.","higher vocational","","","",""
"People exploit","2004","16-34 y.","higher education","","","",""
"People exploit","2004","35-65 y.","in school","","","",""
"People exploit","2004","35-65 y.","inadequately","","","",""
"People exploit","2004","35-65 y.","general elemantary","","","",""
"People exploit","2004","35-65 y.","middle vocational","","","",""
"People exploit","2004","35-65 y.","vocational + Abi","","","",""
"People exploit","2004","35-65 y.","higher vocational","","","",""
"People exploit","2004","35-65 y.","higher education","","","",""
"People exploit","2004","66 and older","in school","","","",""
"People exploit","2004","66 and older","inadequately","","","",""
"People exploit","2004","66 and older","general elemantary","","","",""
"People exploit","2004","66 and older","middle vocational","","","",""
"People exploit","2004","66 and older","vocational + Abi","","","",""
"People exploit","2004","66 and older","higher vocational","","","",""
"People exploit","2004","66 and older","higher education","","","",""
"People are fair","2004","16-34 y.","in school","","","",""
"People are fair","2004","16-34 y.","inadequately","","","",""
"People are fair","2004","16-34 y.","general elemantary","","","",""
"People are fair","2004","16-34 y.","middle vocational","","","",""
"People are fair","2004","16-34 y.","vocational + Abi","","","",""
"People are fair","2004","16-34 y.","higher vocational","","","",""
"People are fair","2004","16-34 y.","higher education","","","",""
"People are fair","2004","35-65 y.","in school","","","",""
"People are fair","2004","35-65 y.","inadequately","","","",""
"People are fair","2004","35-65 y.","general elemantary","","","",""
"People are fair","2004","35-65 y.","middle vocational","","","",""
