"plh0195","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","(0) in school","201","0.337441157985812","0.29966993049044","0.375212385481183"
"People exploit","2003","(1a) inadequately completed","161","0.672708659173868","0.616320484115095","0.72909683423264"
"People exploit","2003","(1b) general elementary school","1081","0.493867547239902","0.472570225155334","0.51516486932447"
"People exploit","2003","(1c) basic vocational qualification","3204","0.514830547045982","0.502422219560502","0.527238874531462"
"People exploit","2003","(2b) intermediate general qualification","308","0.504296513228567","0.465130001490045","0.543463024967088"
"People exploit","2003","(2a) intermediate vocational","2592","0.505286471057926","0.491572809901701","0.519000132214151"
"People exploit","2003","(2c_gen) general maturity certificate","307","0.354242640470326","0.322164864049422","0.386320416891231"
"People exploit","2003","(2c_voc) vocational maturity certificate","696","0.450598343757897","0.425772449246127","0.475424238269667"
"People exploit","2003","(3a) lower tertiary education","765","0.457912924293153","0.434270905684533","0.481554942901772"
"People exploit","2003","(3b) higher tertiary education","955","0.385324502451494","0.366610581893962","0.404038423009027"
"People are fair","2003","(0) in school","401","0.662558842014188","0.624787614518816","0.70033006950956"
"People are fair","2003","(1a) inadequately completed","105","0.327291340826132","0.27090316576736","0.383679515884905"
"People are fair","2003","(1b) general elementary school","1036","0.506132452760098","0.48483513067553","0.527429774844666"
"People are fair","2003","(1c) basic vocational qualification","3028","0.485169452954018","0.472761125468538","0.497577780439498"
"People are fair","2003","(2b) intermediate general qualification","318","0.495703486771434","0.456536975032912","0.534869998509955"
"People are fair","2003","(2a) intermediate vocational","2514","0.494713528942074","0.480999867785849","0.508427190098299"
"People are fair","2003","(2c_gen) general maturity certificate","547","0.645757359529674","0.613679583108769","0.677835135950578"
"People are fair","2003","(2c_voc) vocational maturity certificate","847","0.549401656242103","0.524575761730333","0.574227550753873"
"People are fair","2003","(3a) lower tertiary education","941","0.542087075706847","0.518445057098228","0.565729094315467"
"People are fair","2003","(3b) higher tertiary education","1643","0.614675497548506","0.595961576990973","0.633389418106039"
"People exploit","2004","(0) in school","","","",""
"People exploit","2004","(1a) inadequately completed","","","",""
"People exploit","2004","(1b) general elementary school","","","",""
"People exploit","2004","(1c) basic vocational qualification","","","",""
"People exploit","2004","(2b) intermediate general qualification","","","",""
"People exploit","2004","(2a) intermediate vocational","","","",""
"People exploit","2004","(2c_gen) general maturity certificate","","","",""
"People exploit","2004","(2c_voc) vocational maturity certificate","","","",""
"People exploit","2004","(3a) lower tertiary education","","","",""
"People exploit","2004","(3b) higher tertiary education","","","",""
"People are fair","2004","(0) in school","","","",""
"People are fair","2004","(1a) inadequately completed","","","",""
"People are fair","2004","(1b) general elementary school","","","",""
"People are fair","2004","(1c) basic vocational qualification","","","",""
"People are fair","2004","(2b) intermediate general qualification","","","",""
"People are fair","2004","(2a) intermediate vocational","","","",""
"People are fair","2004","(2c_gen) general maturity certificate","","","",""
"People are fair","2004","(2c_voc) vocational maturity certificate","","","",""
"People are fair","2004","(3a) lower tertiary education","","","",""
"People are fair","2004","(3b) higher tertiary education","","","",""
"People exploit","2005","(0) in school","","","",""
"People exploit","2005","(1a) inadequately completed","","","",""
"People exploit","2005","(1b) general elementary school","","","",""
"People exploit","2005","(1c) basic vocational qualification","","","",""
"People exploit","2005","(2b) intermediate general qualification","","","",""
"People exploit","2005","(2a) intermediate vocational","","","",""
"People exploit","2005","(2c_gen) general maturity certificate","","","",""
"People exploit","2005","(2c_voc) vocational maturity certificate","","","",""
"People exploit","2005","(3a) lower tertiary education","","","",""
"People exploit","2005","(3b) higher tertiary education","","","",""
"People are fair","2005","(0) in school","","","",""
"People are fair","2005","(1a) inadequately completed","","","",""
"People are fair","2005","(1b) general elementary school","","","",""
"People are fair","2005","(1c) basic vocational qualification","","","",""
"People are fair","2005","(2b) intermediate general qualification","","","",""
"People are fair","2005","(2a) intermediate vocational","","","",""
"People are fair","2005","(2c_gen) general maturity certificate","","","",""
"People are fair","2005","(2c_voc) vocational maturity certificate","","","",""
"People are fair","2005","(3a) lower tertiary education","","","",""
"People are fair","2005","(3b) higher tertiary education","","","",""
"People exploit","2006","(0) in school","","","",""
"People exploit","2006","(1a) inadequately completed","","","",""
"People exploit","2006","(1b) general elementary school","","","",""
"People exploit","2006","(1c) basic vocational qualification","","","",""
"People exploit","2006","(2b) intermediate general qualification","","","",""
"People exploit","2006","(2a) intermediate vocational","","","",""
"People exploit","2006","(2c_gen) general maturity certificate","","","",""
"People exploit","2006","(2c_voc) vocational maturity certificate","","","",""
"People exploit","2006","(3a) lower tertiary education","","","",""
"People exploit","2006","(3b) higher tertiary education","","","",""
"People are fair","2006","(0) in school","","","",""
"People are fair","2006","(1a) inadequately completed","","","",""
"People are fair","2006","(1b) general elementary school","","","",""
"People are fair","2006","(1c) basic vocational qualification","","","",""
"People are fair","2006","(2b) intermediate general qualification","","","",""
"People are fair","2006","(2a) intermediate vocational","","","",""
"People are fair","2006","(2c_gen) general maturity certificate","","","",""
"People are fair","2006","(2c_voc) vocational maturity certificate","","","",""
"People are fair","2006","(3a) lower tertiary education","","","",""
"People are fair","2006","(3b) higher tertiary education","","","",""
"People exploit","2007","(0) in school","","","",""
"People exploit","2007","(1a) inadequately completed","","","",""
"People exploit","2007","(1b) general elementary school","","","",""
"People exploit","2007","(1c) basic vocational qualification","","","",""
"People exploit","2007","(2b) intermediate general qualification","","","",""
"People exploit","2007","(2a) intermediate vocational","","","",""
"People exploit","2007","(2c_gen) general maturity certificate","","","",""
"People exploit","2007","(2c_voc) vocational maturity certificate","","","",""
"People exploit","2007","(3a) lower tertiary education","","","",""
"People exploit","2007","(3b) higher tertiary education","","","",""
"People are fair","2007","(0) in school","","","",""
"People are fair","2007","(1a) inadequately completed","","","",""
"People are fair","2007","(1b) general elementary school","","","",""
"People are fair","2007","(1c) basic vocational qualification","","","",""
"People are fair","2007","(2b) intermediate general qualification","","","",""
"People are fair","2007","(2a) intermediate vocational","","","",""
"People are fair","2007","(2c_gen) general maturity certificate","","","",""
"People are fair","2007","(2c_voc) vocational maturity certificate","","","",""
"People are fair","2007","(3a) lower tertiary education","","","",""
"People are fair","2007","(3b) higher tertiary education","","","",""
"People exploit","2008","(0) in school","126","0.356659405489121","0.30690054676954","0.406418264208702"
"People exploit","2008","(1a) inadequately completed","110","0.643001346864511","0.573584996528385","0.712417697200637"
"People exploit","2008","(1b) general elementary school","847","0.547844863406444","0.523115335469632","0.572574391343256"
"People exploit","2008","(1c) basic vocational qualification","2665","0.51268643086174","0.499066809227543","0.526306052495938"
"People exploit","2008","(2b) intermediate general qualification","231","0.477052300340683","0.43232296343591","0.521781637245455"
"People exploit","2008","(2a) intermediate vocational","2244","0.505350042602086","0.490882941125852","0.51981714407832"
"People exploit","2008","(2c_gen) general maturity certificate","279","0.410164009633294","0.374532275452032","0.445795743814556"
"People exploit","2008","(2c_voc) vocational maturity certificate","631","0.456587493357961","0.430761395217986","0.482413591497937"
"People exploit","2008","(3a) lower tertiary education","645","0.406141658983199","0.382292792156966","0.429990525809432"
"People exploit","2008","(3b) higher tertiary education","812","0.340043393786821","0.321521870244451","0.35856491732919"
"People are fair","2008","(0) in school","230","0.643340594510879","0.593581735791298","0.69309945323046"
"People are fair","2008","(1a) inadequately completed","73","0.356998653135489","0.287582302799363","0.426415003471615"
"People are fair","2008","(1b) general elementary school","709","0.452155136593556","0.427425608656744","0.476884664530368"
"People are fair","2008","(1c) basic vocational qualification","2509","0.48731356913826","0.473693947504062","0.500933190772457"
"People are fair","2008","(2b) intermediate general qualification","248","0.522947699659317","0.478218362754545","0.56767703656409"
"People are fair","2008","(2a) intermediate vocational","2344","0.494649957397914","0.48018285592168","0.509117058874148"
"People are fair","2008","(2c_gen) general maturity certificate","453","0.589835990366706","0.554204256185444","0.625467724547968"
"People are fair","2008","(2c_voc) vocational maturity certificate","798","0.543412506642039","0.517586408502064","0.569238604782014"
"People are fair","2008","(3a) lower tertiary education","984","0.593858341016801","0.570009474190568","0.617707207843034"
"People are fair","2008","(3b) higher tertiary education","1701","0.659956606213179","0.64143508267081","0.678478129755549"
"People exploit","2009","(0) in school","","","",""
"People exploit","2009","(1a) inadequately completed","","","",""
"People exploit","2009","(1b) general elementary school","","","",""
"People exploit","2009","(1c) basic vocational qualification","","","",""
"People exploit","2009","(2b) intermediate general qualification","","","",""
"People exploit","2009","(2a) intermediate vocational","","","",""
"People exploit","2009","(2c_gen) general maturity certificate","","","",""
"People exploit","2009","(2c_voc) vocational maturity certificate","","","",""
"People exploit","2009","(3a) lower tertiary education","","","",""
"People exploit","2009","(3b) higher tertiary education","","","",""
"People are fair","2009","(0) in school","","","",""
"People are fair","2009","(1a) inadequately completed","","","",""
"People are fair","2009","(1b) general elementary school","","","",""
"People are fair","2009","(1c) basic vocational qualification","","","",""
"People are fair","2009","(2b) intermediate general qualification","","","",""
"People are fair","2009","(2a) intermediate vocational","","","",""
"People are fair","2009","(2c_gen) general maturity certificate","","","",""
"People are fair","2009","(2c_voc) vocational maturity certificate","","","",""
"People are fair","2009","(3a) lower tertiary education","","","",""
"People are fair","2009","(3b) higher tertiary education","","","",""
"People exploit","2010","(0) in school","","","",""
"People exploit","2010","(1a) inadequately completed","","","",""
"People exploit","2010","(1b) general elementary school","","","",""
"People exploit","2010","(1c) basic vocational qualification","","","",""
"People exploit","2010","(2b) intermediate general qualification","","","",""
"People exploit","2010","(2a) intermediate vocational","","","",""
"People exploit","2010","(2c_gen) general maturity certificate","","","",""
"People exploit","2010","(2c_voc) vocational maturity certificate","","","",""
"People exploit","2010","(3a) lower tertiary education","","","",""
"People exploit","2010","(3b) higher tertiary education","","","",""
"People are fair","2010","(0) in school","","","",""
"People are fair","2010","(1a) inadequately completed","","","",""
"People are fair","2010","(1b) general elementary school","","","",""
"People are fair","2010","(1c) basic vocational qualification","","","",""
"People are fair","2010","(2b) intermediate general qualification","","","",""
"People are fair","2010","(2a) intermediate vocational","","","",""
"People are fair","2010","(2c_gen) general maturity certificate","","","",""
"People are fair","2010","(2c_voc) vocational maturity certificate","","","",""
"People are fair","2010","(3a) lower tertiary education","","","",""
"People are fair","2010","(3b) higher tertiary education","","","",""
"People exploit","2011","(0) in school","","","",""
"People exploit","2011","(1a) inadequately completed","","","",""
"People exploit","2011","(1b) general elementary school","","","",""
"People exploit","2011","(1c) basic vocational qualification","","","",""
