"plh0195","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","Berlin","1-pers.-HH","109","0.520877046153348","0.451468547358367","0.59028554494833","2"
"People are fair","2003","Brandenburg","(Married) couple without C. ","145","0.395075134242693","0.343339283195681","0.446810985289706","2"
"People are fair","2003","Brandenburg","1-pers.-HH","51","0.414569091859892","0.324529098417072","0.504609085302713","2"
"People are fair","2003","Bavaria","Couple + C. LE and GT 16","134","0.461665518089435","0.400114160111294","0.523216876067577","2"
"People are fair","2003","Lower Saxony","1-pers.-HH","116","0.556632928157016","0.48879373944125","0.624472116872781","2"
"People are fair","2003","Berlin","Single parent ","30","0.454158880906624","0.333119012579075","0.575198749234174","2"
"People are fair","2003","Hamburg","(Married) couple without C. ","58","0.511762207314034","0.413297567648281","0.610226846979786","2"
"People are fair","2003","Berlin","Couple + C. LE and GT 16","25","","","","2"
"People are fair","2003","Berlin","Couple + C. GT 16 ","70","0.429241859109643","0.347251806682268","0.511231911537019","2"
"People are fair","2003","Hamburg","Single parent ","5","","","","2"
"People are fair","2003","Hamburg","Couple + C. GT 16 ","15","","","","2"
"People are fair","2003","Hamburg","Couple + C. LE and GT 16","13","","","","2"
"People are fair","2003","Schleswig-Holstein","1-pers.-HH","50","0.546571715228491","0.446987534422671","0.64615589603431","2"
"People are fair","2003","Lower Saxony","(Married) couple without C. ","365","0.588657945294523","0.549251456365625","0.628064434223422","2"
"People are fair","2003","Berlin","(Married) couple without C. ","115","0.492165100907857","0.426695339118854","0.557634862696859","2"
"People are fair","2003","Berlin","Couple + C. LE 16 ","52","0.3721290624076","0.290286790478909","0.45397133433629","2"
"People are fair","2003","Schleswig-Holstein","Couple + C. LE and GT 16","24","","","","2"
"People are fair","2003","Hamburg","1-pers.-HH","46","0.61825484833722","0.504447684266736","0.732062012407705","2"
"People are fair","2003","Bavaria","Couple + C. LE 16 ","324","0.485192186061911","0.446682017925175","0.523702354198647","2"
"People are fair","2003","Schleswig-Holstein","(Married) couple without C. ","138","0.469921625080058","0.408054370277647","0.531788879882468","2"
"People are fair","2003","Schleswig-Holstein","Single parent ","16","","","","2"
"People are fair","2003","Schleswig-Holstein","Couple + C. LE 16 ","77","0.60042296089518","0.515235604971686","0.685610316818673","2"
"People are fair","2003","Hamburg","Couple + C. LE 16 ","43","0.692531309618983","0.574786372899761","0.810276246338205","2"
"People are fair","2003","Bavaria","Single parent ","77","0.439447169048786","0.364172047390001","0.514722290707572","2"
"People are fair","2003","Bavaria","Couple + C. GT 16 ","300","0.498947663843805","0.45832619331569","0.53956913437192","2"
"People are fair","2003","Schleswig-Holstein","Couple + C. GT 16 ","51","0.517487980347172","0.416472399396585","0.61850356129776","2"
"People are fair","2003","Baden-Württemberg","Couple + C. LE and GT 16","168","0.483462411817031","0.425748013892675","0.541176809741387","2"
"People are fair","2003","Brandenburg","Couple + C. GT 16 ","67","0.321036248848451","0.254298816012817","0.387773681684085","2"
"People are fair","2003","Brandenburg","Couple + C. LE and GT 16","22","","","","2"
"People are fair","2003","Mecklenburg-Western Pomerania","(Married) couple without C. ","71","0.384993705628759","0.313710344299976","0.456277066957542","2"
"People are fair","2003","Mecklenburg-Western Pomerania","Single parent ","13","","","","2"
"People are fair","2003","Bavaria","1-pers.-HH","209","0.512753057717004","0.463523131067292","0.561982984366716","2"
"People are fair","2003","Bavaria","(Married) couple without C. ","548","0.570677874685332","0.539496334336199","0.601859415034465","2"
"People are fair","2003","Lower Saxony","Single parent ","42","0.473211040571121","0.376317735160837","0.570104345981404","2"
"People are fair","2003","Lower Saxony","Couple + C. LE 16 ","207","0.506906782654966","0.458095060168887","0.555718505141045","2"
"People are fair","2003","Lower Saxony","Couple + C. GT 16 ","190","0.500763668168456","0.448381488404813","0.5531458479321","2"
"People are fair","2003","Lower Saxony","Couple + C. LE and GT 16","83","0.504968013058547","0.422733810691173","0.587202215425921","2"
"People are fair","2003","Bremen","1-pers.-HH","18","","","","2"
"People are fair","2003","Brandenburg","Single parent ","22","","","","2"
"People are fair","2003","Brandenburg","Couple + C. LE 16 ","63","0.369393485810137","0.291636203011707","0.447150768608566","2"
"People are fair","2003","Mecklenburg-Western Pomerania","1-pers.-HH","45","0.562023398026037","0.448982686038797","0.675064110013276","2"
"People are fair","2003","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","34","0.457134073867153","0.34864808045278","0.565620067281526","2"
"People are fair","2003","Baden-Württemberg","Single parent ","69","0.537239347848022","0.451855728154934","0.622622967541109","2"
"People are fair","2003","Baden-Württemberg","Couple + C. LE 16 ","349","0.518996116542305","0.479313912108574","0.558678320976037","2"
"People are fair","2003","Baden-Württemberg","Couple + C. GT 16 ","272","0.585300288732474","0.540327081093983","0.630273496370964","2"
"People are fair","2003","Bremen","Couple + C. GT 16 ","17","","","","2"
"People are fair","2003","Bremen","Couple + C. LE and GT 16","8","","","","2"
"People are fair","2003","Bremen","(Married) couple without C. ","39","0.580920259770776","0.46003740757806","0.701803111963492","2"
"People are fair","2003","Bremen","Single parent ","3","","","","2"
"People are fair","2003","Bremen","Couple + C. LE 16 ","20","","","","2"
"People are fair","2003","North Rhine-Westphalia","1-pers.-HH","389","0.632136327397816","0.594270025478281","0.670002629317351","2"
"People are fair","2003","North Rhine-Westphalia","(Married) couple without C. ","835","0.531593428920452","0.50666298151036","0.556523876330544","2"
"People are fair","2003","North Rhine-Westphalia","Single parent ","101","0.488102158530584","0.419170390231859","0.55703392682931","2"
"People are fair","2003","North Rhine-Westphalia","Couple + C. LE 16 ","506","0.535542617890975","0.503993848171803","0.567091387610146","2"
"People are fair","2003","North Rhine-Westphalia","Couple + C. GT 16 ","413","0.519050754431347","0.483505490746674","0.55459601811602","2"
"People are fair","2003","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","83","0.57214352234861","0.490765811829269","0.65352123286795","2"
"People are fair","2003","Baden-Württemberg","1-pers.-HH","199","0.612968106601585","0.559768003788367","0.666168209414804","2"
"People are fair","2003","Baden-Württemberg","(Married) couple without C. ","431","0.491626809922153","0.457027295357628","0.526226324486676","2"
"People are fair","2003","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","50","0.34868349222237","0.257531707212816","0.439835277231925","2"
"People are fair","2003","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","12","","","","2"
"People are fair","2003","Saxony","1-pers.-HH","108","0.514756219841599","0.446672432204036","0.582840007479163","2"
"People are fair","2003","Saxony","(Married) couple without C. ","282","0.476273380875079","0.435415802402538","0.517130959347619","2"
"People are fair","2003","North Rhine-Westphalia","Couple + C. LE and GT 16","195","0.492973554808454","0.441823962563329","0.544123147053578","2"
"People are fair","2003","Hesse","1-pers.-HH","108","0.552317305342975","0.479875663883027","0.624758946802922","2"
"People are fair","2003","Hesse","(Married) couple without C. ","282","0.526937653273821","0.484511751484352","0.56936355506329","2"
"People are fair","2003","Hesse","Single parent ","33","0.616156734643742","0.486446640794229","0.745866828493254","2"
"People are fair","2003","Hesse","Couple + C. LE 16 ","170","0.551955462632671","0.497973098263447","0.605937827001894","2"
"People are fair","2003","Rhineland-Palatinate,Saarland","Single parent ","42","0.517901926527624","0.404815906266096","0.630987946789153","2"
"People are fair","2003","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","145","0.544380139470402","0.486458428701881","0.602301850238924","2"
"People are fair","2003","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","118","0.653555826573739","0.584234513599811","0.722877139547667","2"
"People are fair","2003","Hesse","Couple + C. GT 16 ","127","0.525001702361189","0.459459347369503","0.590544057352876","2"
"People are fair","2003","Hesse","Couple + C. LE and GT 16","62","0.541793682025723","0.450331160533372","0.633256203518074","2"
"People are fair","2003","Rhineland-Palatinate,Saarland","1-pers.-HH","113","0.657559454035195","0.587253975248397","0.727864932821993","2"
"People are fair","2003","Rhineland-Palatinate,Saarland","(Married) couple without C. ","211","0.491513383103934","0.443181399741632","0.539845366466237","2"
"People are fair","2003","Saxony","Single parent ","35","0.462631498325915","0.354049136505046","0.571213860146785","2"
"People are fair","2003","Saxony","Couple + C. LE 16 ","119","0.446965994583546","0.384454754571009","0.509477234596083","2"
"People are fair","2003","Saxony","Couple + C. GT 16 ","152","0.450117860971672","0.394914092735656","0.505321629207688","2"
"People are fair","2003","Saxony","Couple + C. LE and GT 16","72","0.461417074473069","0.379995411896673","0.542838737049466","2"
"People are fair","2003","Saxony-Anhalt","1-pers.-HH","60","0.496972867840517","0.406759866416777","0.587185869264256","2"
"People are fair","2003","Saxony-Anhalt","(Married) couple without C. ","146","0.436124640921792","0.382861981753307","0.489387300090276","2"
"People are fair","2003","Saxony-Anhalt","Single parent ","16","","","","2"
"People are fair","2003","Saxony-Anhalt","Couple + C. LE 16 ","39","0.302061218811575","0.220250246083239","0.383872191539912","2"
"People are fair","2003","Saxony-Anhalt","Couple + C. GT 16 ","95","0.402318027097516","0.338527676751576","0.466108377443455","2"
"People are fair","2003","Saxony-Anhalt","Couple + C. LE and GT 16","33","0.496363423016831","0.371908877417346","0.620817968616315","2"
"People are fair","2003","Thuringia","1-pers.-HH","66","0.590593802638002","0.501493986244778","0.679693619031225","2"
"People are fair","2003","Thuringia","(Married) couple without C. ","121","0.357946606309928","0.303698802439862","0.412194410179995","2"
"People are fair","2003","Thuringia","Single parent ","28","","","","2"
