"plh0195","year","e11103","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","Full Time","4372","0.514313164173739","0.503880282381375","0.524746045966102"
"People exploit","2003","Part Time","2330","0.470415316914005","0.456673687798164","0.484156946029846"
"People exploit","2003","Not Working","3685","0.459379860427635","0.448475888696541","0.470283832158729"
"People are fair","2003","Full Time","4444","0.485686835826261","0.475253954033898","0.496119717618625"
"People are fair","2003","Part Time","2738","0.529584683085995","0.515843053970154","0.543326312201836"
"People are fair","2003","Not Working","4339","0.540620139572365","0.529716167841271","0.551524111303459"
"People exploit","2004","Full Time","","","",""
"People exploit","2004","Part Time","","","",""
"People exploit","2004","Not Working","","","",""
"People are fair","2004","Full Time","","","",""
"People are fair","2004","Part Time","","","",""
"People are fair","2004","Not Working","","","",""
"People exploit","2005","Full Time","","","",""
"People exploit","2005","Part Time","","","",""
"People exploit","2005","Not Working","","","",""
"People are fair","2005","Full Time","","","",""
"People are fair","2005","Part Time","","","",""
"People are fair","2005","Not Working","","","",""
"People exploit","2006","Full Time","","","",""
"People exploit","2006","Part Time","","","",""
"People exploit","2006","Not Working","","","",""
"People are fair","2006","Full Time","","","",""
"People are fair","2006","Part Time","","","",""
"People are fair","2006","Not Working","","","",""
"People exploit","2007","Full Time","","","",""
"People exploit","2007","Part Time","","","",""
"People exploit","2007","Not Working","","","",""
"People are fair","2007","Full Time","","","",""
"People are fair","2007","Part Time","","","",""
"People are fair","2007","Not Working","","","",""
"People exploit","2008","Full Time","3583","0.51037113165223","0.498980753676719","0.521761509627742"
"People exploit","2008","Part Time","1955","0.463480091292757","0.448659625609014","0.478300556976501"
"People exploit","2008","Not Working","3279","0.455736532862728","0.444355314793371","0.467117750932086"
"People are fair","2008","Full Time","3816","0.48962886834777","0.478238490372258","0.501019246323281"
"People are fair","2008","Part Time","2394","0.536519908707243","0.521699443023499","0.551340374390986"
"People are fair","2008","Not Working","4077","0.544263467137272","0.532882249067914","0.555644685206629"
"People exploit","2009","Full Time","","","",""
"People exploit","2009","Part Time","","","",""
"People exploit","2009","Not Working","","","",""
"People are fair","2009","Full Time","","","",""
"People are fair","2009","Part Time","","","",""
"People are fair","2009","Not Working","","","",""
"People exploit","2010","Full Time","","","",""
"People exploit","2010","Part Time","","","",""
"People exploit","2010","Not Working","","","",""
"People are fair","2010","Full Time","","","",""
"People are fair","2010","Part Time","","","",""
"People are fair","2010","Not Working","","","",""
"People exploit","2011","Full Time","","","",""
"People exploit","2011","Part Time","","","",""
"People exploit","2011","Not Working","","","",""
"People are fair","2011","Full Time","","","",""
"People are fair","2011","Part Time","","","",""
"People are fair","2011","Not Working","","","",""
"People exploit","2012","Full Time","","","",""
"People exploit","2012","Part Time","","","",""
"People exploit","2012","Not Working","","","",""
"People are fair","2012","Full Time","","","",""
"People are fair","2012","Part Time","","","",""
"People are fair","2012","Not Working","","","",""
"People exploit","2013","Full Time","4043","0.44280979459215","0.432801870169167","0.452817719015133"
"People exploit","2013","Part Time","2690","0.402322396215976","0.390805397841477","0.413839394590475"
"People exploit","2013","Not Working","3464","0.399544794102969","0.389188634603897","0.409900953602042"
"People are fair","2013","Full Time","5420","0.55719020540785","0.547182280984867","0.567198129830833"
"People are fair","2013","Part Time","4274","0.597677603784024","0.586160605409525","0.609194602158523"
"People are fair","2013","Not Working","5129","0.600455205897031","0.590099046397958","0.610811365396103"
"People exploit","2014","Full Time","","","",""
"People exploit","2014","Part Time","","","",""
"People exploit","2014","Not Working","","","",""
"People are fair","2014","Full Time","","","",""
"People are fair","2014","Part Time","","","",""
"People are fair","2014","Not Working","","","",""
"People exploit","2015","Full Time","","","",""
"People exploit","2015","Part Time","","","",""
"People exploit","2015","Not Working","","","",""
"People are fair","2015","Full Time","","","",""
"People are fair","2015","Part Time","","","",""
"People are fair","2015","Not Working","","","",""
"People exploit","2016","Full Time","","","",""
"People exploit","2016","Part Time","","","",""
"People exploit","2016","Not Working","","","",""
"People are fair","2016","Full Time","","","",""
"People are fair","2016","Part Time","","","",""
"People are fair","2016","Not Working","","","",""
"People exploit","2017","Full Time","","","",""
"People exploit","2017","Part Time","","","",""
"People exploit","2017","Not Working","","","",""
"People are fair","2017","Full Time","","","",""
"People are fair","2017","Part Time","","","",""
"People are fair","2017","Not Working","","","",""
"People exploit","2018","Full Time","3949","0.402902481222169","0.39321580850504","0.412589153939298"
"People exploit","2018","Part Time","2970","0.394196473486399","0.383282150661248","0.405110796311549"
"People exploit","2018","Not Working","4371","0.373365102630585","0.364362740724419","0.38236746453675"
"People are fair","2018","Full Time","5900","0.597097518777831","0.587410846060702","0.60678419149496"
"People are fair","2018","Part Time","4731","0.605803526513601","0.594889203688451","0.616717849338752"
"People are fair","2018","Not Working","6719","0.626634897369415","0.61763253546325","0.635637259275581"
