"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1990","direct migration background","Ostdeutschland, neue Bundeslaender","7.64","8","142","5","7","9","10","7.32","7.96","7","8"
"1990","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1990","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1990","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1990","no migration background","Ostdeutschland, neue Bundeslaender","7.41","8","4263","5","6","9","10","7.35","7.47","8","8"
"1990","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1991","direct migration background","Ostdeutschland, neue Bundeslaender","7.15","7","142","5","6","9","10","6.79","7.51","7","8"
"1991","direct migration background","Westdeutschland, alte Bundeslaender","7.2","8","2456","5","6","8","9","7.13","7.27","8","8"
"1991","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1991","indirect migration background","Westdeutschland, alte Bundeslaender","7.81","8","334","5","7","9","10","7.65","7.97","8","8"
"1991","no migration background","Ostdeutschland, neue Bundeslaender","7.21","8","3951","5","6","9","9","7.15","7.27","8","8"
"1991","no migration background","Westdeutschland, alte Bundeslaender","7.18","8","6461","5","6","8","9","7.14","7.22","8","8"
"1992","direct migration background","Ostdeutschland, neue Bundeslaender","6.81","7","143","5","5","8","9","6.49","7.13","7","8"
"1992","direct migration background","Westdeutschland, alte Bundeslaender","7.06","8","2375","4","6","8","9","6.98","7.14","7","8"
"1992","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1992","indirect migration background","Westdeutschland, alte Bundeslaender","7.55","8","389","5","7","9","10","7.38","7.72","8","8"
"1992","no migration background","Ostdeutschland, neue Bundeslaender","6.89","7","3790","4","6","8","9","6.83","6.95","7","7"
"1992","no migration background","Westdeutschland, alte Bundeslaender","6.97","7","6410","4","6","8","9","6.92","7.02","8","8"
"1993","direct migration background","Ostdeutschland, neue Bundeslaender","6.16","7","132","3","5","8","9","5.77","6.55","6","7"
"1993","direct migration background","Westdeutschland, alte Bundeslaender","6.81","7","2325","4","5","8","9","6.73","6.89","7","7"
"1993","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1993","indirect migration background","Westdeutschland, alte Bundeslaender","7.36","8","451","5","7","9","10","7.19","7.53","8","8"
"1993","no migration background","Ostdeutschland, neue Bundeslaender","6.66","7","3660","4","5","8","9","6.6","6.72","7","7"
"1993","no migration background","Westdeutschland, alte Bundeslaender","6.83","7","6383","4","6","8","9","6.78","6.88","7","7"
"1994","direct migration background","Ostdeutschland, neue Bundeslaender","6.05","6","141","3","5","8","9","5.69","6.41","5","7"
"1994","direct migration background","Westdeutschland, alte Bundeslaender","6.78","7","2202","4","5","8","9","6.7","6.86","7","7"
"1994","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
