"year","age_gr","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1990","16-34 y.","7.58","8","1689","7.49","7.67","5","7","9","10"
"1990","35-65 y.","7.42","8","2293","7.34","7.5","5","6","9","10"
"1990","66 and older","7.05","8","425","6.82","7.28","4","5","9","10"
"1991","16-34 y.","7.7","8","5072","7.66","7.74","5","7","9","9"
"1991","35-65 y.","7.08","7","6881","7.04","7.12","5","6","8","9"
"1991","66 and older","6.57","7","1394","6.45","6.69","3","5","8","10"
"1992","16-34 y.","7.58","8","4930","7.53","7.63","5","7","9","9"
"1992","35-65 y.","6.84","7","6790","6.79","6.89","4","6","8","9"
"1992","66 and older","6.25","6","1396","6.13","6.37","3","5","8","9"
"1993","16-34 y.","7.45","8","4856","7.4","7.5","5","7","9","9"
"1993","35-65 y.","6.61","7","6676","6.56","6.66","4","5","8","9"
"1993","66 and older","6.19","6","1433","6.07","6.31","3","5","8","9"
"1994","16-34 y.","7.49","8","4752","7.44","7.54","5","7","9","9"
"1994","35-65 y.","6.64","7","6534","6.59","6.69","4","5","8","9"
"1994","66 and older","6.15","6","1450","6.03","6.27","3","5","8","9"
"1995","16-34 y.","7.54","8","4899","7.49","7.59","5","7","9","9"
"1995","35-65 y.","6.73","7","6760","6.68","6.78","4","5","8","9"
"1995","66 and older","6.1","6","1500","5.98","6.22","3","5","8","9"
"1996","16-34 y.","7.46","8","4743","7.41","7.51","5","7","9","9"
"1996","35-65 y.","6.57","7","6705","6.52","6.62","4","5","8","9"
"1996","66 and older","6.08","6","1534","5.97","6.19","3","5","8","9"
"1997","16-34 y.","7.28","8","4601","7.23","7.33","5","6","9","9"
"1997","35-65 y.","6.39","7","6604","6.34","6.44","3","5","8","9"
"1997","66 and older","5.89","6","1564","5.78","6","3","5","8","8"
"1998","16-34 y.","7.52","8","4847","7.47","7.57","5","7","9","9"
"1998","35-65 y.","6.76","7","7476","6.72","6.8","4","5","8","9"
"1998","66 and older","6.09","6","1823","5.99","6.19","3","5","8","9"
"1999","16-34 y.","7.67","8","4574","7.62","7.72","5","7","9","9"
"1999","35-65 y.","6.9","7","7225","6.86","6.94","4","6","8","9"
"1999","66 and older","6.2","6","1772","6.1","6.3","3","5","8","9"
"2000","16-34 y.","7.8","8","7045","7.76","7.84","5","7","9","10"
"2000","35-65 y.","7.02","7","13201","6.99","7.05","5","6","8","9"
"2000","66 and older","6.29","7","3465","6.22","6.36","3","5","8","9"
"2001","16-34 y.","7.88","8","6213","7.84","7.92","6","7","9","10"
"2001","35-65 y.","7.08","8","12034","7.05","7.11","5","6","8","9"
"2001","66 and older","6.41","7","3263","6.34","6.48","4","5","8","9"
"2002","16-34 y.","7.67","8","6077","7.63","7.71","5","7","9","9"
"2002","35-65 y.","6.82","7","13008","6.79","6.85","4","6","8","9"
"2002","66 and older","6.2","6","3398","6.13","6.27","3","5","8","9"
"2003","16-34 y.","7.54","8","5807","7.5","7.58","5","7","9","9"
"2003","35-65 y.","6.72","7","12457","6.69","6.75","4","5","8","9"
"2003","66 and older","6.1","6","3491","6.03","6.17","3","5","8","9"
"2004","16-34 y.","7.46","8","5575","7.41","7.51","5","7","9","9"
"2004","35-65 y.","6.52","7","12025","6.48","6.56","4","5","8","9"
"2004","66 and older","5.88","6","3582","5.81","5.95","3","5","8","8"
"2005","16-34 y.","","","","","","","","",""
"2005","35-65 y.","","","","","","","","",""
"2005","66 and older","","","","","","","","",""
"2006","16-34 y.","","","","","","","","",""
"2006","35-65 y.","","","","","","","","",""
"2006","66 and older","","","","","","","","",""
"2007","16-34 y.","","","","","","","","",""
"2007","35-65 y.","","","","","","","","",""
"2007","66 and older","","","","","","","","",""
"2008","16-34 y.","7.85","8","4321","7.8","7.9","5","7","9","10"
"2008","35-65 y.","6.81","7","10426","6.77","6.85","4","5","8","9"
"2008","66 and older","5.84","6","4014","5.77","5.91","3","5","8","8"
"2009","16-34 y.","7.73","8","3967","7.68","7.78","5","7","9","9"
"2009","35-65 y.","6.77","7","9729","6.73","6.81","4","5","8","9"
"2009","66 and older","6.12","6","3959","6.06","6.18","3","5","8","8"
"2010","16-34 y.","","","","","","","","",""
"2010","35-65 y.","","","","","","","","",""
"2010","66 and older","","","","","","","","",""
"2011","16-34 y.","7.98","8","3793","7.93","8.03","6","7","9","10"
"2011","35-65 y.","6.97","7","9775","6.93","7.01","5","6","8","9"
"2011","66 and older","6.16","6","4291","6.1","6.22","3","5","8","9"
"2012","16-34 y.","8.1","8","2200","8.03","8.17","6","7","9","10"
"2012","35-65 y.","7.67","8","4837","7.62","7.72","5","7","9","10"
"2012","66 and older","","","","","","","","",""
"2013","16-34 y.","8.32","9","5753","8.28","8.36","6","8","9","10"
"2013","35-65 y.","7.23","8","12620","7.2","7.26","5","6","9","9"
"2013","66 and older","6.28","7","4744","6.22","6.34","3","5","8","9"
"2014","16-34 y.","","","","","","","","",""
"2014","35-65 y.","","","","","","","","",""
"2014","66 and older","","","","","","","","",""
"2015","16-34 y.","","","","","","","","",""
"2015","35-65 y.","","","","","","","","",""
"2015","66 and older","","","","","","","","",""
"2016","16-34 y.","","","","","","","","",""
"2016","35-65 y.","","","","","","","","",""
"2016","66 and older","","","","","","","","",""
"2017","16-34 y.","","","","","","","","",""
"2017","35-65 y.","","","","","","","","",""
"2017","66 and older","","","","","","","","",""
"2018","16-34 y.","8.38","9","5927","8.34","8.42","7","8","9","10"
"2018","35-65 y.","7.59","8","14132","7.56","7.62","5","7","9","10"
"2018","66 and older","6.58","7","4553","6.52","6.64","4","5","8","9"
